t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.183,0.206,0.806,5.806,0.029,0,0,0,0.200,0,1,0.067,-0.021,2.872,-0.386,4.614,0.037,0,0,0,0.266,0,1,0.086,0.242,-3.059,-0.673,4.327,0.016,2,14,0,0.237,0,1,0.049,3.047,0.131,-0.184,4.816,0.014,2,14,0,0.218,0,1,0.054,-3.245,-0.290,-0.652,4.348,0.017,0,0,0,0.275,0,1,0.045,2.925,0.380,0,0,0.275,0.000,0.000,0.000,0.000
2.0,-0.152,0.184,0.787,5.787,0.010,2,14,0,0.222,0,1,0.973,-0.007,2.891,-0.444,4.556,0.033,2,14,0,0.240,0,1,0.879,0.205,-3.078,-0.690,4.310,0.026,2,14,0,0.252,0,1,1.065,3.018,0.092,-0.146,4.854,0.019,2,14,0,0.246,0,1,1.063,-3.261,-0.299,-0.684,4.316,0.019,2,14,0,0.266,0,1,1.039,2.978,1.276,0,0,0.266,0.980,0.000,1.000,0.000
3.0,-0.156,0.187,0.766,5.766,0.066,2,14,0,0.250,0,1,1.976,-0.009,2.891,-0.477,4.523,0.093,2,14,0,0.244,0,1,1.882,0.247,-3.050,-0.664,4.336,0.097,2,14,0,0.300,0,1,2.023,3.043,0.072,-0.172,4.828,0.064,2,14,0,0.299,0,1,2.039,-3.284,-0.294,-0.721,4.279,0.070,2,14,0,0.319,0,1,2.062,2.980,2.283,0,0,0.319,1.980,0.000,1.000,0.000
4.0,-0.049,0.164,0.552,5.552,0.101,2,14,0,0.305,0,1,2.868,0.007,2.855,-0.709,4.291,0.004,2,14,0,0.267,0,1,2.865,0.335,-3.005,-0.994,4.006,0.072,2,14,0,0.252,0,1,2.936,3.183,0.132,-0.389,4.611,0.103,2,14,0,0.280,0,1,2.898,-3.302,-0.287,-0.752,4.248,0.021,2,1,0,0.216,0,1,3.080,2.972,3.294,0,0,0.305,2.980,0.000,1.000,0.000
5.0,-0.016,0.128,0.023,5.023,0.052,2,14,0,0.249,0,1,3.836,0.012,2.885,-1.576,3.424,0.019,2,14,0,0.240,0,1,3.860,0.364,-3.035,-1.583,3.417,0.072,2,14,0,0.227,0,1,3.886,3.248,0.150,-0.960,4.040,0.049,2,14,0,0.218,0,1,3.833,-3.324,-0.292,-0.778,4.222,0.024,2,1,0,0.217,0,1,3.141,3.187,4.314,0,0,0.249,3.980,0.000,1.000,0.000
6.0,0.039,0.085,-0.195,4.805,0.075,2,14,0,0.251,0,1,4.781,0.007,2.881,-2.088,2.912,0.021,2,14,0,0.272,0,1,4.866,0.394,-3.067,-2.165,2.835,0.041,2,14,0,0.225,0,1,4.856,3.319,0.088,-1.614,3.386,0.068,2,14,0,0.219,0,1,4.762,-3.348,-0.296,-0.798,4.202,0.026,2,1,0,0.217,0,1,3.141,3.377,5.337,0,0,0.272,4.980,0.000,1.000,0.000
7.0,0.138,0.122,-0.366,4.634,0.020,2,14,0,0.226,0,1,5.682,-0.039,2.892,-2.187,2.813,0.017,2,14,0,0.279,0,1,5.911,0.449,-3.070,-2.351,2.649,0.008,2,14,0,0.260,0,1,5.801,3.465,0.040,-1.748,3.252,0.036,2,14,0,0.244,0,1,5.616,-3.376,-0.298,-0.813,4.187,0.029,2,1,0,0.217,0,1,3.141,3.320,6.363,0,0,0.279,5.980,0.000,1.000,0.000
8.0,0.163,0.158,-0.281,4.719,0.005,2,14,0,0.249,0,1,5.891,0.026,2.813,-2.038,2.962,0.033,2,14,0,0.243,0,1,6.011,0.369,-3.108,-2.177,2.823,0.019,2,14,0,0.280,0,1,5.950,3.490,0.096,-1.689,3.311,0.019,2,14,0,0.272,0,1,5.851,-3.405,-0.300,-0.824,4.176,0.031,2,1,0,0.217,0,1,3.141,3.186,7.391,0,0,0.280,6.980,0.000,1.000,0.000
9.0,0.164,0.111,0.226,5.226,0.014,2,2,0,0.249,0,1,5.891,0.000,2.727,-1.497,3.503,0.049,2,2,0,0.243,0,1,6.011,0.312,-3.037,-1.737,3.263,0.046,2,2,0,0.280,0,1,5.950,3.551,0.127,-1.297,3.703,0.023,2,2,0,0.272,0,1,5.851,-3.261,-0.294,-0.797,4.203,0.002,1,14,0,0.217,0,1,3.141,3.137,8.246,0,0,0.280,7.980,0.000,1.000,0.000
10.0,0.124,0.089,0.505,5.505,0.076,2,2,0,0.249,0,1,5.891,-0.089,2.602,-1.062,3.938,0.820,2,2,0,0.243,0,1,6.011,0.241,-2.989,-0.928,4.072,0.064,2,2,0,0.280,0,1,5.950,3.582,0.183,-0.537,4.463,0.038,2,2,0,0.272,0,1,5.851,-3.258,-0.293,-0.792,4.208,0.003,1,14,0,0.217,0,1,3.141,2.970,9.242,0,0,0.280,8.980,0.000,1.000,0.000
