t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.176,0.295,-0.500,4.500,0.046,0,0,0,0.229,0,0,0.185,-0.124,3.021,-0.104,4.896,0.013,0,0,0,0.336,0,0,0.050,-0.152,-2.987,0.428,5.428,0.036,0,0,0,0.216,0,0,0.118,3.059,-0.000,-0.725,4.275,0.070,2,14,0,0.310,0,0,0.023,-2.885,-0.073,-0.465,4.535,0.041,2,14,0,0.230,0,0,0.102,2.734,0.343,0,0,0.336,0.000,0.000,0.000,0.000
2.0,0.071,0.352,-1.148,3.852,0.182,2,14,0,0.227,0,0,0.068,-0.032,3.039,-0.811,4.189,0.102,2,14,0,0.280,0,0,0.067,0.010,-2.967,-0.180,4.820,0.110,2,14,0,0.257,0,0,0.049,3.192,-0.006,-1.330,3.670,0.065,2,14,0,0.321,0,0,0.117,-2.740,-0.048,-1.129,3.871,0.148,2,14,0,0.228,0,0,0.134,2.710,0.359,0,0,0.321,0.000,0.000,0.000,0.000
3.0,0.194,0.406,-2.280,2.720,0.037,2,14,0,0.307,0,0,0.202,-0.058,3.152,-1.943,3.057,0.041,2,14,0,0.296,0,0,0.097,0.012,-2.927,-1.314,3.686,0.019,2,14,0,0.377,0,0,0.077,3.162,-0.015,-2.441,2.559,0.063,2,14,0,0.283,0,0,0.086,-2.715,0.093,-2.176,2.824,0.072,2,14,0,0.318,0,0,0.157,2.778,0.450,0,0,0.377,0.000,0.000,0.000,0.000
4.0,0.186,0.331,-3.527,1.473,0.097,2,14,0,0.200,0,0,0.182,-0.062,3.133,-3.154,1.846,0.029,2,14,0,0.192,0,0,0.078,0.080,-2.943,-2.501,2.499,0.041,2,14,0,0.241,0,0,0.124,3.255,-0.022,-3.656,1.344,0.041,2,14,0,0.157,0,0,0.179,-2.865,0.106,-3.416,1.584,0.087,2,14,0,0.272,0,0,0.083,2.838,0.379,0,0,0.272,0.000,0.000,0.000,0.000
5.0,0.100,0.333,-4.438,0.562,0.132,2,14,0,0.171,0,0,0.096,-0.030,3.124,-3.985,1.015,0.053,2,14,0,0.416,0,0,0.091,0.031,-3.061,-3.458,1.542,0.096,2,14,0,0.165,0,0,0.099,3.281,-0.048,-4.511,0.489,0.089,2,14,0,0.170,0,0,0.210,-2.943,0.200,-4.419,0.581,0.060,2,14,0,0.162,0,0,0.196,2.830,0.348,0,0,0.416,0.000,0.000,0.000,0.000
6.0,-0.105,0.316,-4.694,0.306,0.133,2,14,0,0.173,0,0,0.111,-0.066,3.083,-4.286,0.714,0.075,2,14,0,0.194,0,0,0.036,-0.031,-3.111,-3.799,1.201,0.073,2,14,0,0.163,0,0,0.125,3.231,-0.062,-4.749,0.251,0.126,2,14,0,0.200,0,0,0.163,-2.984,0.263,-4.790,0.210,0.068,2,14,0,0.166,0,0,0.272,2.797,0.333,0,0,0.200,0.000,0.000,0.000,0.000
7.0,-0.191,0.302,-4.891,0.109,0.031,2,14,0,0.144,0,0,0.199,-0.069,3.084,-4.350,0.650,0.051,2,14,0,0.168,0,0,0.034,-0.055,-3.081,-3.911,1.089,0.075,2,14,0,0.136,0,0,0.096,3.082,-0.022,-4.853,0.147,0.156,2,14,0,0.172,0,0,0.012,-2.979,0.115,-4.917,0.083,0.161,2,14,0,0.170,0,0,0.158,2.793,0.357,0,0,0.172,0.000,0.000,0.000,0.000
8.0,-0.085,0.276,-4.897,0.103,0.067,2,14,0,0.168,0,0,0.110,-0.140,3.020,-4.421,0.579,0.044,2,14,0,0.130,0,0,0.061,-0.036,-3.089,-4.020,0.980,0.057,2,14,0,0.138,0,0,0.102,2.980,-0.056,-4.922,0.078,0.095,2,14,0,0.161,0,0,0.102,-2.953,-0.093,-4.894,0.106,0.151,2,14,0,0.168,0,0,0.153,2.785,0.289,0,0,0.168,0.000,0.000,0.000,0.000
9.0,0.039,0.279,-4.878,0.122,0.072,2,14,0,0.146,0,0,0.069,-0.194,3.015,-4.504,0.496,0.004,2,14,0,0.141,0,0,0.110,-0.062,-3.053,-3.980,1.020,0.059,2,14,0,0.163,0,0,0.071,2.953,-0.100,-4.926,0.074,0.034,2,14,0,0.165,0,0,0.146,-2.829,-0.119,-4.965,0.035,0.072,2,14,0,0.140,0,0,0.144,2.770,0.282,0,0,0.165,0.000,0.000,0.000,0.000
10.0,0.027,0.294,-4.962,0.038,0.034,2,14,0,0.145,0,0,0.050,-0.193,3.000,-4.493,0.507,0.044,2,14,0,0.140,0,0,0.118,-0.054,-2.986,-4.030,0.970,0.047,2,14,0,0.195,0,0,0.018,2.946,-0.099,-4.988,0.012,0.049,2,14,0,0.173,0,0,0.155,-2.743,-0.128,-4.983,0.017,0.037,2,14,0,0.142,0,0,0.187,2.755,0.295,0,0,0.195,0.000,0.000,0.000,0.000
