t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.130,0.132,0.284,5.284,0.029,2,14,0,0.235,0,1,0.096,0.288,3.082,-0.328,4.672,0.022,2,14,0,0.221,0,1,0.076,-0.037,-3.019,0.052,5.052,0.026,2,14,0,0.225,0,1,0.082,3.388,-0.098,0.686,5.686,0.020,2,14,0,0.193,0,1,0.121,-2.841,-0.088,-0.478,4.522,0.022,2,14,0,0.226,0,1,0.080,2.825,0.401,0,0,0.235,0.000,0.000,0.000,0.000
2.0,-0.068,0.083,0.328,5.328,0.017,2,14,0,0.230,0,1,0.043,0.272,3.097,-0.382,4.618,0.010,2,14,0,0.269,0,1,0.052,-0.020,-3.031,0.109,5.109,0.020,2,14,0,0.220,0,1,0.096,3.373,-0.063,0.666,5.666,0.004,2,14,0,0.219,0,1,0.083,-2.804,-0.096,-0.439,4.561,0.027,2,14,0,0.220,0,1,0.104,2.847,0.378,0,0,0.269,0.000,0.000,0.000,0.000
3.0,-0.034,0.078,0.331,5.331,0.102,2,14,0,0.229,0,1,0.064,0.290,3.105,-0.427,4.573,0.081,2,14,0,0.241,0,1,0.067,-0.022,-3.051,0.109,5.109,0.055,2,14,0,0.245,0,1,0.092,3.408,0.036,0.701,5.701,0.110,2,14,0,0.216,0,1,0.054,-2.814,-0.066,-0.590,4.410,0.037,2,14,0,0.223,0,1,0.075,2.932,0.410,0,0,0.245,0.000,0.000,0.000,0.000
4.0,-0.042,0.061,-0.083,4.917,0.067,2,14,0,0.231,0,1,0.049,0.296,3.172,-0.758,4.242,0.081,2,14,0,0.215,0,1,0.088,-0.074,-3.047,-0.425,4.575,0.093,2,14,0,0.223,0,1,0.044,3.504,0.040,0.214,5.214,0.024,2,14,0,0.218,0,1,0.150,-2.884,-0.010,-1.113,3.887,0.034,2,14,0,0.220,0,1,0.022,3.024,0.506,0,0,0.231,0.000,0.000,0.000,0.000
5.0,-0.069,0.058,-0.547,4.453,0.022,2,14,0,0.230,0,0,0.024,0.303,3.240,-1.497,3.503,0.027,2,14,0,0.349,0,0,0.142,-0.106,-3.078,-1.142,3.858,0.040,2,14,0,0.277,0,0,0.030,3.494,0.062,-0.554,4.446,0.054,2,14,0,0.260,0,0,0.146,-2.907,0.027,-2.048,2.952,0.042,2,14,0,0.421,0,0,0.058,3.193,0.498,0,0,0.421,0.000,0.000,0.000,0.000
6.0,-0.073,0.040,-1.885,3.115,0.056,2,14,0,0.229,0,0,0.018,0.237,3.177,-2.920,2.080,0.103,2,14,0,0.245,0,0,0.058,-0.087,-3.080,-2.597,2.403,0.022,2,14,0,0.297,0,0,0.046,3.440,0.037,-2.052,2.948,0.105,2,14,0,0.247,0,0,0.086,-2.887,-0.018,-3.487,1.513,0.045,2,14,0,0.274,0,0,0.025,3.200,0.442,0,0,0.297,0.000,0.000,0.000,0.000
7.0,-0.120,-0.074,-3.322,1.678,0.073,2,14,0,0.544,0,0,0.122,0.190,3.089,-4.312,0.688,0.087,2,14,0,0.214,0,0,0.047,-0.167,-3.070,-4.045,0.955,0.029,2,14,0,0.172,0,0,0.055,3.342,-0.065,-3.492,1.508,0.127,2,14,0,0.165,0,0,0.082,-2.936,-0.029,-4.806,0.194,0.034,2,14,0,0.173,0,0,0.077,3.083,0.348,0,0,0.544,0.000,0.000,0.000,0.000
8.0,-0.085,-0.096,-4.418,0.582,0.008,2,14,0,0.171,0,0,0.142,0.168,3.014,-5.163,-0.163,0.060,2,14,0,0.161,0,0,0.121,-0.213,-3.122,-4.769,0.231,0.013,2,14,0,0.166,0,0,0.121,3.278,-0.102,-4.150,0.850,0.078,2,14,0,0.163,0,0,0.142,-2.932,0.008,-5.440,-0.440,0.013,2,14,0,0.138,0,0,0.072,3.026,0.296,0,0,0.171,0.000,0.000,0.000,0.000
9.0,-0.097,-0.046,-4.791,0.209,0.048,2,14,0,0.177,0,0,0.092,0.175,3.058,-5.374,-0.374,0.015,2,14,0,0.160,0,0,0.082,-0.225,-3.121,-5.004,-0.004,0.033,2,14,0,0.173,0,0,0.133,3.242,-0.067,-4.429,0.571,0.050,2,14,0,0.166,0,0,0.141,-2.911,-0.023,-5.606,-0.606,0.033,2,14,0,0.167,0,0,0.050,2.930,0.256,0,0,0.177,0.000,0.000,0.000,0.000
10.0,-0.135,0.021,-4.838,0.162,0.051,2,14,0,0.155,0,0,0.052,0.171,3.068,-5.470,-0.470,0.025,2,14,0,0.164,0,0,0.075,-0.155,-3.154,-5.075,-0.075,0.064,2,14,0,0.141,0,0,0.114,3.361,-0.034,-4.484,0.516,0.067,2,14,0,0.167,0,0,0.054,-2.877,-0.079,-5.655,-0.655,0.036,2,14,0,0.145,0,0,0.071,2.863,0.363,0,0,0.167,0.000,0.000,0.000,0.000
