t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.305,0.144,0.026,5.026,0.010,2,14,0,0.226,0,0,0.073,0.227,2.808,-0.054,4.946,0.030,2,14,0,0.219,0,0,0.069,-0.014,-3.005,0.469,5.469,0.032,2,14,0,0.220,0,0,0.137,3.059,0.117,-0.362,4.638,0.026,2,14,0,0.250,0,0,0.113,-2.872,0.144,0.006,5.006,0.016,2,14,0,0.218,0,0,0.084,2.666,0.338,0,0,0.250,0.000,0.000,0.000,0.000
2.0,0.310,0.142,-0.196,4.804,0.030,2,14,0,0.256,0,0,0.079,0.315,2.815,-0.444,4.556,0.087,2,14,0,0.275,0,0,0.019,-0.020,-3.010,0.180,5.180,0.036,2,14,0,0.246,0,0,0.131,3.062,0.191,-0.681,4.319,0.069,2,14,0,0.235,0,0,0.062,-2.868,0.171,-0.360,4.640,0.100,2,14,0,0.247,0,0,0.082,2.685,0.365,0,0,0.275,0.000,0.000,0.000,0.000
3.0,0.240,0.205,-1.255,3.745,0.080,2,14,0,0.255,0,0,0.041,0.352,2.914,-1.460,3.540,0.076,2,14,0,0.245,0,0,0.116,-0.102,-2.958,-0.841,4.159,0.102,2,14,0,0.219,0,0,0.087,3.081,0.354,-1.637,3.363,0.134,2,14,0,0.229,0,0,0.152,-2.705,0.233,-1.402,3.598,0.100,2,14,0,0.244,0,0,0.112,2.718,0.376,0,0,0.255,0.000,0.000,0.000,0.000
4.0,0.227,0.186,-2.500,2.500,0.034,2,14,0,0.311,0,0,0.022,0.441,2.898,-2.713,2.287,0.076,2,14,0,0.298,0,0,0.169,-0.192,-2.985,-2.018,2.982,0.080,2,14,0,0.325,0,0,0.063,3.057,0.311,-2.994,2.006,0.079,2,14,0,0.260,0,0,0.105,-2.747,0.202,-2.577,2.423,0.051,2,14,0,0.272,0,0,0.060,2.729,0.453,0,0,0.325,0.000,0.000,0.000,0.000
5.0,0.206,0.262,-3.807,1.193,0.021,2,14,0,0.170,0,0,0.101,0.413,2.891,-3.943,1.057,0.085,2,14,0,0.166,0,0,0.141,-0.226,-2.999,-3.350,1.650,0.049,2,14,0,0.272,0,0,0.083,2.957,0.276,-4.186,0.814,0.095,2,14,0,0.178,0,0,0.076,-2.740,0.229,-3.889,1.111,0.045,2,14,0,0.177,0,0,0.086,2.640,0.427,0,0,0.272,0.000,0.000,0.000,0.000
6.0,0.228,0.255,-4.593,0.407,0.035,2,14,0,0.186,0,0,0.092,0.338,2.875,-4.562,0.438,0.106,2,14,0,0.166,0,0,0.078,-0.232,-2.979,-4.402,0.598,0.038,2,14,0,0.161,0,0,0.099,2.890,0.212,-4.646,0.354,0.068,2,14,0,0.177,0,0,0.116,-2.803,0.141,-4.545,0.455,0.066,2,14,0,0.166,0,0,0.022,2.622,0.360,0,0,0.186,0.000,0.000,0.000,0.000
7.0,0.157,0.113,-4.815,0.185,0.084,2,14,0,0.200,0,0,0.092,0.205,2.804,-4.834,0.166,0.105,2,14,0,0.171,0,0,0.089,-0.192,-3.025,-4.790,0.210,0.057,2,14,0,0.179,0,0,0.044,2.880,0.203,-4.849,0.151,0.051,2,14,0,0.144,0,0,0.129,-2.768,0.100,-4.763,0.237,0.028,2,14,0,0.164,0,0,0.063,2.691,0.284,0,0,0.200,0.000,0.000,0.000,0.000
8.0,0.217,-0.024,-5.039,-0.039,0.054,2,14,0,0.153,0,0,0.189,0.199,2.694,-4.927,0.073,0.046,2,14,0,0.162,0,0,0.152,-0.207,-3.081,-4.901,0.099,0.047,2,14,0,0.169,0,0,0.077,2.998,0.237,-4.873,0.127,0.083,2,14,0,0.169,0,0,0.022,-2.819,0.107,-4.899,0.101,0.022,2,14,0,0.139,0,0,0.060,2.721,0.365,0,0,0.169,0.000,0.000,0.000,0.000
9.0,0.219,0.006,-4.988,0.012,0.062,2,14,0,0.172,0,0,0.161,0.282,2.682,-4.941,0.059,0.038,2,14,0,0.133,0,0,0.129,-0.183,-3.134,-4.940,0.060,0.053,2,14,0,0.160,0,0,0.108,3.125,0.140,-4.852,0.148,0.073,2,14,0,0.175,0,0,0.139,-2.828,0.100,-4.925,0.075,0.018,2,14,0,0.163,0,0,0.069,2.677,0.426,0,0,0.175,0.000,0.000,0.000,0.000
10.0,0.228,0.103,-4.999,0.001,0.091,2,14,0,0.146,0,0,0.063,0.322,2.661,-4.943,0.057,0.066,2,14,0,0.137,0,0,0.152,-0.154,-3.177,-4.965,0.035,0.046,2,14,0,0.136,0,0,0.147,3.106,0.083,-4.947,0.053,0.020,2,14,0,0.152,0,0,0.168,-2.879,0.086,-4.983,0.017,0.029,2,14,0,0.208,0,0,0.118,2.560,0.467,0,0,0.208,0.000,0.000,0.000,0.000
