t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.067,-0.006,-0.162,4.838,0.011,0,0,0,0.236,0,1,0.052,0.028,2.553,-0.997,4.003,0.012,2,14,0,0.316,0,1,0.008,0.087,-3.040,0.349,5.349,0.015,2,14,0,0.230,0,1,0.076,2.902,0.393,-0.727,4.273,0.006,0,0,0,0.258,0,1,0.036,-2.658,-0.223,0.456,5.456,0.016,2,14,0,0.229,0,1,0.061,3.122,2.943,0.538,5.538,0.033,2,14,0,0.269,0,1,0.124,-2.928,3.090,-0.191,4.809,0.006,2,14,0,0.269,0,1,0.061,3.147,-3.159,0.222,5.222,0.025,2,14,0,0.233,0,1,0.048,-2.890,-3.126,0.206,5.206,0.031,0,0,0,0.278,0,1,0.107,2.673,0.448,0,0,0.316,0.000,0.000,0.000,0.000
2.0,-0.102,-0.020,-0.114,4.886,0.016,2,14,0,0.243,0,1,0.060,-0.013,2.524,-1.054,3.946,0.026,2,14,0,0.225,0,1,0.050,0.139,-3.065,0.296,5.296,0.022,2,14,0,0.247,0,1,0.045,2.863,0.400,-0.807,4.193,0.019,2,14,0,0.231,0,1,0.038,-2.673,-0.214,0.474,5.474,0.007,2,14,0,0.229,0,1,0.045,3.153,2.931,0.571,5.571,0.036,2,14,0,0.247,0,1,0.158,-2.952,3.094,-0.229,4.771,0.011,2,14,0,0.232,0,1,0.057,3.102,-3.146,0.239,5.239,0.026,2,14,0,0.431,0,1,0.077,-2.843,-3.144,0.224,5.224,0.044,2,14,0,0.234,0,1,0.113,2.645,0.477,0,0,0.431,0.000,0.000,0.000,0.000
3.0,-0.100,-0.064,-0.063,4.937,0.032,2,14,0,0.236,0,1,0.103,-0.004,2.500,-1.071,3.929,0.027,2,14,0,0.274,0,1,0.059,0.132,-3.056,0.301,5.301,0.016,2,14,0,0.227,0,1,0.042,2.817,0.392,-0.792,4.208,0.031,2,14,0,0.234,0,1,0.067,-2.669,-0.194,0.439,5.439,0.003,2,14,0,0.228,0,1,0.035,3.161,2.925,0.604,5.604,0.032,2,14,0,0.250,0,1,0.167,-2.961,3.103,-0.235,4.765,0.015,2,14,0,0.227,0,1,0.051,3.100,-3.145,0.253,5.253,0.022,2,14,0,0.262,0,1,0.078,-2.862,-3.144,0.220,5.220,0.039,2,14,0,0.252,0,1,0.115,2.620,0.500,0,0,0.274,0.000,0.000,0.000,0.000
4.0,-0.084,-0.083,-0.040,4.960,0.037,2,14,0,0.240,0,1,0.122,0.022,2.519,-0.992,4.008,0.017,2,14,0,0.265,0,1,0.029,0.198,-3.054,0.254,5.254,0.021,2,14,0,0.230,0,1,0.044,2.796,0.391,-0.835,4.165,0.034,2,14,0,0.225,0,1,0.087,-2.678,-0.184,0.385,5.385,0.010,2,14,0,0.228,0,1,0.024,3.183,2.901,0.615,5.615,0.037,2,14,0,0.403,0,1,0.195,-2.917,3.111,-0.230,4.770,0.005,2,14,0,0.228,0,1,0.045,3.113,-3.152,0.281,5.281,0.016,2,14,0,0.331,0,1,0.065,-2.846,-3.138,0.168,5.168,0.035,2,14,0,0.266,0,1,0.107,2.630,0.482,0,0,0.403,0.000,0.000,0.000,0.000
5.0,-0.090,-0.090,-0.030,4.970,0.037,2,14,0,0.235,0,1,0.130,0.052,2.514,-0.975,4.025,0.017,2,14,0,0.234,0,1,0.038,0.214,-3.049,0.207,5.207,0.024,2,14,0,0.238,0,1,0.056,2.822,0.396,-0.864,4.136,0.025,2,14,0,0.245,0,1,0.065,-2.662,-0.179,0.367,5.367,0.013,2,14,0,0.268,0,1,0.039,3.165,2.919,0.647,5.647,0.025,2,14,0,0.235,0,1,0.173,-2.872,3.091,-0.259,4.741,0.020,2,14,0,0.231,0,1,0.090,3.156,-3.166,0.227,5.227,0.015,2,14,0,0.261,0,1,0.042,-2.855,-3.162,0.140,5.140,0.039,2,14,0,0.336,0,1,0.132,2.604,0.489,0,0,0.336,0.000,0.000,0.000,0.000
6.0,-0.103,-0.049,-0.016,4.984,0.062,2,14,0,0.406,0,1,0.091,0.023,2.532,-0.939,4.061,0.070,2,14,0,0.251,0,1,0.017,0.204,-3.044,0.196,5.196,0.020,2,14,0,0.227,0,1,0.045,2.900,0.386,-0.866,4.134,0.009,2,14,0,0.228,0,1,0.029,-2.666,-0.199,0.398,5.398,0.026,2,14,0,0.226,0,1,0.040,3.154,2.934,0.615,5.615,0.029,2,14,0,0.497,0,1,0.158,-2.862,3.123,-0.253,4.747,0.043,2,14,0,0.226,0,1,0.083,3.153,-3.143,0.193,5.193,0.070,2,14,0,0.228,0,1,0.063,-2.891,-3.148,0.147,5.147,0.025,2,14,0,0.268,0,1,0.127,2.601,0.469,0,0,0.497,0.000,0.000,0.000,0.000
7.0,-0.109,0.056,-0.145,4.855,0.071,2,14,0,0.237,0,1,0.023,0.087,2.632,-1.010,3.990,0.098,2,14,0,1.971,0,1,0.102,0.198,-3.012,0.196,5.196,0.077,2,14,0,0.283,0,1,0.039,2.897,0.427,-0.869,4.131,0.121,2,14,0,0.230,0,1,0.063,-2.614,-0.155,0.433,5.433,0.081,2,14,0,0.253,0,1,0.090,3.107,2.939,0.322,5.322,0.098,2,14,0,0.243,0,1,0.112,-2.918,3.185,-0.313,4.687,0.080,2,14,0,0.565,0,1,0.042,3.191,-3.140,0.163,5.163,0.084,2,14,0,0.332,0,1,0.079,-2.904,-3.093,0.129,5.129,0.067,2,14,0,0.549,0,1,0.089,2.580,0.439,0,0,1.971,0.000,0.000,0.000,0.000
8.0,-0.111,0.122,-0.594,4.406,0.062,2,14,0,0.323,0,0,0.083,0.152,2.700,-1.469,3.531,0.034,2,14,0,0.381,0,1,0.195,0.177,-2.991,-0.102,4.898,0.068,2,14,0,0.308,0,1,0.039,3.002,0.435,-1.152,3.848,0.065,2,14,0,0.236,0,1,0.140,-2.542,-0.145,-0.010,4.990,0.053,2,14,0,0.268,0,1,0.164,3.021,3.040,-0.181,4.819,0.058,2,14,0,0.245,0,0,0.084,-2.918,3.215,-0.649,4.351,0.071,2,14,0,0.257,0,1,0.069,3.175,-3.171,-0.306,4.694,0.036,2,14,0,0.317,0,1,0.045,-2.829,-2.967,-0.297,4.703,0.142,2,14,0,0.240,0,1,0.064,2.514,0.481,0,0,0.381,0.000,0.000,0.000,0.000
9.0,-0.038,0.124,-1.808,3.192,0.074,2,14,0,0.260,0,0,0.099,0.145,2.660,-2.534,2.466,0.112,2,14,0,0.234,0,0,0.162,0.173,-2.941,-1.055,3.945,0.009,2,14,0,0.226,0,0,0.087,3.050,0.359,-2.008,2.992,0.115,2,14,0,0.315,0,0,0.170,-2.652,-0.193,-1.096,3.904,0.106,2,14,0,0.414,0,0,0.052,2.977,3.042,-1.302,3.698,0.038,2,14,0,0.299,0,0,0.082,-2.879,3.271,-1.661,3.339,0.015,2,14,0,0.231,0,0,0.136,3.200,-3.185,-1.228,3.772,0.056,2,14,0,0.235,0,0,0.057,-2.807,-2.839,-1.011,3.989,0.035,2,14,0,0.261,0,0,0.195,2.645,0.398,0,0,0.414,0.000,0.000,0.000,0.000
10.0,-0.008,0.090,-3.189,1.811,0.076,2,14,0,0.286,0,0,0.099,0.104,2.551,-3.844,1.156,0.144,2,14,0,0.310,0,0,0.073,0.192,-2.919,-2.386,2.614,0.046,2,14,0,0.290,0,0,0.112,3.040,0.317,-3.448,1.552,0.104,2,14,0,0.368,0,0,0.169,-2.739,-0.226,-2.483,2.517,0.079,2,14,0,0.387,0,0,0.060,2.982,3.059,-2.536,2.464,0.054,2,14,0,0.315,0,0,0.100,-2.921,3.110,-2.983,2.017,0.124,2,14,0,0.313,0,0,0.044,3.107,-3.249,-2.568,2.432,0.087,2,14,0,0.263,0,0,0.059,-2.772,-2.892,-2.371,2.629,0.118,2,14,0,0.261,0,0,0.156,2.550,0.461,0,0,0.387,0.000,0.000,0.000,0.000
