t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.037,-0.089,0.212,5.212,0.026,2,14,0,0.235,0,1,0.066,-0.267,3.302,0.460,5.460,0.012,2,14,0,0.230,0,1,0.063,0.163,-3.064,0.100,5.100,0.022,0,0,-1,0.000,0,0,0.000,2.931,0.217,-0.356,4.644,0.002,0,0,0,0.233,0,1,0.040,-3.558,0.096,0.179,5.179,0.017,2,14,-1,0.000,0,0,0.000,2.784,3.055,-0.419,4.581,0.014,0,0,0,0.227,0,1,0.027,-2.960,3.038,-0.308,4.692,0.023,2,14,0,0.231,0,1,0.075,2.831,-2.706,-0.018,4.982,0.013,0,0,0,0.513,0,1,0.048,-3.189,-3.214,0.327,5.327,0.030,2,14,0,0.245,0,1,0.088,2.694,0.566,0,0,0.513,0.000,0.000,0.000,0.000
2.0,-0.047,-0.103,0.220,5.220,0.019,2,14,0,0.238,0,1,0.052,-0.240,3.298,0.448,5.448,0.010,2,14,0,0.517,0,1,0.072,0.145,-3.091,0.082,5.082,0.014,2,14,-1,0.000,0,0,0.000,2.920,0.242,-0.323,4.677,0.009,2,14,0,0.239,0,1,0.031,-3.533,0.115,0.196,5.196,0.014,2,14,-1,0.000,0,0,0.000,2.752,3.053,-0.420,4.580,0.012,2,14,0,0.226,0,1,0.029,-2.938,3.035,-0.269,4.731,0.012,2,14,0,0.234,0,1,0.056,2.807,-2.705,0.012,5.012,0.005,2,14,0,0.606,0,1,0.030,-3.168,-3.190,0.294,5.294,0.037,2,14,0,0.258,0,1,0.112,2.692,0.546,0,0,0.606,0.000,0.000,0.000,0.000
3.0,-0.044,-0.102,0.215,5.215,0.020,2,14,0,0.233,0,1,0.053,-0.267,3.299,0.455,5.455,0.006,2,14,0,0.236,0,1,0.060,0.155,-3.131,0.068,5.068,0.029,2,14,0,0.232,0,1,0.139,2.889,0.234,-0.289,4.711,0.017,2,14,0,0.231,0,1,0.007,-3.521,0.118,0.196,5.196,0.014,2,14,0,0.226,0,1,0.013,2.711,3.051,-0.399,4.601,0.015,2,14,0,0.228,0,1,0.064,-2.943,3.012,-0.296,4.704,0.016,2,14,0,0.252,0,1,0.049,2.815,-2.704,0.059,5.059,0.009,2,14,0,0.227,0,1,0.037,-3.160,-3.181,0.260,5.260,0.037,2,14,0,0.242,0,1,0.122,2.694,0.534,0,0,0.252,0.000,0.000,0.000,0.000
4.0,-0.069,-0.113,0.225,5.225,0.011,2,14,0,0.237,0,1,0.040,-0.262,3.320,0.425,5.425,0.014,2,14,0,0.226,0,1,0.082,0.181,-3.124,0.080,5.080,0.027,2,14,0,0.270,0,1,0.150,2.947,0.251,-0.312,4.688,0.015,2,14,0,0.231,0,1,0.059,-3.521,0.112,0.142,5.142,0.011,2,14,0,0.226,0,1,0.011,2.696,3.030,-0.369,4.631,0.011,2,14,0,0.303,0,1,0.076,-2.933,3.003,-0.295,4.705,0.013,2,14,0,0.228,0,1,0.038,2.791,-2.714,0.092,5.092,0.007,2,14,0,0.229,0,1,0.014,-3.163,-3.184,0.213,5.213,0.030,2,14,0,0.214,0,1,0.119,2.642,0.533,0,0,0.303,0.000,0.000,0.000,0.000
5.0,-0.068,-0.167,0.223,5.223,0.013,2,14,0,0.537,0,1,0.016,-0.268,3.336,0.393,5.393,0.021,2,14,0,0.249,0,1,0.096,0.186,-3.107,0.031,5.031,0.022,2,14,0,0.226,0,1,0.142,2.926,0.254,-0.312,4.688,0.014,2,14,0,0.282,0,1,0.043,-3.512,0.083,0.134,5.134,0.006,2,14,0,0.265,0,1,0.025,2.704,3.019,-0.408,4.592,0.011,2,14,0,0.230,0,1,0.069,-2.938,3.014,-0.282,4.718,0.005,2,14,0,0.231,0,1,0.044,2.771,-2.698,0.079,5.079,0.010,2,14,0,0.225,0,1,0.032,-3.157,-3.162,0.212,5.212,0.025,2,14,0,0.217,0,1,0.131,2.617,0.519,0,0,0.537,0.000,0.000,0.000,0.000
6.0,-0.043,-0.167,0.227,5.227,0.033,2,14,0,0.259,0,1,0.023,-0.260,3.322,0.341,5.341,0.016,2,14,0,0.282,0,1,0.084,0.144,-3.114,-0.035,4.965,0.019,2,14,0,0.227,0,1,0.120,2.953,0.283,-0.285,4.715,0.108,2,14,0,0.236,0,1,0.081,-3.466,0.066,0.109,5.109,0.022,2,14,0,0.228,0,1,0.062,2.678,3.033,-0.437,4.563,0.096,2,14,0,0.225,0,1,0.093,-2.968,3.028,-0.283,4.717,0.048,2,14,0,0.287,0,1,0.078,2.714,-2.658,0.067,5.067,0.088,2,14,0,0.227,0,1,0.100,-3.181,-3.155,0.209,5.209,0.012,2,14,0,0.219,0,1,0.115,2.612,0.470,0,0,0.287,0.000,0.000,0.000,0.000
7.0,0.011,-0.121,0.220,5.220,0.059,2,14,0,0.322,0,1,0.076,-0.244,3.324,0.336,5.336,0.095,2,14,0,0.279,0,1,0.091,0.126,-3.105,-0.035,4.965,0.061,2,14,0,0.499,0,1,0.102,3.033,0.307,-0.355,4.645,0.113,2,14,0,0.289,0,1,0.162,-3.409,0.122,0.086,5.086,0.108,2,14,0,0.228,0,1,0.102,2.685,3.129,-0.504,4.496,0.120,2,14,0,0.282,0,1,0.130,-2.903,3.095,-0.278,4.722,0.106,2,14,0,0.285,0,1,0.095,2.746,-2.618,0.026,5.026,0.054,2,14,0,0.777,0,1,0.117,-3.233,-3.141,0.220,5.220,0.031,2,14,0,0.243,0,1,0.086,2.665,0.459,0,0,0.777,0.000,0.000,0.000,0.000
8.0,-0.046,-0.063,-0.198,4.802,0.085,2,14,0,0.240,0,1,0.089,-0.202,3.268,0.103,5.103,0.009,2,14,0,0.525,0,1,0.086,0.167,-3.023,-0.243,4.757,0.082,2,14,0,0.271,0,1,0.090,3.044,0.234,-0.831,4.169,0.041,2,14,0,0.239,0,1,0.151,-3.377,0.155,-0.128,4.872,0.041,2,14,0,0.272,0,1,0.142,2.741,3.287,-0.932,4.068,0.142,2,14,0,0.226,0,1,0.255,-2.843,3.114,-0.695,4.305,0.041,2,14,0,0.232,0,1,0.124,2.803,-2.639,-0.460,4.540,0.022,2,14,0,0.310,0,1,0.090,-3.205,-3.181,0.036,5.036,0.052,2,14,0,0.243,0,1,0.082,2.672,0.411,0,0,0.525,0.000,0.000,0.000,0.000
9.0,-0.045,-0.125,-0.839,4.161,0.071,2,14,0,0.239,0,0,0.032,-0.185,3.291,-0.502,4.498,0.024,2,14,0,0.314,0,0,0.111,0.154,-2.924,-0.824,4.176,0.048,2,14,0,0.233,0,1,0.118,3.060,0.227,-1.516,3.484,0.056,2,14,0,0.287,0,0,0.169,-3.412,0.171,-0.705,4.295,0.042,2,14,0,0.229,0,0,0.119,2.706,3.320,-1.497,3.503,0.048,2,14,0,0.241,0,0,0.295,-2.849,3.147,-1.235,3.765,0.044,2,14,0,0.284,0,0,0.156,2.862,-2.625,-1.006,3.994,0.040,2,14,0,0.283,0,0,0.128,-3.226,-3.163,-0.523,4.477,0.048,2,14,0,0.239,0,1,0.072,2.731,0.446,0,0,0.314,0.000,0.000,0.000,0.000
10.0,-0.041,-0.107,-2.249,2.751,0.026,2,14,0,0.293,0,0,0.047,-0.333,3.285,-1.814,3.186,0.107,2,14,0,0.224,0,0,0.064,0.146,-2.903,-1.973,3.027,0.050,2,14,0,0.226,0,0,0.132,2.952,0.170,-2.836,2.164,0.105,2,14,0,0.287,0,0,0.083,-3.459,0.083,-1.926,3.074,0.098,2,14,0,0.282,0,0,0.058,2.646,3.259,-2.920,2.080,0.168,2,14,0,0.282,0,0,0.263,-2.897,3.017,-2.617,2.383,0.132,2,14,0,0.227,0,0,0.022,2.799,-2.679,-2.411,2.589,0.088,2,14,0,0.513,0,0,0.050,-3.261,-3.161,-1.681,3.319,0.056,2,14,0,0.235,0,0,0.057,2.698,0.466,0,0,0.513,0.000,0.000,0.000,0.000
