t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,28.655,0.697,-5.030,-0.030,5.149,2,14,0,0.259,0,0,8.871,35.259,-0.548,-5.509,-0.509,4.791,2,14,0,0.257,0,0,18.540,6.738,18.268,0,0,0.259,20.000,0.000,0.000,0.000
2.0,23.568,0.796,-5.003,-0.003,5.135,2,14,0,0.302,0,0,3.850,30.342,-0.851,-5.476,-0.476,5.116,2,14,0,0.305,0,0,13.637,6.987,13.369,0,0,0.305,20.000,0.000,0.000,0.000
3.0,18.607,0.620,-5.006,-0.006,5.015,2,14,0,0.203,0,0,1.431,25.272,-0.957,-5.477,-0.477,5.148,2,14,0,0.256,0,0,8.586,6.865,8.327,0,0,0.256,20.000,0.000,0.000,0.000
4.0,13.627,0.110,-5.000,0.000,4.887,2,14,0,0.383,0,0,6.235,20.166,-0.681,-5.443,-0.443,5.132,2,14,0,0.307,0,0,3.522,6.602,6.374,0,0,0.383,20.000,0.000,0.000,0.000
5.0,8.810,-0.432,-5.009,-0.009,4.681,2,14,0,0.222,0,0,11.061,15.259,-0.293,-5.493,-0.493,4.971,2,14,0,0.342,0,0,1.467,6.469,11.199,0,0,0.342,20.000,0.000,0.000,0.000
6.0,4.242,-0.758,-5.028,-0.028,4.424,2,14,0,0.226,0,0,15.639,10.504,0.054,-5.436,-0.436,4.757,2,14,0,0.245,0,0,6.186,6.328,15.776,0,0,0.245,20.000,0.000,0.000,0.000
7.0,-0.017,-0.821,-5.026,-0.026,4.122,2,14,0,0.226,0,0,19.905,5.989,0.156,-5.434,-0.434,4.508,2,14,0,0.200,0,0,10.741,6.099,20.033,0,0,0.226,20.000,0.000,0.000,0.000
8.0,-3.839,-0.603,-4.963,0.037,3.783,2,14,0,0.307,0,0,23.727,1.642,0.008,-5.506,-0.506,4.247,2,14,0,0.195,0,0,15.087,5.541,23.847,0,0,0.307,20.000,0.000,0.000,0.000
9.0,-7.285,-0.196,-4.975,0.025,3.402,2,14,0,0.230,0,0,27.172,-2.498,-0.255,-5.425,-0.425,3.970,2,14,0,0.201,0,0,19.227,4.808,27.286,0,0,0.230,20.000,0.000,0.000,0.000
10.0,-10.368,0.206,-4.983,0.017,2.990,2,14,0,0.261,0,0,30.261,-6.329,-0.434,-5.431,-0.431,3.648,2,14,0,0.235,0,0,23.032,4.114,30.369,0,0,0.261,20.000,0.000,0.000,0.000
11.0,-13.169,0.322,-5.012,-0.012,2.576,2,14,0,0.255,0,0,33.069,-9.793,-0.466,-5.343,-0.343,3.290,2,14,0,0.228,0,0,26.529,3.483,33.171,0,0,0.255,20.000,0.000,0.000,0.000
12.0,-15.451,0.167,-5.000,-0.000,2.136,2,14,0,0.228,0,0,35.358,-12.887,-0.386,-5.349,-0.349,2.913,2,14,0,0.231,0,0,29.625,2.646,35.452,0,0,0.231,20.000,0.000,0.000,0.000
13.0,-17.386,-0.088,-4.977,0.023,1.708,2,14,0,0.259,0,0,37.296,-15.497,-0.198,-5.398,-0.398,2.478,2,14,0,0.262,0,0,32.221,1.938,37.386,0,0,0.262,20.000,0.000,0.000,0.000
14.0,-18.984,-0.148,-5.003,-0.003,1.268,2,14,0,0.259,0,0,38.900,-17.713,-0.175,-5.403,-0.403,2.037,2,14,0,0.256,0,0,34.440,1.332,38.984,1,0,0.259,20.000,0.000,0.000,0.000
15.0,-20.047,0.057,-4.950,0.050,0.850,2,14,0,0.450,0,0,39.975,-19.660,-0.444,-5.398,-0.398,1.670,2,14,0,0.262,0,0,36.394,0.776,40.047,2,0,0.450,20.000,0.000,0.000,0.000
16.0,-20.479,0.641,-5.000,-0.000,0.665,2,14,0,0.287,0,0,40.422,-21.074,-0.994,-5.458,-0.458,1.343,2,14,0,0.281,0,0,37.834,1.800,40.484,2,0,0.287,20.000,0.000,0.000,0.000
17.0,-20.451,1.080,-5.040,-0.040,0.417,2,14,0,0.285,0,0,40.410,-21.976,-1.409,-5.473,-0.473,0.787,2,14,0,0.513,0,0,38.750,2.951,40.466,2,0,0.513,20.000,0.000,0.000,0.000
18.0,-19.957,1.231,-4.999,0.001,0.767,2,14,0,0.256,0,0,39.928,-22.399,-1.620,-5.430,-0.430,0.207,2,14,0,0.313,0,0,39.185,3.779,39.975,2,0,0.313,20.000,0.000,0.000,0.000
19.0,-18.946,1.127,-4.932,0.068,1.335,2,14,0,0.252,0,0,38.924,-22.290,-1.553,-5.493,-0.493,0.390,2,14,0,0.287,0,0,39.078,4.323,39.321,2,0,0.287,20.000,0.000,0.000,0.000
20.0,-17.427,0.674,-5.010,-0.010,1.939,2,14,0,0.361,0,0,37.402,-21.641,-1.183,-5.434,-0.434,1.027,2,14,0,0.280,0,0,38.422,4.625,38.659,2,0,0.361,20.000,0.000,0.000,0.000
21.0,-15.503,-0.053,-5.003,-0.003,2.443,2,14,0,0.313,0,0,35.479,-20.511,-0.502,-5.459,-0.459,1.607,2,14,0,0.306,0,0,37.285,5.049,37.515,2,0,0.313,20.000,0.000,0.000,0.000
22.0,-12.929,-0.641,-5.052,-0.052,2.914,2,14,0,0.287,0,0,32.920,-18.838,0.214,-5.494,-0.494,2.038,2,14,0,0.310,0,0,35.616,5.986,35.838,2,0,0.310,20.000,0.000,0.000,0.000
23.0,-9.800,-1.018,-5.025,-0.025,3.445,2,14,0,0.362,0,0,29.809,-16.627,0.654,-5.449,-0.449,2.517,2,14,0,0.272,0,0,33.418,7.042,33.634,2,0,0.362,20.000,0.000,0.000,0.000
24.0,-6.049,-1.220,-4.979,0.021,4.016,2,14,0,0.307,0,0,26.112,-13.932,0.813,-5.465,-0.465,3.033,2,14,0,0.277,0,0,30.733,8.155,30.942,2,0,0.307,20.000,0.000,0.000,0.000
25.0,-1.782,-1.130,-4.967,0.033,4.601,2,14,0,0.262,0,0,21.820,-10.757,0.648,-5.486,-0.486,3.575,2,14,0,0.259,0,0,27.559,9.164,27.764,2,0,0.262,20.000,0.000,0.000,0.000
26.0,2.977,-0.653,-5.022,-0.022,5.080,2,14,0,0.311,0,0,17.054,-7.000,0.139,-5.514,-0.514,4.147,2,14,0,0.236,0,0,23.797,10.021,24.001,2,0,0.311,20.000,0.000,0.000,0.000
27.0,8.126,0.007,-5.057,-0.057,5.180,2,14,0,0.260,0,0,11.896,-2.637,-0.385,-5.496,-0.496,4.699,2,14,0,0.253,0,0,19.437,10.779,19.641,2,0,0.260,20.000,0.000,0.000,0.000
28.0,13.233,0.526,-4.985,0.015,5.145,2,14,0,0.304,0,0,6.812,2.219,-0.749,-5.461,-0.461,5.102,2,14,0,0.259,0,0,14.593,11.097,14.800,2,0,0.304,20.000,0.000,0.000,0.000
29.0,18.357,0.781,-4.992,0.008,5.089,2,14,0,0.231,0,0,1.868,7.324,-0.806,-5.403,-0.403,5.166,2,14,0,0.255,0,0,9.499,11.155,9.710,2,0,0.255,20.000,0.000,0.000,0.000
30.0,23.267,0.777,-5.014,-0.014,4.901,2,14,0,0.204,0,0,3.360,12.439,-0.605,-5.411,-0.411,5.139,2,14,0,0.306,0,0,4.383,10.923,4.601,2,0,0.306,20.000,0.000,0.000,0.000
31.0,27.928,0.503,-4.998,0.002,4.691,2,14,0,0.223,0,0,7.936,17.443,-0.197,-5.438,-0.438,5.036,2,14,0,0.200,0,0,0.602,10.517,7.944,2,0,0.223,20.000,0.000,0.000,0.000
32.0,32.339,0.031,-4.975,0.025,4.416,2,14,0,0.359,0,0,12.298,22.339,0.197,-5.371,-0.371,4.863,2,14,0,0.198,0,0,5.553,10.009,12.339,2,0,0.359,20.000,0.000,0.000,0.000
33.0,36.439,-0.348,-4.966,0.034,4.085,2,14,0,0.284,0,0,16.437,26.992,0.347,-5.423,-0.423,4.621,2,14,0,0.232,0,0,10.172,9.484,16.443,2,0,0.284,20.000,0.000,0.000,0.000
34.0,40.310,-0.418,-5.027,-0.027,3.748,2,14,0,0.305,0,0,20.284,31.355,0.170,-5.466,-0.466,4.354,2,14,0,0.225,0,0,14.565,8.985,20.315,2,0,0.305,20.000,0.000,0.000,0.000
35.0,43.908,-0.273,-4.977,0.023,3.430,2,14,0,0.242,0,0,23.914,35.525,-0.132,-5.430,-0.430,4.064,2,14,0,0.202,0,0,18.731,8.396,23.909,2,0,0.242,20.000,0.000,0.000,0.000
36.0,47.143,-0.050,-4.997,0.003,3.063,2,14,0,0.241,0,0,27.155,39.421,-0.353,-5.486,-0.486,3.736,2,14,0,0.297,0,0,22.630,7.743,27.143,2,0,0.297,20.000,0.000,0.000,0.000
37.0,50.022,0.087,-4.959,0.041,2.668,2,14,0,0.781,0,0,30.041,42.972,-0.410,-5.479,-0.479,3.386,2,14,0,0.235,0,0,26.184,7.087,30.023,2,0,0.781,20.000,0.000,0.000,0.000
38.0,52.513,0.104,-4.993,0.007,2.260,2,14,0,0.252,0,0,32.519,46.172,-0.335,-5.497,-0.497,3.012,2,14,0,0.258,0,0,29.387,6.375,32.513,2,0,0.258,20.000,0.000,0.000,0.000
39.0,54.532,0.009,-4.987,0.013,1.820,2,14,0,0.237,0,0,34.551,48.936,-0.192,-5.462,-0.462,2.600,2,14,0,0.320,0,0,32.155,5.619,34.532,2,0,0.320,20.000,0.000,0.000,0.000
40.0,56.111,-0.087,-4.970,0.030,1.364,2,14,0,0.246,0,0,36.149,51.306,-0.077,-5.428,-0.428,2.166,2,14,0,0.235,0,0,34.528,4.828,36.112,2,0,0.246,20.000,0.000,0.000,0.000
41.0,57.211,-0.077,-4.986,0.014,0.872,2,14,0,0.246,0,0,37.258,53.215,-0.048,-5.441,-0.441,1.723,2,14,0,0.236,0,0,36.441,4.022,37.211,2,0,0.246,20.000,0.000,0.000,0.000
42.0,57.856,-0.099,-5.045,-0.045,0.383,2,14,0,0.294,0,0,37.910,54.696,-0.072,-5.444,-0.444,1.264,2,14,0,0.234,0,0,37.925,3.185,37.856,2,0,0.294,20.000,0.000,0.000,0.000
43.0,58.025,-0.067,-5.054,-0.054,0.106,2,14,0,0.264,0,0,38.087,55.667,-0.165,-5.475,-0.475,0.787,2,14,0,0.314,0,0,38.900,2.397,38.668,2,0,0.314,20.000,0.000,0.000,0.000
44.0,57.609,-0.150,-4.968,0.032,0.660,2,14,0,0.371,0,0,37.681,56.228,-0.171,-5.448,-0.448,0.320,2,14,0,0.286,0,0,39.464,1.462,39.228,3,0,0.371,20.000,0.000,0.000,0.000
45.0,56.684,-0.519,-4.997,0.003,1.269,2,14,0,0.344,0,0,36.768,56.415,0.099,-5.451,-0.451,0.482,2,14,0,0.310,0,0,39.657,0.813,39.415,4,0,0.344,20.000,0.000,0.000,0.000
46.0,55.185,-1.086,-5.002,-0.002,1.794,2,14,0,0.349,0,0,35.287,56.025,0.599,-5.515,-0.515,0.846,2,14,0,0.392,0,0,39.283,1.952,39.030,4,0,0.392,20.000,0.000,0.000,0.000
47.0,53.268,-1.467,-4.974,0.026,2.262,2,14,0,0.277,0,0,33.393,55.113,0.978,-5.476,-0.476,1.229,2,14,0,0.274,0,0,38.379,3.104,38.125,4,0,0.277,20.000,0.000,0.000,0.000
