t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,43.493,-0.230,-5.048,-0.048,0.607,2,14,0,0.236,0,0,23.944,41.492,0.028,-4.946,0.054,0.617,2,14,0,0.230,0,0,24.003,2.020,24.492,0,0,0.236,20.000,0.000,0.000,0.000
2.0,43.909,-0.241,-5.035,-0.035,0.172,2,14,0,0.257,0,0,24.362,41.930,0.041,-4.932,0.068,0.184,2,14,0,0.289,0,0,24.451,2.002,24.930,0,0,0.289,20.000,0.000,0.000,0.000
3.0,43.886,-0.261,-4.934,0.066,0.294,2,14,0,0.235,0,0,24.341,41.833,0.023,-4.895,0.105,0.301,2,14,0,0.225,0,0,24.366,2.073,24.833,0,0,0.235,20.000,0.000,0.000,0.000
4.0,43.334,-0.231,-4.989,0.011,0.782,2,14,0,0.258,0,0,23.790,41.300,0.004,-4.930,0.070,0.781,2,14,0,0.256,0,0,23.840,2.049,24.300,0,0,0.258,20.000,0.000,0.000,0.000
5.0,42.338,-0.203,-4.992,0.008,1.266,2,14,0,0.233,0,0,22.803,40.308,0.007,-4.884,0.116,1.272,2,14,0,0.228,0,0,22.865,2.043,23.308,0,0,0.233,20.000,0.000,0.000,0.000
6.0,40.847,-0.207,-5.034,-0.034,1.770,2,14,0,0.205,0,0,21.317,38.781,-0.047,-4.932,0.068,1.778,2,14,0,0.209,0,0,21.350,2.075,21.781,0,0,0.209,20.000,0.000,0.000,0.000
7.0,38.748,-0.243,-4.995,0.005,2.309,2,14,0,0.202,0,0,19.203,36.694,-0.044,-4.914,0.086,2.314,2,14,0,0.240,0,0,19.258,2.065,19.694,0,0,0.240,20.000,0.000,0.000,0.000
8.0,36.259,-0.298,-5.015,-0.015,2.815,2,14,0,0.257,0,0,16.714,34.184,-0.022,-4.843,0.157,2.837,2,14,0,0.463,0,0,16.755,2.101,17.184,0,0,0.463,20.000,0.000,0.000,0.000
9.0,33.203,-0.306,-4.987,0.013,3.353,2,14,0,0.227,0,0,13.658,31.092,0.040,-4.816,0.184,3.382,2,14,0,0.684,0,0,13.673,2.146,14.092,0,0,0.684,20.000,0.000,0.000,0.000
10.0,29.503,-0.229,-4.941,0.059,3.925,2,14,0,0.292,0,0,9.958,27.445,0.091,-4.870,0.130,3.930,2,14,0,0.202,0,0,10.034,2.084,10.445,0,0,0.292,20.000,0.000,0.000,0.000
11.0,25.463,-0.237,-4.951,0.049,4.442,2,14,0,0.289,0,0,5.953,23.310,0.079,-4.897,0.103,4.467,2,14,0,0.250,0,0,5.942,2.176,6.311,0,0,0.289,20.000,0.000,0.000,0.000
12.0,20.772,-0.228,-4.936,0.064,4.835,2,14,0,0.213,0,0,1.267,18.681,0.069,-4.903,0.097,4.819,2,14,0,0.206,0,0,1.322,2.113,1.682,0,0,0.213,20.000,0.000,0.000,0.000
13.0,15.953,-0.240,-4.981,0.019,4.775,2,14,0,0.302,0,0,3.554,13.966,0.012,-4.882,0.118,4.744,2,14,0,0.297,0,0,3.394,2.005,4.054,0,0,0.302,20.000,0.000,0.000,0.000
14.0,11.310,-0.234,-5.002,-0.002,4.646,2,14,0,0.203,0,0,8.198,9.247,-0.086,-4.887,0.113,4.638,2,14,0,0.531,0,0,8.116,2.072,8.693,0,0,0.531,20.000,0.000,0.000,0.000
15.0,6.851,-0.262,-5.023,-0.023,4.478,2,14,0,0.205,0,0,12.694,4.853,-0.101,-4.953,0.047,4.446,2,14,0,0.204,0,0,12.550,2.006,13.152,0,0,0.205,20.000,0.000,0.000,0.000
16.0,2.437,-0.301,-5.021,-0.021,4.287,2,14,0,0.207,0,0,17.108,0.552,-0.112,-4.928,0.072,4.237,2,14,0,0.292,0,0,16.854,1.897,17.565,0,0,0.292,20.000,0.000,0.000,0.000
17.0,-1.723,-0.391,-4.996,0.004,4.043,2,14,0,0.209,0,0,21.269,-3.451,-0.078,-4.843,0.157,3.963,2,14,0,0.196,0,0,20.862,1.762,21.727,0,0,0.209,20.000,0.000,0.000,0.000
