t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-31.308,9.084,-4.992,0.008,3.099,2,14,0,0.202,0,0,25.270,-36.486,12.619,-4.277,0.723,3.121,2,14,0,0.206,0,0,26.173,-36.319,7.963,-3.684,1.316,3.095,2,14,0,0.197,0,0,26.255,4.697,26.463,0,0,0.206,-15.975,-8.019,1.604,-1.195
2.0,-31.787,6.063,-4.989,0.011,3.142,2,14,0,0.224,0,0,25.673,-37.095,9.676,-4.357,0.643,3.144,2,14,0,0.244,0,0,26.700,-36.916,5.020,-3.703,1.297,3.132,2,14,0,0.202,0,0,26.743,4.704,26.928,0,0,0.244,-14.263,-9.046,1.809,-0.853
3.0,-31.727,3.034,-4.970,0.030,3.138,2,14,0,0.279,0,0,25.901,-37.235,6.712,-4.324,0.676,3.129,2,14,0,0.235,0,0,27.085,-37.032,2.007,-3.702,1.298,3.132,2,14,0,0.253,0,0,27.022,4.751,27.221,0,0,0.279,-12.381,-9.712,1.942,-0.476
4.0,-31.240,0.040,-4.954,0.046,3.133,2,14,0,0.227,0,0,26.021,-36.867,3.794,-4.273,0.727,3.128,2,14,0,0.262,0,0,27.276,-36.742,-0.967,-3.613,1.387,3.120,2,14,0,0.252,0,0,27.257,4.809,27.423,0,0,0.262,-10.404,-9.992,1.998,-0.081
5.0,-30.276,-2.896,-4.987,0.013,3.136,2,14,0,0.266,0,0,25.966,-35.936,0.886,-4.248,0.752,3.133,2,14,0,0.234,0,0,27.180,-36.016,-3.902,-3.678,1.322,3.122,2,14,0,0.227,0,0,27.323,4.823,27.476,0,0,0.266,-8.411,-9.873,1.975,0.318
6.0,-28.880,-5.652,-4.938,0.062,3.128,2,14,0,0.283,0,0,25.787,-34.650,-1.901,-4.272,0.728,3.133,2,14,0,0.480,0,0,27.014,-34.832,-6.711,-3.625,1.375,3.132,2,14,0,0.312,0,0,27.227,4.857,27.359,0,0,0.480,-6.481,-9.360,1.872,0.704
7.0,-27.238,-8.137,-4.954,0.046,3.099,2,14,0,0.226,0,0,25.642,-33.076,-4.458,-4.229,0.771,3.116,2,14,0,0.290,0,0,26.801,-33.306,-9.381,-3.580,1.420,3.116,2,14,0,0.252,0,0,27.059,4.971,27.167,0,0,0.290,-4.691,-8.475,1.695,1.062
8.0,-25.165,-10.260,-5.001,-0.001,3.090,2,14,0,0.296,0,0,25.302,-31.049,-6.759,-4.285,0.715,3.121,2,14,0,0.430,0,0,26.388,-31.481,-11.718,-3.693,1.307,3.096,2,14,0,0.281,0,0,26.850,5.013,26.932,0,0,0.430,-3.114,-7.251,1.450,1.377
9.0,-22.710,-12.101,-4.977,0.023,3.110,2,14,0,0.227,0,0,24.775,-28.704,-8.705,-4.251,0.749,3.114,2,14,0,0.297,0,0,25.873,-29.261,-13.790,-3.722,1.278,3.105,2,14,0,0.230,0,0,26.465,5.143,26.517,0,0,0.297,-1.810,-5.738,1.148,1.638
10.0,-19.947,-13.555,-5.016,-0.016,3.114,2,14,0,0.233,0,0,24.103,-26.045,-10.236,-4.313,0.687,3.112,2,14,0,0.266,0,0,25.176,-26.675,-15.398,-3.659,1.341,3.104,2,14,0,0.231,0,0,25.862,5.241,25.885,0,0,0.266,-0.834,-3.997,0.799,1.833
11.0,-17.011,-14.519,-5.003,-0.003,3.107,2,14,0,0.207,0,0,23.347,-23.219,-11.322,-4.286,0.714,3.112,2,14,0,0.540,0,0,24.405,-23.781,-16.554,-3.620,1.380,3.108,2,14,0,0.226,0,0,25.054,5.304,25.045,0,0,0.540,-0.222,-2.096,0.419,1.956
12.0,-14.019,-15.077,-4.973,0.027,3.097,2,14,0,0.350,0,0,22.612,-20.267,-11.980,-4.297,0.703,3.099,2,14,0,0.232,0,0,23.566,-20.857,-17.285,-3.589,1.411,3.098,2,14,0,0.271,0,0,24.273,5.384,24.230,0,0,0.350,-0.001,-0.112,0.022,2.000
13.0,-11.047,-15.185,-5.044,-0.044,3.100,2,14,0,0.231,0,0,21.905,-17.352,-12.249,-4.319,0.681,3.100,2,14,0,0.237,0,0,22.781,-17.824,-17.592,-3.669,1.331,3.109,2,14,0,0.234,0,0,23.446,5.403,23.352,0,0,0.237,-0.178,1.877,-0.375,1.964
14.0,-8.115,-14.885,-5.008,-0.008,3.059,2,14,0,0.321,0,0,21.232,-14.415,-12.083,-4.341,0.659,3.064,2,14,0,0.263,0,0,21.989,-14.839,-17.504,-3.617,1.383,3.070,2,14,0,0.257,0,0,22.677,5.485,22.542,0,0,0.321,-0.746,3.791,-0.758,1.851
15.0,-5.235,-14.284,-5.033,-0.033,3.055,2,14,0,0.260,0,0,20.749,-11.414,-11.516,-4.343,0.657,3.067,2,14,0,0.238,0,0,21.205,-11.868,-17.066,-3.554,1.446,3.066,2,14,0,0.280,0,0,21.982,5.624,21.824,0,0,0.280,-1.684,5.554,-1.111,1.663
16.0,-2.394,-13.292,-5.039,-0.039,3.078,2,14,0,0.289,0,0,20.366,-8.567,-10.633,-4.280,0.720,3.080,2,14,0,0.257,0,0,20.644,-8.979,-16.171,-3.585,1.415,3.089,2,14,0,0.281,0,0,21.344,5.596,21.158,0,0,0.289,-2.953,7.095,-1.419,1.409
17.0,0.328,-11.901,-4.986,0.014,3.090,2,14,0,0.227,0,0,20.153,-5.802,-9.353,-4.297,0.703,3.072,2,14,0,0.257,0,0,20.251,-6.192,-14.969,-3.591,1.409,3.093,2,14,0,0.281,0,0,20.923,5.674,20.726,0,0,0.281,-4.503,8.354,-1.671,1.099
18.0,2.708,-9.999,-5.029,-0.029,3.080,2,14,0,0.227,0,0,19.991,-3.293,-7.602,-4.276,0.724,3.084,2,14,0,0.350,0,0,19.963,-3.663,-13.311,-3.632,1.368,3.080,2,14,0,0.230,0,0,20.623,5.756,20.410,0,0,0.350,-6.272,9.279,-1.856,0.746
19.0,4.670,-7.676,-4.994,0.006,3.100,2,14,0,0.258,0,0,19.904,-1.211,-5.406,-4.296,0.704,3.093,2,14,0,0.207,0,0,19.749,-1.600,-11.250,-3.567,1.433,3.075,2,14,0,0.199,0,0,20.399,5.902,20.180,0,0,0.258,-8.190,9.835,-1.967,0.362
