t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-34.040,-20.782,-4.969,0.031,4.408,2,14,0,0.269,0,0,39.737,-39.100,-17.590,-4.935,0.065,4.370,2,14,0,0.248,0,0,39.433,-38.790,-22.938,-4.587,0.413,4.379,2,14,0,0.268,0,0,39.384,5.231,39.715,0,0,0.269,-11.755,9.845,-1.969,-0.351
2.0,-30.679,-23.741,-4.993,0.007,4.587,2,14,0,0.267,0,0,38.642,-35.902,-20.561,-4.955,0.045,4.520,2,14,0,0.258,0,0,38.321,-35.545,-25.836,-4.522,0.478,4.537,2,14,0,0.276,0,0,38.241,5.305,38.623,0,0,0.276,-13.676,9.300,-1.860,-0.735
3.0,-26.844,-26.247,-4.939,0.061,4.823,2,14,0,0.419,0,0,37.513,-32.174,-23.070,-4.806,0.194,4.756,2,14,0,0.273,0,0,37.112,-31.758,-28.377,-4.516,0.484,4.785,2,14,0,0.271,0,0,37.101,5.332,37.503,0,0,0.419,-15.451,8.384,-1.677,-1.090
4.0,-22.442,-28.351,-4.986,0.014,5.075,2,14,0,0.301,0,0,36.483,-27.900,-25.252,-4.882,0.118,5.032,2,14,0,0.271,0,0,36.042,-27.335,-30.561,-4.504,0.496,5.068,2,14,0,0.300,0,0,36.065,5.352,36.474,0,0,0.301,-17.008,7.134,-1.427,-1.402
5.0,-17.739,-30.017,-5.019,-0.019,5.070,2,14,0,0.301,0,0,35.696,-23.150,-26.905,-4.932,0.068,5.107,2,14,0,0.264,0,0,35.093,-22.629,-32.166,-4.540,0.460,5.095,2,14,0,0.245,0,0,35.180,5.301,35.701,0,0,0.301,-18.285,5.600,-1.120,-1.657
6.0,-13.101,-31.224,-5.058,-0.058,4.871,2,14,0,0.426,0,0,35.194,-18.403,-28.102,-4.914,0.086,4.924,2,14,0,0.265,0,0,34.474,-17.904,-33.362,-4.563,0.437,4.906,2,14,0,0.271,0,0,34.638,5.281,35.206,0,0,0.426,-19.233,3.842,-0.768,-1.847
7.0,-8.486,-31.903,-5.030,-0.030,4.665,2,14,0,0.307,0,0,34.824,-13.674,-28.878,-4.880,0.120,4.742,2,14,0,0.292,0,0,34.130,-13.237,-34.100,-4.597,0.403,4.709,2,14,0,0.354,0,0,34.334,5.248,34.844,0,0,0.354,-19.812,1.931,-0.386,-1.962
8.0,-4.016,-32.162,-5.024,-0.024,4.469,2,14,0,0.260,0,0,34.607,-9.131,-29.126,-4.879,0.121,4.551,2,14,0,0.263,0,0,33.892,-8.789,-34.304,-4.563,0.437,4.500,2,14,0,0.584,0,0,34.070,5.199,34.631,0,0,0.584,-20.000,-0.057,0.011,-2.000
9.0,0.315,-31.934,-4.982,0.018,4.298,2,14,0,0.226,0,0,34.424,-4.725,-28.837,-4.880,0.120,4.377,2,14,0,0.234,0,0,33.643,-4.427,-33.959,-4.551,0.449,4.334,2,14,0,0.239,0,0,33.810,5.141,34.440,0,0,0.239,-19.789,-2.042,0.408,-1.958
10.0,4.414,-31.159,-5.000,-0.000,4.155,2,14,0,0.230,0,0,34.113,-0.626,-28.062,-4.890,0.110,4.221,2,14,0,0.273,0,0,33.337,-0.262,-33.169,-4.549,0.451,4.196,2,14,0,0.259,0,0,33.558,5.110,34.132,0,0,0.273,-19.188,-3.946,0.789,-1.838
