t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-46.437,21.613,-5.042,-0.042,3.310,2,14,0,0.282,0,0,49.606,-47.148,20.306,-4.078,0.922,3.224,2,14,0,0.264,0,0,44.369,-46.123,14.113,-2.789,2.211,3.288,2,14,0,0.315,0,0,42.325,1.773,49.499,0,0,0.315,-11.280,-9.918,1.984,-0.256
2.0,-47.777,18.565,-5.027,-0.027,3.696,2,14,0,0.284,0,0,50.481,-47.758,17.042,-4.136,0.864,3.709,2,14,0,0.265,0,0,44.591,-46.550,10.752,-2.818,2.182,3.803,2,14,0,0.318,0,0,42.358,1.765,50.360,0,0,0.318,-9.285,-9.974,1.995,0.143
3.0,-48.772,14.930,-4.985,0.015,4.186,2,14,0,0.580,0,0,50.918,-47.963,13.280,-4.110,0.890,4.250,2,14,0,0.278,0,0,44.391,-46.602,6.783,-2.798,2.202,4.398,2,14,0,0.328,0,0,41.968,2.036,50.790,0,0,0.580,-7.317,-9.633,1.927,0.537
4.0,-49.457,10.747,-5.014,-0.014,4.729,2,14,0,0.259,0,0,51.077,-47.802,8.955,-4.028,0.972,4.846,2,14,0,0.639,0,0,43.890,-46.230,2.202,-2.796,2.204,5.002,2,14,0,0.309,0,0,41.279,2.631,50.945,0,0,0.639,-5.457,-8.908,1.782,0.909
5.0,-49.747,5.964,-5.003,-0.003,5.132,2,14,0,0.270,0,0,51.008,-47.251,4.106,-4.086,0.914,5.157,2,14,0,0.768,0,0,43.274,-45.432,-2.695,-2.783,2.217,5.182,2,14,0,0.318,0,0,40.592,3.243,50.875,0,0,0.768,-3.778,-7.828,1.566,1.244
6.0,-49.677,0.976,-5.016,-0.016,5.192,2,14,0,0.290,0,0,51.006,-46.271,-0.792,-4.072,0.928,5.194,2,14,0,0.267,0,0,42.789,-44.146,-7.581,-2.807,2.193,5.185,2,14,0,0.257,0,0,40.064,3.952,50.874,0,0,0.290,-2.346,-6.436,1.287,1.531
7.0,-49.560,-0.264,-5.027,-0.027,5.190,2,14,0,0.403,0,0,50.997,-45.939,-2.009,-4.075,0.925,5.193,2,14,0,0.261,0,0,42.688,-43.751,-8.774,-2.834,2.166,5.182,2,14,0,0.473,0,0,39.963,4.131,50.866,0,0,0.473,-2.022,-6.029,1.206,1.596
8.0,-48.655,-5.178,-4.976,0.024,5.184,2,14,0,0.259,0,0,50.807,-44.256,-6.745,-4.095,0.905,5.173,2,14,0,0.268,0,0,42.294,-41.852,-13.457,-2.838,2.162,5.174,2,14,0,0.234,0,0,39.689,4.752,50.679,0,0,0.268,-0.983,-4.324,0.865,1.803
9.0,-47.248,-9.988,-5.013,-0.013,5.172,2,14,0,0.439,0,0,50.631,-42.109,-11.256,-4.140,0.860,5.157,2,14,0,0.560,0,0,42.075,-39.345,-17.878,-2.805,2.195,5.165,2,14,0,0.260,0,0,39.495,5.365,50.510,0,0,0.560,-0.304,-2.447,0.489,1.939
10.0,-45.349,-14.599,-4.932,0.068,5.161,2,14,0,0.310,0,0,50.470,-39.448,-15.581,-4.134,0.866,5.152,2,14,0,0.260,0,0,42.016,-36.366,-21.942,-2.834,2.166,5.143,2,14,0,0.270,0,0,39.495,6.035,50.360,0,0,0.310,-0.011,-0.472,0.094,1.998
11.0,-42.926,-18.971,-4.977,0.023,5.152,2,14,0,0.285,0,0,50.284,-36.179,-19.476,-4.051,0.949,5.153,2,14,0,0.282,0,0,41.955,-32.903,-25.636,-2.787,2.213,5.151,2,14,0,0.269,0,0,39.685,6.829,50.185,0,0,0.285,-0.117,1.522,-0.304,1.977
12.0,-39.958,-22.996,-4.992,0.008,5.108,2,14,0,0.556,0,0,50.005,-32.611,-22.980,-4.019,0.981,5.106,2,14,0,0.357,0,0,42.164,-29.121,-29.042,-2.796,2.204,5.105,2,14,0,0.278,0,0,40.251,7.100,49.925,0,0,0.556,-0.616,3.455,-0.691,1.877
13.0,-36.608,-26.729,-5.029,-0.029,5.087,2,14,0,0.259,0,0,49.825,-28.663,-26.130,-4.045,0.955,5.084,2,14,0,0.243,0,0,42.594,-24.984,-31.968,-2.824,2.176,5.081,2,14,0,0.301,0,0,41.032,7.008,49.756,0,0,0.301,-1.490,5.251,-1.050,1.702
