t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-18.675,11.317,-5.057,-0.057,2.865,0,0,0,0.459,0,0,10.869,-23.487,14.512,-6.094,-1.094,2.865,2,14,0,0.946,0,0,11.488,-21.219,8.893,-5.257,-0.257,2.677,2,14,0,0.231,0,0,10.680,3.519,11.281,0,0,0.946,-19.967,0.815,-0.122,-1.495
2.0,-17.996,8.454,-5.014,-0.014,3.118,2,14,0,0.211,0,0,9.445,-22.827,11.675,-6.132,-1.132,3.122,2,14,0,0.230,0,0,10.056,-21.472,6.270,-5.235,-0.235,3.033,2,14,0,0.206,0,0,9.565,4.110,9.854,0,0,0.230,-19.977,-0.684,0.103,-1.496
3.0,-17.010,5.657,-5.015,-0.015,3.148,2,14,0,0.244,0,0,8.078,-21.698,8.857,-6.076,-1.076,3.162,2,14,0,0.210,0,0,8.647,-21.417,3.427,-5.282,-0.282,3.107,2,14,0,0.347,0,0,8.213,4.946,8.437,0,0,0.347,-19.762,-2.167,0.325,-1.464
4.0,-15.832,2.876,-4.996,0.004,3.126,2,14,0,0.301,0,0,6.742,-20.358,6.168,-6.055,-1.055,3.139,2,14,0,0.265,0,0,7.350,-21.022,0.468,-5.306,-0.306,3.127,2,14,0,0.215,0,0,6.720,5.696,7.187,0,0,0.301,-19.329,-3.601,0.540,-1.399
5.0,-14.791,0.201,-4.987,0.013,3.070,2,14,0,0.237,0,0,5.473,-19.289,3.518,-6.080,-1.080,3.078,2,14,0,0.224,0,0,6.108,-20.337,-2.418,-5.323,-0.323,3.115,2,14,0,0.301,0,0,5.165,5.694,5.943,0,0,0.301,-18.686,-4.955,0.743,-1.303
6.0,-14.041,-2.323,-4.969,0.031,3.025,2,14,0,0.242,0,0,4.198,-18.368,0.964,-6.040,-1.040,3.041,2,14,0,0.225,0,0,4.804,-19.410,-5.295,-5.273,-0.273,3.113,2,14,0,0.230,0,0,3.554,5.539,4.668,0,0,0.242,-17.848,-6.197,0.930,-1.177
7.0,-13.423,-4.886,-4.948,0.052,3.027,2,14,0,0.265,0,0,2.698,-17.589,-1.517,-6.023,-1.023,3.016,2,14,0,0.277,0,0,3.409,-18.211,-8.053,-5.264,-0.264,3.105,2,14,0,0.385,0,0,1.891,5.465,3.271,0,0,0.385,-16.834,-7.301,1.095,-1.025
8.0,-12.817,-7.578,-4.961,0.039,3.022,2,14,0,0.259,0,0,0.939,-16.922,-4.069,-6.056,-1.056,3.018,2,14,0,0.200,0,0,1.776,-16.787,-10.774,-5.219,-0.219,3.035,2,14,0,0.231,0,0,0.154,5.103,1.591,0,0,0.259,-15.666,-8.240,1.236,-0.850
9.0,-11.934,-10.118,-5.010,-0.010,2.885,2,14,0,0.301,0,0,1.044,-16.200,-6.610,-6.093,-1.093,2.915,2,14,0,0.227,0,0,0.508,-15.353,-13.266,-5.312,-0.312,2.832,2,14,0,0.230,0,0,1.657,4.657,1.752,0,0,0.301,-14.371,-8.994,1.349,-0.656
10.0,-10.727,-12.576,-5.015,-0.015,2.837,2,14,0,0.269,0,0,2.871,-15.078,-9.098,-6.072,-1.072,2.846,2,14,0,0.228,0,0,2.111,-13.987,-15.478,-5.358,-0.358,2.587,2,14,0,0.404,0,0,3.324,4.378,3.370,0,0,0.404,-12.978,-9.546,1.432,-0.447
