t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-31.070,9.113,-5.004,-0.004,3.090,2,14,0,0.222,0,0,25.129,-36.799,13.201,-5.546,-0.546,3.125,2,14,0,0.240,0,0,27.009,-36.166,6.332,-6.109,-1.109,3.123,2,14,0,0.207,0,0,25.257,5.910,26.916,0,0,0.240,-15.911,-8.066,1.613,-1.182
2.0,-31.483,6.142,-5.070,-0.070,3.135,2,14,0,0.207,0,0,25.496,-37.458,10.241,-5.480,-0.480,3.150,2,14,0,0.234,0,0,27.557,-36.551,3.373,-5.998,-0.998,3.131,2,14,0,0.205,0,0,25.649,5.849,27.450,0,0,0.234,-14.190,-9.080,1.816,-0.838
3.0,-31.368,3.165,-5.046,-0.046,3.129,2,14,0,0.317,0,0,25.683,-37.578,7.247,-5.529,-0.529,3.142,2,14,0,0.288,0,0,27.918,-36.425,0.402,-6.008,-1.008,3.135,2,14,0,0.231,0,0,25.868,5.843,27.785,0,0,0.317,-12.303,-9.731,1.946,-0.461
4.0,-30.730,0.211,-5.035,-0.035,3.129,2,14,0,0.211,0,0,25.655,-37.323,4.250,-5.556,-0.556,3.139,2,14,0,0.354,0,0,28.178,-35.878,-2.568,-6.042,-1.042,3.132,2,14,0,0.226,0,0,25.952,5.937,28.033,0,0,0.354,-10.324,-9.995,1.999,-0.065
5.0,-29.645,-2.666,-5.014,-0.014,3.128,2,14,0,0.245,0,0,25.465,-36.536,1.378,-5.546,-0.546,3.132,2,14,0,0.619,0,0,28.209,-34.747,-5.458,-6.033,-1.033,3.138,2,14,0,0.280,0,0,25.756,5.905,28.067,0,0,0.619,-8.332,-9.860,1.972,0.334
6.0,-28.335,-5.370,-5.015,-0.015,3.114,2,14,0,0.335,0,0,25.337,-35.271,-1.389,-5.481,-0.481,3.136,2,14,0,0.342,0,0,28.033,-33.348,-8.198,-6.025,-1.025,3.127,2,14,0,0.284,0,0,25.572,5.843,27.882,0,0,0.342,-6.406,-9.332,1.866,0.719
7.0,-26.671,-7.875,-5.013,-0.013,3.104,2,14,0,0.264,0,0,25.138,-33.684,-4.005,-5.532,-0.532,3.119,2,14,0,0.307,0,0,27.778,-31.705,-10.704,-6.058,-1.058,3.104,2,14,0,0.231,0,0,25.428,5.868,27.620,0,0,0.307,-4.624,-8.432,1.686,1.075
8.0,-24.617,-10.177,-4.996,0.004,3.117,2,14,0,0.268,0,0,24.814,-31.820,-6.303,-5.526,-0.526,3.109,2,14,0,0.279,0,0,27.495,-29.693,-12.890,-6.008,-1.008,3.103,2,14,0,0.232,0,0,25.164,5.844,27.318,0,0,0.279,-3.056,-7.196,1.439,1.389
9.0,-22.198,-12.040,-4.940,0.060,3.096,2,14,0,0.254,0,0,24.338,-29.591,-8.250,-5.489,-0.489,3.106,2,14,0,0.264,0,0,26.993,-27.311,-14.686,-5.977,-0.977,3.101,2,14,0,0.227,0,0,24.720,5.849,26.830,0,0,0.264,-1.765,-5.673,1.135,1.647
10.0,-19.537,-13.448,-4.949,0.051,3.096,2,14,0,0.233,0,0,23.771,-27.012,-9.826,-5.470,-0.470,3.112,2,14,0,0.235,0,0,26.293,-24.616,-16.047,-5.994,-0.994,3.104,2,14,0,0.231,0,0,24.094,5.801,26.132,0,0,0.235,-0.802,-3.924,0.785,1.840
11.0,-16.605,-14.494,-5.026,-0.026,3.110,2,14,0,0.208,0,0,23.086,-24.228,-10.922,-5.509,-0.509,3.108,2,14,0,0.231,0,0,25.446,-21.659,-16.949,-6.029,-1.029,3.113,2,14,0,0.208,0,0,23.271,5.707,25.289,0,0,0.231,-0.206,-2.018,0.404,1.959
12.0,-13.605,-15.071,-5.022,-0.022,3.096,2,14,0,0.375,0,0,22.405,-21.319,-11.651,-5.531,-0.531,3.112,2,14,0,0.261,0,0,24.539,-18.662,-17.502,-6.049,-1.049,3.107,2,14,0,0.255,0,0,22.548,5.704,24.391,0,0,0.375,-0.000,-0.032,0.006,2.000
13.0,-10.535,-15.264,-5.026,-0.026,3.111,2,14,0,0.275,0,0,21.766,-18.234,-11.970,-5.551,-0.551,3.131,2,14,0,0.238,0,0,23.516,-15.575,-17.614,-6.064,-1.064,3.115,2,14,0,0.248,0,0,21.775,5.657,23.380,0,0,0.275,-0.193,1.955,-0.391,1.961
14.0,-7.533,-15.070,-5.006,-0.006,3.067,2,14,0,0.239,0,0,21.263,-15.243,-11.887,-5.555,-0.555,3.066,2,14,0,0.233,0,0,22.603,-12.590,-17.322,-6.067,-1.067,3.060,2,14,0,0.226,0,0,21.124,5.637,22.468,0,0,0.239,-0.777,3.865,-0.773,1.845
15.0,-4.698,-14.451,-4.961,0.039,3.056,2,14,0,0.265,0,0,20.884,-12.329,-11.386,-5.598,-0.598,3.051,2,14,0,0.319,0,0,21.725,-9.787,-16.647,-6.070,-1.070,3.043,2,14,0,0.257,0,0,20.622,5.653,21.614,0,0,0.319,-1.729,5.620,-1.124,1.654
16.0,-1.747,-13.464,-4.950,0.050,3.093,2,14,0,0.267,0,0,20.616,-9.525,-10.556,-5.526,-0.526,3.079,2,14,0,0.318,0,0,20.986,-6.911,-15.676,-6.085,-1.085,3.081,2,14,0,0.256,0,0,20.289,5.731,20.916,0,0,0.318,-3.010,7.151,-1.430,1.398
17.0,0.835,-12.029,-5.007,-0.007,3.065,2,14,0,0.316,0,0,20.483,-6.807,-9.380,-5.564,-0.564,3.065,2,14,0,0.238,0,0,20.427,-4.268,-14.275,-6.013,-1.013,3.075,2,14,0,0.250,0,0,20.112,5.533,20.568,0,0,0.316,-4.570,8.397,-1.679,1.086
18.0,3.192,-10.175,-5.015,-0.015,3.089,2,14,0,0.276,0,0,20.460,-4.287,-7.746,-5.501,-0.501,3.083,2,14,0,0.295,0,0,19.977,-2.055,-12.392,-6.052,-1.052,3.072,2,14,0,0.240,0,0,19.958,5.184,20.552,0,0,0.295,-6.347,9.309,-1.862,0.731
19.0,5.150,-7.866,-5.048,-0.048,3.097,2,14,0,0.233,0,0,20.461,-2.095,-5.626,-5.548,-0.548,3.098,2,14,0,0.267,0,0,19.614,-0.128,-10.074,-5.998,-0.998,3.103,2,14,0,0.201,0,0,19.855,4.884,20.552,0,0,0.267,-8.269,9.849,-1.970,0.346
20.0,6.562,-5.211,-4.936,0.064,3.099,2,14,0,0.260,0,0,20.461,-0.337,-3.186,-5.537,-0.537,3.094,2,14,0,0.263,0,0,19.414,1.375,-7.457,-6.102,-1.102,3.088,2,14,0,0.231,0,0,19.909,4.636,20.551,0,0,0.263,-10.260,9.997,-1.999,-0.052
21.0,7.576,-2.299,-5.037,-0.037,3.105,2,14,0,0.235,0,0,20.602,0.952,-0.444,-5.542,-0.542,3.099,2,14,0,0.234,0,0,19.380,2.389,-4.624,-6.038,-1.038,3.101,2,14,0,0.253,0,0,20.077,4.448,20.686,0,0,0.253,-12.241,9.746,-1.949,-0.448
22.0,8.145,0.716,-4.967,0.033,3.105,2,14,0,0.234,0,0,20.951,1.762,2.572,-5.481,-0.481,3.111,2,14,0,0.238,0,0,19.527,2.947,-1.648,-5.996,-0.996,3.097,2,14,0,0.282,0,0,20.442,4.413,21.024,0,0,0.282,-14.132,9.106,-1.821,-0.826
23.0,8.315,3.841,-4.995,0.005,3.109,2,14,0,0.320,0,0,21.542,2.140,5.604,-5.508,-0.508,3.091,2,14,0,0.286,0,0,20.015,3.053,1.400,-6.079,-1.079,3.095,2,14,0,0.251,0,0,20.999,4.339,21.599,0,0,0.320,-15.859,8.104,-1.621,-1.172
24.0,7.918,6.922,-4.990,0.010,3.038,2,14,0,0.211,0,0,22.229,2.080,8.697,-5.514,-0.514,3.050,2,14,0,0.205,0,0,20.785,2.728,4.410,-6.131,-1.131,3.011,2,14,0,0.202,0,0,21.778,4.380,22.270,0,0,0.211,-17.352,6.778,-1.356,-1.470
25.0,7.174,9.843,-5.048,-0.048,2.976,2,14,0,0.258,0,0,23.175,1.491,11.642,-5.497,-0.497,2.949,2,14,0,0.234,0,0,21.723,1.870,7.249,-6.038,-1.038,2.945,2,14,0,0.225,0,0,22.621,4.442,23.199,0,0,0.258,-18.552,5.182,-1.036,-1.710
26.0,5.901,12.482,-5.012,-0.012,2.969,2,14,0,0.220,0,0,24.096,0.526,14.413,-5.517,-0.517,2.912,2,14,0,0.236,0,0,22.878,0.635,9.850,-6.055,-1.055,2.936,2,14,0,0.311,0,0,23.586,4.597,24.098,0,0,0.311,-19.412,3.380,-0.676,-1.882
27.0,4.109,14.844,-5.011,-0.011,3.048,2,14,0,0.227,0,0,24.935,-0.950,16.987,-5.516,-0.516,2.960,2,14,0,0.239,0,0,24.049,-1.127,12.242,-6.066,-1.066,3.018,2,14,0,0.251,0,0,24.504,4.781,24.915,0,0,0.251,-19.895,1.443,-0.289,-1.979
28.0,1.879,16.894,-5.007,-0.007,3.088,2,14,0,0.239,0,0,25.735,-2.941,19.297,-5.536,-0.536,3.075,2,14,0,0.236,0,0,25.189,-3.299,14.279,-6.073,-1.073,3.078,2,14,0,0.227,0,0,25.390,5.060,25.695,0,0,0.239,-19.985,-0.552,0.110,-1.997
29.0,-0.751,18.543,-5.048,-0.048,3.103,2,14,0,0.257,0,0,26.468,-5.414,21.180,-5.499,-0.499,3.099,2,14,0,0.240,0,0,26.223,-5.954,15.939,-6.050,-1.050,3.113,2,14,0,0.226,0,0,26.168,5.297,26.409,0,0,0.257,-19.676,-2.525,0.505,-1.935
30.0,-3.649,19.785,-5.002,-0.002,3.109,2,14,0,0.307,0,0,27.220,-8.212,22.642,-5.595,-0.595,3.105,2,14,0,0.232,0,0,27.247,-8.813,17.124,-6.088,-1.088,3.097,2,14,0,0.226,0,0,26.958,5.417,27.347,0,0,0.307,-18.982,-4.397,0.879,-1.796
31.0,-6.654,20.514,-4.986,0.014,3.105,2,14,0,0.234,0,0,27.954,-11.120,23.586,-5.594,-0.594,3.094,2,14,0,0.235,0,0,28.252,-11.716,17.811,-6.046,-1.046,3.092,2,14,0,0.275,0,0,27.743,5.455,28.328,0,0,0.275,-17.929,-6.093,1.219,-1.586
32.0,-9.714,20.825,-4.963,0.037,3.087,2,14,0,0.314,0,0,28.731,-14.129,24.076,-5.483,-0.483,3.098,2,14,0,0.316,0,0,29.237,-14.821,18.043,-6.077,-1.077,3.097,2,14,0,0.307,0,0,28.484,5.507,29.290,0,0,0.316,-16.561,-7.547,1.509,-1.312
33.0,-12.711,20.654,-4.934,0.066,2.975,2,14,0,0.261,0,0,29.473,-17.164,24.101,-5.486,-0.486,2.971,2,14,0,0.263,0,0,30.185,-17.860,17.873,-6.039,-1.039,2.981,2,14,0,0.302,0,0,29.287,5.659,30.212,0,0,0.302,-14.930,-8.700,1.740,-0.986
34.0,-15.557,19.990,-4.963,0.037,2.890,2,14,0,0.424,0,0,30.111,-19.995,23.697,-5.505,-0.505,2.848,2,14,0,0.238,0,0,31.074,-20.649,17.257,-6.027,-1.027,2.877,2,14,0,0.228,0,0,30.029,5.807,31.076,0,0,0.424,-13.104,-9.506,1.901,-0.621
35.0,-18.170,18.854,-5.005,-0.005,2.876,2,14,0,0.226,0,0,30.602,-22.600,22.801,-5.541,-0.541,2.789,2,14,0,0.265,0,0,31.758,-23.155,16.143,-6.128,-1.128,2.838,2,14,0,0.601,0,0,30.562,5.784,31.735,0,0,0.601,-11.153,-9.933,1.987,-0.231
36.0,-20.495,17.216,-5.052,-0.052,2.936,2,14,0,0.305,0,0,30.855,-25.012,21.396,-5.509,-0.509,2.826,2,14,0,0.236,0,0,32.189,-25.415,14.495,-6.001,-1.001,2.905,2,14,0,0.239,0,0,30.819,5.702,32.146,0,0,0.305,-9.157,-9.964,1.993,0.169
37.0,-22.504,14.949,-5.016,-0.016,3.077,2,14,0,0.234,0,0,30.757,-27.071,19.439,-5.472,-0.472,2.963,2,14,0,0.239,0,0,32.264,-27.415,12.279,-6.006,-1.006,3.061,2,14,0,0.228,0,0,30.782,5.677,32.199,0,0,0.239,-7.194,-9.598,1.920,0.561
38.0,-24.102,12.359,-4.983,0.017,3.104,2,14,0,0.264,0,0,30.508,-28.878,16.959,-5.557,-0.557,3.093,2,14,0,0.232,0,0,32.091,-28.998,9.682,-5.990,-0.990,3.097,2,14,0,0.389,0,0,30.556,5.670,32.004,0,0,0.389,-5.343,-8.849,1.770,0.931
39.0,-25.240,9.571,-4.994,0.006,3.098,2,14,0,0.232,0,0,30.169,-30.109,14.170,-5.578,-0.578,3.110,2,14,0,0.344,0,0,31.656,-30.055,6.874,-5.981,-0.981,3.104,2,14,0,0.227,0,0,30.167,5.606,31.541,0,0,0.344,-3.678,-7.748,1.550,1.264
40.0,-25.899,6.632,-4.997,0.003,3.098,2,14,0,0.228,0,0,29.730,-30.943,11.205,-5.514,-0.514,3.120,2,14,0,0.306,0,0,31.141,-30.686,3.920,-6.068,-1.068,3.096,2,14,0,0.228,0,0,29.718,5.605,31.016,0,0,0.306,-2.264,-6.337,1.267,1.547
