t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-26.996,20.369,-5.000,0.000,1.005,2,14,0,0.239,0,0,27.895,-31.052,22.972,-5.097,-0.097,1.200,2,14,0,0.235,0,0,27.255,-21.474,17.947,-5.811,-0.811,1.512,2,14,0,0.320,0,0,25.448,4.820,27.406,0,0,0.320,-18.845,-4.666,0.700,-1.327
2.0,-26.776,18.581,-4.986,0.014,1.456,2,14,0,0.312,0,0,27.657,-30.820,20.833,-5.108,-0.108,1.687,2,14,0,0.236,0,0,26.679,-19.799,15.915,-5.651,-0.651,2.096,2,14,0,0.233,0,0,24.658,4.630,27.177,0,0,0.312,-18.048,-5.935,0.890,-1.207
3.0,-26.273,16.969,-4.963,0.037,1.870,2,14,0,0.257,0,0,27.432,-30.317,19.026,-5.139,-0.139,2.086,2,14,0,0.235,0,0,26.278,-18.406,14.177,-5.723,-0.723,2.465,2,14,0,0.201,0,0,24.035,4.540,26.960,0,0,0.257,-17.071,-7.071,1.061,-1.061
4.0,-25.507,15.085,-4.990,0.010,2.281,2,14,0,0.375,0,0,26.788,-29.517,16.964,-5.127,-0.127,2.501,2,14,0,0.233,0,0,25.466,-16.911,12.082,-5.729,-0.729,2.741,2,14,0,0.234,0,0,22.933,4.431,26.328,0,0,0.375,-15.935,-8.048,1.207,-0.890
5.0,-24.425,12.912,-4.964,0.036,2.709,2,14,0,0.234,0,0,25.669,-28.449,14.527,-5.101,-0.101,2.938,2,14,0,0.287,0,0,24.131,-15.395,9.718,-5.773,-0.773,2.983,2,14,0,0.292,0,0,21.372,4.338,25.223,0,0,0.292,-14.666,-8.845,1.327,-0.700
6.0,-23.057,10.393,-4.940,0.060,3.055,2,14,0,0.488,0,0,24.014,-27.123,11.847,-5.022,-0.022,3.109,2,14,0,0.253,0,0,22.384,-13.992,7.111,-5.787,-0.787,3.081,2,14,0,0.214,0,0,19.365,4.319,23.588,0,0,0.488,-13.291,-9.443,1.416,-0.494
7.0,-21.533,7.777,-5.046,-0.046,3.118,2,14,0,0.254,0,0,22.099,-25.568,9.170,-5.042,-0.042,3.125,2,14,0,0.340,0,0,20.464,-12.706,4.449,-5.740,-0.740,3.085,2,14,0,0.204,0,0,17.067,4.269,21.702,0,0,0.340,-11.843,-9.829,1.474,-0.276
8.0,-19.856,5.178,-5.112,-0.112,3.108,2,14,0,0.258,0,0,20.019,-24.006,6.610,-5.092,-0.092,3.097,2,14,0,0.231,0,0,18.518,-11.505,1.644,-5.744,-0.744,3.085,2,14,0,0.235,0,0,14.453,4.390,19.660,0,0,0.258,-10.354,-9.994,1.499,-0.053
9.0,-18.138,2.652,-5.036,-0.036,3.095,2,14,0,0.232,0,0,17.895,-22.356,4.076,-5.145,-0.145,3.082,2,14,0,0.281,0,0,16.547,-10.331,-1.095,-5.727,-0.727,3.060,2,14,0,0.261,0,0,11.643,4.454,17.586,0,0,0.281,-8.856,-9.934,1.490,0.172
10.0,-16.379,0.190,-5.023,-0.023,3.062,2,14,0,0.242,0,0,15.754,-20.623,1.630,-5.126,-0.126,3.067,2,14,0,0.258,0,0,14.550,-9.076,-3.815,-5.735,-0.735,3.048,2,14,0,0.290,0,0,8.684,4.483,15.516,0,0,0.290,-7.385,-9.652,1.448,0.392
11.0,-14.547,-2.174,-4.988,0.012,3.051,2,14,0,0.284,0,0,13.660,-18.730,-0.801,-5.109,-0.109,3.063,2,14,0,0.269,0,0,12.574,-7.746,-6.500,-5.731,-0.731,3.045,2,14,0,0.278,0,0,5.535,4.404,13.517,0,0,0.284,-5.972,-9.153,1.373,0.604
12.0,-12.678,-4.504,-5.045,-0.045,3.046,2,14,0,0.360,0,0,11.721,-16.898,-3.137,-5.058,-0.058,3.038,2,14,0,0.349,0,0,10.994,-6.324,-9.148,-5.684,-0.684,3.041,2,14,0,0.316,0,0,2.252,4.436,11.713,0,0,0.360,-4.649,-8.448,1.267,0.803
13.0,-10.767,-6.805,-5.059,-0.059,3.039,2,14,0,0.254,0,0,10.169,-14.933,-5.365,-5.160,-0.160,3.032,2,14,0,0.257,0,0,9.898,-4.735,-11.738,-5.678,-0.678,2.995,2,14,0,0.212,0,0,1.450,4.409,10.347,0,0,0.257,-3.447,-7.553,1.133,0.983
14.0,-8.571,-8.941,-5.013,-0.013,3.037,2,14,0,0.250,0,0,9.110,-12.656,-7.403,-5.086,-0.086,3.051,2,14,0,0.256,0,0,9.315,-3.181,-14.138,-5.728,-0.728,2.789,2,14,0,0.258,0,0,4.844,4.365,9.502,0,0,0.258,-2.392,-6.489,0.973,1.141
15.0,-6.273,-10.908,-4.973,0.027,3.034,2,14,0,0.228,0,0,9.022,-10.246,-9.178,-5.092,-0.092,3.033,2,14,0,0.313,0,0,9.603,-1.772,-16.360,-5.717,-0.717,2.530,2,14,0,0.262,0,0,8.302,4.335,9.727,0,0,0.313,-1.507,-5.280,0.792,1.274
16.0,-3.715,-12.562,-4.993,0.007,3.037,2,14,0,0.257,0,0,9.764,-7.620,-10.663,-5.071,-0.071,3.033,2,14,0,0.232,0,0,10.607,-0.468,-18.419,-5.733,-0.733,2.274,2,14,0,0.282,0,0,11.733,4.343,12.013,0,0,0.282,-0.814,-3.951,0.593,1.378
17.0,-1.045,-13.876,-5.009,-0.009,3.028,2,14,0,0.338,0,0,11.242,-4.859,-11.911,-5.085,-0.085,3.037,2,14,0,0.333,0,0,12.266,0.631,-20.252,-5.714,-0.714,1.984,2,14,0,0.232,0,0,15.053,4.292,15.319,0,0,0.338,-0.326,-2.534,0.380,1.451
18.0,1.709,-14.945,-4.963,0.037,2.957,2,14,0,0.229,0,0,13.274,-2.119,-12.858,-5.030,-0.030,2.929,2,14,0,0.283,0,0,14.341,1.492,-21.818,-5.751,-0.751,1.656,2,14,0,0.240,0,0,18.134,4.360,18.415,0,0,0.283,-0.056,-1.060,0.159,1.492
19.0,4.380,-15.744,-5.022,-0.022,2.761,2,14,0,0.787,0,0,15.622,0.638,-13.472,-5.117,-0.117,2.756,2,14,0,0.230,0,0,16.600,2.104,-23.132,-5.758,-0.758,1.323,2,14,0,0.208,0,0,21.011,4.379,21.281,0,0,0.787,-0.010,0.438,-0.066,1.499
20.0,6.935,-16.214,-4.947,0.053,2.571,2,14,0,0.256,0,0,18.033,3.241,-13.832,-5.140,-0.140,2.596,2,14,0,0.257,0,0,18.975,2.420,-24.174,-5.726,-0.726,0.971,2,14,0,0.312,0,0,23.581,4.399,23.858,0,0,0.312,-0.187,1.926,-0.289,1.472
21.0,9.291,-16.454,-5.033,-0.033,2.347,2,14,0,0.229,0,0,20.463,5.725,-13.912,-5.113,-0.113,2.393,2,14,0,0.228,0,0,21.343,2.610,-24.964,-5.759,-0.759,0.638,2,14,0,0.286,0,0,25.889,4.380,26.161,0,0,0.286,-0.585,3.371,-0.506,1.412
22.0,11.594,-16.425,-5.063,-0.063,2.161,2,14,0,0.232,0,0,22.848,8.033,-13.717,-5.129,-0.129,2.214,2,14,0,0.222,0,0,23.626,2.434,-25.469,-5.712,-0.712,0.460,2,14,0,0.258,0,0,27.812,4.474,28.083,0,0,0.258,-1.195,4.740,-0.711,1.321
23.0,13.620,-16.131,-5.067,-0.067,2.004,2,14,0,0.202,0,0,25.056,10.120,-13.215,-5.170,-0.170,2.105,2,14,0,0.232,0,0,25.725,2.031,-25.697,-5.689,-0.689,0.556,2,14,0,0.345,0,0,29.352,4.557,29.623,0,0,0.345,-2.002,6.003,-0.900,1.200
24.0,15.476,-15.485,-5.018,-0.018,1.915,2,14,0,0.236,0,0,27.021,11.992,-12.387,-5.104,-0.104,2.020,2,14,0,0.355,0,0,27.595,1.390,-25.557,-5.769,-0.769,0.885,2,14,0,0.241,0,0,30.387,4.663,30.658,0,0,0.355,-2.989,7.130,-1.070,1.052
25.0,17.059,-14.519,-4.934,0.066,1.875,2,14,0,0.337,0,0,28.699,13.529,-11.281,-5.092,-0.092,1.992,2,14,0,0.205,0,0,29.184,0.369,-25.058,-5.781,-0.781,1.313,2,14,0,0.333,0,0,30.880,4.793,31.142,0,0,0.337,-4.133,8.098,-1.215,0.880
26.0,18.360,-13.187,-4.997,0.003,1.940,2,14,0,0.260,0,0,30.029,14.922,-9.741,-5.060,-0.060,2.111,2,14,0,0.211,0,0,30.461,-0.937,-24.244,-5.751,-0.751,1.756,2,14,0,0.235,0,0,30.843,4.868,31.108,0,0,0.260,-5.409,8.884,-1.333,0.689
27.0,19.442,-11.504,-4.970,0.030,2.098,2,14,0,0.217,0,0,31.076,16.043,-7.862,-5.108,-0.108,2.297,2,14,0,0.468,0,0,31.498,-2.632,-23.120,-5.764,-0.764,2.224,2,14,0,0.377,0,0,30.263,4.984,31.451,0,0,0.468,-6.788,9.470,-1.421,0.482
28.0,20.325,-9.499,-4.949,0.051,2.327,2,14,0,0.231,0,0,31.896,16.887,-5.610,-5.042,-0.042,2.549,2,14,0,0.236,0,0,32.232,-4.519,-21.710,-5.787,-0.787,2.666,2,14,0,0.265,0,0,29.171,5.192,32.168,0,0,0.265,-8.239,9.844,-1.477,0.264
29.0,20.863,-7.186,-4.985,0.015,2.594,2,14,0,0.368,0,0,32.407,17.427,-3.073,-5.088,-0.088,2.825,2,14,0,0.283,0,0,32.728,-6.755,-19.966,-5.770,-0.770,3.047,2,14,0,0.260,0,0,27.506,5.360,32.660,0,0,0.368,-9.730,9.996,-1.499,0.040
30.0,21.088,-4.439,-4.989,0.011,2.937,2,14,0,0.232,0,0,32.619,17.716,-0.121,-5.048,-0.048,3.076,2,14,0,0.264,0,0,33.052,-9.105,-18.050,-5.748,-0.748,3.117,2,14,0,0.316,0,0,25.407,5.480,32.964,0,0,0.316,-11.227,9.924,-1.489,-0.184
31.0,21.044,-1.469,-5.020,-0.020,3.089,2,14,0,0.259,0,0,32.731,17.733,2.933,-5.122,-0.122,3.103,2,14,0,0.292,0,0,33.344,-11.402,-16.064,-5.737,-0.737,3.108,2,14,0,0.291,0,0,23.050,5.509,33.255,0,0,0.292,-12.696,9.630,-1.444,-0.404
32.0,20.648,1.562,-4.964,0.036,3.105,2,14,0,0.511,0,0,32.767,17.406,5.901,-5.090,-0.090,3.090,2,14,0,0.258,0,0,33.619,-13.703,-14.039,-5.736,-0.736,3.086,2,14,0,0.289,0,0,20.467,5.418,33.520,0,0,0.511,-14.105,9.119,-1.368,-0.616
33.0,19.967,4.528,-5.021,-0.021,3.097,2,14,0,0.342,0,0,32.823,16.677,8.922,-5.162,-0.162,3.090,2,14,0,0.236,0,0,33.770,-15.796,-11.856,-5.708,-0.708,3.074,2,14,0,0.267,0,0,17.518,5.491,33.663,0,0,0.342,-15.422,8.403,-1.260,-0.813
34.0,18.944,7.434,-4.941,0.059,3.092,2,14,0,0.229,0,0,32.841,15.658,11.843,-5.152,-0.152,3.084,2,14,0,0.238,0,0,33.934,-17.675,-9.470,-5.728,-0.728,3.055,2,14,0,0.311,0,0,14.221,5.503,33.820,0,0,0.311,-16.617,7.498,-1.125,-0.992
35.0,17.698,10.212,-4.993,0.007,3.069,2,14,0,0.235,0,0,32.933,14.351,14.586,-5.112,-0.112,3.074,2,14,0,0.233,0,0,34.092,-19.385,-6.909,-5.766,-0.766,3.058,2,14,0,0.272,0,0,10.639,5.509,33.973,0,0,0.272,-17.663,6.425,-0.964,-1.149
36.0,16.145,12.813,-5.011,-0.011,3.063,2,14,0,0.228,0,0,33.002,12.759,17.201,-5.026,-0.026,3.065,2,14,0,0.230,0,0,34.239,-20.704,-4.221,-5.741,-0.741,3.044,2,14,0,0.286,0,0,6.819,5.543,34.115,0,0,0.286,-18.537,5.208,-0.781,-1.281
37.0,14.246,15.212,-5.016,-0.016,3.062,2,14,0,0.271,0,0,32.991,10.867,19.597,-5.082,-0.082,3.060,2,14,0,0.231,0,0,34.339,-21.761,-1.430,-5.663,-0.663,3.007,2,14,0,0.238,0,0,3.030,5.537,34.205,0,0,0.271,-19.219,3.874,-0.581,-1.383
38.0,12.055,17.347,-5.008,-0.008,3.065,2,14,0,0.232,0,0,32.922,8.703,21.734,-5.087,-0.087,3.060,2,14,0,0.235,0,0,34.365,-22.613,1.337,-5.700,-0.700,2.825,2,14,0,0.243,0,0,2.561,5.522,34.238,0,0,0.243,-19.695,2.453,-0.368,-1.454
