t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-1.386,13.200,-5.046,-0.046,1.495,2,14,0,0.275,0,0,5.496,-38.973,-38.803,-4.727,0.273,2.818,0,0,0,0.225,161,0,26.045,54.831,30.139,-4.092,0.908,3.087,2,14,0,0.317,148,0,12.376,58.722,65.279,0,309,0.317,-4.114,8.084,-1.213,0.883
2.0,-2.696,13.809,-4.985,0.015,1.457,2,14,0,0.299,0,0,5.316,-37.725,-36.155,-4.771,0.229,3.071,2,14,0,0.207,161,0,26.120,54.292,33.049,-4.092,0.908,3.086,2,14,0,0.243,148,0,12.653,60.154,66.782,0,309,0.299,-5.388,8.873,-1.331,0.692
3.0,-4.121,14.001,-4.981,0.019,1.484,2,14,0,0.267,0,0,4.913,-36.838,-33.255,-4.747,0.253,3.118,2,14,0,0.263,161,0,26.072,53.170,35.897,-4.023,0.977,3.070,2,14,0,0.235,148,0,12.852,57.477,67.950,0,309,0.267,-6.766,9.463,-1.419,0.485
4.0,-5.577,13.725,-5.000,0.000,1.611,2,14,0,0.267,0,0,4.256,-36.346,-30.270,-4.709,0.291,3.108,2,14,0,0.279,161,0,25.989,51.674,38.461,-4.080,0.920,3.090,2,14,0,0.290,148,0,13.108,53.687,68.872,0,309,0.290,-8.216,9.840,-1.476,0.268
5.0,-7.147,13.057,-5.019,-0.019,1.822,2,14,0,0.302,0,0,3.432,-36.193,-27.250,-4.740,0.260,3.098,2,14,0,0.269,161,0,25.928,49.606,40.793,-4.080,0.920,3.113,2,14,0,0.299,148,0,13.243,49.683,69.379,0,309,0.302,-9.707,9.996,-1.499,0.044
6.0,-8.699,11.922,-4.954,0.046,2.097,2,14,0,0.265,0,0,2.364,-36.506,-24.209,-4.779,0.221,3.086,2,14,0,0.235,161,0,25.780,47.123,42.637,-4.004,0.996,3.115,2,14,0,0.236,148,0,13.253,45.592,69.469,0,309,0.265,-11.204,9.927,-1.489,-0.181
7.0,-10.159,10.318,-4.942,0.058,2.356,2,14,0,0.193,0,0,1.053,-37.229,-21.262,-4.710,0.290,3.077,2,14,0,0.258,161,0,25.581,44.396,44.003,-4.122,0.878,3.102,2,14,0,0.286,148,0,13.220,41.594,69.259,0,309,0.286,-12.674,9.636,-1.445,-0.401
8.0,-11.550,8.498,-5.020,-0.020,2.289,2,14,0,0.235,0,0,0.290,-38.302,-18.468,-4.725,0.275,3.079,2,14,0,0.289,161,0,25.411,41.528,44.900,-4.083,0.917,3.096,2,14,0,0.255,148,0,13.211,37.986,68.804,0,309,0.289,-14.084,9.128,-1.369,-0.613
9.0,-12.906,6.841,-5.003,-0.003,2.116,2,14,0,0.235,0,0,1.232,-39.777,-15.794,-4.664,0.336,3.071,2,14,0,0.261,161,0,25.183,38.510,45.402,-4.033,0.967,3.100,2,14,0,0.237,148,0,13.198,35.136,68.098,0,309,0.261,-15.402,8.416,-1.262,-0.810
10.0,-14.152,5.367,-4.989,0.011,1.882,2,14,0,0.240,0,0,1.795,-41.671,-13.369,-4.657,0.343,3.071,2,14,0,0.250,161,0,24.880,35.448,45.457,-4.076,0.924,3.098,2,14,0,0.246,148,0,13.223,33.293,67.163,0,309,0.250,-16.599,7.514,-1.127,-0.990
