t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.432,-0.195,-0.970,4.030,0.021,2,14,0,0.290,0,0,0.064,-0.045,2.981,0.572,5.572,0.064,2,14,0,0.198,0,0,0.032,-0.036,-3.087,-0.280,4.720,0.043,2,14,-1,0.000,0,0,0.000,3.045,0.130,0.263,5.263,0.064,2,14,0,0.300,0,0,0.074,-2.858,-0.156,-0.262,4.738,0.053,2,14,0,0.310,0,0,0.054,2.528,nan,0,0,0.310,nan,nan,nan,nan
2.0,-0.403,-0.131,-1.646,3.354,0.148,2,14,0,0.463,0,0,0.068,-0.016,2.963,-0.186,4.814,0.072,2,14,0,0.250,0,0,0.059,-0.057,-3.052,-1.074,3.926,0.122,2,14,0,0.225,0,0,0.042,3.151,0.166,-0.459,4.541,0.115,2,14,0,0.256,0,0,0.049,-2.753,-0.143,-1.040,3.960,0.087,2,14,0,0.232,0,0,0.057,2.426,0.424,0,0,0.463,0.000,0.000,0.000,0.000
3.0,-0.416,-0.006,-2.736,2.264,0.076,2,14,0,0.314,0,0,0.146,-0.033,3.056,-1.298,3.702,0.052,2,14,0,0.405,0,0,0.095,-0.063,-2.920,-2.228,2.772,0.035,2,14,0,0.293,0,0,0.142,3.181,0.265,-1.601,3.399,0.052,2,14,0,0.269,0,0,0.119,-2.719,0.001,-2.134,2.866,0.008,2,14,0,0.261,0,0,0.189,2.380,0.417,0,0,0.405,0.000,0.000,0.000,0.000
4.0,-0.471,0.000,-3.945,1.055,0.071,2,14,0,0.177,0,0,0.143,-0.110,3.033,-2.567,2.433,0.075,2,14,0,0.277,0,0,0.070,-0.142,-2.947,-3.498,1.502,0.067,2,14,0,0.181,0,0,0.119,3.249,0.214,-2.870,2.130,0.056,2,14,0,0.302,0,0,0.152,-2.796,-0.101,-3.380,1.620,0.087,2,14,0,0.176,0,0,0.068,2.394,0.471,0,0,0.302,0.000,0.000,0.000,0.000
5.0,-0.535,-0.141,-4.636,0.364,0.116,2,14,0,0.176,0,0,0.065,-0.132,2.975,-3.807,1.193,0.057,2,14,0,0.176,0,0,0.057,-0.134,-2.997,-4.123,0.877,0.062,2,14,0,0.170,0,0,0.071,3.171,0.179,-3.929,1.071,0.107,2,14,0,0.169,0,0,0.070,-2.828,-0.215,-4.130,0.870,0.095,2,14,0,0.183,0,0,0.053,2.350,0.553,0,0,0.183,0.000,0.000,0.000,0.000
6.0,-0.548,-0.230,-4.833,0.167,0.051,2,14,0,0.174,0,0,0.117,-0.129,2.915,-4.217,0.783,0.046,2,14,0,0.181,0,0,0.079,-0.168,-3.081,-4.322,0.678,0.072,2,14,0,0.180,0,0,0.072,3.044,0.171,-4.138,0.862,0.100,2,14,0,0.167,0,0,0.057,-2.806,-0.293,-4.220,0.780,0.049,2,14,0,0.156,0,0,0.125,2.341,0.594,0,0,0.181,0.000,0.000,0.000,0.000
7.0,-0.560,-0.176,-4.910,0.090,0.014,2,14,0,0.174,0,0,0.095,-0.124,2.906,-4.196,0.804,0.017,2,14,0,0.178,0,0,0.083,-0.203,-3.129,-4.373,0.627,0.038,2,14,0,0.143,0,0,0.125,2.932,0.138,-4.129,0.871,0.046,2,14,0,0.170,0,0,0.173,-2.840,-0.328,-4.295,0.705,0.024,2,14,0,0.173,0,0,0.165,2.366,0.587,0,0,0.178,0.000,0.000,0.000,0.000
8.0,-0.509,-0.224,-4.928,0.072,0.047,2,14,0,0.174,0,0,0.091,-0.107,2.895,-4.056,0.944,0.018,2,14,0,0.137,0,0,0.085,-0.150,-3.150,-4.340,0.660,0.046,2,14,0,0.175,0,0,0.103,2.845,0.168,-3.977,1.023,0.026,2,14,0,0.547,0,0,0.258,-2.867,-0.274,-4.351,0.649,0.058,2,14,0,0.169,0,0,0.124,2.428,0.556,0,0,0.547,0.000,0.000,0.000,0.000
9.0,-0.493,-0.239,-4.918,0.082,0.045,2,14,0,0.177,0,0,0.099,-0.061,2.898,-3.923,1.077,0.047,2,14,0,0.175,0,0,0.076,-0.139,-3.194,-4.406,0.594,0.051,2,14,0,0.208,0,0,0.142,2.863,0.209,-3.836,1.164,0.108,2,14,0,0.173,0,0,0.244,-2.841,-0.249,-4.360,0.640,0.066,2,14,0,0.183,0,0,0.089,2.414,0.548,0,0,0.208,0.000,0.000,0.000,0.000
10.0,-0.457,-0.222,-4.986,0.014,0.056,2,14,0,0.151,0,0,0.080,0.001,2.963,-3.704,1.296,0.052,2,14,0,0.205,0,0,0.077,-0.022,-3.127,-4.334,0.666,0.082,2,14,0,0.289,0,0,0.102,3.040,0.123,-3.795,1.205,0.161,2,14,0,0.358,0,0,0.081,-2.746,-0.166,-4.286,0.714,0.074,2,14,0,0.150,0,0,0.058,2.395,0.508,0,0,0.358,0.000,0.000,0.000,0.000
11.0,-0.507,-0.173,-5.017,-0.017,0.063,2,14,0,0.175,0,0,0.048,0.010,3.035,-3.609,1.391,0.039,2,14,0,0.167,0,0,0.105,0.014,-3.082,-4.424,0.576,0.053,2,14,0,0.144,0,0,0.116,3.262,0.093,-3.858,1.142,0.130,2,14,0,0.167,0,0,0.177,-2.795,-0.087,-4.286,0.714,0.048,2,14,0,0.209,0,0,0.079,2.404,0.536,0,0,0.209,0.000,0.000,0.000,0.000
12.0,-0.482,-0.172,-4.994,0.006,0.046,2,14,0,0.182,0,0,0.032,-0.078,3.004,-3.556,1.444,0.058,2,14,0,0.170,0,0,0.031,-0.004,-2.996,-4.448,0.552,0.069,2,14,0,0.180,0,0,0.114,3.358,0.102,-3.911,1.089,0.032,2,14,0,0.173,0,0,0.266,-2.789,-0.043,-4.342,0.658,0.025,2,14,0,0.154,0,0,0.124,2.402,0.511,0,0,0.182,0.000,0.000,0.000,0.000
13.0,-0.387,-0.133,-5.027,-0.027,0.045,2,14,0,0.148,0,0,0.084,-0.136,2.964,-3.511,1.489,0.054,2,14,0,0.170,0,0,0.062,-0.045,-2.909,-4.438,0.562,0.062,2,14,0,0.142,0,0,0.158,3.341,0.113,-3.874,1.126,0.115,2,14,0,0.171,0,0,0.247,-2.772,-0.026,-4.428,0.572,0.048,2,14,0,0.167,0,0,0.145,2.462,0.409,0,0,0.171,0.000,0.000,0.000,0.000
14.0,-0.395,-0.055,-5.016,-0.016,0.030,2,14,0,0.147,0,0,0.115,-0.200,2.951,-3.460,1.540,0.015,2,14,0,0.238,0,0,0.126,-0.105,-2.908,-4.417,0.583,0.088,2,14,0,0.176,0,0,0.151,3.208,0.184,-3.844,1.156,0.166,2,14,0,0.169,0,0,0.107,-2.814,-0.080,-4.419,0.581,0.082,2,14,0,0.151,0,0,0.088,2.492,0.398,0,0,0.238,0.000,0.000,0.000,0.000
15.0,-0.430,-0.040,-5.020,-0.020,0.053,2,14,0,0.185,0,0,0.110,-0.208,2.990,-3.530,1.470,0.040,2,14,0,0.147,0,0,0.134,-0.265,-2.943,-4.414,0.586,0.089,2,14,0,0.146,0,0,0.201,3.027,0.210,-3.865,1.135,0.146,2,14,0,0.185,0,0,0.084,-2.886,-0.162,-4.360,0.640,0.082,2,14,0,0.178,0,0,0.081,2.546,0.432,0,0,0.185,0.000,0.000,0.000,0.000
16.0,-0.457,-0.029,-5.035,-0.035,0.067,2,14,0,0.180,0,0,0.114,-0.169,2.979,-3.495,1.505,0.074,2,14,0,0.142,0,0,0.094,-0.247,-3.015,-4.428,0.572,0.104,2,14,0,0.169,0,0,0.155,2.952,0.237,-3.876,1.124,0.059,2,14,0,0.142,0,0,0.163,-2.945,-0.231,-4.364,0.636,0.055,2,14,0,0.191,0,0,0.154,2.585,0.458,0,0,0.191,0.000,0.000,0.000,0.000
17.0,-0.485,-0.095,-5.022,-0.022,0.092,2,14,0,0.177,0,0,0.051,-0.071,2.929,-3.504,1.496,0.083,2,14,0,0.169,0,0,0.043,-0.237,-3.147,-4.404,0.596,0.108,2,14,0,0.143,0,0,0.165,2.935,0.261,-3.891,1.109,0.025,2,14,0,0.176,0,0,0.189,-2.946,-0.300,-4.316,0.684,0.066,2,14,0,0.166,0,0,0.193,2.568,0.494,0,0,0.177,0.000,0.000,0.000,0.000
18.0,-0.599,-0.205,-4.935,0.065,0.073,2,14,0,0.153,0,0,0.144,-0.002,2.927,-3.551,1.449,0.047,2,14,0,0.175,0,0,0.086,-0.130,-3.254,-4.417,0.583,0.101,2,14,0,0.214,0,0,0.198,2.979,0.227,-3.860,1.140,0.081,2,14,0,0.143,0,0,0.136,-2.860,-0.280,-4.340,0.660,0.102,2,14,0,0.171,0,0,0.126,2.339,0.634,0,0,0.214,0.000,0.000,0.000,0.000
19.0,-0.567,-0.256,-4.960,0.040,0.046,2,14,0,0.177,0,0,0.150,-0.003,3.001,-3.537,1.463,0.031,2,14,0,0.141,0,0,0.077,0.039,-3.285,-4.450,0.550,0.104,2,14,0,0.206,0,0,0.266,3.060,0.176,-3.864,1.136,0.096,2,14,0,0.138,0,0,0.043,-2.768,-0.263,-4.333,0.667,0.093,2,14,0,0.147,0,0,0.103,2.288,0.623,0,0,0.206,0.000,0.000,0.000,0.000
20.0,-0.570,-0.310,-5.035,-0.035,0.073,2,14,0,0.151,0,0,0.196,-0.023,2.993,-3.536,1.464,0.022,2,14,0,0.143,0,0,0.056,0.050,-3.220,-4.455,0.545,0.115,2,14,0,0.171,0,0,0.222,3.156,0.211,-3.843,1.157,0.073,2,14,0,0.161,0,0,0.065,-2.649,-0.222,-4.326,0.674,0.077,2,14,0,0.185,0,0,0.166,2.198,0.649,0,0,0.185,0.000,0.000,0.000,0.000
21.0,-0.474,-0.204,-5.033,-0.033,0.128,2,14,0,0.173,0,0,0.063,-0.100,2.974,-3.625,1.375,0.050,2,14,0,0.174,0,0,0.024,0.023,-3.092,-4.416,0.584,0.143,2,14,0,0.167,0,0,0.128,3.182,0.194,-3.914,1.086,0.038,2,14,0,0.177,0,0,0.082,-2.660,-0.159,-4.391,0.609,0.086,2,14,0,0.172,0,0,0.146,2.279,0.515,0,0,0.177,0.000,0.000,0.000,0.000
22.0,-0.361,-0.062,-4.939,0.061,0.103,2,14,0,0.179,0,0,0.134,-0.122,2.915,-3.560,1.440,0.027,2,14,0,0.205,0,0,0.075,-0.029,-2.915,-4.472,0.528,0.132,2,14,0,0.168,0,0,0.158,3.191,0.130,-3.869,1.131,0.042,2,14,0,0.155,0,0,0.098,-2.661,-0.062,-4.446,0.554,0.088,2,14,0,0.179,0,0,0.178,2.352,0.367,0,0,0.205,0.000,0.000,0.000,0.000
23.0,-0.295,-0.013,-4.946,0.054,0.018,2,14,0,0.147,0,0,0.217,-0.157,2.922,-3.537,1.463,0.017,2,14,0,0.168,0,0,0.096,-0.116,-2.800,-4.494,0.506,0.081,2,14,0,0.178,0,0,0.258,3.135,0.109,-3.891,1.109,0.044,2,14,0,0.143,0,0,0.073,-2.772,0.030,-4.419,0.581,0.109,2,14,0,0.202,0,0,0.199,2.533,0.295,0,0,0.202,0.000,0.000,0.000,0.000
24.0,-0.406,-0.055,-4.962,0.038,0.095,2,14,0,0.198,0,0,0.108,-0.028,2.927,-3.574,1.426,0.045,2,14,0,0.208,0,0,0.066,-0.211,-2.838,-4.473,0.527,0.114,2,14,0,0.173,0,0,0.248,3.073,0.150,-3.874,1.126,0.046,2,14,0,0.201,0,0,0.038,-2.915,-0.015,-4.386,0.614,0.112,2,14,0,0.182,0,0,0.188,2.575,0.409,0,0,0.208,0.000,0.000,0.000,0.000
25.0,-0.460,-0.135,-5.011,-0.011,0.102,2,14,0,0.148,0,0,0.013,0.030,2.997,-3.495,1.505,0.039,2,14,0,0.182,0,0,0.108,-0.223,-2.967,-4.409,0.591,0.152,2,14,0,0.176,0,0,0.154,2.989,0.177,-3.854,1.146,0.028,2,14,0,0.138,0,0,0.114,-2.926,-0.078,-4.391,0.609,0.107,2,14,0,0.173,0,0,0.151,2.544,0.479,0,0,0.182,0.000,0.000,0.000,0.000
26.0,-0.526,-0.194,-4.958,0.042,0.074,2,14,0,0.181,0,0,0.076,-0.038,3.104,-3.488,1.512,0.046,2,14,0,0.171,0,0,0.136,-0.211,-3.112,-4.384,0.616,0.138,2,14,0,0.199,0,0,0.125,3.032,0.195,-3.819,1.181,0.037,2,14,0,0.146,0,0,0.074,-2.897,-0.234,-4.375,0.625,0.111,2,14,0,0.201,0,0,0.114,2.442,0.561,0,0,0.201,0.000,0.000,0.000,0.000
27.0,-0.541,-0.242,-4.952,0.048,0.012,2,14,0,0.173,0,0,0.122,-0.056,3.099,-3.553,1.447,0.054,2,14,0,0.180,0,0,0.127,-0.197,-3.202,-4.383,0.617,0.090,2,14,0,0.144,0,0,0.172,3.119,0.176,-3.769,1.231,0.050,2,14,0,0.154,0,0,0.016,-2.801,-0.271,-4.348,0.652,0.075,2,14,0,0.173,0,0,0.103,2.339,0.592,0,0,0.180,0.000,0.000,0.000,0.000
28.0,-0.548,-0.234,-5.006,-0.006,0.045,2,14,0,0.150,0,0,0.120,-0.088,3.041,-3.565,1.435,0.096,2,14,0,0.168,0,0,0.069,-0.249,-3.216,-4.407,0.593,0.073,2,14,0,0.172,0,0,0.219,3.181,0.167,-3.809,1.191,0.033,2,14,0,0.142,0,0,0.078,-2.762,-0.294,-4.351,0.649,0.032,2,14,0,0.149,0,0,0.134,2.310,0.595,0,0,0.172,0.000,0.000,0.000,0.000
29.0,-0.535,-0.153,-4.969,0.031,0.079,2,14,0,0.206,0,0,0.066,-0.155,2.917,-3.562,1.438,0.082,2,14,0,0.164,0,0,0.095,-0.099,-3.153,-4.454,0.546,0.134,2,14,0,0.177,0,0,0.096,3.235,0.177,-3.839,1.161,0.023,2,14,0,0.166,0,0,0.132,-2.742,-0.226,-4.359,0.641,0.060,2,14,0,0.170,0,0,0.087,2.291,0.556,0,0,0.206,0.000,0.000,0.000,0.000
