t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.089,0.157,0.868,5.868,0.047,0,0,0,0.233,0,0,0.059,-0.072,2.721,0.391,5.391,0.044,2,14,0,0.195,0,0,0.020,-0.038,-2.999,0.124,5.124,0.039,2,14,0,0.286,0,0,0.081,3.084,0.222,-0.409,4.591,0.048,2,14,0,0.281,0,0,0.063,-2.564,-0.286,0.229,5.229,0.046,0,0,0,0.225,0,0,0.046,2.594,0.522,0,0,0.286,0.000,0.000,0.000,0.000
2.0,-0.041,0.166,0.102,5.102,0.044,2,14,0,0.241,0,0,0.096,-0.070,2.740,-0.397,4.603,0.086,2,14,0,0.278,0,0,0.015,-0.120,-2.971,-0.713,4.287,0.105,2,14,0,0.223,0,0,0.044,3.088,0.233,-1.222,3.778,0.078,2,14,0,0.217,0,0,0.071,-2.470,-0.210,-0.552,4.448,0.126,2,14,0,0.222,0,0,0.073,2.544,0.570,0,0,0.278,0.000,0.000,0.000,0.000
3.0,-0.068,0.184,-1.016,3.984,0.056,2,14,0,0.279,0,0,0.095,-0.012,2.781,-1.654,3.346,0.049,2,14,0,0.225,0,0,0.085,-0.102,-2.905,-1.902,3.098,0.030,2,14,0,0.260,0,0,0.111,3.024,0.318,-2.331,2.669,0.062,2,14,0,0.244,0,0,0.133,-2.427,-0.123,-1.697,3.303,0.012,2,14,0,0.213,0,0,0.172,2.474,0.586,0,0,0.279,0.000,0.000,0.000,0.000
4.0,-0.065,0.078,-2.179,2.821,0.073,2,14,0,0.288,0,0,0.054,-0.030,2.821,-2.906,2.094,0.049,2,14,0,0.276,0,0,0.102,-0.155,-2.952,-3.235,1.765,0.068,2,14,0,0.297,0,0,0.074,3.017,0.194,-3.626,1.374,0.058,2,14,0,0.309,0,0,0.018,-2.457,-0.198,-2.960,2.040,0.089,2,14,0,0.278,0,0,0.094,2.532,0.577,0,0,0.309,0.000,0.000,0.000,0.000
5.0,-0.153,0.053,-3.587,1.413,0.051,2,14,0,0.227,0,0,0.064,-0.201,2.838,-4.191,0.809,0.077,2,14,0,0.168,0,0,0.155,-0.160,-3.058,-4.541,0.459,0.069,2,14,0,0.171,0,0,0.061,3.053,0.110,-4.772,0.228,0.058,2,14,0,0.174,0,0,0.078,-2.513,-0.233,-4.282,0.718,0.093,2,14,0,0.167,0,0,0.033,2.476,0.540,0,0,0.227,0.000,0.000,0.000,0.000
6.0,-0.122,0.065,-4.504,0.496,0.022,2,14,0,0.176,0,0,0.040,-0.247,2.815,-5.068,-0.068,0.054,2,14,0,0.177,0,0,0.180,-0.137,-3.066,-5.151,-0.151,0.026,2,14,0,0.171,0,0,0.055,2.951,0.025,-5.380,-0.380,0.036,2,14,0,0.169,0,0,0.180,-2.633,-0.271,-5.123,-0.123,0.077,2,14,0,0.201,0,0,0.106,2.608,0.456,0,0,0.201,0.000,0.000,0.000,0.000
7.0,-0.171,0.132,-4.717,0.283,0.020,2,14,0,0.157,0,0,0.064,-0.153,2.828,-5.353,-0.353,0.078,2,14,0,0.169,0,0,0.114,-0.111,-3.050,-5.530,-0.530,0.028,2,14,0,0.142,0,0,0.036,2.949,0.066,-5.668,-0.668,0.061,2,14,0,0.166,0,0,0.150,-2.539,-0.353,-5.352,-0.352,0.063,2,14,0,0.203,0,0,0.092,2.499,0.580,0,0,0.203,0.000,0.000,0.000,0.000
8.0,-0.221,0.128,-4.857,0.143,0.015,2,14,0,0.155,0,0,0.109,-0.066,2.778,-5.469,-0.469,0.089,2,14,0,0.169,0,0,0.045,-0.162,-2.961,-5.630,-0.630,0.031,2,14,0,0.140,0,0,0.070,2.988,0.117,-5.903,-0.903,0.077,2,14,0,0.172,0,0,0.083,-2.515,-0.366,-5.455,-0.455,0.010,2,14,0,0.213,0,0,0.107,2.422,0.608,0,0,0.213,0.000,0.000,0.000,0.000
9.0,-0.194,0.097,-5.004,-0.004,0.055,2,14,0,0.157,0,0,0.081,0.047,2.711,-5.546,-0.546,0.071,2,14,0,0.201,0,0,0.133,-0.100,-3.008,-5.664,-0.664,0.052,2,14,0,0.172,0,0,0.018,2.995,0.177,-6.126,-1.126,0.082,2,14,0,0.201,0,0,0.042,-2.629,-0.329,-5.523,-0.523,0.039,2,14,0,0.244,0,0,0.122,2.526,0.496,0,0,0.244,0.000,0.000,0.000,0.000
10.0,-0.123,0.082,-4.966,0.034,0.063,2,14,0,0.178,0,0,0.023,0.040,2.648,-5.561,-0.561,0.047,2,14,0,0.154,0,0,0.153,-0.014,-3.028,-5.719,-0.719,0.041,2,14,0,0.202,0,0,0.103,3.020,0.249,-6.185,-1.185,0.048,2,14,0,0.145,0,0,0.063,-2.627,-0.347,-5.582,-0.582,0.053,2,14,0,0.164,0,0,0.133,2.614,0.509,0,0,0.202,0.000,0.000,0.000,0.000
