t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.086,-0.067,-0.599,4.401,0.054,2,14,0,0.308,0,0,0.048,-0.042,3.150,0.425,5.425,0.031,0,0,0,0.260,0,0,0.091,-0.043,-3.167,0.512,5.512,0.042,2,14,0,0.277,0,0,0.072,3.071,-0.145,0.329,5.329,0.055,0,0,0,0.222,0,0,0.047,-3.278,0.205,0.535,5.535,0.038,2,14,0,0.329,0,0,0.065,3.291,0.346,0,0,0.329,0.000,0.000,0.000,0.000
2.0,-0.017,-0.042,-1.335,3.665,0.099,2,14,0,0.313,0,0,0.026,-0.044,3.207,-0.342,4.658,0.117,2,14,0,0.247,0,0,0.109,-0.067,-3.145,-0.236,4.764,0.097,2,14,0,0.220,0,0,0.055,3.154,-0.086,-0.536,4.464,0.128,2,14,0,0.244,0,0,0.095,-3.136,0.220,-0.165,4.835,0.083,2,14,0,0.217,0,0,0.082,3.270,0.259,0,0,0.313,0.000,0.000,0.000,0.000
3.0,0.108,0.066,-2.454,2.546,0.045,2,14,0,0.282,0,0,0.188,-0.131,3.237,-1.497,3.503,0.086,2,14,0,0.224,0,0,0.090,-0.068,-3.076,-1.323,3.677,0.019,2,14,0,0.216,0,0,0.104,3.083,-0.000,-1.684,3.316,0.044,2,14,0,0.311,0,0,0.102,-3.110,0.316,-1.277,3.723,0.046,2,14,0,0.271,0,0,0.160,3.074,0.334,0,0,0.311,0.000,0.000,0.000,0.000
4.0,0.061,0.022,-3.634,1.366,0.098,2,14,0,0.202,0,0,0.128,-0.245,3.199,-2.730,2.270,0.083,2,14,0,0.333,0,0,0.123,-0.205,-3.096,-2.592,2.408,0.062,2,14,0,0.323,0,0,0.114,3.067,-0.013,-3.007,1.993,0.059,2,14,0,0.254,0,0,0.087,-3.189,0.229,-2.577,2.423,0.093,2,14,0,0.303,0,0,0.043,3.071,0.316,0,0,0.333,0.000,0.000,0.000,0.000
5.0,-0.084,-0.075,-4.556,0.444,0.142,2,14,0,0.180,0,0,0.043,-0.235,3.184,-3.888,1.112,0.039,2,14,0,0.167,0,0,0.107,-0.152,-3.149,-3.791,1.209,0.053,2,14,0,0.165,0,0,0.042,3.089,-0.108,-3.989,1.011,0.066,2,14,0,0.178,0,0,0.031,-3.202,0.157,-3.779,1.221,0.085,2,14,0,0.167,0,0,0.040,3.168,0.298,0,0,0.180,0.000,0.000,0.000,0.000
6.0,-0.239,-0.075,-4.758,0.242,0.072,2,14,0,0.176,0,0,0.197,-0.242,3.173,-4.158,0.842,0.061,2,14,0,0.172,0,0,0.110,-0.145,-3.185,-4.149,0.851,0.039,2,14,0,0.196,0,0,0.033,3.145,-0.162,-4.115,0.885,0.054,2,14,0,0.170,0,0,0.105,-3.302,0.080,-4.134,0.866,0.071,2,14,0,0.163,0,0,0.142,3.130,0.312,0,0,0.196,0.000,0.000,0.000,0.000
7.0,-0.203,-0.089,-4.884,0.116,0.047,2,14,0,0.177,0,0,0.168,-0.214,3.113,-4.179,0.821,0.078,2,14,0,0.168,0,0,0.087,-0.190,-3.234,-4.154,0.846,0.025,2,14,0,0.141,0,0,0.099,3.040,-0.288,-4.076,0.924,0.063,2,14,0,0.146,0,0,0.189,-3.327,0.095,-4.204,0.796,0.020,2,14,0,0.168,0,0,0.152,3.203,0.341,0,0,0.177,0.000,0.000,0.000,0.000
8.0,-0.111,-0.145,-4.891,0.109,0.081,2,14,0,0.174,0,0,0.119,-0.197,3.073,-3.989,1.011,0.078,2,14,0,0.200,0,0,0.097,-0.186,-3.259,-4.042,0.958,0.033,2,14,0,0.136,0,0,0.116,2.993,-0.226,-4.087,0.913,0.079,2,14,0,0.171,0,0,0.144,-3.296,0.135,-4.062,0.938,0.058,2,14,0,0.165,0,0,0.102,3.207,0.326,0,0,0.200,0.000,0.000,0.000,0.000
9.0,-0.028,-0.084,-4.967,0.033,0.070,2,14,0,0.151,0,0,0.040,-0.047,3.021,-3.922,1.078,0.072,2,14,0,0.168,0,0,0.153,-0.166,-3.276,-3.891,1.109,0.045,2,14,0,0.137,0,0,0.119,2.945,-0.147,-4.145,0.855,0.081,2,14,0,0.204,0,0,0.123,-3.203,0.170,-3.843,1.157,0.066,2,14,0,0.204,0,0,0.030,3.086,0.322,0,0,0.204,0.000,0.000,0.000,0.000
10.0,-0.034,-0.039,-4.993,0.007,0.042,2,14,0,0.152,0,0,0.012,0.025,3.045,-3.970,1.030,0.050,2,14,0,0.141,0,0,0.189,-0.169,-3.270,-3.922,1.078,0.069,2,14,0,0.138,0,0,0.115,3.032,-0.035,-4.144,0.856,0.100,2,14,0,0.199,0,0,0.069,-3.164,0.269,-3.799,1.201,0.054,2,14,0,0.164,0,0,0.087,3.181,0.319,0,0,0.199,0.000,0.000,0.000,0.000
