t_wall,drone,x,y,z,vx,vy,vz,vcmd_x,vcmd_y,vcmd_z,cmd_is_pos,cmd_age_s
1783579594.4242,2,-0.0471,-0.1616,-0.0556,-0.0022,0.0714,-1.0012,nan,nan,nan,0,1783579594.4242
1783579594.4243,1,-0.0434,0.1846,-0.1750,-0.0430,0.0888,-1.0085,nan,nan,nan,0,1783579594.4243
1783579594.4243,4,-0.1536,0.2124,-0.0016,0.0604,0.0499,-1.0014,nan,nan,nan,0,1783579594.4243
1783579594.4279,0,-0.0220,-0.0592,-1.1741,0.0614,0.0565,-0.9624,0.0413,0.0452,-1.5000,0,0.0057
1783579594.4280,3,0.1319,-0.1103,-0.3383,0.0350,0.0985,-1.0618,nan,nan,nan,0,1783579594.4280
1783579594.4319,2,-0.0481,-0.1609,-0.0639,-0.0030,0.0728,-1.0031,nan,nan,nan,0,1783579594.4319
1783579594.4321,1,-0.0436,0.1858,-0.1832,-0.0432,0.0905,-1.0108,nan,nan,nan,0,1783579594.4321
1783579594.4321,4,-0.1531,0.2129,-0.0090,0.0597,0.0510,-1.0045,0.0269,0.0318,-1.5000,0,0.0070
1783579594.4360,0,-0.0219,-0.0584,-1.1816,0.0607,0.0582,-0.9653,0.0413,0.0452,-1.5000,0,0.0138
1783579594.4361,3,0.1328,-0.1093,-0.3475,0.0348,0.0999,-1.0633,0.0044,0.0763,-1.5000,0,0.0041
1783579594.4401,1,-0.0438,0.1871,-0.1913,-0.0433,0.0921,-1.0130,-0.0581,0.0552,-1.5000,0,0.0041
1783579594.4402,2,-0.0490,-0.1602,-0.0722,-0.0039,0.0743,-1.0049,nan,nan,nan,0,1783579594.4402
1783579594.4402,4,-0.1526,0.2135,-0.0164,0.0591,0.0520,-1.0076,0.0269,0.0318,-1.5000,0,0.0151
1783579594.4440,0,-0.0218,-0.0575,-1.1891,0.0600,0.0598,-0.9682,0.0402,0.0472,-1.5000,0,0.0021
1783579594.4441,3,0.1338,-0.1082,-0.3568,0.0346,0.1013,-1.0648,0.0044,0.0763,-1.5000,0,0.0121
1783579594.4481,1,-0.0440,0.1883,-0.1994,-0.0434,0.0937,-1.0152,-0.0581,0.0552,-1.5000,0,0.0121
