t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.233,0.029,0.234,5.234,0.044,2,14,0,0.311,0,0,0.146,-0.094,2.848,0.131,5.131,0.072,2,14,-1,0.000,0,0,0.000,-0.046,-3.270,-0.438,4.562,0.046,0,0,-1,0.000,0,0,0.000,3.130,0.097,-0.441,4.559,0.071,2,14,0,0.227,0,0,0.095,-2.426,-0.257,0.150,5.150,0.056,2,14,0,0.308,0,0,0.035,2.213,0.629,0,0,0.311,0.000,0.000,0.000,0.000
2.0,-0.039,0.139,-0.535,4.465,0.169,2,14,0,0.256,0,0,0.084,-0.012,2.820,-0.625,4.375,0.070,2,14,0,0.218,0,0,0.019,-0.099,-3.267,-1.200,3.800,0.069,2,14,0,0.223,0,0,0.054,3.116,0.056,-1.319,3.681,0.066,2,14,0,0.343,0,0,0.070,-2.484,-0.223,-0.548,4.452,0.071,2,14,0,0.233,0,0,0.049,2.472,0.562,0,0,0.343,0.000,0.000,0.000,0.000
3.0,0.079,0.149,-1.647,3.353,0.061,2,14,0,0.233,0,0,0.189,0.035,2.881,-1.739,3.261,0.036,2,14,0,0.221,0,0,0.095,-0.054,-3.246,-2.266,2.734,0.041,2,14,0,0.254,0,0,0.082,3.001,0.062,-2.389,2.611,0.052,2,14,0,0.312,0,0,0.047,-2.524,-0.169,-1.647,3.353,0.017,2,14,0,0.220,0,0,0.120,2.622,0.505,0,0,0.312,0.000,0.000,0.000,0.000
4.0,0.056,0.220,-2.912,2.088,0.054,2,14,0,0.279,0,0,0.210,0.056,2.851,-3.044,1.956,0.048,2,14,0,0.324,0,0,0.094,0.001,-3.334,-3.537,1.463,0.052,2,14,0,0.327,0,0,0.090,2.959,-0.006,-3.695,1.305,0.016,2,14,0,0.434,0,0,0.105,-2.434,-0.286,-2.919,2.081,0.103,2,14,0,0.275,0,0,0.029,2.541,0.634,0,0,0.434,0.000,0.000,0.000,0.000
5.0,0.015,0.223,-4.123,0.877,0.120,2,14,0,0.171,0,0,0.186,0.054,2.790,-4.245,0.755,0.060,2,14,0,0.169,0,0,0.085,-0.022,-3.354,-4.760,0.240,0.043,2,14,0,0.170,0,0,0.074,2.976,0.020,-4.822,0.178,0.032,2,14,0,0.167,0,0,0.079,-2.366,-0.285,-4.154,0.846,0.037,2,14,0,0.169,0,0,0.093,2.435,0.696,0,0,0.171,0.000,0.000,0.000,0.000
6.0,-0.085,0.168,-4.654,0.346,0.148,2,14,0,0.172,0,0,0.095,0.006,2.770,-4.715,0.285,0.062,2,14,0,0.165,0,0,0.054,-0.150,-3.321,-5.302,-0.302,0.082,2,14,0,0.199,0,0,0.061,3.066,0.029,-5.317,-0.317,0.031,2,14,0,0.167,0,0,0.027,-2.369,-0.355,-4.865,0.135,0.038,2,14,0,0.206,0,0,0.126,2.352,0.724,0,0,0.206,0.000,0.000,0.000,0.000
7.0,-0.122,0.125,-4.817,0.183,0.115,2,14,0,0.174,0,0,0.058,-0.130,2.804,-4.878,0.122,0.063,2,14,0,0.164,0,0,0.100,-0.183,-3.337,-5.429,-0.429,0.010,2,14,0,0.169,0,0,0.098,3.080,-0.007,-5.527,-0.527,0.020,2,14,0,0.147,0,0,0.065,-2.428,-0.384,-5.073,-0.073,0.057,2,14,0,0.170,0,0,0.119,2.375,0.689,0,0,0.174,0.000,0.000,0.000,0.000
8.0,-0.165,0.053,-4.858,0.142,0.084,2,14,0,0.147,0,0,0.073,-0.259,2.826,-4.935,0.065,0.010,2,14,0,0.172,0,0,0.230,-0.164,-3.341,-5.546,-0.546,0.024,2,14,0,0.171,0,0,0.080,3.062,0.014,-5.577,-0.577,0.036,2,14,0,0.166,0,0,0.039,-2.511,-0.393,-5.126,-0.126,0.073,2,14,0,0.170,0,0,0.134,2.403,0.627,0,0,0.172,0.000,0.000,0.000,0.000
9.0,-0.181,-0.018,-4.895,0.105,0.047,2,14,0,0.173,0,0,0.125,-0.140,2.842,-5.008,-0.008,0.087,2,14,0,0.165,0,0,0.115,-0.131,-3.299,-5.612,-0.612,0.047,2,14,0,0.146,0,0,0.049,2.998,0.082,-5.650,-0.650,0.046,2,14,0,0.163,0,0,0.057,-2.533,-0.342,-5.179,-0.179,0.068,2,14,0,0.166,0,0,0.106,2.391,0.579,0,0,0.173,0.000,0.000,0.000,0.000
10.0,-0.159,-0.017,-4.972,0.028,0.032,2,14,0,0.210,0,0,0.111,-0.062,2.815,-5.040,-0.040,0.088,2,14,0,0.143,0,0,0.032,-0.052,-3.286,-5.592,-0.592,0.049,2,14,0,0.168,0,0,0.049,3.002,0.188,-5.710,-0.710,0.025,2,14,0,0.167,0,0,0.146,-2.530,-0.283,-5.238,-0.238,0.068,2,14,0,0.165,0,0,0.074,2.401,0.548,0,0,0.210,0.000,0.000,0.000,0.000
