t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.221,0.044,0.220,5.220,0.044,0,0,0,0.334,0,0,0.033,-0.106,3.011,0.122,5.122,0.026,2,14,0,0.437,0,0,0.012,-0.103,-2.952,0.138,5.138,0.042,2,14,0,0.323,0,0,0.040,3.035,-0.108,0.461,5.461,0.062,2,14,0,0.324,0,0,0.040,-3.283,0.107,-0.168,4.832,0.085,2,14,0,0.321,0,0,0.075,2.828,0.303,0,0,0.437,0.000,0.000,0.000,0.000
2.0,0.243,0.087,-0.403,4.597,0.042,2,14,0,0.313,0,0,0.019,-0.086,2.986,-0.501,4.499,0.091,2,14,0,0.282,0,0,0.043,-0.115,-2.873,-0.473,4.527,0.036,2,14,0,0.297,0,0,0.041,2.960,-0.109,-0.129,4.871,0.092,2,14,0,0.257,0,0,0.051,-3.176,0.062,-0.755,4.245,0.135,2,14,0,0.344,0,0,0.041,2.737,0.258,0,0,0.344,0.000,0.000,0.000,0.000
3.0,0.310,0.075,-1.566,3.434,0.088,2,14,0,0.294,0,0,0.067,-0.112,3.040,-1.572,3.428,0.049,2,14,0,0.321,0,0,0.018,-0.123,-2.895,-1.590,3.410,0.056,2,14,0,0.323,0,0,0.024,3.010,-0.147,-1.211,3.789,0.031,2,14,0,0.285,0,0,0.015,-3.181,0.068,-1.827,3.173,0.019,2,14,0,0.284,0,0,0.035,2.733,0.319,0,0,0.323,0.000,0.000,0.000,0.000
4.0,0.220,0.073,-2.783,2.217,0.036,2,14,0,0.460,0,0,0.024,-0.103,3.032,-2.821,2.179,0.052,2,14,0,0.316,0,0,0.013,-0.102,-2.871,-2.860,2.140,0.054,2,14,0,0.458,0,0,0.042,3.052,-0.155,-2.428,2.572,0.049,2,14,0,0.353,0,0,0.052,-3.229,0.027,-3.160,1.840,0.086,2,14,0,0.506,0,0,0.059,2.863,0.232,0,0,0.506,0.000,0.000,0.000,0.000
5.0,0.191,0.073,-4.038,0.962,0.096,2,14,0,0.194,0,0,0.053,-0.107,2.983,-4.145,0.855,0.019,2,14,0,0.188,0,0,0.039,-0.011,-2.899,-4.206,0.794,0.063,2,14,0,0.242,0,0,0.099,3.032,-0.161,-3.780,1.220,0.018,2,14,0,0.221,0,0,0.038,-3.232,0.116,-4.397,0.603,0.024,2,14,0,0.218,0,0,0.039,2.863,0.259,0,0,0.242,0.000,0.000,0.000,0.000
6.0,0.251,0.039,-4.590,0.410,0.049,2,14,0,0.192,0,0,0.030,-0.126,3.038,-4.775,0.225,0.056,2,14,0,0.191,0,0,0.022,-0.085,-2.856,-4.857,0.143,0.081,2,14,0,0.197,0,0,0.062,3.011,-0.123,-4.516,0.484,0.035,2,14,0,0.234,0,0,0.012,-3.207,0.112,-5.125,-0.125,0.011,2,14,0,0.233,0,0,0.029,2.766,0.255,0,0,0.234,0.000,0.000,0.000,0.000
7.0,0.216,0.054,-4.809,0.191,0.045,2,14,0,0.239,0,0,0.032,-0.141,3.051,-4.968,0.032,0.056,2,14,0,0.161,0,0,0.042,-0.131,-2.917,-5.100,-0.100,0.031,2,14,0,0.200,0,0,0.021,3.011,-0.065,-4.775,0.225,0.039,2,14,0,0.212,0,0,0.068,-3.177,0.037,-5.373,-0.373,0.032,2,14,0,0.200,0,0,0.058,2.798,0.222,0,0,0.239,0.000,0.000,0.000,0.000
8.0,0.206,0.061,-4.875,0.125,0.018,2,14,0,0.196,0,0,0.038,-0.077,2.995,-5.101,-0.101,0.002,2,14,0,0.195,0,0,0.042,-0.086,-2.964,-5.181,-0.181,0.058,2,14,0,0.162,0,0,0.056,2.958,-0.142,-4.842,0.158,0.026,2,14,0,0.163,0,0,0.048,-3.225,0.076,-5.435,-0.435,0.035,2,14,0,0.155,0,0,0.015,2.759,0.238,0,0,0.196,0.000,0.000,0.000,0.000
9.0,0.265,0.075,-4.943,0.057,0.029,2,14,0,0.241,0,0,0.023,-0.066,2.989,-5.121,-0.121,0.081,2,14,0,0.166,0,0,0.055,-0.083,-2.927,-5.201,-0.201,0.044,2,14,0,0.250,0,0,0.032,3.003,-0.141,-4.846,0.154,0.047,2,14,0,0.193,0,0,0.011,-3.235,0.082,-5.506,-0.506,0.011,2,14,0,0.194,0,0,0.023,2.748,0.275,0,0,0.250,0.000,0.000,0.000,0.000
10.0,0.242,0.059,-4.975,0.025,0.020,2,14,0,0.196,0,0,0.010,-0.165,2.998,-5.149,-0.149,0.068,2,14,0,0.192,0,0,0.060,-0.108,-2.925,-5.272,-0.272,0.013,2,14,0,0.168,0,0,0.011,3.023,-0.085,-4.889,0.111,0.047,2,14,0,0.229,0,0,0.051,-3.218,0.126,-5.541,-0.541,0.064,2,14,0,0.158,0,0,0.044,2.786,0.252,0,0,0.229,0.000,0.000,0.000,0.000
11.0,0.237,0.061,-5.048,-0.048,0.040,2,14,0,0.165,0,0,0.010,-0.105,3.020,-5.146,-0.146,0.013,2,14,0,0.165,0,0,0.005,-0.093,-2.943,-5.274,-0.274,0.043,2,14,0,0.194,0,0,0.036,2.987,-0.085,-4.869,0.131,0.064,2,14,0,0.189,0,0,0.052,-3.276,0.096,-5.482,-0.482,0.057,2,14,0,0.161,0,0,0.065,2.760,0.292,0,0,0.194,0.000,0.000,0.000,0.000
12.0,0.202,0.108,-5.001,-0.001,0.042,2,14,0,0.171,0,0,0.057,-0.074,3.026,-5.180,-0.180,0.012,2,14,0,0.383,0,0,0.036,-0.130,-2.907,-5.198,-0.198,0.045,2,14,0,0.202,0,0,0.020,2.963,-0.137,-4.898,0.102,0.034,2,14,0,0.178,0,0,0.043,-3.215,0.079,-5.605,-0.605,0.053,2,14,0,0.208,0,0,0.006,2.774,0.229,0,0,0.383,0.000,0.000,0.000,0.000
