t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.051,0.077,-0.676,4.324,0.027,2,14,0,0.226,0,0,0.071,-1.258,2.511,0.419,5.419,0.035,2,14,0,0.213,0,0,0.034,-2.033,-2.569,-0.053,4.947,0.056,2,14,0,0.219,0,0,0.030,5.069,0.534,0,0,0.226,0.000,0.000,0.000,0.000
2.0,2.994,0.081,-1.531,3.469,0.098,2,14,0,0.218,0,0,0.025,-1.232,2.594,-0.270,4.730,0.121,2,14,0,0.210,0,1,0.051,-1.959,-2.543,-0.900,4.100,0.078,2,14,0,0.218,0,0,0.091,5.076,0.462,0,0,0.218,0.000,0.000,0.000,0.000
3.0,2.983,0.129,-2.715,2.285,0.037,2,14,0,0.314,0,0,0.069,-1.205,2.675,-0.764,4.236,0.020,2,14,0,0.228,0,0,0.138,-1.978,-2.474,-2.020,2.980,0.026,2,14,0,0.244,0,0,0.135,5.275,0.494,0,0,0.314,0.000,0.000,0.000,0.000
4.0,2.966,0.162,-3.954,1.046,0.021,2,14,0,0.207,0,0,0.104,-1.277,2.578,-1.997,3.003,0.097,2,14,0,0.242,0,0,0.045,-1.951,-2.580,-3.295,1.705,0.074,2,14,0,0.278,0,0,0.082,5.260,0.452,0,0,0.278,0.000,0.000,0.000,0.000
5.0,2.973,0.042,-4.503,0.497,0.071,2,14,0,0.166,0,0,0.019,-1.314,2.502,-3.394,1.606,0.064,2,14,0,0.502,0,0,0.078,-2.013,-2.667,-4.308,0.692,0.075,2,14,0,0.164,0,0,0.071,5.065,0.518,0,0,0.502,0.000,0.000,0.000,0.000
6.0,3.052,0.023,-4.770,0.230,0.036,2,14,0,0.147,0,0,0.078,-1.351,2.439,-4.447,0.553,0.039,2,14,0,0.164,0,0,0.147,-2.077,-2.647,-4.708,0.292,0.045,2,14,0,0.164,0,0,0.067,5.033,0.579,0,0,0.164,0.000,0.000,0.000,0.000
7.0,2.960,-0.000,-4.810,0.190,0.043,2,14,0,0.157,0,0,0.063,-1.353,2.471,-4.796,0.204,0.042,2,14,0,0.168,0,0,0.128,-2.197,-2.703,-4.898,0.102,0.028,2,14,0,0.203,0,0,0.195,4.971,0.704,0,0,0.203,0.000,0.000,0.000,0.000
8.0,2.948,0.006,-4.909,0.091,0.014,2,14,0,0.181,0,0,0.063,-1.323,2.547,-4.899,0.101,0.078,2,14,0,0.161,0,0,0.075,-2.198,-2.618,-4.962,0.038,0.072,2,14,0,0.141,0,0,0.169,4.969,0.698,0,0,0.181,0.000,0.000,0.000,0.000
9.0,2.943,0.047,-4.967,0.033,0.034,2,14,0,0.142,0,0,0.043,-1.276,2.541,-4.966,0.034,0.064,2,14,0,0.135,0,0,0.028,-2.150,-2.570,-4.955,0.045,0.099,2,14,0,0.166,0,0,0.124,4.901,0.651,0,0,0.166,0.000,0.000,0.000,0.000
10.0,2.919,0.130,-5.030,-0.030,0.032,2,14,0,0.138,0,0,0.095,-1.261,2.537,-5.016,-0.016,0.042,2,14,0,0.157,0,0,0.015,-2.047,-2.608,-4.997,0.003,0.103,2,14,0,0.158,0,0,0.019,4.824,0.547,0,0,0.158,0.000,0.000,0.000,0.000
