t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,2.718,-0.202,-0.011,4.989,0.032,2,14,0,1.781,0,0,0.025,-1.669,2.449,-1.193,3.807,0.089,2,14,0,0.370,0,0,0.058,-1.700,-2.649,-0.735,4.265,0.058,2,14,0,0.492,0,0,0.058,5.102,0.347,0,0,1.781,0.000,0.000,0.000,0.000
2.0,2.716,-0.167,-0.641,4.359,0.044,2,14,0,0.342,0,0,0.042,-1.645,2.339,-1.666,3.334,0.129,2,14,0,0.312,0,0,0.062,-1.607,-2.561,-1.280,3.720,0.080,2,14,0,0.321,0,0,0.073,4.915,0.330,0,0,0.342,0.000,0.000,0.000,0.000
3.0,2.670,-0.210,-1.741,3.259,0.074,2,14,0,0.318,0,0,0.024,-1.648,2.419,-2.790,2.210,0.031,2,14,0,0.406,0,0,0.022,-1.661,-2.554,-2.387,2.613,0.056,2,14,0,0.391,0,0,0.047,4.968,0.391,0,0,0.406,0.000,0.000,0.000,0.000
4.0,2.719,-0.205,-2.945,2.055,0.051,2,14,0,0.393,0,0,0.025,-1.613,2.382,-4.046,0.954,0.046,2,14,0,0.194,0,0,0.031,-1.633,-2.625,-3.667,1.333,0.033,2,14,0,0.292,0,0,0.042,5.021,0.348,0,0,0.393,0.000,0.000,0.000,0.000
5.0,2.676,-0.250,-4.145,0.855,0.058,2,14,0,0.203,0,0,0.052,-1.646,2.412,-4.518,0.482,0.009,2,14,0,0.192,0,0,0.015,-1.677,-2.644,-4.501,0.499,0.045,2,14,0,0.208,0,0,0.044,4.981,0.409,0,0,0.208,0.000,0.000,0.000,0.000
6.0,2.672,-0.228,-4.687,0.313,0.077,2,14,0,0.183,0,0,0.034,-1.674,2.353,-4.787,0.213,0.100,2,14,0,0.189,0,0,0.060,-1.663,-2.605,-4.749,0.251,0.020,2,14,0,0.231,0,0,0.006,4.945,0.399,0,0,0.231,0.000,0.000,0.000,0.000
7.0,2.708,-0.182,-4.870,0.130,0.038,2,14,0,0.159,0,0,0.025,-1.628,2.401,-4.895,0.105,0.029,2,14,0,0.188,0,0,0.009,-1.687,-2.587,-4.823,0.177,0.024,2,14,0,0.200,0,0,0.022,4.988,0.344,0,0,0.200,0.000,0.000,0.000,0.000
8.0,2.686,-0.188,-4.942,0.058,0.035,2,14,0,0.203,0,0,0.016,-1.642,2.428,-4.893,0.107,0.008,2,14,0,0.195,0,0,0.028,-1.643,-2.602,-4.911,0.089,0.013,2,14,0,0.172,0,0,0.026,4.957,0.365,0,0,0.203,0.000,0.000,0.000,0.000
9.0,2.650,-0.182,-4.940,0.060,0.026,2,14,0,0.239,0,0,0.047,-1.645,2.405,-4.987,0.013,0.027,2,14,0,0.186,0,0,0.008,-1.673,-2.595,-5.002,-0.002,0.033,2,14,0,0.196,0,0,0.008,4.952,0.394,0,0,0.239,0.000,0.000,0.000,0.000
10.0,2.665,-0.236,-4.961,0.039,0.034,2,14,0,0.201,0,0,0.045,-1.637,2.392,-4.973,0.027,0.022,2,14,0,0.154,0,0,0.009,-1.699,-2.594,-4.992,0.008,0.049,2,14,0,0.208,0,0,0.032,4.961,0.410,0,0,0.208,0.000,0.000,0.000,0.000
11.0,2.696,-0.207,-5.036,-0.036,0.021,2,14,0,0.187,0,0,0.007,-1.615,2.427,-5.002,-0.002,0.046,2,14,0,0.184,0,0,0.036,-1.667,-2.615,-4.896,0.104,0.039,2,14,0,0.237,0,0,0.014,4.985,0.368,0,0,0.237,0.000,0.000,0.000,0.000
12.0,2.707,-0.186,-4.995,0.005,0.020,2,14,0,0.164,0,0,0.020,-1.675,2.427,-4.976,0.024,0.076,2,14,0,0.188,0,0,0.046,-1.667,-2.661,-4.948,0.052,0.061,2,14,0,0.378,0,0,0.060,5.026,0.347,0,0,0.378,0.000,0.000,0.000,0.000
13.0,2.712,-0.172,-4.924,0.076,0.037,2,14,0,0.194,0,0,0.035,-1.673,2.430,-4.972,0.028,0.036,2,14,0,0.155,0,0,0.046,-1.638,-2.601,-4.985,0.015,0.051,2,14,0,0.201,0,0,0.031,4.983,0.335,0,0,0.201,0.000,0.000,0.000,0.000
14.0,2.684,-0.180,-4.983,0.017,0.043,2,14,0,0.152,0,0,0.024,-1.625,2.409,-4.986,0.014,0.039,2,14,0,0.149,0,0,0.016,-1.686,-2.593,-5.006,-0.006,0.010,2,14,0,0.179,0,0,0.020,4.992,0.364,0,0,0.179,0.000,0.000,0.000,0.000
15.0,2.749,-0.192,-4.995,0.005,0.042,2,14,0,0.183,0,0,0.056,-1.681,2.414,-4.993,0.007,0.058,2,14,0,0.184,0,0,0.045,-1.715,-2.561,-4.988,0.012,0.065,2,14,0,0.191,0,0,0.060,4.975,0.316,0,0,0.191,0.000,0.000,0.000,0.000
16.0,2.687,-0.158,-4.958,0.042,0.047,2,14,0,0.167,0,0,0.044,-1.674,2.392,-4.978,0.022,0.020,2,14,0,0.188,0,0,0.037,-1.686,-2.588,-4.998,0.002,0.043,2,14,0,0.191,0,0,0.022,4.980,0.350,0,0,0.191,0.000,0.000,0.000,0.000
17.0,2.619,-0.202,-4.960,0.040,0.059,2,14,0,0.154,0,0,0.073,-1.636,2.415,-4.980,0.020,0.046,2,14,0,0.185,0,0,0.015,-1.649,-2.591,-5.009,-0.009,0.020,2,14,0,0.150,0,0,0.022,4.891,0.431,0,0,0.185,0.000,0.000,0.000,0.000
18.0,2.671,-0.214,-5.003,-0.003,0.066,2,14,0,0.189,0,0,0.025,-1.627,2.422,-5.024,-0.024,0.022,2,14,0,0.187,0,0,0.025,-1.690,-2.598,-4.979,0.021,0.026,2,14,0,0.428,0,0,0.022,4.970,0.392,0,0,0.428,0.000,0.000,0.000,0.000
19.0,2.630,-0.259,-5.060,-0.060,0.060,2,14,0,0.192,0,0,0.085,-1.643,2.423,-5.034,-0.034,0.025,2,14,0,0.191,0,0,0.024,-1.683,-2.581,-4.959,0.041,0.042,2,14,0,0.168,0,0,0.025,4.899,0.452,0,0,0.192,0.000,0.000,0.000,0.000
20.0,2.664,-0.225,-5.042,-0.042,0.059,2,14,0,0.158,0,0,0.038,-1.698,2.401,-4.978,0.022,0.091,2,14,0,0.187,0,0,0.061,-1.681,-2.617,-4.997,0.003,0.021,2,14,0,0.201,0,0,0.019,4.960,0.404,0,0,0.201,0.000,0.000,0.000,0.000
21.0,2.732,-0.220,-5.020,-0.020,0.013,2,14,0,0.185,0,0,0.042,-1.619,2.384,-5.033,-0.033,0.050,2,14,0,0.186,0,0,0.025,-1.633,-2.613,-5.001,-0.001,0.020,2,14,0,0.189,0,0,0.036,4.978,0.347,0,0,0.189,0.000,0.000,0.000,0.000
22.0,2.719,-0.199,-4.929,0.071,0.027,2,14,0,0.160,0,0,0.026,-1.619,2.357,-5.076,-0.076,0.020,2,14,0,0.161,0,0,0.046,-1.649,-2.600,-4.994,0.006,0.062,2,14,0,0.170,0,0,0.020,4.958,0.345,0,0,0.170,0.000,0.000,0.000,0.000
23.0,2.701,-0.193,-4.972,0.028,0.020,2,14,0,0.193,0,0,0.012,-1.587,2.396,-5.022,-0.022,0.049,2,14,0,0.197,0,0,0.051,-1.688,-2.594,-5.048,-0.048,0.010,2,14,0,0.201,0,0,0.021,4.991,0.356,0,0,0.201,0.000,0.000,0.000,0.000
24.0,2.652,-0.202,-4.992,0.008,0.034,2,14,0,0.196,0,0,0.041,-1.584,2.404,-5.001,-0.001,0.075,2,14,0,0.159,0,0,0.054,-1.656,-2.592,-5.006,-0.006,0.012,2,14,0,0.206,0,0,0.015,4.927,0.402,0,0,0.206,0.000,0.000,0.000,0.000
25.0,2.723,-0.194,-5.023,-0.023,0.148,2,14,0,0.228,0,0,0.043,-1.669,2.441,-5.002,-0.002,0.108,2,14,0,0.192,0,0,0.031,-1.690,-2.557,-4.927,0.073,0.092,2,14,0,0.236,0,0,0.022,4.999,0.361,0,0,0.236,-0.000,0.037,-0.001,0.150
26.0,2.673,0.155,-5.018,-0.018,0.434,2,14,0,0.187,0,0,0.024,-1.649,2.759,-4.961,0.039,0.439,2,14,0,0.179,0,0,0.019,-1.711,-2.248,-5.015,-0.015,0.452,2,14,0,0.186,0,0,0.038,5.000,0.369,0,0,0.187,-0.006,0.337,-0.015,0.450
27.0,2.678,0.741,-4.979,0.021,0.749,2,14,0,0.201,0,0,0.029,-1.638,3.354,-4.984,0.016,0.737,2,14,0,0.185,0,0,0.047,-1.716,-1.644,-5.001,-0.001,0.725,2,14,0,0.251,0,0,0.021,4.998,0.340,0,0,0.251,-0.044,0.936,-0.070,0.747
28.0,2.565,1.640,-5.011,-0.011,1.067,2,14,0,0.185,0,0,0.043,-1.807,4.235,-4.975,0.025,1.036,2,14,0,0.179,0,0,0.007,-1.846,-0.779,-4.951,0.049,1.069,2,14,0,0.181,0,0,0.016,5.013,0.326,0,0,0.185,-0.168,1.827,-0.192,1.032
29.0,2.300,2.834,-5.043,-0.043,1.338,2,14,0,0.182,0,0,0.076,-2.069,5.415,-4.948,0.052,1.355,2,14,0,0.185,0,0,0.036,-2.118,0.383,-5.014,-0.014,1.381,2,14,0,0.186,0,0,0.011,5.032,0.288,0,0,0.186,-0.458,2.991,-0.404,1.288
30.0,1.688,4.171,-5.001,-0.001,1.523,2,14,0,0.192,0,0,0.025,-2.666,6.796,-4.948,0.052,1.493,2,14,0,0.188,0,0,0.056,-2.689,1.780,-5.062,-0.062,1.539,2,14,0,0.192,0,0,0.028,4.988,0.363,0,0,0.192,-0.996,4.350,-0.652,1.351
31.0,0.925,5.518,-5.010,-0.010,1.473,2,14,0,0.183,0,0,0.065,-3.446,8.067,-5.044,-0.044,1.474,2,14,0,0.180,0,0,0.065,-3.433,3.085,-5.051,-0.051,1.463,2,14,0,0.179,0,0,0.044,4.982,0.353,0,0,0.183,-1.747,5.646,-0.847,1.238
32.0,-0.098,6.640,-5.007,-0.007,1.435,2,14,0,0.186,0,0,0.110,-4.381,9.230,-5.040,-0.040,1.449,2,14,0,0.191,0,0,0.061,-4.343,4.238,-5.005,-0.005,1.523,2,14,0,0.202,0,0,0.022,4.877,0.451,0,0,0.202,-2.683,6.816,-1.022,1.098
33.0,-1.110,7.667,-5.017,-0.017,1.500,2,14,0,0.183,0,0,0.041,-5.439,10.229,-5.022,-0.022,1.553,2,14,0,0.179,0,0,0.014,-5.474,5.242,-4.992,0.008,1.518,2,14,0,0.232,0,0,0.011,4.988,0.366,0,0,0.232,-3.784,7.833,-1.175,0.932
34.0,-2.368,8.491,-5.027,-0.027,1.487,2,14,0,0.190,0,0,0.029,-6.702,11.091,-4.961,0.039,1.461,2,14,0,0.190,0,0,0.043,-6.747,6.105,-4.981,0.019,1.458,2,14,0,0.251,0,0,0.051,4.986,0.389,0,0,0.251,-5.024,8.674,-1.301,0.746
35.0,-3.794,9.171,-4.990,0.010,1.389,2,14,0,0.179,0,0,0.122,-8.068,11.740,-4.956,0.044,1.509,2,14,0,0.179,0,0,0.044,-8.121,6.741,-4.992,0.008,1.441,2,14,0,0.185,0,0,0.068,4.963,0.443,0,0,0.185,-6.376,9.320,-1.398,0.544
36.0,-5.212,9.546,-4.987,0.013,1.364,2,14,0,0.187,0,0,0.086,-9.469,12.144,-5.020,-0.020,1.492,2,14,0,0.185,0,0,0.025,-9.496,7.109,-4.944,0.056,1.495,2,14,0,0.195,0,0,0.050,4.929,0.454,0,0,0.195,-7.810,9.757,-1.464,0.329
37.0,-6.600,9.749,-4.954,0.046,1.505,2,14,0,0.224,0,0,0.025,-10.937,12.372,-5.007,-0.007,1.508,2,14,0,0.180,0,0,0.007,-10.962,7.380,-4.950,0.050,1.510,2,14,0,0.230,0,0,0.012,4.964,0.381,0,0,0.230,-9.293,9.975,-1.496,0.106
38.0,-8.120,9.785,-5.021,-0.021,1.491,2,14,0,0.183,0,0,0.021,-12.430,12.401,-5.026,-0.026,1.539,2,14,0,0.177,0,0,0.032,-12.500,7.356,-4.962,0.038,1.484,2,14,0,0.189,0,0,0.042,5.009,0.376,0,0,0.189,-10.791,9.969,-1.495,-0.119
39.0,-9.650,9.544,-5.056,-0.056,1.488,2,14,0,0.182,0,0,0.071,-13.985,12.128,-5.008,-0.008,1.414,2,14,0,0.181,0,0,0.075,-13.952,7.110,-4.967,0.033,1.505,2,14,0,0.206,0,0,0.025,4.943,0.425,0,0,0.206,-12.272,9.738,-1.461,-0.341
40.0,-11.014,9.053,-5.074,-0.074,1.449,2,14,0,0.186,0,0,0.036,-15.327,11.693,-4.959,0.041,1.539,2,14,0,0.182,0,0,0.026,-15.411,6.708,-4.982,0.018,1.503,2,14,0,0.186,0,0,0.045,4.983,0.392,0,0,0.186,-13.702,9.290,-1.393,-0.555
41.0,-12.364,8.389,-5.034,-0.034,1.487,2,14,0,0.185,0,0,0.035,-16.696,11.052,-4.984,0.016,1.518,2,14,0,0.176,0,0,0.022,-16.721,6.023,-5.001,-0.001,1.481,2,14,0,0.180,0,0,0.006,4.958,0.398,0,0,0.185,-15.048,8.632,-1.295,-0.757
42.0,-13.531,7.562,-4.993,0.007,1.502,2,14,0,0.221,0,0,0.060,-17.940,10.159,-5.045,-0.045,1.508,2,14,0,0.178,0,0,0.017,-17.935,5.200,-4.986,0.014,1.538,2,14,0,0.186,0,0,0.037,4.960,0.332,0,0,0.221,-16.282,7.781,-1.167,-0.942
43.0,-14.650,6.530,-4.950,0.050,1.549,2,14,0,0.190,0,0,0.041,-19.030,9.142,-5.025,-0.025,1.452,2,14,0,0.178,0,0,0.022,-19.062,4.179,-4.981,0.019,1.548,2,14,0,0.180,0,0,0.032,4.963,0.356,0,0,0.190,-17.374,6.755,-1.013,-1.106
44.0,-15.582,5.345,-4.936,0.064,1.509,2,14,0,0.190,0,0,0.039,-19.959,7.926,-5.051,-0.051,1.453,2,14,0,0.179,0,0,0.055,-19.966,2.959,-5.023,-0.023,1.530,2,14,0,0.179,0,0,0.013,4.966,0.364,0,0,0.190,-18.301,5.577,-0.837,-1.245
45.0,-16.379,4.076,-4.976,0.024,1.536,2,14,0,0.193,0,0,0.031,-20.658,6.589,-4.960,0.040,1.455,2,14,0,0.187,0,0,0.079,-20.677,1.666,-5.050,-0.050,1.524,2,14,0,0.194,0,0,0.039,4.923,0.392,0,0,0.194,-19.041,4.274,-0.641,-1.356
46.0,-16.879,2.651,-5.045,-0.045,1.525,2,14,0,0.189,0,0,0.023,-21.133,5.255,-4.998,0.002,1.517,2,14,0,0.183,0,0,0.086,-21.191,0.265,-5.038,-0.038,1.528,2,14,0,0.186,0,0,0.056,4.928,0.375,0,0,0.189,-19.578,2.875,-0.431,-1.437
47.0,-17.200,1.174,-5.042,-0.042,1.485,2,14,0,0.200,0,0,0.037,-21.473,3.755,-4.954,0.046,1.475,2,14,0,0.181,0,0,0.080,-21.559,-1.210,-4.986,0.014,1.511,2,14,0,0.185,0,0,0.013,4.965,0.383,0,0,0.200,-19.900,1.411,-0.212,-1.485
