t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.083,-0.082,-0.506,4.494,0.079,2,14,0,0.258,0,0,0.078,0.0233,0,nan,0.117,0,0,0.258,0.000,0.000,0.000,0.000
2.0,0.056,-0.154,-1.348,3.652,0.073,2,14,0,0.244,0,0,0.085,0.0314,0,nan,0.164,0,0,0.244,0.000,0.000,0.000,0.000
3.0,-0.001,-0.112,-2.432,2.568,0.023,2,14,0,0.281,0,0,0.027,0.0314,0,nan,0.112,0,0,0.281,0.000,0.000,0.000,0.000
4.0,0.024,-0.112,-3.754,1.246,0.023,2,14,0,0.256,0,0,0.052,0.0314,0,nan,0.115,0,0,0.256,0.000,0.000,0.000,0.000
5.0,0.050,-0.164,-4.527,0.473,0.042,2,14,0,0.172,0,0,0.082,0.0314,0,nan,0.171,0,0,0.172,0.000,0.000,0.000,0.000
6.0,0.027,-0.231,-4.771,0.229,0.056,2,14,0,0.170,0,0,0.116,0.0314,0,nan,0.236,0,0,0.170,-0.000,0.003,-0.000,0.042
7.0,-0.024,-0.217,-4.867,0.133,0.113,2,14,0,0.172,0,0,0.278,0.0857,0,nan,0.413,0,0,0.172,-0.002,0.195,-0.007,0.342
8.0,-0.049,0.033,-4.940,0.060,0.399,2,14,0,0.211,0,0,0.518,0.1967,0,nan,0.654,0,0,0.211,-0.024,0.686,-0.044,0.640
9.0,-0.006,0.561,-4.949,0.051,0.735,2,14,0,0.230,0,0,0.786,0.3113,0,nan,0.918,0,0,0.230,-0.109,1.474,-0.139,0.932
10.0,-0.139,1.529,-4.944,0.056,1.141,2,14,0,0.201,0,0,0.905,0.4500,0,nan,1.031,0,0,0.201,-0.329,2.543,-0.316,1.201
11.0,-0.478,2.887,-4.968,0.032,1.586,2,14,0,0.230,0,0,0.907,0.6028,0,nan,1.015,0,0,0.230,-0.774,3.857,-0.579,1.384
