t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.262,0.033,0.557,5.557,0.022,2,14,0,0.246,0,0,1.228,0.075,2.888,-0.995,4.005,0.018,2,14,0,0.229,0,0,0.629,-0.386,-2.667,0.023,5.023,0.016,2,14,0,0.265,0,0,0.844,3.296,-0.282,-0.279,4.721,0.020,0,0,0,0.253,0,0,0.893,-3.427,0.065,0.121,5.121,0.008,2,14,0,0.280,0,0,0.980,2.755,0.509,0,0,0.280,0.000,0.000,0.000,0.000
2.0,-0.203,0.057,0.518,5.518,0.003,2,14,0,0.462,0,0,1.291,0.053,2.884,-1.150,3.850,0.011,2,14,0,0.225,0,0,0.604,-0.330,-2.695,0.082,5.082,0.021,2,14,0,0.627,0,0,0.781,3.337,-0.271,-0.326,4.674,0.023,2,14,0,0.302,0,0,0.909,-3.395,0.038,-0.012,4.988,0.021,2,14,0,0.230,0,0,0.980,2.790,0.449,0,0,0.627,0.000,0.000,0.000,0.000
3.0,-0.158,0.060,0.488,5.488,0.062,2,14,0,0.253,0,0,1.327,0.063,2.890,-1.124,3.876,0.062,2,14,0,0.228,0,0,0.617,-0.366,-2.716,0.091,5.091,0.083,2,14,0,0.261,0,0,0.802,3.318,-0.260,-0.358,4.642,0.041,2,14,0,0.228,0,0,0.891,-3.381,-0.014,0.006,5.006,0.017,2,14,0,0.427,0,0,1.014,2.812,0.463,0,0,0.427,0.000,0.000,0.000,0.000
4.0,-0.296,-0.279,0.058,5.058,0.634,2,14,0,0.248,0,0,1.030,-0.087,2.681,-1.660,3.340,0.364,2,14,0,0.527,0,0,0.385,-0.023,-2.873,-0.573,4.427,0.494,2,14,0,0.290,0,0,0.434,2.999,0.029,-0.846,4.154,0.603,2,14,0,0.226,0,0,0.474,-3.166,0.327,-0.444,4.556,0.627,2,14,0,0.451,0,0,0.612,2.684,0.407,0,0,0.527,0.000,0.000,0.000,0.000
5.0,-0.739,-0.515,-0.445,4.555,0.243,2,14,0,0.272,0,1,0.537,-0.447,2.568,-2.802,2.198,0.384,2,14,0,0.313,0,0,0.052,0.366,-3.107,-1.658,3.342,0.417,2,14,0,0.236,0,0,0.035,2.784,0.601,-2.046,2.954,0.509,2,14,0,0.224,0,0,0.192,-2.724,0.836,-1.478,3.522,0.630,2,14,0,0.265,0,0,0.078,2.614,0.901,0,0,0.313,0.000,0.000,0.000,0.000
6.0,-0.983,-0.595,-1.495,3.505,0.253,2,14,0,0.264,0,0,0.276,-0.735,2.495,-4.066,0.934,0.190,2,14,0,0.280,0,0,0.304,0.615,-3.324,-2.911,2.089,0.215,2,14,0,0.432,0,0,0.352,2.634,0.921,-3.299,1.701,0.188,2,14,0,0.304,0,0,0.517,-2.363,1.050,-2.698,2.302,0.274,2,14,0,0.349,0,0,0.495,2.462,1.228,0,0,0.432,0.000,0.000,0.000,0.000
7.0,-1.255,-0.716,-2.863,2.137,0.217,2,14,0,0.294,0,0,0.048,-0.752,2.372,-5.201,-0.201,0.044,2,14,0,0.175,0,0,0.353,0.611,-3.415,-4.239,0.761,0.041,2,14,0,0.183,0,0,0.412,2.554,0.988,-4.586,0.414,0.110,2,14,0,0.190,0,0,0.605,-2.363,1.101,-4.016,0.984,0.097,2,14,0,0.319,0,0,0.521,2.421,1.445,0,0,0.319,0.000,0.000,0.000,0.000
8.0,-1.288,-0.855,-4.132,0.868,0.096,2,14,0,0.186,0,0,0.134,-0.719,2.344,-5.613,-0.613,0.135,2,14,0,0.173,0,0,0.338,0.532,-3.323,-5.051,-0.051,0.199,2,14,0,0.180,0,0,0.293,2.473,0.780,-5.246,-0.246,0.307,2,14,0,0.173,0,0,0.452,-2.554,1.081,-4.975,0.025,0.287,2,14,0,0.176,0,0,0.360,2.462,1.546,0,0,0.186,0.000,0.000,0.000,0.000
9.0,-1.240,-0.888,-4.658,0.342,0.024,2,14,0,0.201,0,0,0.147,-0.553,2.418,-5.948,-0.948,0.224,2,14,0,0.173,0,0,0.161,0.362,-3.145,-5.273,-0.273,0.248,2,14,0,0.201,0,0,0.046,2.629,0.482,-5.573,-0.573,0.381,2,14,0,0.169,0,0,0.138,-2.862,0.927,-5.280,-0.280,0.343,2,14,0,0.165,0,0,0.127,2.513,1.525,0,0,0.201,0.000,0.000,0.000,0.000
10.0,-1.206,-0.856,-4.793,0.207,0.089,2,14,0,0.192,0,0,0.113,-0.397,2.500,-6.279,-1.279,0.201,2,14,0,0.173,0,0,0.035,0.250,-3.036,-5.392,-0.392,0.181,2,14,0,0.183,0,0,0.110,2.715,0.177,-5.704,-0.704,0.277,2,14,0,0.172,0,0,0.238,-3.043,0.726,-5.365,-0.365,0.224,2,14,0,0.287,0,0,0.260,2.491,1.479,0,0,0.287,0.000,0.000,0.000,0.000
11.0,-1.162,-0.737,-4.854,0.146,0.105,2,14,0,0.162,0,0,0.054,-0.209,2.551,-6.466,-1.466,0.123,2,14,0,0.174,0,0,0.223,0.219,-2.931,-5.455,-0.455,0.080,2,14,0,0.154,0,0,0.213,2.820,0.076,-5.811,-0.811,0.105,2,14,0,0.145,0,0,0.347,-3.037,0.675,-5.437,-0.437,0.064,2,14,0,0.233,0,0,0.277,2.419,1.376,0,0,0.233,0.000,0.000,0.000,0.000
12.0,-1.120,-0.699,-4.834,0.166,0.060,2,14,0,0.189,0,0,0.105,-0.191,2.641,-6.623,-1.623,0.036,2,14,0,0.312,0,0,0.270,0.163,-2.939,-5.420,-0.420,0.029,2,14,0,0.184,0,0,0.242,2.915,0.074,-5.755,-0.755,0.065,2,14,0,0.178,0,0,0.383,-2.954,0.707,-5.442,-0.442,0.078,2,14,0,0.203,0,0,0.190,2.389,1.320,0,0,0.312,0.000,0.000,0.000,0.000
13.0,-1.190,-0.654,-4.975,0.025,0.039,2,14,0,0.191,0,0,0.093,-0.246,2.645,-6.685,-1.685,0.091,2,14,0,0.144,0,0,0.225,0.212,-3.012,-5.462,-0.462,0.089,2,14,0,0.176,0,0,0.156,2.897,0.197,-5.745,-0.745,0.157,2,14,0,0.172,0,0,0.272,-2.925,0.665,-5.455,-0.455,0.095,2,14,0,0.195,0,0,0.197,2.231,1.358,0,0,0.195,0.000,0.000,0.000,0.000
14.0,-1.222,-0.646,-4.970,0.030,0.021,2,14,0,0.193,0,0,0.097,-0.385,2.603,-6.691,-1.691,0.139,2,14,0,0.172,0,0,0.099,0.118,-3.151,-5.488,-0.488,0.104,2,14,0,0.157,0,0,0.215,2.850,0.385,-5.747,-0.747,0.184,2,14,0,0.180,0,0,0.114,-2.828,0.670,-5.534,-0.534,0.112,2,14,0,0.157,0,0,0.150,2.151,1.383,0,0,0.193,0.000,0.000,0.000,0.000
15.0,-1.224,-0.663,-5.007,-0.007,0.044,2,14,0,0.288,0,0,0.080,-0.526,2.560,-6.769,-1.769,0.114,2,14,0,0.152,0,0,0.104,0.255,-3.216,-5.568,-0.568,0.125,2,14,0,0.178,0,0,0.125,2.767,0.488,-5.857,-0.857,0.140,2,14,0,0.147,0,0,0.077,-2.766,0.785,-5.517,-0.517,0.107,2,14,0,0.193,0,0,0.047,2.176,1.392,0,0,0.288,0.000,0.000,0.000,0.000
16.0,-1.244,-0.668,-5.073,-0.073,0.062,2,14,0,0.184,0,0,0.081,-0.576,2.453,-6.776,-1.776,0.061,2,14,0,0.145,0,0,0.159,0.303,-3.231,-5.483,-0.483,0.100,2,14,0,0.179,0,0,0.121,2.737,0.521,-5.813,-0.813,0.069,2,14,0,0.145,0,0,0.106,-2.854,0.869,-5.480,-0.480,0.068,2,14,0,0.184,0,0,0.076,2.263,1.412,0,0,0.184,0.000,0.000,0.000,0.000
17.0,-1.229,-0.736,-5.048,-0.048,0.073,2,14,0,0.190,0,0,0.015,-0.506,2.439,-6.780,-1.780,0.060,2,14,0,0.174,0,0,0.112,0.434,-3.162,-5.472,-0.472,0.112,2,14,0,0.163,0,0,0.114,2.758,0.552,-5.865,-0.865,0.046,2,14,0,0.382,0,0,0.139,-2.822,0.861,-5.496,-0.496,0.034,2,14,0,0.174,0,0,0.050,2.300,1.432,0,0,0.382,0.000,0.000,0.000,0.000
18.0,-1.122,-0.800,-4.997,0.003,0.052,2,14,0,0.189,0,0,0.108,-0.473,2.421,-6.779,-1.779,0.065,2,14,0,0.204,0,0,0.107,0.452,-3.079,-5.526,-0.526,0.079,2,14,0,0.183,0,0,0.128,2.663,0.461,-5.841,-0.841,0.085,2,14,0,0.149,0,0,0.090,-2.699,0.889,-5.484,-0.484,0.033,2,14,0,0.173,0,0,0.123,2.362,1.378,0,0,0.204,0.000,0.000,0.000,0.000
19.0,-1.123,-0.837,-4.996,0.004,0.021,2,14,0,0.206,0,0,0.132,-0.407,2.399,-6.744,-1.744,0.080,2,14,0,0.169,0,0,0.121,0.433,-3.009,-5.588,-0.588,0.048,2,14,0,0.155,0,0,0.150,2.627,0.414,-5.845,-0.845,0.071,2,14,0,0.165,0,0,0.112,-2.703,0.895,-5.474,-0.474,0.048,2,14,0,0.146,0,0,0.125,2.393,1.401,0,0,0.206,0.000,0.000,0.000,0.000
20.0,-1.188,-0.803,-5.017,-0.017,0.063,2,14,0,0.194,0,0,0.067,-0.378,2.456,-6.745,-1.745,0.082,2,14,0,0.171,0,0,0.082,0.323,-3.037,-5.536,-0.536,0.071,2,14,0,0.183,0,0,0.077,2.694,0.347,-5.836,-0.836,0.068,2,14,0,0.147,0,0,0.082,-2.731,0.886,-5.460,-0.460,0.078,2,14,0,0.174,0,0,0.099,2.330,1.434,0,0,0.194,0.000,0.000,0.000,0.000
21.0,-1.285,-0.727,-5.130,-0.130,0.080,2,14,0,0.187,0,0,0.071,-0.330,2.560,-6.742,-1.742,0.079,2,14,0,0.144,0,0,0.108,0.249,-3.051,-5.568,-0.568,0.054,2,14,0,0.270,0,0,0.101,2.739,0.318,-5.832,-0.832,0.056,2,14,0,0.176,0,0,0.096,-2.834,0.845,-5.428,-0.428,0.093,2,14,0,0.175,0,0,0.043,2.227,1.477,0,0,0.270,0.000,0.000,0.000,0.000
22.0,-1.356,-0.693,-5.012,-0.012,0.021,2,14,0,0.165,0,0,0.148,-0.390,2.601,-6.746,-1.746,0.047,2,14,0,0.220,0,0,0.092,0.274,-3.090,-5.531,-0.531,0.045,2,14,0,0.180,0,0,0.062,2.751,0.351,-5.792,-0.792,0.046,2,14,0,0.187,0,0,0.065,-2.978,0.765,-5.453,-0.453,0.062,2,14,0,0.204,0,0,0.185,2.225,1.523,0,0,0.220,0.000,0.000,0.000,0.000
23.0,-1.286,-0.719,-4.983,0.017,0.060,2,14,0,0.189,0,0,0.074,-0.513,2.634,-6.777,-1.777,0.049,2,14,0,0.213,0,0,0.140,0.265,-3.162,-5.551,-0.551,0.045,2,14,0,0.157,0,0,0.080,2.770,0.405,-5.803,-0.803,0.047,2,14,0,0.146,0,0,0.032,-3.018,0.782,-5.480,-0.480,0.048,2,14,0,0.173,0,0,0.221,2.345,1.473,0,0,0.213,0.000,0.000,0.000,0.000
24.0,-1.254,-0.685,-5.011,-0.011,0.059,2,14,0,0.290,0,0,0.069,-0.424,2.655,-6.692,-1.692,0.044,2,14,0,0.176,0,0,0.137,0.323,-3.210,-5.533,-0.533,0.043,2,14,0,0.180,0,0,0.097,2.744,0.457,-5.840,-0.840,0.032,2,14,0,0.170,0,0,0.041,-2.931,0.779,-5.532,-0.532,0.122,2,14,0,0.168,0,0,0.137,2.287,1.429,0,0,0.290,0.000,0.000,0.000,0.000
25.0,-1.182,-0.690,-4.982,0.018,0.064,2,14,0,0.207,0,0,0.063,-0.396,2.551,-6.754,-1.754,0.085,2,14,0,0.171,0,0,0.050,0.360,-3.189,-5.488,-0.488,0.041,2,14,0,0.197,0,0,0.081,2.777,0.473,-5.810,-0.810,0.009,2,14,0,0.180,0,0,0.069,-2.792,0.796,-5.496,-0.496,0.124,2,14,0,0.173,0,0,0.022,2.251,1.369,0,0,0.207,0.000,0.000,0.000,0.000
