t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.174,0.038,-0.276,4.724,0.060,2,14,0,0.259,0,0,0.081,nan,0.179,0,0,0.259,0.000,0.000,0.000,0.000
2.0,-0.004,0.083,-0.814,4.186,0.119,2,14,0,0.236,0,0,0.096,nan,0.083,0,0,0.236,0.000,0.000,0.000,0.000
3.0,0.049,0.161,-1.970,3.030,0.034,2,14,0,0.836,0,0,0.179,nan,0.168,0,0,0.836,0.000,0.000,0.000,0.000
4.0,-0.029,0.109,-3.246,1.754,0.092,2,14,0,0.331,0,0,0.089,nan,0.113,0,0,0.331,0.000,0.000,0.000,0.000
5.0,-0.097,0.078,-4.331,0.669,0.085,2,14,0,0.189,0,0,0.021,nan,0.125,0,0,0.189,0.000,0.000,0.000,0.000
6.0,-0.176,0.081,-4.725,0.275,0.052,2,14,0,0.171,0,0,0.083,nan,0.194,0,0,0.171,0.000,0.000,0.000,0.000
7.0,-0.169,0.015,-4.850,0.150,0.108,2,14,0,0.275,0,1,0.814,nan,0.909,0,0,0.275,0.740,0.000,1.000,0.000
8.0,-0.066,-0.068,-4.859,0.141,0.123,2,14,0,0.237,0,1,1.714,nan,1.808,0,0,0.237,1.740,0.000,1.000,0.000
9.0,0.066,-0.067,-4.936,0.064,0.126,2,14,0,0.284,0,1,2.582,nan,2.675,0,0,0.284,2.740,0.000,1.000,0.000
10.0,0.226,-0.079,-5.009,-0.009,0.130,2,14,0,0.265,0,1,3.421,nan,3.514,0,0,0.265,3.740,0.000,1.000,0.000
11.0,0.468,-0.032,-4.919,0.081,0.145,2,14,0,0.276,0,1,4.176,nan,4.272,0,0,0.276,4.740,0.000,1.000,0.000
12.0,0.553,0.033,-4.951,0.049,0.118,2,14,0,0.246,0,1,5.091,nan,5.187,0,0,0.246,5.740,0.000,1.000,0.000
13.0,0.594,0.033,-5.014,-0.014,0.111,2,14,0,0.247,0,1,6.049,nan,6.146,0,0,0.247,6.740,0.000,1.000,0.000
14.0,0.605,0.009,-5.021,-0.021,0.107,2,14,0,0.215,0,1,7.039,nan,7.135,0,0,0.215,7.740,0.000,1.000,0.000
15.0,0.730,0.007,-4.958,0.042,0.125,2,14,0,0.239,0,1,7.915,nan,8.010,0,0,0.239,8.740,0.000,1.000,0.000
16.0,0.865,0.061,-4.949,0.051,0.123,2,14,0,0.236,0,1,8.779,nan,8.875,0,0,0.236,9.740,0.000,1.000,0.000
17.0,0.944,0.143,-5.003,-0.003,0.122,2,14,0,0.281,0,1,9.699,nan,9.797,0,0,0.281,10.740,0.000,1.000,0.000
18.0,1.098,0.094,-5.034,-0.034,0.129,2,14,0,0.192,0,1,10.547,nan,10.643,0,0,0.192,11.740,0.000,1.000,0.000
19.0,1.227,0.082,-4.953,0.047,0.124,2,14,0,0.206,0,1,11.417,nan,11.514,0,0,0.206,12.740,0.000,1.000,0.000
20.0,1.410,0.097,-4.967,0.033,0.130,2,14,0,0.209,0,1,12.234,nan,12.331,0,0,0.209,13.740,0.000,1.000,0.000
21.0,1.576,0.144,-4.998,0.002,0.130,2,14,0,0.204,0,1,13.070,nan,13.165,0,0,0.204,14.740,0.000,1.000,0.000
22.0,1.695,0.135,-5.007,-0.007,0.114,2,14,0,0.219,0,1,13.949,nan,14.046,0,0,0.219,15.740,0.000,1.000,0.000
23.0,1.813,0.147,-4.997,0.003,0.119,2,14,0,0.209,0,1,14.832,nan,14.928,0,0,0.209,16.740,0.000,1.000,0.000
24.0,1.872,0.115,-5.012,-0.012,0.108,2,14,0,0.213,0,1,15.772,nan,15.868,0,0,0.213,17.740,0.000,1.000,0.000
25.0,2.014,0.114,-4.983,0.017,0.124,2,14,0,0.237,0,1,16.629,nan,16.726,0,0,0.237,18.740,0.000,1.000,0.000
26.0,2.130,0.033,-4.988,0.012,0.123,2,14,0,0.211,0,1,17.378,nan,17.473,0,0,0.211,19.603,0.000,0.630,0.000
27.0,2.207,-0.017,-4.966,0.034,0.113,2,14,0,0.211,0,1,17.680,nan,17.776,0,0,0.211,19.983,0.000,0.130,0.000
28.0,2.314,-0.011,-5.067,-0.067,0.113,2,14,0,0.207,0,1,17.590,nan,17.686,0,0,0.207,20.000,0.000,0.000,0.000
29.0,2.469,-0.017,-5.029,-0.029,0.122,2,14,0,0.218,0,1,17.436,nan,17.531,0,0,0.218,20.000,0.000,0.000,0.000
30.0,2.616,-0.010,-4.962,0.038,0.126,2,14,0,0.203,0,1,17.287,nan,17.384,0,0,0.203,20.000,0.000,0.000,0.000
31.0,2.757,-0.012,-5.035,-0.035,0.122,2,14,0,0.204,0,1,17.146,nan,17.243,0,0,0.204,20.000,0.000,0.000,0.000
32.0,2.931,0.096,-5.042,-0.042,0.136,2,14,0,0.365,0,1,16.975,nan,17.070,0,0,0.365,20.000,0.000,0.000,0.000
33.0,3.089,0.119,-4.968,0.032,0.127,2,14,0,0.209,0,1,16.814,nan,16.911,0,0,0.209,20.000,0.000,0.000,0.000
34.0,3.215,0.081,-4.989,0.011,0.113,2,14,0,0.204,0,1,16.689,nan,16.786,0,0,0.204,20.000,0.000,0.000,0.000
35.0,3.319,0.122,-5.017,-0.017,0.121,2,14,0,0.203,0,1,16.584,nan,16.681,0,0,0.203,20.000,0.000,0.000,0.000
36.0,3.419,0.133,-5.036,-0.036,0.112,2,14,0,0.206,0,1,16.484,nan,16.581,0,0,0.206,20.000,0.000,0.000,0.000
37.0,3.466,0.137,-5.031,-0.031,0.113,2,14,0,0.216,0,1,16.439,nan,16.534,0,0,0.216,20.000,0.000,0.000,0.000
38.0,3.500,0.030,-5.017,-0.017,0.116,2,14,0,0.218,0,1,16.403,nan,16.500,0,0,0.218,20.000,0.000,0.000,0.000
39.0,3.675,0.003,-4.973,0.027,0.130,2,14,0,0.212,0,1,16.230,nan,16.325,0,0,0.212,20.000,0.000,0.000,0.000
40.0,3.810,0.007,-4.993,0.007,0.127,2,14,0,0.211,0,1,16.094,nan,16.190,0,0,0.211,20.000,0.000,0.000,0.000
