t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.320,0.292,0.095,5.095,0.029,2,14,0,0.255,0,0,0.068,nan,0.434,0,0,0.255,0.000,0.000,0.000,0.000
2.0,0.351,0.318,-0.554,4.446,0.086,2,14,0,0.261,0,0,0.107,nan,0.474,0,0,0.261,0.000,0.000,0.000,0.000
3.0,0.227,0.394,-1.649,3.351,0.073,2,14,0,0.238,0,0,0.121,nan,0.454,0,0,0.238,0.000,0.000,0.000,0.000
4.0,0.097,0.308,-2.990,2.010,0.088,2,14,0,0.293,0,0,0.159,nan,0.323,0,0,0.293,0.000,0.000,0.000,0.000
5.0,0.166,0.283,-4.214,0.786,0.089,2,14,0,0.170,0,0,0.090,nan,0.328,0,0,0.170,0.000,0.000,0.000,0.000
6.0,0.356,0.248,-4.626,0.374,0.085,2,14,0,0.173,0,0,0.105,nan,0.434,0,0,0.173,0.000,0.000,0.000,0.000
7.0,0.303,0.178,-4.817,0.183,0.024,2,14,0,0.196,0,0,0.148,nan,0.330,0,0,0.196,-0.000,0.047,-0.001,0.168
8.0,0.247,0.196,-4.865,0.135,0.187,2,14,0,0.207,0,0,0.435,nan,0.304,0,0,0.207,-0.007,0.365,-0.017,0.468
9.0,0.144,0.570,-4.895,0.105,0.526,2,14,0,0.213,0,0,0.678,nan,0.454,0,0,0.213,-0.048,0.981,-0.075,0.764
10.0,0.176,1.203,-4.944,0.056,0.662,2,14,0,0.263,0,1,0.950,nan,0.773,0,0,0.263,-0.180,1.890,-0.202,1.049
11.0,0.125,1.540,-4.959,0.041,0.209,2,14,0,0.291,0,1,1.812,nan,1.645,0,0,0.291,-0.482,3.069,-0.420,1.302
12.0,-0.003,1.726,-4.983,0.017,0.142,2,14,0,0.272,0,1,3.051,nan,2.895,0,0,0.272,-1.035,4.431,-0.665,1.345
13.0,-0.017,1.812,-5.038,-0.038,0.108,2,14,0,0.265,0,1,4.424,nan,4.295,0,0,0.265,-1.798,5.720,-0.858,1.230
14.0,-0.125,1.876,-5.085,-0.085,0.115,2,14,0,0.312,0,1,5.759,nan,5.650,0,0,0.312,-2.745,6.882,-1.032,1.088
15.0,-0.176,1.959,-5.010,-0.010,0.119,2,14,0,0.265,0,1,7.060,nan,6.978,0,0,0.265,-3.855,7.889,-1.183,0.922
16.0,-0.308,2.035,-4.955,0.045,0.124,2,14,0,0.281,0,1,8.283,nan,8.225,0,0,0.281,-5.103,8.719,-1.308,0.735
17.0,-0.395,2.060,-4.950,0.050,0.108,2,14,0,0.284,0,1,9.516,nan,9.486,0,0,0.284,-6.460,9.353,-1.403,0.531
18.0,-0.452,2.107,-5.002,-0.002,0.117,2,14,0,0.239,0,1,10.693,nan,10.690,0,0,0.239,-7.898,9.777,-1.466,0.315
19.0,-0.551,2.168,-4.990,0.010,0.109,2,14,0,0.243,0,1,11.766,nan,11.791,0,0,0.243,-9.382,9.981,-1.497,0.093
20.0,-0.643,2.275,-4.973,0.027,0.122,2,14,0,0.214,0,1,12.749,nan,12.802,0,0,0.214,-10.881,9.961,-1.494,-0.132
21.0,-0.775,2.373,-5.007,-0.007,0.121,2,14,0,0.267,0,1,13.635,nan,13.717,0,0,0.267,-12.360,9.718,-1.458,-0.354
22.0,-0.787,2.525,-5.001,-0.001,0.120,2,14,0,0.231,0,1,14.524,nan,14.638,0,0,0.231,-13.785,9.256,-1.388,-0.568
23.0,-0.867,2.649,-4.959,0.041,0.117,2,14,0,0.527,0,1,15.304,nan,15.446,0,0,0.527,-15.126,8.586,-1.288,-0.769
24.0,-0.914,2.750,-5.005,-0.005,0.119,2,14,0,0.256,0,1,16.050,nan,16.219,0,0,0.256,-16.352,7.724,-1.159,-0.953
25.0,-1.052,2.780,-5.030,-0.030,0.121,2,14,0,0.234,0,1,16.648,nan,16.842,0,0,0.234,-17.434,6.688,-1.003,-1.115
26.0,-1.206,2.876,-5.006,-0.006,0.130,2,14,0,0.232,0,1,17.127,nan,17.345,0,0,0.232,-18.350,5.502,-0.825,-1.253
27.0,-1.281,2.937,-4.977,0.023,0.120,2,14,0,0.215,0,1,17.600,nan,17.842,0,0,0.215,-19.079,4.192,-0.629,-1.362
