t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,2.640,0.080,0.098,5.098,0.089,2,14,0,0.251,0,0,1.881,-1.292,2.752,-0.080,4.920,0.098,2,14,0,0.265,0,0,1.988,-1.344,-2.561,0.245,5.245,0.144,2,14,0,0.257,0,0,1.923,4.757,0.369,0,0,0.265,0.000,0.000,0.000,0.000
2.0,2.359,0.151,-0.535,4.465,0.572,2,14,0,0.252,0,0,1.602,-0.830,2.385,-0.653,4.347,0.821,2,14,0,0.244,0,0,1.464,-0.909,-2.154,-0.386,4.614,0.868,2,14,0,0.259,0,1,1.367,3.896,0.739,0,0,0.259,0.000,0.000,0.000,0.000
3.0,1.635,0.235,-1.662,3.338,0.882,2,14,0,0.509,0,0,0.894,-0.276,1.681,-1.818,3.182,1.021,2,14,0,0.259,0,0,0.645,-0.595,-1.758,-1.087,3.913,0.443,2,14,0,0.249,0,0,0.886,2.402,1.529,0,0,0.509,0.000,0.000,0.000,0.000
4.0,0.844,0.219,-2.930,2.070,0.515,2,14,0,0.273,0,1,0.158,0.061,0.818,-3.018,1.982,0.593,2,14,0,0.283,0,1,0.403,-0.235,-1.358,-2.431,2.569,0.539,2,14,0,0.274,0,0,0.475,0.989,2.368,1,0,0.283,0.000,0.000,0.000,0.000
5.0,0.727,0.114,-3.479,1.521,0.075,2,14,0,0.242,0,1,0.040,-0.044,0.664,-3.613,1.387,0.101,2,14,0,0.215,0,1,0.445,-0.203,-1.167,-3.397,1.603,0.061,2,14,0,0.203,0,1,0.312,0.957,2.421,2,0,0.242,0.000,0.000,0.000,0.000
6.0,0.752,0.016,-4.115,0.885,0.142,2,14,0,0.178,0,1,0.074,-0.044,0.627,-4.222,0.778,0.118,2,14,0,0.188,0,1,0.478,-0.273,-1.148,-4.031,0.969,0.111,2,14,0,0.167,0,1,0.262,1.009,2.451,3,0,0.188,0.000,0.000,0.000,0.000
7.0,0.948,-0.071,-4.705,0.295,0.163,2,14,0,0.177,0,1,0.247,-0.195,0.633,-4.798,0.202,0.157,2,14,0,0.180,0,1,0.420,-0.302,-1.297,-4.685,0.315,0.156,2,14,0,0.175,0,1,0.397,1.346,2.359,4,0,0.180,0.000,0.000,0.000,0.000
8.0,1.080,-0.121,-4.878,0.122,0.105,2,14,0,0.169,0,1,0.383,-0.285,0.712,-4.918,0.082,0.155,2,14,0,0.154,0,1,0.334,-0.362,-1.447,-4.887,0.113,0.116,2,14,0,0.171,0,1,0.542,1.599,2.244,4,0,0.171,0.000,0.000,0.000,0.000
9.0,1.074,-0.101,-4.947,0.053,0.063,2,14,0,0.290,0,0,0.369,-0.351,0.811,-4.864,0.136,0.191,2,14,0,0.180,0,0,0.246,-0.412,-1.415,-4.985,0.015,0.114,2,14,0,0.170,0,0,0.513,1.694,2.125,4,0,0.290,0.000,0.000,0.000,0.000
10.0,0.968,0.024,-4.965,0.035,0.170,2,14,0,0.169,0,0,0.221,-0.422,0.986,-4.954,0.046,0.207,2,14,0,0.187,0,0,0.156,-0.392,-1.227,-4.932,0.068,0.238,2,14,0,0.173,0,0,0.325,1.691,2.032,4,0,0.187,0.000,0.000,0.000,0.000
11.0,0.738,0.166,-4.929,0.071,0.175,2,14,0,0.177,0,0,0.078,-0.484,1.152,-4.990,0.010,0.166,2,14,0,0.186,0,0,0.233,-0.445,-1.025,-5.015,-0.015,0.258,2,14,0,0.178,0,0,0.144,1.572,2.268,4,0,0.186,0.000,0.000,0.000,0.000
12.0,0.712,0.262,-4.906,0.094,0.096,2,14,0,0.209,0,1,0.178,-0.544,1.268,-4.940,0.060,0.095,2,14,0,0.161,0,1,0.348,-0.487,-0.869,-5.005,-0.005,0.116,2,14,0,0.145,0,1,0.121,1.609,2.303,4,0,0.209,0.000,0.000,0.000,0.000
13.0,0.846,0.262,-4.980,0.020,0.080,2,14,0,0.239,0,1,0.193,-0.573,1.287,-4.935,0.065,0.066,2,14,0,0.188,0,1,0.384,-0.577,-0.835,-4.971,0.029,0.048,2,14,0,0.179,0,1,0.217,1.751,2.170,4,0,0.239,0.000,0.000,0.000,0.000
14.0,0.928,0.218,-4.947,0.053,0.071,2,14,0,0.176,0,0,0.213,-0.488,1.285,-4.937,0.063,0.103,2,14,0,0.193,0,0,0.322,-0.602,-0.849,-5.000,0.000,0.038,2,14,0,0.175,0,0,0.239,1.773,2.084,4,0,0.193,0.000,0.000,0.000,0.000
15.0,0.842,0.091,-4.972,0.028,0.116,2,14,0,0.147,0,0,0.083,-0.435,1.199,-4.984,0.016,0.091,2,14,0,0.192,0,1,0.223,-0.486,-0.942,-4.958,0.042,0.103,2,14,0,0.152,0,1,0.122,1.682,2.160,4,0,0.192,0.000,0.000,0.000,0.000
16.0,0.830,0.028,-5.050,-0.050,0.042,2,14,0,0.174,0,1,0.094,-0.471,1.152,-5.068,-0.068,0.054,2,14,0,0.191,0,1,0.223,-0.460,-0.953,-4.924,0.076,0.078,2,14,0,0.184,0,1,0.102,1.626,2.170,4,0,0.191,0.000,0.000,0.000,0.000
17.0,0.828,0.051,-5.025,-0.025,0.026,2,14,0,0.148,0,1,0.079,-0.301,1.266,-5.064,-0.064,0.079,2,14,0,0.188,0,0,0.223,-0.534,-0.987,-4.953,0.047,0.038,2,14,0,0.158,0,1,0.183,1.660,2.172,4,0,0.188,0.000,0.000,0.000,0.000
18.0,0.789,0.087,-4.993,0.007,0.038,2,14,0,0.175,0,1,0.029,-0.223,1.287,-5.068,-0.068,0.027,2,14,0,0.196,0,1,0.249,-0.558,-1.007,-5.053,-0.053,0.037,2,14,0,0.179,0,0,0.214,1.572,2.213,4,0,0.196,0.000,0.000,0.000,0.000
19.0,0.919,0.154,-4.998,0.002,0.038,2,14,0,0.388,0,0,0.173,-0.327,1.277,-4.989,0.011,0.050,2,14,0,0.182,0,0,0.238,-0.542,-0.980,-5.016,-0.016,0.112,2,14,0,0.145,0,0,0.188,1.677,2.086,4,0,0.388,0.000,0.000,0.000,0.000
20.0,0.912,0.131,-4.977,0.023,0.058,2,14,0,0.181,0,0,0.158,-0.339,1.240,-4.986,0.014,0.093,2,14,0,0.221,0,0,0.206,-0.405,-0.943,-5.032,-0.032,0.145,2,14,0,0.600,0,0,0.054,1.671,2.092,4,0,0.600,0.000,0.000,0.000,0.000
21.0,0.895,0.120,-5.033,-0.033,0.068,2,14,0,0.173,0,1,0.139,-0.365,1.199,-4.992,0.008,0.015,2,14,0,0.190,0,1,0.177,-0.299,-0.907,-5.053,-0.053,0.048,2,14,0,0.145,0,1,0.071,1.575,2.109,4,0,0.190,0.000,0.000,0.000,0.000
22.0,0.994,0.214,-5.028,-0.028,0.062,2,14,0,0.185,0,1,0.266,-0.308,1.236,-5.034,-0.034,0.034,2,14,0,0.183,0,0,0.196,-0.335,-0.925,-4.989,0.011,0.072,2,14,0,0.187,0,1,0.041,1.655,2.039,4,0,0.187,0.000,0.000,0.000,0.000
23.0,0.961,0.198,-5.030,-0.030,0.066,2,14,0,0.173,0,0,0.230,-0.267,1.188,-5.001,-0.001,0.032,2,14,0,0.183,0,1,0.144,-0.372,-0.902,-4.983,0.017,0.061,2,14,0,0.146,0,1,0.002,1.578,2.049,4,0,0.183,0.000,0.000,0.000,0.000
24.0,0.915,0.087,-4.989,0.011,0.132,2,14,0,0.151,0,0,0.157,-0.249,1.228,-4.953,0.047,0.022,2,14,0,0.184,0,1,0.187,-0.404,-0.899,-5.001,-0.001,0.032,2,14,0,0.146,0,1,0.034,1.630,2.087,4,0,0.184,0.000,0.000,0.000,0.000
25.0,0.869,0.046,-4.982,0.018,0.063,2,14,0,0.180,0,1,0.117,-0.183,1.184,-4.998,0.002,0.056,2,14,0,0.160,0,1,0.169,-0.477,-0.945,-4.982,0.018,0.041,2,14,0,0.144,0,1,0.114,1.550,2.131,4,0,0.180,0.000,0.000,0.000,0.000
26.0,0.852,0.020,-4.975,0.025,0.024,2,14,0,0.141,0,1,0.116,-0.279,1.210,-5.049,-0.049,0.056,2,14,0,0.204,0,1,0.167,-0.515,-0.965,-4.945,0.055,0.019,2,14,0,0.149,0,0,0.156,1.644,2.148,4,0,0.204,0.000,0.000,0.000,0.000
27.0,0.898,0.033,-4.982,0.018,0.028,2,14,0,0.152,0,0,0.150,-0.297,1.155,-4.950,0.050,0.067,2,14,0,0.164,0,0,0.114,-0.481,-0.989,-4.969,0.031,0.071,2,14,0,0.178,0,0,0.140,1.640,2.102,4,0,0.178,0.000,0.000,0.000,0.000
28.0,0.858,0.034,-4.978,0.022,0.069,2,14,0,0.143,0,1,0.113,-0.315,1.143,-4.990,0.010,0.051,2,14,0,0.189,0,1,0.105,-0.394,-0.952,-5.023,-0.023,0.070,2,14,0,0.179,0,1,0.053,1.595,2.142,4,0,0.189,0.000,0.000,0.000,0.000
29.0,0.943,0.050,-4.983,0.017,0.073,2,14,0,0.176,0,1,0.187,-0.289,1.194,-5.015,-0.015,0.010,2,14,0,0.190,0,0,0.151,-0.504,-1.020,-5.050,-0.050,0.069,2,14,0,0.184,0,1,0.176,1.682,2.058,4,0,0.190,0.000,0.000,0.000,0.000
