t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.159,0.214,-0.315,4.685,0.104,2,14,0,0.257,0,0,2.012,-1.604,2.708,-0.043,4.957,0.152,2,14,0,0.237,0,0,1.873,-1.353,-2.685,-0.031,4.969,0.153,2,14,0,0.271,0,0,1.943,5.371,0.267,0,0,0.271,0.000,0.000,0.000,0.000
2.0,2.685,0.261,-1.184,3.816,0.623,2,14,0,0.253,0,0,1.548,-1.165,2.344,-0.676,4.324,0.777,2,14,0,0.256,0,0,1.379,-0.872,-2.250,-0.806,4.194,0.878,2,14,0,0.238,0,0,1.340,4.370,0.718,0,0,0.256,0.000,0.000,0.000,0.000
3.0,1.860,0.362,-2.211,2.789,0.901,2,14,0,0.279,0,0,0.728,-0.791,1.529,-1.798,3.202,0.977,2,14,0,0.259,0,0,0.509,-0.189,-1.405,-2.012,2.988,1.025,2,14,0,0.271,0,0,0.452,2.713,1.773,0,0,0.279,0.000,0.000,0.000,0.000
4.0,1.425,0.467,-2.533,2.467,0.178,2,14,0,0.252,0,1,0.354,-0.627,1.044,-2.287,2.713,0.222,2,14,0,0.231,0,1,0.138,-0.004,-0.907,-2.472,2.528,0.192,2,14,0,0.317,0,1,0.397,1.983,2.258,0,0,0.317,0.000,0.000,0.000,0.000
5.0,1.471,0.482,-2.286,2.714,0.024,2,14,0,0.228,0,1,0.402,-0.486,1.006,-2.008,2.992,0.013,2,14,0,0.238,0,1,0.286,0.008,-0.850,-2.205,2.795,0.029,2,14,0,0.284,0,1,0.425,1.931,2.308,0,0,0.284,0.000,0.000,0.000,0.000
6.0,1.442,0.449,-2.210,2.790,0.025,2,14,0,0.259,0,1,0.360,-0.397,1.026,-1.811,3.189,0.053,2,14,0,0.235,0,1,0.372,-0.044,-0.856,-2.022,2.978,0.062,2,14,0,0.247,0,1,0.375,1.927,2.270,0,0,0.259,0.000,0.000,0.000,0.000
7.0,1.414,0.387,-2.087,2.913,0.028,2,14,0,0.280,0,1,0.303,-0.452,0.994,-1.708,3.292,0.039,2,14,0,0.240,0,1,0.322,-0.051,-0.850,-1.882,3.118,0.036,2,14,0,0.253,0,1,0.370,1.895,2.270,0,0,0.280,0.000,0.000,0.000,0.000
8.0,1.386,0.348,-2.004,2.996,0.028,2,14,0,0.228,0,1,0.261,-0.554,1.025,-1.589,3.411,0.044,2,14,0,0.260,0,1,0.217,-0.099,-0.918,-1.813,3.187,0.041,2,14,0,0.235,0,1,0.303,1.961,2.188,0,0,0.260,0.000,0.000,0.000,0.000
9.0,1.356,0.354,-1.990,3.010,0.014,2,14,0,0.223,0,1,0.234,-0.565,0.989,-1.589,3.411,0.016,2,14,0,0.260,0,1,0.210,-0.158,-0.926,-1.807,3.193,0.042,2,14,0,0.237,0,1,0.243,1.970,2.144,0,0,0.260,0.000,0.000,0.000,0.000
10.0,1.440,0.363,-1.991,3.009,0.031,2,14,0,0.225,0,1,0.314,-0.560,0.959,-1.528,3.472,0.016,2,14,0,0.235,0,1,0.224,-0.238,-0.923,-1.776,3.224,0.029,2,14,0,0.236,0,1,0.170,1.926,2.097,0,0,0.236,0.000,0.000,0.000,0.000
11.0,1.519,0.379,-1.987,3.013,0.024,2,14,0,0.235,0,1,0.394,-0.631,1.013,-1.495,3.505,0.036,2,14,0,0.261,0,1,0.143,-0.307,-0.938,-1.785,3.215,0.035,2,14,0,0.299,0,1,0.103,1.999,2.044,0,0,0.299,0.000,0.000,0.000,0.000
12.0,1.515,0.373,-2.013,2.987,0.010,2,14,0,0.230,0,1,0.389,-0.616,1.047,-1.476,3.524,0.024,2,14,0,0.319,0,1,0.153,-0.310,-0.969,-1.824,3.176,0.014,2,14,0,0.241,0,1,0.086,2.069,2.017,0,0,0.319,0.000,0.000,0.000,0.000
13.0,1.497,0.412,-2.024,2.976,0.009,2,14,0,0.237,0,1,0.387,-0.642,1.005,-1.519,3.481,0.011,2,14,0,0.250,0,1,0.134,-0.256,-0.975,-1.858,3.142,0.014,2,14,0,0.242,0,1,0.136,2.045,2.045,0,0,0.250,0.000,0.000,0.000,0.000
14.0,1.480,0.445,-1.969,3.031,0.001,2,14,0,0.231,0,1,0.388,-0.716,1.019,-1.506,3.494,0.015,2,14,0,0.266,0,1,0.057,-0.205,-0.945,-1.808,3.192,0.005,2,14,0,0.242,0,1,0.193,2.052,2.100,0,0,0.266,0.000,0.000,0.000,0.000
15.0,1.485,0.458,-2.007,2.993,0.017,2,14,0,0.230,0,1,0.396,-0.789,1.008,-1.411,3.589,0.013,2,14,0,0.509,0,1,0.031,-0.148,-0.950,-1.809,3.191,0.009,2,14,0,0.241,0,1,0.247,2.098,2.132,0,0,0.509,0.000,0.000,0.000,0.000
16.0,1.543,0.457,-2.087,2.913,0.009,2,14,0,0.228,0,1,0.449,-0.831,0.996,-1.392,3.608,0.008,2,14,0,0.232,0,1,0.072,-0.234,-0.961,-1.783,3.217,0.025,2,14,0,0.241,0,1,0.161,2.083,2.069,0,0,0.241,0.000,0.000,0.000,0.000
17.0,1.430,0.438,-2.030,2.970,0.017,2,14,0,0.231,0,1,0.343,-0.843,1.066,-1.437,3.563,0.023,2,14,0,0.240,0,1,0.079,-0.308,-0.952,-1.785,3.215,0.015,2,14,0,0.236,0,1,0.095,2.116,2.032,0,0,0.240,0.000,0.000,0.000,0.000
18.0,1.389,0.407,-2.015,2.985,0.007,2,14,0,0.228,0,1,0.290,-0.785,1.058,-1.403,3.597,0.008,2,14,0,0.291,0,1,0.029,-0.361,-0.969,-1.826,3.174,0.009,2,14,0,0.232,0,1,0.042,2.113,1.988,0,0,0.291,0.000,0.000,0.000,0.000
19.0,1.430,0.367,-2.024,2.976,0.017,2,14,0,0.228,0,1,0.306,-0.736,1.094,-1.424,3.576,0.010,2,14,0,0.237,0,1,0.069,-0.361,-0.940,-1.778,3.222,0.005,2,14,0,0.290,0,1,0.066,2.098,2.012,0,0,0.290,0.000,0.000,0.000,0.000
20.0,1.456,0.387,-2.065,2.935,0.013,2,14,0,0.303,0,1,0.338,-0.752,1.132,-1.483,3.517,0.013,2,14,0,0.265,0,1,0.099,-0.362,-0.945,-1.826,3.174,0.004,2,14,0,0.243,0,1,0.061,2.142,2.007,0,0,0.303,0.000,0.000,0.000,0.000
21.0,1.495,0.436,-2.039,2.961,0.014,2,14,0,0.227,0,1,0.395,-0.787,1.211,-1.462,3.538,0.017,2,14,0,0.257,0,1,0.177,-0.359,-0.935,-1.814,3.186,0.002,2,14,0,0.241,0,1,0.072,2.216,2.016,0,0,0.257,0.000,0.000,0.000,0.000
22.0,1.570,0.467,-1.976,3.024,0.011,2,14,0,0.357,0,1,0.476,-0.816,1.215,-1.450,3.550,0.004,2,14,0,0.238,0,1,0.186,-0.339,-0.961,-1.777,3.223,0.012,2,14,0,0.276,0,1,0.064,2.251,2.007,0,0,0.357,0.000,0.000,0.000,0.000
23.0,1.545,0.481,-1.884,3.116,0.003,2,14,0,0.229,0,1,0.464,-0.797,1.211,-1.486,3.514,0.012,2,14,0,0.259,0,1,0.179,-0.348,-0.965,-1.755,3.245,0.007,2,14,0,0.245,0,1,0.055,2.238,1.999,0,0,0.259,0.000,0.000,0.000,0.000
24.0,1.515,0.484,-1.940,3.060,0.003,2,14,0,0.228,0,1,0.438,-0.797,1.161,-1.501,3.499,0.007,2,14,0,0.263,0,1,0.130,-0.328,-0.956,-1.771,3.229,0.006,2,14,0,0.237,0,1,0.076,2.185,2.018,0,0,0.263,0.000,0.000,0.000,0.000
25.0,1.510,0.460,-1.938,3.062,0.012,2,14,0,0.233,0,1,0.421,-0.772,1.171,-1.512,3.488,0.011,2,14,0,0.258,0,1,0.138,-0.331,-0.927,-1.736,3.264,0.006,2,14,0,0.241,0,1,0.093,2.156,2.039,0,0,0.258,0.000,0.000,0.000,0.000
26.0,1.505,0.462,-1.955,3.045,0.003,2,14,0,0.227,0,1,0.419,-0.738,1.178,-1.534,3.466,0.002,2,14,0,0.232,0,1,0.148,-0.366,-0.912,-1.738,3.262,0.008,2,14,0,0.243,0,1,0.092,2.133,2.032,0,0,0.243,0.000,0.000,0.000,0.000
27.0,1.504,0.417,-2.030,2.970,0.005,2,14,0,0.224,0,1,0.395,-0.779,1.166,-1.543,3.457,0.008,2,14,0,0.267,0,1,0.133,-0.334,-0.911,-1.755,3.245,0.005,2,14,0,0.237,0,1,0.105,2.135,2.051,0,0,0.267,0.000,0.000,0.000,0.000
28.0,1.404,0.464,-2.051,2.949,0.017,2,14,0,0.254,0,1,0.339,-0.755,1.235,-1.579,3.421,0.013,2,14,0,0.259,0,1,0.201,-0.411,-0.924,-1.715,3.285,0.010,2,14,0,0.236,0,1,0.078,2.190,1.996,0,0,0.259,0.000,0.000,0.000,0.000
29.0,1.426,0.496,-1.991,3.009,0.010,2,14,0,0.233,0,1,0.374,-0.713,1.233,-1.526,3.474,0.006,2,14,0,0.230,0,1,0.207,-0.425,-0.887,-1.714,3.286,0.006,2,14,0,0.242,0,1,0.118,2.148,2.020,0,0,0.242,0.000,0.000,0.000,0.000
30.0,1.392,0.520,-1.991,3.009,0.009,2,14,0,0.226,0,1,0.368,-0.734,1.277,-1.535,3.465,0.009,2,14,0,0.231,0,1,0.246,-0.348,-0.945,-1.633,3.367,0.024,2,14,0,0.241,0,1,0.068,2.258,2.014,0,0,0.241,0.000,0.000,0.000,0.000
31.0,1.441,0.513,-2.036,2.964,0.015,2,14,0,0.287,0,1,0.398,-0.709,1.286,-1.502,3.498,0.009,2,14,0,0.300,0,1,0.259,-0.306,-0.953,-1.609,3.391,0.005,2,14,0,0.312,0,1,0.095,2.277,2.032,0,0,0.312,0.000,0.000,0.000,0.000
32.0,1.451,0.526,-2.017,2.983,0.009,2,14,0,0.231,0,1,0.414,-0.730,1.264,-1.446,3.554,0.008,2,14,0,0.235,0,1,0.235,-0.325,-0.955,-1.644,3.356,0.002,2,14,0,0.239,0,1,0.078,2.264,2.019,0,0,0.239,0.000,0.000,0.000,0.000
33.0,1.528,0.527,-2.043,2.957,0.007,2,14,0,0.231,0,1,0.473,-0.677,1.203,-1.420,3.580,0.011,2,14,0,0.238,0,1,0.193,-0.388,-0.965,-1.757,3.243,0.010,2,14,0,0.239,0,1,0.034,2.214,1.975,0,0,0.239,0.000,0.000,0.000,0.000
34.0,1.520,0.499,-1.956,3.044,0.001,2,14,0,0.231,0,1,0.450,-0.693,1.185,-1.427,3.573,0.008,2,14,0,0.280,0,1,0.170,-0.388,-0.966,-1.703,3.297,0.004,2,14,0,0.236,0,1,0.034,2.190,1.975,0,0,0.280,0.000,0.000,0.000,0.000
35.0,1.498,0.515,-1.961,3.039,0.002,2,14,0,0.329,0,1,0.442,-0.723,1.218,-1.435,3.565,0.014,2,14,0,0.235,0,1,0.189,-0.385,-0.928,-1.656,3.344,0.009,2,14,0,0.243,0,1,0.071,2.184,2.008,0,0,0.329,0.000,0.000,0.000,0.000
36.0,1.531,0.575,-1.938,3.062,0.012,2,14,0,0.229,0,1,0.505,-0.723,1.246,-1.392,3.608,0.005,2,14,0,0.236,0,1,0.218,-0.479,-0.911,-1.627,3.373,0.018,2,14,0,0.239,0,1,0.126,2.184,1.972,0,0,0.239,0.000,0.000,0.000,0.000
37.0,1.490,0.535,-1.882,3.118,0.019,2,14,0,0.228,0,1,0.451,-0.663,1.292,-1.355,3.645,0.010,2,14,0,0.231,0,1,0.281,-0.499,-0.942,-1.651,3.349,0.005,2,14,0,0.305,0,1,0.124,2.260,1.935,0,0,0.305,0.000,0.000,0.000,0.000
38.0,1.457,0.530,-1.844,3.156,0.005,2,14,0,0.229,0,1,0.422,-0.699,1.247,-1.376,3.624,0.007,2,14,0,0.242,0,1,0.226,-0.366,-0.994,-1.689,3.311,0.023,2,14,0,0.246,0,1,0.024,2.287,1.964,0,0,0.246,0.000,0.000,0.000,0.000
39.0,1.398,0.508,-1.884,3.116,0.005,2,14,0,0.222,0,1,0.364,-0.669,1.210,-1.457,3.543,0.009,2,14,0,0.256,0,1,0.204,-0.365,-0.981,-1.707,3.293,0.009,2,14,0,0.324,0,1,0.031,2.224,1.976,0,0,0.324,0.000,0.000,0.000,0.000
40.0,1.400,0.539,-1.920,3.080,0.014,2,14,0,0.227,0,1,0.387,-0.690,1.223,-1.503,3.497,0.005,2,14,0,0.260,0,1,0.206,-0.368,-0.930,-1.694,3.306,0.011,2,14,0,0.236,0,1,0.073,2.185,2.016,0,0,0.260,0.000,0.000,0.000,0.000
41.0,1.432,0.559,-1.866,3.134,0.007,2,14,0,0.234,0,1,0.424,-0.709,1.267,-1.580,3.420,0.011,2,14,0,0.261,0,1,0.240,-0.330,-0.896,-1.680,3.320,0.008,2,14,0,0.246,0,1,0.119,2.199,2.065,0,0,0.261,0.000,0.000,0.000,0.000
42.0,1.439,0.527,-1.879,3.121,0.010,2,14,0,0.225,0,1,0.405,-0.673,1.296,-1.590,3.410,0.005,2,14,0,0.265,0,1,0.280,-0.318,-0.911,-1.723,3.277,0.005,2,14,0,0.240,0,1,0.114,2.240,2.060,0,0,0.265,0.000,0.000,0.000,0.000
43.0,1.446,0.503,-1.811,3.189,0.005,2,14,0,0.229,0,1,0.396,-0.718,1.278,-1.534,3.466,0.007,2,14,0,0.295,0,1,0.250,-0.346,-0.907,-1.688,3.312,0.006,2,14,0,0.242,0,1,0.103,2.222,2.047,0,0,0.295,0.000,0.000,0.000,0.000
44.0,1.441,0.458,-1.794,3.206,0.008,2,14,0,0.344,0,1,0.363,-0.763,1.262,-1.537,3.463,0.008,2,14,0,0.233,0,1,0.230,-0.309,-0.900,-1.589,3.411,0.002,2,14,0,0.273,0,1,0.128,2.210,2.074,0,0,0.344,0.000,0.000,0.000,0.000
45.0,1.551,0.490,-1.885,3.115,0.013,2,14,0,0.228,0,1,0.471,-0.789,1.237,-1.543,3.457,0.004,2,14,0,0.264,0,1,0.205,-0.290,-0.884,-1.650,3.350,0.002,2,14,0,0.245,0,1,0.153,2.182,2.098,0,0,0.264,0.000,0.000,0.000,0.000
46.0,1.559,0.477,-1.871,3.129,0.007,2,14,0,0.358,0,1,0.473,-0.724,1.233,-1.605,3.395,0.012,2,14,0,0.261,0,1,0.205,-0.347,-0.904,-1.711,3.289,0.006,2,14,0,0.244,0,1,0.104,2.173,2.049,0,0,0.358,0.000,0.000,0.000,0.000
47.0,1.498,0.483,-1.847,3.153,0.014,2,14,0,0.240,0,1,0.424,-0.757,1.245,-1.594,3.406,0.004,2,14,0,0.262,0,1,0.211,-0.365,-0.929,-1.672,3.328,0.013,2,14,0,0.244,0,1,0.075,2.210,2.018,0,0,0.262,0.000,0.000,0.000,0.000
48.0,1.454,0.495,-1.849,3.151,0.006,2,14,0,0.226,0,1,0.395,-0.757,1.263,-1.637,3.363,0.006,2,14,0,0.270,0,1,0.231,-0.338,-0.962,-1.641,3.359,0.009,2,14,0,0.570,0,1,0.064,2.265,2.007,0,0,0.570,0.000,0.000,0.000,0.000
49.0,1.450,0.482,-1.834,3.166,0.001,2,14,0,0.231,0,1,0.385,-0.757,1.253,-1.564,3.436,0.004,2,14,0,0.343,0,1,0.219,-0.339,-0.934,-1.636,3.364,0.005,2,14,0,0.251,0,1,0.083,2.228,2.029,0,0,0.343,0.000,0.000,0.000,0.000
50.0,1.489,0.540,-1.877,3.123,0.011,2,14,0,0.236,0,1,0.450,-0.750,1.274,-1.645,3.355,0.003,2,14,0,0.262,0,1,0.241,-0.343,-0.948,-1.642,3.358,0.007,2,14,0,0.267,0,1,0.070,2.258,2.015,0,0,0.267,0.000,0.000,0.000,0.000
51.0,1.494,0.544,-1.837,3.163,0.008,2,14,0,0.225,0,1,0.459,-0.764,1.284,-1.589,3.411,0.003,2,14,0,0.262,0,1,0.250,-0.400,-0.925,-1.669,3.331,0.013,2,14,0,0.239,0,1,0.075,2.240,2.002,0,0,0.262,0.000,0.000,0.000,0.000
52.0,1.482,0.553,-1.767,3.233,0.007,2,14,0,0.226,0,1,0.455,-0.751,1.279,-1.507,3.493,0.009,2,14,0,0.260,0,1,0.247,-0.402,-0.888,-1.687,3.313,0.010,2,14,0,0.250,0,1,0.112,2.202,2.032,0,0,0.260,0.000,0.000,0.000,0.000
53.0,1.440,0.528,-1.776,3.224,0.009,2,14,0,0.222,0,1,0.408,-0.755,1.247,-1.509,3.491,0.007,2,14,0,0.261,0,1,0.214,-0.348,-0.860,-1.764,3.236,0.013,2,14,0,0.249,0,1,0.146,2.161,2.085,0,0,0.261,0.000,0.000,0.000,0.000
54.0,1.451,0.526,-1.810,3.190,0.008,2,14,0,0.229,0,1,0.412,-0.703,1.248,-1.518,3.482,0.009,2,14,0,0.266,0,1,0.224,-0.309,-0.852,-1.701,3.299,0.008,2,14,0,0.242,0,1,0.168,2.144,2.114,0,0,0.266,0.000,0.000,0.000,0.000
55.0,1.477,0.553,-1.831,3.169,0.007,2,14,0,0.313,0,1,0.450,-0.704,1.195,-1.461,3.539,0.007,2,14,0,0.264,0,1,0.174,-0.282,-0.853,-1.735,3.265,0.007,2,14,0,0.242,0,1,0.182,2.108,2.128,0,0,0.313,0.000,0.000,0.000,0.000
56.0,1.514,0.551,-1.874,3.126,0.007,2,14,0,0.334,0,1,0.476,-0.710,1.219,-1.527,3.473,0.007,2,14,0,0.234,0,1,0.195,-0.224,-0.854,-1.791,3.209,0.012,2,14,0,0.250,0,1,0.221,2.145,2.161,0,0,0.334,0.000,0.000,0.000,0.000
57.0,1.525,0.509,-1.894,3.106,0.009,2,14,0,0.221,0,1,0.462,-0.713,1.257,-1.618,3.382,0.010,2,14,0,0.254,0,1,0.229,-0.242,-0.817,-1.839,3.161,0.008,2,14,0,0.244,0,1,0.235,2.139,2.181,0,0,0.254,0.000,0.000,0.000,0.000
58.0,1.523,0.489,-1.978,3.022,0.006,2,14,0,0.226,0,1,0.447,-0.711,1.257,-1.619,3.381,0.004,2,14,0,0.230,0,1,0.231,-0.271,-0.792,-1.873,3.127,0.006,2,14,0,0.242,0,1,0.239,2.111,2.184,0,0,0.242,0.000,0.000,0.000,0.000
59.0,1.537,0.453,-1.952,3.048,0.005,2,14,0,0.280,0,1,0.442,-0.693,1.259,-1.638,3.362,0.004,2,14,0,0.237,0,1,0.239,-0.284,-0.817,-1.841,3.159,0.005,2,14,0,0.249,0,1,0.211,2.126,2.156,0,0,0.280,0.000,0.000,0.000,0.000
60.0,1.489,0.395,-1.876,3.124,0.015,2,14,0,0.229,0,1,0.374,-0.754,1.237,-1.581,3.419,0.009,2,14,0,0.260,0,1,0.204,-0.305,-0.826,-1.799,3.201,0.006,2,14,0,0.272,0,1,0.194,2.122,2.138,0,0,0.272,0.000,0.000,0.000,0.000
61.0,1.481,0.363,-1.821,3.179,0.006,2,14,0,0.254,0,1,0.353,-0.749,1.244,-1.597,3.403,0.005,2,14,0,0.257,0,1,0.212,-0.349,-0.786,-1.775,3.225,0.007,2,14,0,0.242,0,1,0.218,2.077,2.147,0,0,0.257,0.000,0.000,0.000,0.000
62.0,1.556,0.385,-1.870,3.130,0.009,2,14,0,0.227,0,1,0.432,-0.706,1.245,-1.526,3.474,0.004,2,14,0,0.239,0,1,0.221,-0.363,-0.781,-1.837,3.163,0.006,2,14,0,0.252,0,1,0.220,2.078,2.143,0,0,0.252,0.000,0.000,0.000,0.000
63.0,1.565,0.420,-1.921,3.079,0.003,2,14,0,0.232,0,1,0.453,-0.698,1.268,-1.604,3.396,0.009,2,14,0,0.255,0,1,0.245,-0.384,-0.784,-1.847,3.153,0.002,2,14,0,0.249,0,1,0.216,2.090,2.130,0,0,0.255,0.000,0.000,0.000,0.000
64.0,1.544,0.436,-1.853,3.147,0.004,2,14,0,0.223,0,1,0.439,-0.672,1.247,-1.565,3.435,0.001,2,14,0,0.365,0,1,0.236,-0.317,-0.858,-1.863,3.137,0.018,2,14,0,0.235,0,1,0.160,2.155,2.104,0,0,0.365,0.000,0.000,0.000,0.000
65.0,1.555,0.480,-1.906,3.094,0.008,2,14,0,0.225,0,1,0.471,-0.717,1.231,-1.532,3.468,0.003,2,14,0,0.274,0,1,0.205,-0.283,-0.912,-1.829,3.171,0.007,2,14,0,0.242,0,1,0.138,2.206,2.080,0,0,0.274,0.000,0.000,0.000,0.000
66.0,1.582,0.523,-1.917,3.083,0.012,2,14,0,0.305,0,1,0.515,-0.692,1.249,-1.451,3.549,0.008,2,14,0,0.239,0,1,0.229,-0.258,-0.928,-1.839,3.161,0.005,2,14,0,0.251,0,1,0.150,2.253,2.081,0,0,0.305,0.000,0.000,0.000,0.000
67.0,1.552,0.531,-1.899,3.101,0.011,2,14,0,0.222,0,1,0.496,-0.692,1.218,-1.499,3.501,0.009,2,14,0,0.255,0,1,0.202,-0.266,-0.905,-1.818,3.182,0.005,2,14,0,0.242,0,1,0.156,2.189,2.095,0,0,0.255,0.000,0.000,0.000,0.000
68.0,1.516,0.514,-1.973,3.027,0.011,2,14,0,0.223,0,1,0.456,-0.751,1.228,-1.483,3.517,0.011,2,14,0,0.307,0,1,0.194,-0.260,-0.930,-1.885,3.115,0.005,2,14,0,0.243,0,1,0.147,2.249,2.079,0,0,0.307,0.000,0.000,0.000,0.000
69.0,1.533,0.514,-1.937,3.063,0.006,2,14,0,0.221,0,1,0.469,-0.735,1.228,-1.502,3.498,0.008,2,14,0,0.254,0,1,0.197,-0.250,-0.906,-1.826,3.174,0.005,2,14,0,0.240,0,1,0.169,2.212,2.104,0,0,0.254,0.000,0.000,0.000,0.000
70.0,1.567,0.551,-1.823,3.177,0.007,2,14,0,0.222,0,1,0.519,-0.731,1.206,-1.530,3.470,0.001,2,14,0,0.231,0,1,0.176,-0.285,-0.894,-1.828,3.172,0.005,2,14,0,0.236,0,1,0.149,2.167,2.093,0,0,0.236,0.000,0.000,0.000,0.000
71.0,1.601,0.594,-1.870,3.130,0.010,2,14,0,0.227,0,1,0.571,-0.664,1.232,-1.659,3.341,0.010,2,14,0,0.226,0,1,0.225,-0.273,-0.852,-1.801,3.199,0.006,2,14,0,0.288,0,1,0.188,2.125,2.134,0,0,0.288,0.000,0.000,0.000,0.000
