t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,0,0,0.000,nan,nan,nan,nan
2.0,-0.011,-0.092,-0.658,4.342,0.028,2,14,-1,0.000,0,0,0.000,nan,nan,0,0,0.000,nan,nan,nan,nan
3.0,0.027,-0.158,-3.207,1.793,0.044,2,14,-1,0.000,0,0,0.000,nan,nan,0,0,0.000,nan,nan,nan,nan
4.0,0.019,-0.224,-4.314,0.686,0.030,2,14,-1,0.000,0,0,0.000,nan,nan,0,0,0.000,nan,nan,nan,nan
5.0,-0.015,-0.177,-4.224,0.776,0.009,2,14,-1,0.000,0,0,0.000,nan,0.178,0,0,0.000,0.000,0.000,0.000,0.000
6.0,0.061,-0.185,-4.119,0.881,0.023,2,4,-1,0.000,0,0,0.000,nan,0.195,0,0,0.000,0.000,0.000,0.000,0.000
7.0,-0.056,-0.155,-4.145,0.855,0.061,2,4,-1,0.000,0,0,0.000,nan,0.164,0,0,0.000,0.000,0.000,0.000,0.000
8.0,-0.038,-0.207,-4.103,0.897,0.051,2,4,-1,0.000,0,0,0.000,nan,0.210,0,0,0.000,0.000,0.000,0.000,0.000
9.0,0.032,-0.190,-4.130,0.870,0.020,2,4,-1,0.000,0,0,0.000,nan,0.193,0,0,0.000,0.000,0.000,0.000,0.000
10.0,-0.065,-0.222,-4.133,0.867,0.030,2,4,-1,0.000,0,0,0.000,nan,0.231,0,0,0.000,0.000,0.000,0.000,0.000
11.0,-0.116,-0.223,-4.087,0.913,0.057,2,4,0,0.201,41,1,0.038,nan,0.251,0,41,0.201,0.000,0.000,0.000,0.000
12.0,-0.095,-0.220,-4.094,0.906,0.076,2,4,0,0.201,41,1,0.038,nan,0.239,0,41,0.201,0.000,0.000,0.000,0.000
13.0,0.004,-0.187,-4.180,0.820,0.036,2,4,0,0.201,41,1,0.038,nan,0.187,0,41,0.201,0.000,0.000,0.000,0.000
14.0,0.048,-0.161,-4.134,0.866,0.018,2,4,0,0.201,41,1,0.038,nan,0.168,0,41,0.201,0.000,0.000,0.000,0.000
15.0,0.051,-0.101,-4.149,0.851,0.046,2,4,0,0.201,41,1,0.038,nan,0.113,0,41,0.201,0.000,0.000,0.000,0.000
16.0,0.035,-0.144,-4.180,0.820,0.082,2,4,0,0.201,41,1,0.038,nan,0.148,0,41,0.201,0.000,0.000,0.000,0.000
17.0,0.035,-0.144,-4.180,0.820,0.082,2,4,0,0.201,41,1,0.038,nan,0.148,0,41,0.201,0.000,0.000,0.000,0.000
18.0,0.024,-0.167,-4.204,0.796,0.076,2,4,0,0.201,41,1,0.038,nan,0.169,0,41,0.201,0.000,0.000,0.000,0.000
