t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.247,0.028,0.251,5.251,0.042,2,14,0,0.231,0,0,0.197,0.0245,0,nan,0.249,0,0,0.231,0.000,0.000,0.000,0.000
2.0,0.344,-0.095,-0.541,4.459,0.054,2,14,0,0.229,0,0,0.095,0.0469,0,nan,0.357,0,0,0.229,0.000,0.000,0.000,0.000
3.0,0.350,-0.115,-1.756,3.244,0.082,2,14,0,0.289,0,0,0.087,0.0469,0,nan,0.369,0,0,0.289,0.000,0.000,0.000,0.000
4.0,0.216,-0.171,-2.974,2.026,0.099,2,14,0,0.416,0,0,0.064,0.0469,0,nan,0.276,0,0,0.416,0.000,0.000,0.000,0.000
5.0,0.205,-0.257,-4.155,0.845,0.056,2,14,0,0.170,0,0,0.119,0.0469,0,nan,0.329,0,0,0.170,0.000,0.000,0.000,0.000
6.0,0.243,-0.293,-4.663,0.337,0.021,2,14,0,0.176,0,0,0.133,0.0469,0,nan,0.380,0,0,0.176,0.000,0.000,0.000,0.000
7.0,0.303,-0.310,-4.807,0.193,0.057,2,14,0,0.180,0,0,0.193,0.0499,0,nan,0.468,0,0,0.180,-0.000,0.047,-0.001,0.168
8.0,0.256,-0.224,-4.850,0.150,0.245,2,14,0,0.199,0,0,0.424,0.1464,0,nan,0.644,0,0,0.199,-0.007,0.365,-0.017,0.468
9.0,0.253,0.233,-4.961,0.039,0.601,2,14,0,0.227,0,0,0.588,0.2659,0,nan,0.807,0,0,0.227,-0.048,0.981,-0.075,0.764
10.0,0.303,0.954,-4.972,0.028,0.938,2,14,0,0.205,0,0,0.797,0.3823,0,nan,1.053,0,0,0.205,-0.180,1.890,-0.202,1.049
11.0,0.197,2.052,-4.948,0.052,1.336,2,14,0,0.238,0,0,0.941,0.5233,0,nan,1.223,0,0,0.238,-0.482,3.069,-0.420,1.302
12.0,-0.104,3.644,-4.929,0.071,1.810,2,14,0,0.198,0,0,0.913,0.6488,0,nan,1.219,0,0,0.198,-1.035,4.431,-0.665,1.345
13.0,-0.838,5.501,-4.957,0.043,2.067,2,14,0,0.248,0,0,0.682,0.6767,0,nan,0.985,0,0,0.248,-1.798,5.720,-0.858,1.230
14.0,-2.009,7.324,-4.997,0.003,2.115,2,14,0,0.223,0,0,0.755,0.6767,0,nan,0.858,0,0,0.223,-2.745,6.882,-1.032,1.088
15.0,-3.356,8.982,-5.010,-0.010,2.078,2,14,0,0.279,0,0,1.277,0.6767,0,nan,1.202,0,0,0.279,-3.855,7.889,-1.183,0.922
16.0,-4.806,10.373,-5.036,-0.036,1.958,2,14,0,0.237,0,0,1.820,0.6767,0,nan,1.681,0,0,0.237,-5.103,8.719,-1.308,0.735
17.0,-6.442,11.483,-5.032,-0.032,1.812,2,14,0,0.223,0,0,2.302,0.6767,0,nan,2.131,0,0,0.223,-6.460,9.353,-1.403,0.531
18.0,-8.024,12.249,-4.981,0.019,1.587,2,14,0,0.233,0,0,2.669,0.6767,0,nan,2.476,0,0,0.233,-7.898,9.777,-1.466,0.315
19.0,-9.425,12.668,-5.038,-0.038,1.397,2,14,0,0.261,0,0,2.871,0.6767,0,nan,2.688,0,0,0.261,-9.382,9.981,-1.497,0.093
20.0,-10.820,12.688,-5.035,-0.035,1.366,2,14,0,0.228,0,0,2.900,0.6767,0,nan,2.728,0,0,0.228,-10.881,9.961,-1.494,-0.132
21.0,-12.034,12.383,-5.036,-0.036,1.457,2,14,0,0.311,0,0,2.831,0.6767,0,nan,2.686,0,0,0.311,-12.360,9.718,-1.458,-0.354
22.0,-13.427,11.651,-4.982,0.018,1.736,2,14,0,0.252,0,0,2.561,0.6767,0,nan,2.422,0,0,0.252,-13.785,9.256,-1.388,-0.568
23.0,-15.000,10.537,-4.974,0.026,2.025,2,14,0,0.194,0,0,2.131,0.7010,0,nan,1.955,0,0,0.194,-15.126,8.586,-1.288,-0.769
24.0,-16.453,8.971,-4.963,0.037,2.270,2,14,0,0.185,0,0,1.475,0.7808,0,nan,1.252,0,0,0.185,-16.352,7.724,-1.159,-0.953
25.0,-17.637,7.033,-5.004,-0.004,2.374,2,14,0,0.175,0,0,0.708,0.7813,0,nan,0.400,0,0,0.175,-17.434,6.688,-1.003,-1.115
26.0,-18.540,4.946,-5.013,-0.013,2.199,2,14,0,0.194,0,0,0.611,0.7813,0,nan,0.588,0,0,0.194,-18.350,5.502,-0.825,-1.253
27.0,-19.192,3.033,-5.051,-0.051,1.945,2,14,0,0.221,0,0,1.069,0.7813,0,nan,1.165,0,0,0.221,-19.079,4.192,-0.629,-1.362
28.0,-19.534,1.250,-5.010,-0.010,1.706,2,14,0,0.190,0,0,1.375,0.7813,0,nan,1.540,0,0,0.190,-19.603,2.788,-0.418,-1.441
29.0,-19.657,-0.308,-4.989,0.011,1.445,2,14,0,0.197,0,0,1.465,0.7813,0,nan,1.650,0,0,0.197,-19.912,1.322,-0.198,-1.487
30.0,-19.666,-1.649,-5.009,-0.009,1.179,2,14,0,0.197,0,0,1.301,0.7813,0,nan,1.512,0,0,0.197,-19.998,-0.174,0.026,-1.500
31.0,-19.584,-2.636,-4.975,0.025,0.888,2,14,0,0.166,0,0,0.798,0.7813,0,nan,1.009,0,0,0.166,-19.860,-1.666,0.250,-1.479
32.0,-19.367,-3.446,-4.996,0.004,0.891,2,14,0,0.170,0,0,0.216,0.7813,0,nan,0.351,0,0,0.170,-19.500,-3.121,0.468,-1.425
33.0,-18.899,-4.377,-5.045,-0.045,1.162,2,14,0,0.164,0,0,0.387,0.7813,0,nan,0.132,0,0,0.164,-18.927,-4.506,0.676,-1.339
34.0,-18.202,-5.522,-5.059,-0.059,1.496,2,14,0,0.166,0,0,0.543,0.7813,0,nan,0.271,0,0,0.166,-18.154,-5.789,0.868,-1.223
35.0,-17.371,-6.871,-5.016,-0.016,1.738,2,14,0,0.179,0,0,0.512,0.7813,0,nan,0.188,0,0,0.179,-17.197,-6.943,1.041,-1.080
36.0,-16.278,-8.220,-4.915,0.085,1.866,2,14,0,0.169,0,0,0.500,0.7813,0,nan,0.343,0,0,0.169,-16.079,-7.940,1.191,-0.912
37.0,-14.930,-9.392,-4.962,0.038,1.890,2,14,0,0.190,0,0,0.606,0.7813,0,nan,0.641,0,0,0.190,-14.824,-8.760,1.314,-0.724
38.0,-13.292,-10.289,-5.032,-0.032,1.871,2,14,0,0.196,0,0,0.750,0.7813,0,nan,0.922,0,0,0.196,-13.461,-9.382,1.407,-0.519
39.0,-11.548,-10.831,-5.018,-0.018,1.770,2,14,0,0.186,0,0,0.887,0.7813,0,nan,1.139,0,0,0.186,-12.020,-9.794,1.469,-0.303
40.0,-9.900,-11.023,-4.992,0.008,1.633,2,14,0,0.236,0,0,0.941,0.7813,0,nan,1.215,0,0,0.236,-10.534,-9.986,1.498,-0.080
41.0,-8.286,-10.780,-4.988,0.012,1.553,2,14,0,0.167,0,0,0.807,0.7813,0,nan,1.116,0,0,0.167,-9.035,-9.953,1.493,0.145
42.0,-6.878,-10.229,-5.017,-0.017,1.512,2,14,0,0.163,0,0,0.539,0.7813,0,nan,0.864,0,0,0.163,-7.559,-9.697,1.455,0.366
43.0,-5.619,-9.520,-4.983,0.017,1.495,2,14,0,0.165,0,0,0.271,0.7813,0,nan,0.597,0,0,0.165,-6.137,-9.224,1.384,0.579
44.0,-4.381,-8.662,-5.048,-0.048,1.511,2,14,0,0.162,0,0,0.137,0.7813,0,nan,0.438,0,0,0.162,-4.802,-8.543,1.281,0.780
45.0,-3.196,-7.800,-5.003,-0.003,1.510,2,14,0,0.165,0,0,0.114,0.7813,0,nan,0.409,0,0,0.165,-3.584,-7.670,1.151,0.962
46.0,-1.986,-6.768,-4.975,0.025,1.523,2,14,0,0.175,0,0,0.244,0.7813,0,nan,0.542,0,0,0.175,-2.510,-6.625,0.994,1.124
47.0,-0.921,-5.653,-4.974,0.026,1.492,2,14,0,0.171,0,0,0.401,0.7813,0,nan,0.718,0,0,0.171,-1.604,-5.432,0.815,1.259
48.0,-0.245,-4.458,-4.973,0.027,1.474,2,14,0,0.163,0,0,0.403,0.7813,0,nan,0.727,0,0,0.163,-0.886,-4.116,0.617,1.367
49.0,0.230,-3.080,-4.999,0.001,1.559,2,14,0,0.166,0,0,0.383,0.7813,0,nan,0.709,0,0,0.166,-0.374,-2.708,0.406,1.444
50.0,0.512,-1.480,-4.971,0.029,1.645,2,14,0,0.162,0,0,0.320,0.7813,0,nan,0.637,0,0,0.162,-0.077,-1.239,0.186,1.488
51.0,0.632,0.118,-5.006,-0.006,1.662,2,14,0,0.167,0,0,0.355,0.7813,0,nan,0.651,0,0,0.167,-0.003,0.258,-0.039,1.500
52.0,0.543,1.740,-4.997,0.003,1.642,2,14,0,0.161,0,0,0.444,0.7813,0,nan,0.698,0,0,0.161,-0.154,1.749,-0.262,1.477
53.0,0.125,3.325,-4.936,0.064,1.633,2,14,0,0.168,0,0,0.470,0.7813,0,nan,0.663,0,0,0.168,-0.526,3.201,-0.480,1.421
54.0,-0.462,4.802,-4.983,0.017,1.589,2,14,0,0.165,0,0,0.534,0.7813,0,nan,0.686,0,0,0.165,-1.111,4.581,-0.687,1.333
55.0,-1.381,6.079,-4.958,0.042,1.569,2,14,0,0.168,0,0,0.452,0.7813,0,nan,0.560,0,0,0.168,-1.895,5.858,-0.879,1.216
56.0,-2.412,7.206,-5.000,0.000,1.548,2,14,0,0.169,0,0,0.405,0.7813,0,nan,0.493,0,0,0.169,-2.861,7.003,-1.050,1.071
57.0,-3.637,8.125,-5.027,-0.027,1.562,2,14,0,0.166,0,0,0.304,0.7813,0,nan,0.376,0,0,0.166,-3.988,7.991,-1.199,0.902
58.0,-5.000,8.884,-5.006,-0.006,1.585,2,14,0,0.159,0,0,0.244,0.7813,0,nan,0.263,0,0,0.159,-5.250,8.800,-1.320,0.713
59.0,-6.343,9.523,-5.061,-0.061,1.567,2,14,0,0.178,0,0,0.277,0.7813,0,nan,0.297,0,0,0.178,-6.618,9.411,-1.412,0.507
60.0,-7.888,9.915,-5.017,-0.017,1.570,2,14,0,0.169,0,0,0.290,0.7813,0,nan,0.203,0,0,0.169,-8.063,9.811,-1.472,0.291
61.0,-9.423,10.177,-5.002,-0.002,1.549,2,14,0,0.166,0,0,0.378,0.7813,0,nan,0.227,0,0,0.166,-9.550,9.990,-1.498,0.067
62.0,-10.889,10.208,-4.974,0.026,1.528,2,14,0,0.166,0,0,0.445,0.7813,0,nan,0.308,0,0,0.166,-11.048,9.945,-1.492,-0.157
