t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.112,-0.078,-0.258,4.742,0.066,2,14,0,0.231,0,0,0.065,0.0093,0,-1.486,2.710,0.222,5.222,0.041,2,14,0,0.225,0,0,0.163,0.0159,0,-1.239,-2.689,0.299,5.299,0.047,2,14,0,0.352,0,0,0.085,0.0100,0,5.105,0.277,0,0,0.352,0.000,0.000,0.000,0.000
2.0,3.129,-0.092,-1.146,3.854,0.072,2,14,0,0.226,0,0,0.079,0.0191,0,-1.386,2.717,-0.465,4.535,0.116,2,14,0,0.310,0,0,0.071,0.0452,0,-1.228,-2.592,-0.425,4.575,0.124,2,14,0,0.257,0,0,0.099,0.0262,0,5.075,0.272,0,0,0.310,0.000,0.000,0.000,0.000
3.0,3.060,-0.077,-2.171,2.829,0.048,2,14,0,0.284,0,0,0.031,0.0197,0,-1.289,2.764,-1.142,3.858,0.091,2,12,0,0.289,0,0,0.072,0.0452,0,-1.302,-2.556,-1.585,3.415,0.044,2,14,0,0.240,0,0,0.091,0.0270,0,5.051,0.269,0,0,0.289,0.000,0.000,0.000,0.000
4.0,3.057,-0.100,-3.425,1.575,0.044,2,14,0,0.287,0,0,0.009,0.0197,0,-1.208,2.767,-0.077,4.923,0.073,2,12,0,0.289,0,0,0.072,0.0452,0,-1.376,-2.610,-2.813,2.187,0.064,2,14,0,0.314,0,0,0.073,0.0270,0,5.131,0.337,0,0,0.314,0.000,0.000,0.000,0.000
5.0,3.036,-0.076,-4.382,0.618,0.029,2,14,0,0.174,0,0,0.037,0.0197,0,-1.279,2.796,-0.016,4.984,0.092,2,12,0,0.289,0,0,0.072,0.0452,0,-1.310,-2.685,-4.142,0.858,0.043,2,14,0,0.179,0,0,0.039,0.0270,0,5.074,0.297,0,0,0.289,0.000,0.000,0.000,0.000
6.0,3.056,-0.145,-4.734,0.266,0.047,2,14,0,0.175,0,0,0.037,0.0197,0,-1.367,2.831,-0.030,4.970,0.099,2,12,0,0.289,0,0,0.072,0.0452,0,-1.223,-2.664,-4.638,0.362,0.020,2,14,0,0.182,0,0,0.092,0.0270,0,4.966,0.285,0,0,0.289,0.000,0.000,0.000,0.000
7.0,2.987,-0.146,-4.904,0.096,0.014,2,14,0,0.153,0,0,0.076,0.0197,0,-1.461,2.870,-0.045,4.955,0.105,2,12,0,0.289,0,0,0.072,0.0452,0,-1.308,-2.673,-4.817,0.183,0.043,2,14,0,0.188,0,0,0.027,0.0270,0,4.984,0.275,0,0,0.289,0.000,0.000,0.000,0.000
8.0,3.064,-0.122,-4.971,0.029,0.030,2,14,0,0.174,0,0,0.017,0.0197,0,-1.512,2.893,-0.060,4.940,0.003,2,12,0,0.289,0,0,0.072,0.0452,0,-1.393,-2.694,-4.911,0.089,0.028,2,14,0,0.155,0,0,0.092,0.0270,0,5.146,0.295,0,0,0.289,0.000,0.000,0.000,0.000
9.0,3.107,-0.095,-4.859,0.141,0.015,2,14,0,0.149,0,0,0.054,0.0197,0,-1.513,2.895,-0.077,4.923,0.008,2,12,0,0.289,0,0,0.072,0.0452,0,-1.406,-2.684,-4.841,0.159,0.044,2,14,0,0.181,0,0,0.102,0.0270,0,5.203,0.297,0,0,0.289,0.000,0.000,0.000,0.000
10.0,3.104,-0.133,-4.914,0.086,0.036,2,14,0,0.179,0,0,0.057,0.0197,0,-1.515,2.898,-0.094,4.906,0.010,2,12,0,0.289,0,0,0.072,0.0452,0,-1.350,-2.618,-4.990,0.010,0.069,2,14,0,0.204,0,0,0.047,0.0270,0,5.100,0.301,0,0,0.289,0.000,0.000,0.000,0.000
11.0,3.026,-0.095,-5.049,-0.049,0.050,2,14,0,0.141,0,0,0.031,0.0197,0,-1.515,2.901,-0.113,4.887,0.012,2,12,0,0.289,0,0,0.072,0.0452,0,-1.258,-2.538,-5.081,-0.081,0.053,2,14,0,0.151,0,0,0.121,0.0270,0,4.932,0.303,0,0,0.289,0.000,0.000,0.000,0.000
12.0,2.979,-0.092,-5.043,-0.043,0.024,2,14,0,0.147,0,0,0.076,0.0197,0,-1.516,2.904,-0.132,4.868,0.014,2,12,0,0.289,0,0,0.072,0.0452,0,-1.262,-2.585,-5.027,-0.027,0.036,2,14,0,0.156,0,0,0.080,0.0270,0,4.920,0.307,0,0,0.289,0.000,0.000,0.000,0.000
13.0,2.958,-0.082,-5.039,-0.039,0.006,2,14,0,0.184,0,0,0.099,0.0197,0,-1.515,2.909,-0.153,4.847,0.016,2,12,0,0.289,0,0,0.072,0.0452,0,-1.323,-2.586,-4.983,0.017,0.047,2,14,0,0.177,0,0,0.061,0.0270,0,4.960,0.311,0,0,0.289,0.000,0.000,0.000,0.000
14.0,2.973,-0.114,-4.991,0.009,0.041,2,14,0,0.170,0,0,0.083,0.0197,0,-1.514,2.914,-0.175,4.825,0.018,2,12,0,0.289,0,0,0.072,0.0452,0,-1.281,-2.608,-5.008,-0.008,0.042,2,14,0,0.150,0,0,0.050,0.0270,0,4.931,0.316,0,0,0.289,0.000,0.000,0.000,0.000
