t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.398,0.007,-0.081,4.919,0.031,2,14,0,0.735,0,0,0.125,0.1633,0,-1.657,2.533,-0.755,4.245,0.011,2,14,0,0.775,0,0,0.051,0.1515,0,-1.656,-2.581,-0.522,4.478,0.084,2,14,0,1.196,0,0,0.214,0.2435,0,5.119,0.398,0,0,1.196,0.000,0.000,0.000,0.000
2.0,3.534,-0.164,-0.530,4.470,0.109,2,14,0,0.807,0,0,0.094,0.1995,0,-1.581,2.480,-1.062,3.938,0.128,2,14,0,0.775,0,0,0.064,0.1515,0,-1.358,-2.478,-1.048,3.952,0.037,2,14,0,0.768,0,0,0.121,0.3222,0,4.963,0.558,0,0,0.807,0.000,0.000,0.000,0.000
3.0,3.473,-0.102,-1.653,3.347,0.022,2,14,0,0.951,0,0,0.015,0.1995,0,-1.607,2.555,-2.195,2.805,0.056,2,14,0,0.832,0,0,0.020,0.1515,0,-1.421,-2.482,-2.171,2.829,0.027,2,14,0,0.771,0,0,0.059,0.3222,0,5.040,0.484,0,0,0.951,0.000,0.000,0.000,0.000
4.0,3.480,-0.044,-2.762,2.238,0.044,2,14,0,0.908,0,0,0.045,0.1995,0,-1.656,2.557,-3.366,1.634,0.052,2,14,0,0.731,0,0,0.054,0.1515,0,-1.424,-2.426,-3.383,1.617,0.087,2,14,0,1.540,0,0,0.067,0.3222,0,4.988,0.482,0,0,1.540,0.000,0.000,0.000,0.000
5.0,3.444,-0.086,-3.991,1.009,0.014,2,14,0,0.679,0,0,0.035,0.1995,0,-1.660,2.497,-4.391,0.609,0.024,2,14,0,0.489,0,0,0.066,0.1515,0,-1.557,-2.432,-4.362,0.638,0.031,2,14,0,0.471,0,0,0.084,0.3222,0,4.930,0.452,0,0,0.679,0.000,0.000,0.000,0.000
6.0,3.484,-0.059,-4.635,0.365,0.057,2,14,0,0.703,0,0,0.031,0.1995,0,-1.601,2.583,-4.801,0.199,0.072,2,14,0,0.434,0,0,0.049,0.1515,0,-1.483,-2.447,-4.743,0.257,0.047,2,14,0,0.431,0,0,0.018,0.3222,0,5.032,0.487,0,0,0.703,0.000,0.000,0.000,0.000
7.0,3.456,-0.023,-4.803,0.197,0.077,2,14,0,0.420,0,0,0.051,0.1995,0,-1.622,2.594,-4.867,0.133,0.043,2,14,0,0.440,0,0,0.041,0.1515,0,-1.443,-2.450,-4.908,0.092,0.064,2,14,0,0.426,0,0,0.034,0.3222,0,5.047,0.458,0,0,0.440,-0.000,0.022,-0.000,0.114
8.0,3.532,0.163,-4.939,0.061,0.441,2,14,0,0.422,0,0,0.065,0.2126,0,-1.585,2.830,-4.869,0.131,0.408,2,14,0,0.442,0,0,0.026,0.1918,0,-1.531,-2.127,-4.905,0.095,0.361,2,14,0,0.434,0,0,0.073,0.3222,0,4.957,0.550,0,0,0.442,-0.004,0.286,-0.012,0.414
9.0,3.448,0.746,-4.892,0.108,0.713,2,14,0,0.431,0,0,0.012,0.3025,0,-1.619,3.434,-4.973,0.027,0.661,2,14,0,0.435,0,0,0.052,0.2722,0,-1.514,-1.635,-4.836,0.164,0.712,2,14,0,0.434,0,0,0.017,0.3222,0,5.071,0.495,0,0,0.435,-0.036,0.849,-0.061,0.711
10.0,3.428,1.588,-4.933,0.067,1.095,2,14,0,0.424,0,0,0.101,0.4156,0,-1.690,4.212,-4.970,0.030,1.026,2,14,0,0.438,0,0,0.069,0.4252,0,-1.575,-0.775,-4.943,0.057,1.063,2,14,0,0.673,0,0,0.049,0.3827,0,4.989,0.587,0,0,0.673,-0.146,1.705,-0.173,0.999
