t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d5_planratio,d5_clipn,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d6_planratio,d6_clipn,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d7_planratio,d7_clipn,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,d8_planratio,d8_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.025,0.078,0.109,5.109,0.034,2,14,-1,0.000,0,0,0.000,0.0000,0,-0.079,3.043,-0.187,4.813,0.021,2,14,-1,0.000,0,0,0.000,0.0000,0,-0.082,-3.028,-0.255,4.745,0.044,2,14,0,0.231,0,0,0.060,0.0161,0,2.995,-0.047,0.414,5.414,0.019,2,14,0,0.279,0,0,0.104,0.1036,0,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,0.0000,0,nan,nan,nan,nan,nan,0,0,0,0.244,0,0,0.059,0.0354,0,nan,nan,nan,nan,nan,0,0,0,0.264,0,0,0.076,0.0328,0,3.081,-3.151,0.175,5.175,0.051,2,14,0,0.317,0,0,0.026,0.0339,0,-2.788,-3.049,-1.159,3.841,0.008,0,0,0,0.230,0,0,0.076,0.0391,0,2.853,nan,0,0,0.317,0.000,0.000,0.000,0.000
2.0,-0.043,0.073,-0.546,4.454,0.056,2,14,0,0.242,0,0,0.063,0.0232,0,-0.037,3.042,-0.849,4.151,0.077,2,14,0,0.229,0,0,0.047,0.1004,0,0.007,-3.047,-0.898,4.102,0.048,2,14,0,0.238,0,0,0.090,0.0271,0,3.122,-0.052,-0.225,4.775,0.094,2,14,0,0.258,0,1,0.024,0.1036,0,-2.792,0.139,0.004,5.004,0.075,0,0,0,0.287,0,0,0.028,0.0885,0,3.071,3.206,-1.058,3.942,0.083,0,0,0,0.239,0,0,0.007,0.0354,0,-2.847,3.082,-0.351,4.649,0.131,0,0,0,0.467,0,1,0.051,0.0328,0,3.149,-3.154,-0.516,4.484,0.068,2,14,0,0.233,0,0,0.081,0.0339,0,-2.771,-3.071,-1.148,3.852,0.002,2,14,0,0.236,0,0,0.095,0.0391,0,2.790,0.250,0,0,0.467,0.000,0.000,0.000,0.000
3.0,0.000,0.135,-1.634,3.366,0.006,2,14,0,0.295,0,0,0.126,0.0232,0,-0.057,3.088,-1.921,3.079,0.031,2,14,0,0.228,0,0,0.051,0.1004,0,-0.019,-3.028,-2.018,2.982,0.033,2,14,0,0.230,0,0,0.081,0.0271,0,3.178,-0.003,-0.744,4.256,0.024,2,14,0,0.266,0,0,0.101,0.1036,0,-2.727,0.238,-0.583,4.417,0.027,2,14,0,0.397,0,0,0.101,0.0885,0,3.151,3.236,-2.218,2.782,0.033,2,14,0,0.295,0,0,0.081,0.0354,0,-2.742,3.162,-1.002,3.998,0.016,2,14,0,0.268,0,0,0.172,0.0328,0,3.037,-3.059,-1.633,3.367,0.081,2,14,0,0.243,0,0,0.077,0.0339,0,-2.732,-3.042,-1.740,3.260,0.082,2,14,0,0.230,0,0,0.132,0.0391,0,2.727,0.362,0,0,0.397,0.000,0.000,0.000,0.000
4.0,-0.012,0.011,-2.885,2.115,0.097,2,14,0,0.350,0,0,0.008,0.0283,0,-0.007,3.133,-3.219,1.781,0.033,2,14,0,0.281,0,0,0.119,0.1004,0,-0.024,-3.085,-3.242,1.758,0.073,2,14,0,0.291,0,0,0.050,0.0271,0,3.170,-0.044,-2.038,2.962,0.062,2,14,0,0.284,0,0,0.074,0.1036,0,-2.751,0.238,-1.787,3.213,0.023,2,14,0,0.321,0,0,0.086,0.0885,0,3.139,3.212,-3.407,1.593,0.034,2,14,0,0.284,0,0,0.066,0.0354,0,-2.921,3.136,-2.214,2.786,0.126,2,14,0,0.383,0,0,0.043,0.0328,0,2.981,-2.994,-2.871,2.129,0.031,2,14,0,0.450,0,0,0.162,0.0339,0,-2.857,-2.914,-2.777,2.223,0.086,2,14,0,0.311,0,0,0.135,0.0391,0,2.876,0.344,0,0,0.450,0.000,0.000,0.000,0.000
5.0,-0.060,-0.091,-4.166,0.834,0.079,2,14,0,0.180,0,0,0.110,0.0283,0,-0.058,3.093,-4.426,0.574,0.076,2,14,0,0.170,0,0,0.057,0.1004,0,-0.096,-3.138,-4.498,0.502,0.064,2,14,0,0.187,0,0,0.056,0.0271,0,3.131,-0.140,-3.443,1.557,0.080,2,14,0,0.178,0,0,0.084,0.1036,0,-2.834,0.205,-3.137,1.863,0.085,2,14,0,0.287,0,0,0.052,0.0885,0,3.143,3.219,-4.668,0.332,0.024,2,14,0,0.176,0,0,0.069,0.0354,0,-3.035,3.078,-3.579,1.421,0.078,2,14,0,0.251,0,0,0.137,0.0328,0,2.992,-3.081,-4.162,0.838,0.081,2,14,0,0.178,0,0,0.094,0.0339,0,-2.979,-2.951,-4.103,0.897,0.078,2,14,0,0.381,0,0,0.151,0.0391,0,2.914,0.264,0,0,0.381,0.000,0.000,0.000,0.000
6.0,-0.028,-0.039,-4.656,0.344,0.015,2,14,0,0.171,0,0,0.052,0.0283,0,-0.093,3.010,-4.962,0.038,0.083,2,14,0,0.173,0,0,0.035,0.1004,0,-0.087,-3.211,-5.004,-0.004,0.040,2,14,0,0.190,0,0,0.124,0.0271,0,3.071,-0.158,-4.231,0.769,0.043,2,14,0,0.176,0,0,0.098,0.1036,0,-2.956,0.186,-4.211,0.789,0.054,2,14,0,0.179,0,0,0.158,0.0885,0,3.152,3.217,-5.284,-0.284,0.035,2,14,0,0.389,0,0,0.078,0.0354,0,-2.964,3.097,-4.582,0.418,0.050,2,14,0,0.171,0,0,0.067,0.0328,0,3.123,-3.218,-4.667,0.333,0.091,2,14,0,0.181,0,0,0.104,0.0339,0,-2.976,-3.057,-5.173,-0.173,0.090,2,14,0,0.184,0,0,0.113,0.0391,0,2.897,0.265,0,0,0.389,0.000,0.000,0.000,0.000
7.0,-0.103,-0.016,-4.787,0.213,0.012,2,14,0,0.192,0,0,0.088,0.0283,0,-0.040,2.971,-5.199,-0.199,0.030,2,14,0,0.435,0,0,0.085,0.1004,0,-0.165,-3.191,-5.185,-0.185,0.035,2,14,0,0.186,0,0,0.138,0.0271,0,3.103,-0.149,-4.495,0.505,0.031,2,14,0,0.152,0,0,0.085,0.1036,0,-2.997,0.183,-4.471,0.529,0.030,2,14,0,0.224,0,0,0.199,0.0885,0,3.113,3.250,-5.435,-0.435,0.054,2,14,0,0.209,0,0,0.060,0.0354,0,-2.965,3.109,-4.896,0.104,0.047,2,14,0,0.150,0,0,0.067,0.0328,0,3.117,-3.216,-4.782,0.218,0.017,2,14,0,0.154,0,0,0.100,0.0339,0,-2.929,-3.063,-5.718,-0.718,0.079,2,14,0,0.181,0,0,0.068,0.0391,0,2.818,0.275,0,0,0.435,0.000,0.000,0.000,0.000
8.0,-0.102,0.002,-4.890,0.110,0.051,2,14,0,0.190,0,0,0.084,0.0283,0,-0.046,2.971,-5.219,-0.219,0.038,2,14,0,0.176,0,0,0.083,0.1004,0,-0.118,-3.094,-5.308,-0.308,0.082,2,14,0,0.334,0,0,0.045,0.0271,0,3.071,-0.163,-4.570,0.430,0.055,2,14,0,0.173,0,0,0.104,0.1036,0,-2.860,0.162,-4.543,0.457,0.102,2,14,0,0.180,0,0,0.064,0.0885,0,3.084,3.278,-5.574,-0.574,0.045,2,14,0,0.161,0,0,0.076,0.0354,0,-2.927,3.075,-4.928,0.072,0.048,2,14,0,0.204,0,0,0.033,0.0328,0,3.145,-3.249,-4.889,0.111,0.030,2,14,0,0.182,0,0,0.143,0.0339,0,-2.797,-3.101,-5.988,-0.988,0.084,2,14,0,0.186,0,0,0.085,0.0391,0,2.763,0.291,0,0,0.334,0.000,0.000,0.000,0.000
9.0,-0.076,0.035,-4.946,0.054,0.060,2,14,0,0.219,0,0,0.063,0.0283,0,-0.189,2.947,-5.207,-0.207,0.050,2,14,0,0.151,0,0,0.143,0.1004,0,-0.084,-2.996,-5.279,-0.279,0.059,2,14,0,0.149,0,0,0.092,0.0271,0,3.048,-0.107,-4.634,0.366,0.071,2,14,0,0.176,0,0,0.068,0.1036,0,-2.794,0.103,-4.632,0.368,0.072,2,14,0,0.152,0,0,0.063,0.0885,0,3.038,3.179,-5.661,-0.661,0.061,2,14,0,0.262,0,0,0.041,0.0354,0,-2.903,3.056,-5.024,-0.024,0.037,2,14,0,0.182,0,0,0.037,0.0328,0,3.143,-3.218,-4.928,0.072,0.074,2,14,0,0.196,0,0,0.115,0.0339,0,-2.822,-3.145,-6.213,-1.213,0.016,2,14,0,0.213,0,0,0.103,0.0391,0,2.723,0.260,0,0,0.262,0.000,0.000,0.000,0.000
10.0,-0.004,0.007,-4.958,0.042,0.058,2,14,0,0.200,0,0,0.016,0.0283,0,-0.224,3.026,-5.237,-0.237,0.057,2,14,0,0.156,0,0,0.141,0.1004,0,-0.085,-3.003,-5.290,-0.290,0.026,2,14,0,0.185,0,0,0.085,0.0271,0,3.024,0.006,-4.721,0.279,0.057,2,14,0,0.298,0,0,0.103,0.1036,0,-2.707,0.124,-4.690,0.310,0.039,2,14,0,0.178,0,0,0.101,0.0885,0,2.976,3.147,-5.718,-0.718,0.015,2,14,0,0.152,0,0,0.115,0.0354,0,-2.860,3.009,-5.081,-0.081,0.016,2,14,0,0.177,0,0,0.092,0.0328,0,3.166,-3.176,-4.918,0.082,0.087,2,14,0,0.191,0,0,0.106,0.0339,0,-2.886,-3.128,-6.280,-1.280,0.046,2,14,0,0.183,0,0,0.081,0.0391,0,2.641,0.319,0,0,0.298,0.000,0.000,0.000,0.000
