t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.217,0.061,0.434,5.434,0.114,2,14,0,0.656,0,0,3.012,0.1280,0,-0.130,3.090,0.061,5.061,0.143,2,14,0,0.779,0,0,0.944,0.1105,0,-0.071,-3.083,0.018,5.018,0.141,2,14,0,0.624,0,0,0.998,0.1027,0,3.061,-0.098,0.160,5.160,0.019,2,14,0,0.572,0,0,0.068,0.0119,0,-2.832,-0.124,0.676,5.676,0.166,0,0,0,0.607,0,0,1.730,0.1300,0,2.862,3.212,0,0,0.779,0.000,0.000,0.000,0.000
2.0,-0.146,0.494,-0.224,4.776,0.845,2,14,0,0.646,0,1,3.034,0.3278,0,0.338,3.005,-0.638,4.362,0.544,2,14,0,0.544,0,0,0.473,0.1961,0,0.403,-2.961,-0.749,4.251,0.633,2,14,0,0.541,0,0,0.523,0.2079,0,3.056,-0.063,-0.561,4.439,0.104,2,14,0,0.691,0,0,0.079,0.0266,0,-2.385,-0.567,0.092,5.092,0.799,2,14,0,0.547,0,1,2.104,0.3410,0,2.498,3.209,0,0,0.691,0.000,0.000,0.000,0.000
3.0,-0.347,0.826,-0.704,4.296,0.239,2,14,0,0.611,0,0,3.173,0.3278,0,0.821,2.801,-1.738,3.262,0.489,2,14,0,0.737,0,0,0.126,0.1961,0,0.979,-2.787,-1.867,3.133,0.534,2,14,0,0.642,0,0,0.155,0.2079,0,2.984,0.010,-1.685,3.315,0.068,2,14,0,0.695,0,0,0.125,0.0268,0,-2.192,-0.824,-0.227,4.773,0.145,2,14,0,0.607,0,1,2.372,0.3410,0,2.516,3.321,0,0,0.737,0.000,0.000,0.000,0.000
4.0,-0.679,0.845,-2.717,2.283,0.489,2,14,0,0.557,0,0,3.017,0.3278,0,1.169,2.727,-2.969,2.031,0.196,2,14,0,0.570,0,0,0.421,0.1961,0,1.366,-2.733,-3.136,1.864,0.239,2,14,0,0.615,0,0,0.490,0.2079,0,2.956,-0.022,-2.886,2.114,0.071,2,14,0,0.643,0,0,0.101,0.0268,0,-2.118,-0.884,-0.812,4.188,0.111,2,14,0,0.607,0,0,2.439,0.3410,0,2.649,3.140,0,0,0.643,0.000,0.000,0.000,0.000
5.0,-1.030,0.907,-3.545,1.455,0.172,2,14,0,0.584,0,1,2.909,0.3278,0,1.191,2.857,-4.208,0.792,0.117,2,14,0,0.343,0,0,0.402,0.1961,0,1.389,-2.818,-4.444,0.556,0.124,2,14,0,0.374,0,0,0.489,0.2079,0,2.972,-0.066,-4.220,0.780,0.072,2,14,0,0.344,0,0,0.055,0.0268,0,-2.059,-0.942,-1.736,3.264,0.062,2,14,0,0.616,0,1,2.503,0.3410,0,2.784,3.014,0,0,0.616,0.000,0.000,0.000,0.000
6.0,-1.125,0.949,-4.207,0.793,0.039,2,14,0,0.422,0,1,2.913,0.3278,0,1.048,2.902,-4.842,0.158,0.240,2,14,0,0.345,0,0,0.258,0.1961,0,1.258,-2.840,-5.018,-0.018,0.293,2,14,0,0.349,0,0,0.361,0.2079,0,2.916,-0.223,-4.925,0.075,0.094,2,14,0,0.340,0,0,0.133,0.0268,0,-2.011,-0.943,-2.414,2.586,0.033,2,14,0,0.646,0,1,2.510,0.3410,0,2.753,3.009,0,0,0.646,0.000,0.000,0.000,0.000
7.0,-1.177,1.105,-4.776,0.224,0.106,2,14,0,0.453,0,1,3.039,0.3278,0,0.758,2.942,-5.054,-0.054,0.273,2,14,0,0.395,0,0,0.037,0.1961,0,0.984,-2.850,-5.173,-0.173,0.348,2,14,0,0.342,0,0,0.113,0.2079,0,2.989,-0.331,-5.162,-0.162,0.037,2,14,0,0.343,0,0,0.216,0.0268,0,-1.977,-0.932,-3.089,1.911,0.022,2,14,0,0.710,0,1,2.506,0.3410,0,2.683,3.129,0,0,0.710,0.000,0.000,0.000,0.000
8.0,-1.324,1.185,-4.858,0.142,0.102,2,14,0,0.469,0,1,3.074,0.3278,0,0.548,2.913,-5.187,-0.187,0.182,2,14,0,0.428,0,0,0.245,0.1961,0,0.628,-2.917,-5.282,-0.282,0.286,2,14,0,0.353,0,0,0.283,0.2079,0,3.016,-0.306,-5.228,-0.228,0.071,2,14,0,0.313,0,0,0.193,0.0354,0,-1.922,-0.972,-3.791,1.209,0.029,2,14,0,0.410,0,1,2.553,0.3410,0,2.480,3.148,0,0,0.469,0.000,0.000,0.000,0.000
9.0,-1.423,1.218,-4.902,0.098,0.144,2,14,0,0.454,0,0,3.080,0.3278,0,0.450,2.945,-5.220,-0.220,0.028,2,14,0,0.344,0,0,0.346,0.1961,0,0.456,-3.008,-5.337,-0.337,0.087,2,14,0,0.348,0,0,0.463,0.2079,0,3.085,-0.172,-5.270,-0.270,0.119,2,14,0,0.312,0,0,0.108,0.0377,0,-1.862,-0.993,-4.359,0.641,0.131,2,14,0,0.447,0,0,2.586,0.3410,0,2.319,3.146,0,0,0.454,0.000,0.000,0.000,0.000
10.0,-1.651,1.197,-4.937,0.063,0.179,2,14,0,0.505,0,1,3.010,0.3278,0,0.545,2.949,-5.235,-0.235,0.106,2,14,0,0.310,0,0,0.252,0.1961,0,0.385,-3.054,-5.343,-0.343,0.082,2,14,0,0.442,0,0,0.542,0.2079,0,3.065,-0.051,-5.263,-0.263,0.096,2,14,0,0.310,0,0,0.094,0.0377,0,-1.701,-0.923,-4.540,0.460,0.164,2,14,0,0.449,0,1,2.554,0.3410,0,2.157,3.060,0,0,0.505,0.000,0.000,0.000,0.000
