t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.437,-0.099,0.016,5.016,0.242,2,14,0,0.284,0,0,3.015,-0.103,2.878,0.015,5.015,0.175,2,14,0,0.281,0,0,0.965,0.296,-2.913,-0.015,4.985,0.145,2,14,0,0.246,0,0,0.877,3.424,0.062,-0.520,4.480,0.029,2,14,0,0.314,0,0,0.051,-3.224,0.172,-0.244,4.756,0.179,2,14,0,0.220,0,0,1.801,2.812,2.594,0,0,0.314,0.000,0.000,0.000,0.000
2.0,-0.797,-0.605,-0.691,4.309,0.849,2,14,0,0.302,0,0,2.452,0.356,2.820,-0.752,4.248,0.555,2,14,0,0.218,0,0,0.498,0.738,-2.868,-0.651,4.349,0.555,2,14,0,0.221,0,0,0.433,3.528,0.146,-1.235,3.765,0.118,2,14,0,0.249,0,0,0.085,-2.952,0.625,-0.976,4.024,0.778,2,14,0,0.245,0,0,1.299,2.498,1.999,0,0,0.302,0.000,0.000,0.000,0.000
3.0,-1.663,-1.242,-1.869,3.131,1.265,2,14,0,0.222,0,0,1.395,0.936,2.723,-1.877,3.123,0.506,2,14,0,0.251,0,0,0.089,1.318,-2.892,-1.759,3.241,0.495,2,14,0,0.262,0,0,0.142,3.547,0.218,-2.350,2.650,0.019,2,14,0,0.303,0,0,0.157,-2.606,1.374,-2.007,2.993,0.881,2,14,0,0.297,0,0,0.550,2.784,0.925,0,0,0.303,0.000,0.000,0.000,0.000
4.0,-2.748,-2.002,-3.094,1.906,1.269,2,14,0,0.352,0,0,0.255,1.322,2.642,-3.096,1.904,0.217,2,14,0,0.272,0,0,0.486,1.674,-2.899,-2.992,2.008,0.184,2,14,0,0.302,0,0,0.500,3.466,0.223,-3.531,1.469,0.077,2,14,0,0.310,0,0,0.144,-2.340,2.117,-3.312,1.688,0.662,2,14,0,0.306,0,0,0.452,3.262,0.748,0,0,0.352,0.000,0.000,0.000,0.000
5.0,-3.651,-2.543,-4.321,0.679,0.905,2,14,0,0.220,0,0,1.023,1.264,2.715,-4.252,0.748,0.098,2,14,0,0.167,0,0,0.418,1.679,-2.945,-4.271,0.729,0.120,2,14,0,0.238,0,0,0.518,3.469,0.128,-4.776,0.224,0.102,2,14,0,0.176,0,0,0.049,-2.374,2.665,-4.370,0.630,0.410,2,14,0,0.196,0,0,0.842,3.440,1.451,0,0,0.238,0.000,0.000,0.000,0.000
6.0,-4.248,-2.792,-4.673,0.327,0.514,2,14,0,0.195,0,0,1.645,1.106,2.819,-4.656,0.344,0.250,2,14,0,0.204,0,0,0.260,1.484,-2.893,-4.782,0.218,0.303,2,14,0,0.170,0,0,0.319,3.422,-0.052,-5.301,-0.301,0.117,2,14,0,0.170,0,0,0.141,-2.618,2.980,-4.684,0.316,0.274,2,14,0,0.221,0,0,1.080,3.478,2.091,0,0,0.221,0.000,0.000,0.000,0.000
7.0,-4.607,-2.754,-4.860,0.140,0.292,2,14,0,0.192,0,0,1.935,0.912,2.940,-4.834,0.166,0.271,2,14,0,0.169,0,0,0.172,1.206,-2.801,-4.983,0.017,0.357,2,14,0,0.170,0,0,0.068,3.437,-0.102,-5.411,-0.411,0.028,2,14,0,0.217,0,0,0.185,-2.864,2.981,-4.768,0.232,0.314,2,14,0,0.190,0,0,1.081,3.528,2.395,0,0,0.217,0.000,0.000,0.000,0.000
8.0,-4.706,-2.355,-4.997,0.003,0.523,2,14,0,0.221,0,0,1.876,0.754,2.902,-4.897,0.103,0.191,2,14,0,0.163,0,0,0.158,0.950,-2.830,-5.037,-0.037,0.259,2,14,0,0.169,0,0,0.220,3.452,-0.033,-5.504,-0.504,0.074,2,14,0,0.142,0,0,0.114,-2.975,2.555,-4.795,0.205,0.573,2,14,0,0.197,0,0,0.689,3.747,2.354,0,0,0.221,0.000,0.000,0.000,0.000
9.0,-4.341,-1.870,-4.950,0.050,0.729,2,14,0,0.197,0,0,1.438,0.549,2.827,-4.907,0.093,0.117,2,14,0,0.163,0,0,0.306,0.735,-2.827,-4.991,0.009,0.128,2,14,0,0.169,0,0,0.434,3.507,0.107,-5.541,-0.541,0.095,2,14,0,0.212,0,0,0.044,-3.031,1.972,-4.885,0.115,0.604,2,14,0,0.166,0,0,0.299,3.681,1.917,0,0,0.212,0.000,0.000,0.000,0.000
10.0,-3.673,-1.535,-4.966,0.034,0.895,2,14,0,0.166,0,0,0.820,0.513,2.753,-4.943,0.057,0.070,2,14,0,0.143,0,0,0.340,0.672,-2.848,-5.007,-0.007,0.063,2,14,0,0.280,0,0,0.500,3.464,0.142,-5.594,-0.594,0.035,2,14,0,0.174,0,0,0.063,-2.996,1.512,-4.896,0.104,0.413,2,14,0,0.196,0,0,0.471,3.121,1.266,0,0,0.280,0.000,0.000,0.000,0.000
11.0,-2.877,-1.408,-4.980,0.020,0.803,2,14,0,0.200,0,0,0.405,0.611,2.661,-4.998,0.002,0.142,2,14,0,0.216,0,0,0.269,0.772,-2.868,-5.072,-0.072,0.218,2,14,0,0.165,0,0,0.399,3.426,0.115,-5.632,-0.632,0.026,2,14,0,0.183,0,0,0.059,-2.917,1.220,-4.902,0.098,0.205,2,14,0,0.247,0,0,0.705,2.630,0.731,0,0,0.247,0.000,0.000,0.000,0.000
12.0,-2.305,-1.387,-4.929,0.071,0.551,2,14,0,0.199,0,0,0.738,0.770,2.707,-4.981,0.019,0.184,2,14,0,0.164,0,0,0.109,0.993,-2.825,-5.009,-0.009,0.283,2,14,0,0.169,0,0,0.181,3.396,0.117,-5.595,-0.595,0.028,2,14,0,0.151,0,0,0.085,-2.705,1.187,-4.951,0.049,0.211,2,14,0,0.190,0,0,0.721,2.605,0.640,0,0,0.199,0.000,0.000,0.000,0.000
13.0,-1.929,-1.500,-4.902,0.098,0.338,2,14,0,0.218,0,0,1.029,0.986,2.748,-5.007,-0.007,0.140,2,14,0,0.162,0,0,0.132,1.273,-2.868,-5.074,-0.074,0.235,2,14,0,0.140,0,0,0.102,3.409,0.105,-5.683,-0.683,0.037,2,14,0,0.191,0,0,0.069,-2.529,1.479,-4.992,0.008,0.367,2,14,0,0.166,0,0,0.477,3.040,0.563,0,0,0.218,0.000,0.000,0.000,0.000
14.0,-1.817,-1.666,-4.956,0.044,0.230,2,14,0,0.201,0,0,1.106,0.995,2.728,-5.028,-0.028,0.035,2,14,0,0.251,0,0,0.152,1.410,-2.855,-5.064,-0.064,0.113,2,14,0,0.137,0,0,0.237,3.430,0.068,-5.594,-0.594,0.044,2,14,0,0.152,0,0,0.044,-2.457,1.849,-4.938,0.062,0.375,2,14,0,0.214,0,0,0.289,3.441,0.618,0,0,0.251,0.000,0.000,0.000,0.000
15.0,-2.073,-1.813,-4.992,0.008,0.400,2,14,0,0.171,0,0,0.847,1.029,2.786,-4.981,0.019,0.066,2,14,0,0.172,0,0,0.177,1.438,-2.794,-5.052,-0.052,0.016,2,14,0,0.194,0,0,0.274,3.454,0.055,-5.548,-0.548,0.046,2,14,0,0.159,0,0,0.030,-2.530,2.134,-4.996,0.004,0.273,2,14,0,0.172,0,0,0.309,3.525,0.514,0,0,0.194,0.000,0.000,0.000,0.000
16.0,-2.576,-1.886,-5.044,-0.044,0.546,2,14,0,0.166,0,0,0.354,0.984,2.889,-5.008,-0.008,0.103,2,14,0,0.168,0,0,0.172,1.392,-2.816,-5.028,-0.028,0.114,2,14,0,0.216,0,0,0.227,3.502,0.102,-5.576,-0.576,0.037,2,14,0,0.188,0,0,0.037,-2.749,2.283,-4.939,0.061,0.182,2,14,0,0.169,0,0,0.376,3.642,0.612,0,0,0.216,0.000,0.000,0.000,0.000
17.0,-3.103,-1.926,-4.982,0.018,0.443,2,14,0,0.178,0,0,0.216,0.832,2.891,-5.002,-0.002,0.132,2,14,0,0.206,0,0,0.114,1.227,-2.820,-5.024,-0.024,0.165,2,14,0,0.169,0,0,0.070,3.550,0.091,-5.614,-0.614,0.008,2,14,0,0.178,0,0,0.079,-2.887,2.219,-4.938,0.062,0.162,2,14,0,0.172,0,0,0.345,3.771,0.696,0,0,0.206,0.000,0.000,0.000,0.000
18.0,-3.362,-1.866,-4.975,0.025,0.182,2,14,0,0.219,0,0,0.628,0.654,2.847,-5.044,-0.044,0.085,2,14,0,0.252,0,0,0.382,1.104,-2.879,-5.038,-0.038,0.124,2,14,0,0.218,0,0,0.245,3.527,0.085,-5.644,-0.644,0.015,2,14,0,0.280,0,0,0.146,-2.899,2.121,-4.895,0.105,0.189,2,14,0,0.222,0,0,0.419,3.630,1.140,0,0,0.280,0.200,0.000,1.000,0.000
