t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.050,0.140,-0.237,4.763,0.007,1,4,-1,0.000,0,0,0.000,-0.112,3.017,0.406,5.406,0.016,1,4,-1,0.000,0,0,0.000,-0.164,-2.800,0.412,5.412,0.009,1,4,-1,0.000,0,0,0.000,2.669,-0.004,-0.944,4.056,0.022,1,4,-1,0.000,0,0,0.000,-2.891,-0.019,0.236,5.236,0.004,1,4,-1,0.000,0,0,0.000,2.885,nan,0,0,0.000,nan,nan,nan,nan
2.0,-0.015,0.190,-0.311,4.689,0.029,1,4,-1,0.000,0,0,0.000,-0.118,3.013,0.366,5.366,0.014,1,4,-1,0.000,0,0,0.000,-0.161,-2.791,0.419,5.419,0.007,1,4,-1,0.000,0,0,0.000,2.776,-0.016,-0.901,4.099,0.018,1,4,-1,0.000,0,0,0.000,-2.875,0.005,0.189,5.189,0.007,1,4,-1,0.000,0,0,0.000,2.906,nan,0,0,0.000,nan,nan,nan,nan
3.0,-0.025,0.211,-0.333,4.667,0.022,1,4,-1,0.000,0,0,0.000,-0.038,3.002,0.438,5.438,0.024,1,4,-1,0.000,0,0,0.000,-0.145,-2.828,0.409,5.409,0.013,1,4,-1,0.000,0,0,0.000,2.796,-0.010,-0.986,4.014,0.021,1,4,-1,0.000,0,0,0.000,-2.871,-0.007,0.151,5.151,0.003,1,4,-1,0.000,0,0,0.000,2.895,nan,0,0,0.000,nan,nan,nan,nan
4.0,-0.038,0.225,-0.340,4.660,0.025,1,4,-1,0.000,0,0,0.000,-0.078,2.966,0.379,5.379,0.010,1,4,-1,0.000,0,0,0.000,-0.117,-2.843,0.467,5.467,0.022,1,4,-1,0.000,0,0,0.000,2.785,0.022,-0.965,4.035,0.017,1,4,-1,0.000,0,0,0.000,-2.928,-0.015,0.144,5.144,0.020,1,4,-1,0.000,0,0,0.000,2.834,nan,0,0,0.000,nan,nan,nan,nan
5.0,0.023,0.228,-0.290,4.710,0.031,1,4,-1,0.000,0,0,0.000,-0.102,2.925,0.374,5.374,0.024,1,4,-1,0.000,0,0,0.000,-0.135,-2.844,0.466,5.466,0.013,1,4,-1,0.000,0,0,0.000,2.778,0.019,-0.891,4.109,0.015,1,4,-1,0.000,0,0,0.000,-2.939,0.004,0.053,5.053,0.019,1,4,-1,0.000,0,0,0.000,2.781,nan,0,0,0.000,nan,nan,nan,nan
6.0,0.072,0.249,-0.256,4.744,0.036,1,4,-1,0.000,0,0,0.000,-0.103,2.914,0.438,5.438,0.025,1,4,-1,0.000,0,0,0.000,-0.178,-2.845,0.392,5.392,0.019,1,4,-1,0.000,0,0,0.000,2.730,-0.008,-0.945,4.055,0.005,1,4,-1,0.000,0,0,0.000,-2.885,0.009,-0.019,4.981,0.007,1,4,-1,0.000,0,0,0.000,2.759,nan,0,0,0.000,nan,nan,nan,nan
7.0,-0.022,0.211,-0.255,4.745,0.003,1,4,-1,0.000,0,0,0.000,-0.147,2.917,0.428,5.428,0.031,1,4,-1,0.000,0,0,0.000,-0.168,-2.878,0.432,5.432,0.031,1,4,-1,0.000,0,0,0.000,2.695,-0.023,-0.927,4.073,0.014,1,4,-1,0.000,0,0,0.000,-2.860,-0.011,0.059,5.059,0.013,1,4,-1,0.000,0,0,0.000,2.794,nan,0,0,0.000,nan,nan,nan,nan
8.0,-0.071,0.110,-0.236,4.764,0.043,1,4,-1,0.000,0,0,0.000,-0.081,2.970,0.402,5.402,0.008,1,4,-1,0.000,0,0,0.000,-0.172,-2.857,0.487,5.487,0.021,1,4,-1,0.000,0,0,0.000,2.685,-0.024,-0.976,4.024,0.017,1,4,-1,0.000,0,0,0.000,-2.908,-0.016,0.078,5.078,0.006,1,4,-1,0.000,0,0,0.000,2.857,nan,0,0,0.000,nan,nan,nan,nan
9.0,-0.092,0.105,-0.230,4.770,0.036,1,4,-1,0.000,0,0,0.000,-0.032,2.980,0.404,5.404,0.020,1,4,-1,0.000,0,0,0.000,-0.132,-2.825,0.446,5.446,0.012,1,4,-1,0.000,0,0,0.000,2.719,-0.023,-0.963,4.037,0.005,1,4,-1,0.000,0,0,0.000,-2.949,-0.001,0.105,5.105,0.012,1,4,-1,0.000,0,0,0.000,2.879,nan,0,0,0.000,nan,nan,nan,nan
10.0,-0.132,0.140,-0.262,4.738,0.031,1,4,-1,0.000,0,0,0.000,-0.041,2.962,0.442,5.442,0.009,1,4,-1,0.000,0,0,0.000,-0.051,-2.838,0.354,5.354,0.037,1,4,-1,0.000,0,0,0.000,2.740,-0.001,-0.969,4.031,0.006,1,4,-1,0.000,0,0,0.000,-2.935,0.020,0.079,5.079,0.015,1,4,-1,0.000,0,0,0.000,2.827,nan,0,0,0.000,nan,nan,nan,nan
11.0,-0.119,0.170,-0.170,4.830,0.022,1,4,-1,0.000,0,0,0.000,-0.053,2.957,0.387,5.387,0.003,1,4,-1,0.000,0,0,0.000,-0.059,-2.833,0.300,5.300,0.022,1,4,-1,0.000,0,0,0.000,2.800,-0.017,-0.892,4.108,0.027,1,4,-1,0.000,0,0,0.000,-2.966,-0.000,0.140,5.140,0.016,1,4,-1,0.000,0,0,0.000,2.843,nan,0,0,0.000,nan,nan,nan,nan
12.0,-0.140,0.204,-0.146,4.854,0.026,1,4,-1,0.000,0,0,0.000,-0.009,2.997,0.404,5.404,0.021,1,4,-1,0.000,0,0,0.000,-0.098,-2.818,0.300,5.300,0.010,1,4,-1,0.000,0,0,0.000,2.762,-0.036,-0.812,4.188,0.018,1,4,-1,0.000,0,0,0.000,-2.946,-0.038,0.093,5.093,0.016,1,4,-1,0.000,0,0,0.000,2.827,5.469,0,0,0.000,0.000,0.000,0.000,0.000
13.0,-0.159,0.226,-0.153,4.847,0.022,1,4,-1,0.000,0,0,0.000,-0.060,3.029,0.359,5.359,0.018,1,4,-1,0.000,0,0,0.000,-0.042,-2.833,0.237,5.237,0.018,1,4,-1,0.000,0,0,0.000,2.703,-0.043,-0.760,4.240,0.018,1,4,-1,0.000,0,0,0.000,-2.887,-0.051,0.036,5.036,0.024,1,4,-1,0.000,0,0,0.000,2.748,5.410,0,0,0.000,0.000,0.000,0.000,0.000
14.0,-0.131,0.164,-0.165,4.835,0.007,1,4,-1,0.000,0,0,0.000,-0.115,3.027,0.377,5.377,0.024,1,4,-1,0.000,0,0,0.000,-0.039,-2.890,0.355,5.355,0.023,1,4,-1,0.000,0,0,0.000,2.673,-0.030,-0.790,4.210,0.018,1,4,-1,0.000,0,0,0.000,-2.890,-0.053,0.028,5.028,0.017,1,4,-1,0.000,0,0,0.000,2.774,5.386,0,0,0.000,0.000,0.000,0.000,0.000
15.0,-0.136,0.155,-0.083,4.917,0.009,2,14,-1,0.000,0,0,0.000,-0.090,2.990,0.444,5.444,0.012,2,14,-1,0.000,0,0,0.000,-0.004,-2.875,0.291,5.291,0.023,2,14,-1,0.000,0,0,0.000,2.760,0.015,-0.891,4.109,0.022,2,14,-1,0.000,0,0,0.000,-2.883,-0.063,0.066,5.066,0.019,2,14,-1,0.000,0,0,0.000,2.760,5.483,0,0,0.000,0.000,0.000,0.000,0.000
