t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.282,-0.151,0.967,5.967,0.037,2,14,0,0.229,0,0,0.026,0.283,2.908,0.057,5.057,0.036,2,14,0,0.226,0,0,0.096,0.319,-3.106,-0.668,4.332,0.040,2,14,0,0.246,0,0,0.102,2.395,0.015,0.205,5.205,0.043,2,14,0,0.256,0,0,0.056,-3.313,0.033,-0.218,4.782,0.060,2,14,0,0.220,0,0,0.094,2.253,nan,0,0,0.256,nan,nan,nan,nan
2.0,0.405,-0.152,0.330,5.330,0.075,2,14,0,0.363,0,1,0.102,0.318,2.831,-0.719,4.281,0.034,2,14,0,0.263,0,0,0.030,0.305,-2.987,-1.410,3.590,0.153,2,14,0,0.330,0,0,0.040,2.422,0.083,-0.618,4.382,0.135,2,14,0,0.233,0,0,0.057,-3.138,-0.014,-0.787,4.213,0.070,2,14,0,0.260,0,0,0.122,2.242,0.584,0,0,0.363,0.000,0.000,0.000,0.000
3.0,0.434,-0.130,-0.012,4.988,0.026,2,14,0,0.231,0,1,0.135,0.336,2.873,-1.805,3.195,0.014,2,14,0,0.223,0,0,0.075,0.349,-2.837,-2.603,2.397,0.050,2,14,0,0.274,0,0,0.194,2.448,0.161,-1.787,3.213,0.025,2,14,0,0.222,0,0,0.127,-3.147,0.023,-1.890,3.110,0.050,2,14,0,0.266,0,0,0.132,2.700,0.575,0,0,0.274,0.000,0.000,0.000,0.000
4.0,0.446,-0.106,-0.476,4.524,0.006,2,14,0,0.287,0,1,0.154,0.243,2.826,-3.020,1.980,0.050,2,14,0,0.330,0,0,0.052,0.260,-2.858,-3.802,1.198,0.093,2,14,0,0.273,0,0,0.159,2.356,0.176,-3.014,1.986,0.049,2,14,0,0.418,0,0,0.113,-3.246,-0.032,-3.006,1.994,0.091,2,14,0,0.415,0,0,0.019,3.188,0.668,0,0,0.418,0.000,0.000,0.000,0.000
5.0,0.409,-0.043,-1.532,3.468,0.057,2,14,0,0.234,0,0,0.161,0.173,2.810,-4.453,0.547,0.034,2,14,0,0.166,0,0,0.120,0.225,-2.878,-4.950,0.050,0.105,2,14,0,0.169,0,0,0.147,2.292,0.129,-4.428,0.572,0.083,2,14,0,0.165,0,0,0.100,-3.287,-0.112,-4.426,0.574,0.074,2,14,0,0.193,0,0,0.072,3.459,0.720,0,0,0.234,0.000,0.000,0.000,0.000
6.0,0.255,-0.106,-3.007,1.993,0.113,2,14,0,0.329,0,0,0.077,0.211,2.710,-5.148,-0.148,0.030,2,14,0,0.167,0,0,0.132,0.162,-3.039,-5.429,-0.429,0.129,2,14,0,0.164,0,0,0.113,2.307,0.074,-5.121,-0.121,0.065,2,14,0,0.164,0,0,0.062,-3.353,-0.127,-5.181,-0.181,0.024,2,14,0,0.170,0,0,0.125,2.952,0.697,0,0,0.329,0.000,0.000,0.000,0.000
7.0,0.160,-0.221,-4.226,0.774,0.094,2,14,0,0.170,0,0,0.154,0.244,2.691,-5.606,-0.606,0.041,2,14,0,0.197,0,0,0.131,0.094,-3.194,-5.754,-0.754,0.090,2,14,0,0.167,0,0,0.250,2.317,0.019,-5.523,-0.523,0.044,2,14,0,0.139,0,0,0.066,-3.365,-0.158,-5.632,-0.632,0.018,2,14,0,0.163,0,0,0.153,2.529,0.683,0,0,0.197,0.000,0.000,0.000,0.000
8.0,0.206,-0.325,-4.717,0.283,0.039,2,14,0,0.179,0,0,0.188,0.277,2.705,-5.782,-0.782,0.063,2,14,0,0.166,0,0,0.109,0.162,-3.240,-6.056,-1.056,0.088,2,14,0,0.167,0,0,0.253,2.319,0.005,-5.639,-0.639,0.025,2,14,0,0.177,0,0,0.076,-3.348,-0.122,-5.797,-0.797,0.068,2,14,0,0.259,0,0,0.119,2.329,0.681,0,0,0.259,0.000,0.000,0.000,0.000
9.0,0.285,-0.273,-4.909,0.091,0.066,2,14,0,0.180,0,0,0.110,0.317,2.861,-5.814,-0.814,0.090,2,14,0,0.167,0,0,0.053,0.324,-3.156,-6.199,-1.199,0.132,2,14,0,0.220,0,0,0.151,2.347,-0.084,-5.710,-0.710,0.033,2,14,0,0.184,0,0,0.149,-3.271,-0.074,-5.858,-0.858,0.085,2,14,0,0.173,0,0,0.033,2.221,0.658,0,0,0.220,0.000,0.000,0.000,0.000
10.0,0.271,-0.185,-4.937,0.063,0.069,2,14,0,0.203,0,0,0.038,0.377,2.891,-5.914,-0.914,0.027,2,14,0,0.167,0,0,0.115,0.430,-2.987,-6.451,-1.451,0.107,2,14,0,0.166,0,0,0.159,2.387,0.007,-5.753,-0.753,0.070,2,14,0,0.168,0,0,0.059,-3.213,0.023,-5.908,-0.908,0.066,2,14,0,0.164,0,0,0.080,2.276,0.613,0,0,0.203,0.000,0.000,0.000,0.000
11.0,0.255,-0.126,-4.973,0.027,0.055,2,14,0,0.150,0,0,0.062,0.314,2.892,-5.898,-0.898,0.025,2,14,0,0.137,0,0,0.083,0.379,-2.876,-6.533,-1.533,0.070,2,14,0,0.162,0,0,0.176,2.466,0.120,-5.769,-0.769,0.065,2,14,0,0.164,0,0,0.112,-3.163,0.064,-5.918,-0.918,0.009,2,14,0,0.140,0,0,0.146,2.362,0.548,0,0,0.164,0.000,0.000,0.000,0.000
12.0,0.247,-0.100,-4.970,0.030,0.029,2,14,0,0.149,0,0,0.086,0.331,2.887,-5.788,-0.788,0.039,2,14,0,0.172,0,0,0.084,0.328,-2.859,-6.570,-1.570,0.061,2,14,0,0.138,0,0,0.166,2.508,0.175,-5.862,-0.862,0.029,2,14,0,0.182,0,0,0.179,-3.220,-0.010,-5.905,-0.905,0.064,2,14,0,0.143,0,0,0.054,2.446,0.522,0,0,0.182,0.000,0.000,0.000,0.000
