t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.073,-0.042,-0.657,4.343,0.038,2,14,0,0.266,0,0,0.103,-0.054,2.820,-0.042,4.958,0.060,2,14,0,0.266,0,0,0.027,0.323,-2.869,-0.024,4.976,0.051,2,14,0,0.231,0,0,0.034,3.393,-0.088,0.730,5.730,0.031,2,14,0,0.224,0,0,0.037,-2.504,-0.046,0.070,5.070,0.053,2,14,0,0.225,0,0,0.055,2.537,0.498,0,0,0.266,0.000,0.000,0.000,0.000
2.0,-0.080,-0.034,-1.379,3.621,0.073,2,14,0,0.262,0,0,0.103,-0.056,2.909,-0.856,4.144,0.112,2,14,0,0.233,0,0,0.067,0.311,-2.875,-0.851,4.149,0.064,2,14,0,0.221,0,0,0.020,3.480,-0.080,0.001,5.001,0.106,2,14,0,0.226,0,0,0.060,-2.463,-0.079,-0.789,4.211,0.068,2,14,0,0.220,0,0,0.083,2.455,0.543,0,0,0.262,0.000,0.000,0.000,0.000
3.0,-0.150,-0.022,-2.448,2.552,0.079,2,14,0,0.297,0,0,0.083,-0.051,3.024,-2.098,2.902,0.023,2,14,0,0.366,0,0,0.183,0.311,-2.832,-2.065,2.935,0.010,2,14,0,0.319,0,0,0.057,3.545,0.085,-1.132,3.868,0.040,2,14,0,0.286,0,0,0.197,-2.545,-0.062,-1.998,3.002,0.064,2,14,0,0.329,0,0,0.022,2.437,0.552,0,0,0.366,0.000,0.000,0.000,0.000
4.0,-0.165,-0.090,-3.752,1.248,0.055,2,14,0,0.192,0,0,0.014,-0.067,2.949,-3.369,1.631,0.066,2,14,0,0.180,0,0,0.106,0.301,-2.828,-3.328,1.672,0.040,2,14,0,0.171,0,0,0.057,3.481,0.098,-2.348,2.652,0.086,2,14,0,0.276,0,0,0.178,-2.553,-0.051,-3.225,1.775,0.033,2,14,0,0.195,0,0,0.033,2.446,0.491,0,0,0.276,0.000,0.000,0.000,0.000
5.0,-0.209,-0.101,-4.507,0.493,0.052,2,14,0,0.182,0,0,0.050,-0.078,2.794,-4.065,0.935,0.113,2,14,0,0.363,0,0,0.048,0.238,-2.781,-4.049,0.951,0.049,2,14,0,0.160,0,0,0.118,3.365,0.001,-3.615,1.385,0.135,2,14,0,0.164,0,0,0.088,-2.558,-0.073,-4.009,0.991,0.027,2,14,0,0.169,0,0,0.016,2.402,0.448,0,0,0.363,0.000,0.000,0.000,0.000
6.0,-0.164,-0.161,-4.782,0.218,0.050,2,14,0,0.213,0,0,0.058,-0.169,2.608,-4.188,0.812,0.078,2,14,0,0.205,0,0,0.254,0.197,-2.876,-4.206,0.794,0.060,2,14,0,0.167,0,0,0.098,3.212,-0.070,-4.167,0.833,0.109,2,14,0,0.200,0,0,0.209,-2.661,-0.141,-4.126,0.874,0.045,2,14,0,0.171,0,0,0.131,2.581,0.426,0,0,0.213,0.000,0.000,0.000,0.000
7.0,-0.062,-0.206,-4.913,0.087,0.039,2,14,0,0.176,0,0,0.137,-0.166,2.572,-4.214,0.786,0.041,2,14,0,0.146,0,0,0.288,0.310,-2.922,-4.161,0.839,0.066,2,14,0,0.168,0,0,0.039,3.245,-0.143,-4.120,0.880,0.073,2,14,0,0.171,0,0,0.192,-2.680,-0.104,-4.091,0.909,0.040,2,14,0,0.171,0,0,0.138,2.747,0.459,0,0,0.176,0.000,0.000,0.000,0.000
8.0,-0.049,-0.211,-4.893,0.107,0.038,2,14,0,0.184,0,0,0.154,-0.141,2.668,-4.251,0.749,0.145,2,14,0,0.174,0,0,0.189,0.323,-2.988,-4.153,0.847,0.028,2,14,0,0.143,0,0,0.105,3.284,-0.182,-4.024,0.976,0.089,2,14,0,0.164,0,0,0.179,-2.559,-0.109,-4.068,0.932,0.091,2,14,0,0.167,0,0,0.031,2.644,0.454,0,0,0.184,0.000,0.000,0.000,0.000
9.0,-0.146,-0.145,-4.952,0.048,0.088,2,14,0,0.189,0,0,0.044,-0.126,2.817,-4.256,0.744,0.160,2,14,0,0.173,0,0,0.063,0.344,-3.039,-4.280,0.720,0.014,2,14,0,0.143,0,0,0.162,3.382,-0.172,-3.843,1.157,0.121,2,14,0,0.166,0,0,0.113,-2.505,-0.079,-4.095,0.905,0.055,2,14,0,0.141,0,0,0.039,2.511,0.501,0,0,0.189,0.000,0.000,0.000,0.000
10.0,-0.280,-0.135,-4.959,0.041,0.055,2,14,0,0.215,0,0,0.127,-0.081,2.955,-4.282,0.718,0.115,2,14,0,0.170,0,0,0.113,0.277,-2.920,-4.182,0.818,0.088,2,14,0,0.165,0,0,0.040,3.559,-0.093,-3.731,1.269,0.103,2,14,0,0.172,0,0,0.138,-2.456,-0.069,-4.109,0.891,0.020,2,14,0,0.142,0,0,0.089,2.337,0.566,0,0,0.215,0.000,0.000,0.000,0.000
11.0,-0.224,-0.085,-4.966,0.034,0.046,2,14,0,0.181,0,0,0.070,-0.030,3.116,-4.316,0.684,0.042,2,14,0,0.187,0,0,0.275,0.244,-2.784,-4.185,0.815,0.064,2,14,0,0.143,0,0,0.113,3.555,-0.069,-3.571,1.429,0.055,2,14,0,0.166,0,0,0.135,-2.467,-0.134,-4.103,0.897,0.024,2,14,0,0.141,0,0,0.093,2.403,0.559,0,0,0.187,0.000,0.000,0.000,0.000
12.0,-0.135,-0.048,-4.976,0.024,0.052,2,14,0,0.158,0,0,0.059,-0.008,3.077,-4.299,0.701,0.098,2,14,0,0.178,0,0,0.243,0.313,-2.738,-4.193,0.807,0.030,2,14,0,0.172,0,0,0.149,3.545,0.003,-3.530,1.470,0.064,2,14,0,0.173,0,0,0.142,-2.480,-0.104,-4.062,0.938,0.052,2,14,0,0.146,0,0,0.068,2.518,0.545,0,0,0.178,0.000,0.000,0.000,0.000
13.0,-0.082,-0.075,-4.961,0.039,0.024,2,14,0,0.157,0,0,0.081,-0.050,2.915,-4.331,0.669,0.157,2,14,0,0.145,0,0,0.075,0.376,-2.807,-4.218,0.782,0.071,2,14,0,0.197,0,0,0.114,3.458,0.044,-3.516,1.484,0.089,2,14,0,0.142,0,0,0.118,-2.442,-0.090,-4.119,0.881,0.048,2,14,0,0.139,0,0,0.103,2.506,0.565,0,0,0.197,0.000,0.000,0.000,0.000
14.0,-0.167,-0.062,-5.013,-0.013,0.035,2,14,0,0.184,0,0,0.042,-0.088,2.810,-4.314,0.686,0.122,2,14,0,0.144,0,0,0.037,0.308,-2.886,-4.211,0.789,0.082,2,14,0,0.142,0,0,0.014,3.355,0.042,-3.517,1.483,0.086,2,14,0,0.167,0,0,0.126,-2.507,-0.066,-4.088,0.912,0.082,2,14,0,0.148,0,0,0.043,2.515,0.498,0,0,0.184,0.000,0.000,0.000,0.000
15.0,-0.160,-0.040,-4.997,0.003,0.029,2,14,0,0.151,0,0,0.064,-0.086,2.721,-4.282,0.718,0.074,2,14,0,0.180,0,0,0.122,0.249,-2.907,-4.252,0.748,0.050,2,14,0,0.152,0,0,0.049,3.241,0.005,-3.521,1.479,0.073,2,14,0,0.134,0,0,0.193,-2.658,-0.009,-4.122,0.878,0.070,2,14,0,0.139,0,0,0.135,2.647,0.342,0,0,0.180,0.000,0.000,0.000,0.000
16.0,-0.247,-0.106,-5.003,-0.003,0.052,2,14,0,0.178,0,0,0.088,-0.061,2.666,-4.253,0.747,0.009,2,14,0,0.170,0,0,0.177,0.210,-2.889,-4.273,0.727,0.004,2,14,0,0.145,0,0,0.084,3.317,-0.119,-3.485,1.515,0.105,2,14,0,0.204,0,0,0.117,-2.676,-0.058,-4.140,0.860,0.039,2,14,0,0.176,0,0,0.136,2.578,0.340,0,0,0.204,0.000,0.000,0.000,0.000
17.0,-0.197,-0.143,-4.991,0.009,0.048,2,14,0,0.184,0,0,0.058,-0.088,2.734,-4.313,0.687,0.071,2,14,0,0.176,0,0,0.111,0.198,-2.908,-4.288,0.712,0.032,2,14,0,0.168,0,0,0.099,3.421,-0.203,-3.462,1.538,0.085,2,14,0,0.168,0,0,0.135,-2.697,-0.134,-4.131,0.869,0.054,2,14,0,0.168,0,0,0.161,2.643,0.467,0,0,0.184,0.000,0.000,0.000,0.000
18.0,-0.107,-0.160,-4.998,0.002,0.030,2,14,0,0.187,0,0,0.077,-0.118,2.840,-4.302,0.698,0.080,2,14,0,0.178,0,0,0.049,0.236,-2.935,-4.245,0.755,0.054,2,14,0,0.141,0,0,0.076,3.406,-0.202,-3.548,1.452,0.046,2,14,0,0.168,0,0,0.136,-2.619,-0.133,-4.061,0.939,0.092,2,14,0,0.140,0,0,0.090,2.681,0.453,0,0,0.187,0.000,0.000,0.000,0.000
19.0,-0.104,-0.132,-5.022,-0.022,0.019,2,14,0,0.151,0,0,0.062,-0.102,2.935,-4.299,0.701,0.046,2,14,0,0.153,0,0,0.097,0.313,-2.930,-4.193,0.807,0.060,2,14,0,0.227,0,0,0.048,3.397,-0.159,-3.520,1.480,0.076,2,14,0,0.137,0,0,0.096,-2.539,-0.135,-4.074,0.926,0.090,2,14,0,0.166,0,0,0.053,2.613,0.480,0,0,0.227,0.000,0.000,0.000,0.000
20.0,-0.243,-0.107,-5.048,-0.048,0.038,2,14,0,0.182,0,0,0.086,-0.091,2.955,-4.296,0.704,0.041,2,14,0,0.180,0,0,0.114,0.414,-2.934,-4.198,0.802,0.029,2,14,0,0.163,0,0,0.130,3.474,-0.055,-3.527,1.473,0.088,2,14,0,0.171,0,0,0.053,-2.424,-0.116,-4.103,0.897,0.056,2,14,0,0.208,0,0,0.123,2.376,0.588,0,0,0.208,0.000,0.000,0.000,0.000
21.0,-0.153,-0.084,-5.020,-0.020,0.043,2,14,0,0.160,0,0,0.020,-0.021,2.899,-4.360,0.640,0.068,2,14,0,0.174,0,0,0.075,0.408,-2.918,-4.276,0.724,0.050,2,14,0,0.175,0,0,0.119,3.493,-0.007,-3.563,1.437,0.045,2,14,0,0.193,0,0,0.094,-2.446,-0.090,-4.093,0.907,0.035,2,14,0,0.168,0,0,0.100,2.474,0.561,0,0,0.193,0.000,0.000,0.000,0.000
22.0,-0.182,-0.114,-5.058,-0.058,0.018,2,14,0,0.184,0,0,0.027,-0.017,2.879,-4.357,0.643,0.055,2,14,0,0.172,0,0,0.063,0.339,-2.876,-4.329,0.671,0.065,2,14,0,0.169,0,0,0.046,3.470,0.071,-3.516,1.484,0.024,2,14,0,0.170,0,0,0.147,-2.504,-0.071,-4.102,0.898,0.053,2,14,0,0.139,0,0,0.043,2.511,0.501,0,0,0.184,0.000,0.000,0.000,0.000
23.0,-0.092,-0.093,-4.976,0.024,0.030,2,14,0,0.147,0,0,0.064,-0.056,2.847,-4.292,0.708,0.051,2,14,0,0.177,0,0,0.015,0.360,-2.836,-4.312,0.688,0.053,2,14,0,0.172,0,0,0.083,3.447,0.026,-3.547,1.453,0.071,2,14,0,0.299,0,0,0.100,-2.527,-0.061,-4.097,0.903,0.035,2,14,0,0.201,0,0,0.027,2.589,0.477,0,0,0.299,0.000,0.000,0.000,0.000
24.0,-0.097,-0.107,-5.000,-0.000,0.007,2,14,0,0.177,0,0,0.060,-0.106,2.835,-4.317,0.683,0.037,2,14,0,0.178,0,0,0.036,0.270,-2.826,-4.230,0.770,0.061,2,14,0,0.176,0,0,0.063,3.461,-0.016,-3.538,1.462,0.066,2,14,0,0.165,0,0,0.065,-2.533,-0.042,-4.150,0.850,0.027,2,14,0,0.169,0,0,0.043,2.581,0.469,0,0,0.178,0.000,0.000,0.000,0.000
25.0,-0.098,-0.116,-4.948,0.052,0.032,2,14,0,0.174,0,0,0.061,-0.070,2.777,-4.342,0.658,0.030,2,14,0,0.176,0,0,0.066,0.126,-2.863,-4.203,0.797,0.042,2,14,0,0.198,0,0,0.169,3.454,-0.023,-3.484,1.516,0.064,2,14,0,0.166,0,0,0.058,-2.485,-0.006,-4.081,0.919,0.015,2,14,0,0.168,0,0,0.097,2.542,0.515,0,0,0.198,0.000,0.000,0.000,0.000
26.0,-0.113,-0.100,-4.952,0.048,0.034,2,14,0,0.193,0,0,0.043,-0.106,2.728,-4.241,0.759,0.007,2,14,0,0.177,0,0,0.120,0.214,-2.920,-4.203,0.797,0.061,2,14,0,0.202,0,0,0.087,3.386,-0.120,-3.548,1.452,0.067,2,14,0,0.141,0,0,0.062,-2.565,-0.039,-4.065,0.935,0.053,2,14,0,0.169,0,0,0.049,2.608,0.437,0,0,0.202,0.000,0.000,0.000,0.000
27.0,-0.174,-0.078,-5.051,-0.051,0.044,2,14,0,0.177,0,0,0.030,-0.032,2.789,-4.303,0.697,0.063,2,14,0,0.211,0,0,0.066,0.265,-2.962,-4.202,0.798,0.065,2,14,0,0.165,0,0,0.081,3.338,-0.142,-3.476,1.524,0.021,2,14,0,0.170,0,0,0.111,-2.581,-0.104,-4.066,0.934,0.043,2,14,0,0.166,0,0,0.042,2.600,0.432,0,0,0.211,0.000,0.000,0.000,0.000
28.0,-0.220,-0.067,-5.002,-0.002,0.027,2,14,0,0.156,0,0,0.072,0.014,2.849,-4.342,0.658,0.054,2,14,0,0.190,0,0,0.083,0.285,-2.959,-4.263,0.737,0.062,2,14,0,0.226,0,0,0.074,3.350,-0.180,-3.464,1.536,0.032,2,14,0,0.142,0,0,0.134,-2.625,-0.179,-4.141,0.859,0.024,2,14,0,0.141,0,0,0.124,2.557,0.415,0,0,0.226,0.000,0.000,0.000,0.000
29.0,-0.236,-0.106,-4.944,0.056,0.031,2,14,0,0.182,0,0,0.078,0.055,2.890,-4.324,0.676,0.038,2,14,0,0.152,0,0,0.133,0.304,-2.876,-4.283,0.717,0.067,2,14,0,0.173,0,0,0.014,3.442,-0.147,-3.536,1.464,0.067,2,14,0,0.169,0,0,0.082,-2.648,-0.202,-4.141,0.859,0.035,2,14,0,0.167,0,0,0.159,2.543,0.466,0,0,0.182,0.000,0.000,0.000,0.000
