t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.365,-0.115,-4.730,0.270,0.048,0,0,0,0.188,0,0,0.220,-0.137,3.035,-4.053,0.947,0.118,0,0,0,0.170,0,0,0.073,-0.150,-3.120,-4.205,0.795,0.006,2,14,0,0.176,0,0,0.105,2.678,0.163,-4.249,0.751,0.098,0,0,0,0.177,0,0,0.018,-2.850,-0.159,-3.722,1.278,0.084,2,14,0,0.182,0,0,0.029,2.681,nan,0,0,0.188,nan,nan,nan,nan
2.0,-0.296,-0.095,-4.811,0.189,0.110,2,14,0,0.190,0,0,0.154,-0.006,2.987,-4.092,0.908,0.068,2,14,0,0.177,0,0,0.109,-0.148,-3.006,-4.310,0.690,0.053,2,14,0,0.173,0,0,0.056,2.595,0.163,-4.379,0.621,0.060,2,14,0,0.178,0,0,0.101,-2.934,-0.279,-3.849,1.151,0.062,2,14,0,0.172,0,0,0.173,2.814,0.436,0,0,0.190,0.000,0.000,0.000,0.000
3.0,-0.160,0.033,-4.855,0.145,0.123,2,14,0,0.220,0,0,0.034,-0.021,3.027,-4.215,0.785,0.022,2,14,0,0.176,0,0,0.073,-0.128,-2.966,-4.327,0.673,0.034,2,14,0,0.147,0,0,0.070,2.547,0.164,-4.402,0.598,0.022,2,14,0,0.245,0,0,0.150,-2.882,-0.321,-3.859,1.141,0.026,2,14,0,0.153,0,0,0.186,2.748,0.481,0,0,0.245,0.000,0.000,0.000,0.000
4.0,-0.124,0.087,-4.934,0.066,0.049,2,14,0,0.166,0,0,0.100,-0.033,3.036,-4.296,0.704,0.027,2,14,0,0.149,0,0,0.058,-0.116,-3.014,-4.357,0.643,0.049,2,14,0,0.208,0,0,0.026,2.592,0.153,-4.460,0.540,0.053,2,14,0,0.209,0,0,0.105,-2.768,-0.304,-3.971,1.029,0.085,2,14,0,0.188,0,0,0.168,2.759,0.435,0,0,0.209,0.000,0.000,0.000,0.000
5.0,-0.092,0.085,-4.953,0.047,0.028,2,14,0,0.188,0,0,0.119,-0.042,3.097,-4.254,0.746,0.039,2,14,0,0.265,0,0,0.040,-0.080,-3.088,-4.418,0.582,0.050,2,14,0,0.206,0,0,0.059,2.722,0.149,-4.509,0.491,0.068,2,14,0,0.180,0,0,0.023,-2.718,-0.147,-3.943,1.057,0.117,2,14,0,0.177,0,0,0.105,2.823,0.317,0,0,0.265,0.000,0.000,0.000,0.000
6.0,-0.114,0.051,-4.981,0.019,0.067,2,14,0,0.164,0,0,0.082,-0.054,3.087,-4.250,0.750,0.038,2,14,0,0.173,0,0,0.027,0.002,-3.116,-4.467,0.533,0.016,2,14,0,0.179,0,0,0.132,2.755,0.129,-4.501,0.499,0.018,2,14,0,0.190,0,0,0.062,-2.792,-0.068,-3.957,1.043,0.088,2,14,0,0.218,0,0,0.083,2.870,0.277,0,0,0.218,0.000,0.000,0.000,0.000
7.0,-0.238,-0.011,-4.992,0.008,0.073,2,14,0,0.190,0,0,0.058,-0.107,3.092,-4.291,0.709,0.028,2,14,0,0.144,0,0,0.035,-0.010,-3.076,-4.498,0.502,0.051,2,14,0,0.178,0,0,0.101,2.766,0.134,-4.472,0.528,0.028,2,14,0,0.179,0,0,0.072,-2.873,-0.063,-3.941,1.059,0.050,2,14,0,0.182,0,0,0.096,2.838,0.270,0,0,0.190,0.000,0.000,0.000,0.000
8.0,-0.237,-0.084,-5.027,-0.027,0.032,2,14,0,0.160,0,0,0.104,-0.091,3.144,-4.260,0.740,0.000,2,14,0,0.150,0,0,0.071,-0.100,-3.024,-4.425,0.575,0.067,2,14,0,0.425,0,0,0.006,2.745,0.149,-4.519,0.481,0.050,2,14,0,0.152,0,0,0.048,-3.025,-0.033,-4.001,0.999,0.033,2,14,0,0.176,0,0,0.231,2.972,0.296,0,0,0.425,0.000,0.000,0.000,0.000
9.0,-0.169,-0.153,-5.087,-0.087,0.029,2,14,0,0.191,0,0,0.158,-0.129,3.141,-4.258,0.742,0.035,2,14,0,0.175,0,0,0.085,-0.137,-2.997,-4.398,0.602,0.031,2,14,0,0.210,0,0,0.052,2.660,0.185,-4.522,0.478,0.065,2,14,0,0.178,0,0,0.046,-3.060,-0.090,-3.957,1.043,0.095,2,14,0,0.176,0,0,0.243,2.905,0.387,0,0,0.210,0.000,0.000,0.000,0.000
10.0,-0.174,-0.060,-5.064,-0.064,0.076,2,14,0,0.163,0,0,0.066,-0.217,3.086,-4.217,0.783,0.053,2,14,0,0.145,0,0,0.141,-0.135,-2.962,-4.462,0.538,0.008,2,14,0,0.175,0,0,0.077,2.582,0.198,-4.516,0.484,0.026,2,14,0,0.179,0,0,0.121,-2.872,-0.107,-3.904,1.096,0.160,2,14,0,0.176,0,0,0.061,2.822,0.463,0,0,0.179,0.000,0.000,0.000,0.000
