t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.323,0.090,0.197,5.197,0.017,2,14,0,0.273,0,0,0.069,-0.035,2.870,-0.286,4.714,0.012,2,14,0,0.232,0,0,0.024,-0.474,-2.914,-0.273,4.727,0.017,0,0,0,0.307,0,0,0.067,2.639,-0.009,-0.248,4.752,0.020,2,14,0,0.711,0,0,0.056,-2.935,0.196,0.107,5.107,0.032,0,0,0,0.263,0,0,0.051,2.361,0.482,0,0,0.711,0.000,0.000,0.000,0.000
2.0,0.288,0.077,-0.177,4.823,0.021,2,14,0,0.257,0,0,0.032,0.026,2.836,-0.473,4.527,0.056,2,14,0,0.268,0,0,0.094,-0.408,-2.869,-0.472,4.528,0.033,2,14,0,0.292,0,0,0.069,2.683,0.072,-0.503,4.497,0.057,2,14,0,0.270,0,0,0.034,-2.866,0.231,-0.126,4.874,0.152,2,14,0,0.289,0,0,0.034,2.417,0.428,0,0,0.292,0.000,0.000,0.000,0.000
3.0,0.242,0.170,-1.162,3.838,0.082,2,14,0,0.280,0,0,0.102,-0.167,2.905,-1.533,3.467,0.199,2,14,0,0.230,0,0,0.114,-0.482,-2.801,-1.470,3.530,0.105,2,14,0,0.246,0,0,0.046,2.706,0.154,-1.503,3.497,0.096,2,14,0,0.272,0,0,0.123,-2.818,0.441,-1.152,3.848,0.199,2,14,0,0.240,0,0,0.247,2.488,0.521,0,0,0.280,0.000,0.000,0.000,0.000
4.0,0.213,0.071,-2.374,2.626,0.065,2,14,0,0.284,0,0,0.044,-0.239,2.759,-2.685,2.315,0.051,2,14,0,0.287,0,0,0.227,-0.384,-2.836,-2.629,2.371,0.024,2,14,0,0.316,0,0,0.088,2.726,0.131,-2.621,2.379,0.027,2,14,0,0.390,0,0,0.109,-2.952,0.489,-2.319,2.681,0.061,2,14,0,0.288,0,0,0.296,2.526,0.491,0,0,0.390,0.000,0.000,0.000,0.000
5.0,0.178,-0.031,-3.680,1.320,0.040,2,14,0,0.196,0,0,0.127,-0.135,2.690,-3.930,1.070,0.093,2,14,0,0.178,0,0,0.215,-0.457,-2.783,-3.899,1.101,0.050,2,14,0,0.191,0,0,0.065,2.597,0.055,-3.875,1.125,0.107,2,14,0,0.182,0,0,0.071,-2.952,0.392,-3.618,1.382,0.177,2,14,0,0.175,0,0,0.204,2.428,0.506,0,0,0.196,0.000,0.000,0.000,0.000
6.0,0.139,0.001,-4.473,0.527,0.035,2,14,0,0.199,0,0,0.136,-0.042,2.716,-4.643,0.357,0.120,2,14,0,0.180,0,0,0.173,-0.452,-2.813,-4.587,0.413,0.046,2,14,0,0.186,0,0,0.040,2.490,-0.038,-4.590,0.410,0.065,2,14,0,0.182,0,0,0.193,-2.977,0.297,-4.434,0.566,0.180,2,14,0,0.176,0,0,0.136,2.355,0.511,0,0,0.199,0.000,0.000,0.000,0.000
7.0,0.226,0.005,-4.764,0.236,0.083,2,14,0,0.196,0,0,0.071,0.044,2.839,-4.836,0.164,0.135,2,14,0,0.175,0,0,0.108,-0.510,-2.857,-4.796,0.204,0.054,2,14,0,0.186,0,0,0.038,2.536,-0.121,-4.831,0.169,0.064,2,14,0,0.224,0,0,0.207,-2.917,0.169,-4.713,0.287,0.173,2,14,0,0.175,0,0,0.046,2.314,0.530,0,0,0.224,0.000,0.000,0.000,0.000
8.0,0.271,0.062,-4.874,0.126,0.065,2,14,0,0.200,0,0,0.015,0.054,2.995,-4.929,0.071,0.094,2,14,0,0.223,0,0,0.150,-0.564,-2.849,-4.835,0.165,0.015,2,14,0,0.183,0,0,0.092,2.573,-0.109,-4.945,0.055,0.103,2,14,0,0.193,0,0,0.177,-2.874,0.041,-4.862,0.138,0.123,2,14,0,0.148,0,0,0.158,2.310,0.584,0,0,0.223,0.000,0.000,0.000,0.000
9.0,0.260,0.118,-4.901,0.099,0.048,2,14,0,0.244,0,0,0.050,0.055,3.068,-4.933,0.067,0.033,2,14,0,0.177,0,0,0.209,-0.543,-2.873,-4.930,0.070,0.031,2,14,0,0.165,0,0,0.075,2.635,-0.038,-4.999,0.001,0.117,2,14,0,0.257,0,0,0.084,-2.749,-0.064,-4.896,0.104,0.041,2,14,0,0.181,0,0,0.297,2.381,0.558,0,0,0.257,0.000,0.000,0.000,0.000
10.0,0.299,0.182,-4.910,0.090,0.017,2,14,0,0.198,0,0,0.121,-0.071,3.075,-4.968,0.032,0.078,2,14,0,0.172,0,0,0.188,-0.505,-2.863,-4.930,0.070,0.048,2,14,0,0.152,0,0,0.036,2.806,-0.052,-5.003,-0.003,0.092,2,14,0,1.165,0,0,0.163,-2.730,0.112,-5.021,-0.021,0.099,2,14,0,0.177,0,0,0.178,2.519,0.523,0,0,1.165,0.000,0.000,0.000,0.000
