t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,nan,nan,nan,nan,nan,0,0,0,0.239,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.226,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.223,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.239,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.223,0,0,0.051,nan,nan,0,0,0.239,0.000,0.000,0.000,0.000
2.0,nan,nan,nan,nan,nan,0,0,0,0.234,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.223,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.225,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.235,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.230,0,0,0.051,nan,nan,0,0,0.235,0.000,0.000,0.000,0.000
3.0,nan,nan,nan,nan,nan,0,0,0,0.261,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.233,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.226,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.235,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.233,0,0,0.051,nan,nan,0,0,0.261,0.000,0.000,0.000,0.000
4.0,nan,nan,nan,nan,nan,0,0,0,0.234,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.230,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,1.030,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.240,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.228,0,0,0.051,nan,nan,0,0,1.030,0.000,0.000,0.000,0.000
5.0,nan,nan,nan,nan,nan,0,0,0,0.231,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.228,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.228,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.233,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.229,0,0,0.051,nan,nan,0,0,0.233,0.000,0.000,0.000,0.000
6.0,nan,nan,nan,nan,nan,0,0,0,0.232,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.231,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.237,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.235,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.229,0,0,0.051,nan,nan,0,0,0.237,0.000,0.000,0.000,0.000
7.0,nan,nan,nan,nan,nan,0,0,0,0.245,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.224,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.252,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.235,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.226,0,0,0.051,nan,nan,0,0,0.252,0.000,0.000,0.000,0.000
8.0,nan,nan,nan,nan,nan,0,0,0,0.236,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.257,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.228,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.238,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.226,0,0,0.051,nan,nan,0,0,0.257,0.000,0.000,0.000,0.000
9.0,nan,nan,nan,nan,nan,0,0,0,0.234,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.229,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.227,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.242,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.230,0,0,0.051,nan,nan,0,0,0.242,0.000,0.000,0.000,0.000
10.0,nan,nan,nan,nan,nan,0,0,0,0.233,0,0,0.041,nan,nan,nan,nan,nan,0,0,0,0.247,0,0,0.036,nan,nan,nan,nan,nan,0,0,0,0.226,0,0,0.051,nan,nan,nan,nan,nan,0,0,0,0.229,0,0,0.042,nan,nan,nan,nan,nan,0,0,0,0.228,0,0,0.051,nan,nan,0,0,0.247,0.000,0.000,0.000,0.000
