t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.027,-0.160,-0.406,4.594,0.020,1,4,-1,0.000,0,0,0.000,-0.071,2.976,0.560,5.560,0.024,1,4,-1,0.000,0,0,0.000,-0.104,-2.655,-0.456,4.544,0.024,1,4,-1,0.000,0,0,0.000,2.448,0.010,-0.181,4.819,0.020,1,4,-1,0.000,0,0,0.000,-3.231,-0.142,0.396,5.396,0.010,1,4,-1,0.000,0,0,0.000,2.492,nan,0,0,0.000,nan,nan,nan,nan
2.0,-0.042,-0.143,-0.451,4.549,0.008,1,4,-1,0.000,0,0,0.000,-0.051,2.995,0.616,5.616,0.007,1,4,-1,0.000,0,0,0.000,-0.113,-2.625,-0.486,4.514,0.028,1,4,-1,0.000,0,0,0.000,2.409,0.015,-0.162,4.838,0.009,1,4,-1,0.000,0,0,0.000,-3.206,-0.171,0.382,5.382,0.015,1,4,-1,0.000,0,0,0.000,2.472,nan,0,0,0.000,nan,nan,nan,nan
3.0,-0.004,-0.117,-0.297,4.703,0.016,1,4,-1,0.000,0,0,0.000,-0.132,2.991,0.634,5.634,0.026,1,4,-1,0.000,0,0,0.000,-0.147,-2.602,-0.566,4.434,0.034,1,4,-1,0.000,0,0,0.000,2.338,-0.010,-0.180,4.820,0.023,1,4,-1,0.000,0,0,0.000,-3.222,-0.162,0.321,5.321,0.004,1,4,-1,0.000,0,0,0.000,2.347,nan,0,0,0.000,nan,nan,nan,nan
4.0,-0.089,-0.078,-0.291,4.709,0.022,1,4,-1,0.000,0,0,0.000,-0.114,2.978,0.628,5.628,0.013,1,4,-1,0.000,0,0,0.000,-0.141,-2.608,-0.518,4.482,0.020,1,4,-1,0.000,0,0,0.000,2.337,-0.026,-0.242,4.758,0.023,1,4,-1,0.000,0,0,0.000,-3.196,-0.158,0.330,5.330,0.011,1,4,-1,0.000,0,0,0.000,2.427,nan,0,0,0.000,nan,nan,nan,nan
5.0,-0.096,-0.076,-0.320,4.680,0.017,1,4,-1,0.000,0,0,0.000,-0.097,3.013,0.672,5.672,0.012,1,4,-1,0.000,0,0,0.000,-0.156,-2.646,-0.498,4.502,0.020,1,4,-1,0.000,0,0,0.000,2.345,-0.038,-0.240,4.760,0.017,1,4,-1,0.000,0,0,0.000,-3.159,-0.156,0.417,5.417,0.017,1,4,-1,0.000,0,0,0.000,2.443,nan,0,0,0.000,nan,nan,nan,nan
6.0,-0.081,-0.106,-0.355,4.645,0.006,1,4,-1,0.000,0,0,0.000,-0.127,3.010,0.658,5.658,0.013,1,4,-1,0.000,0,0,0.000,-0.038,-2.652,-0.430,4.570,0.030,1,4,-1,0.000,0,0,0.000,2.366,-0.056,-0.253,4.747,0.013,1,4,-1,0.000,0,0,0.000,-3.195,-0.124,0.434,5.434,0.005,1,4,-1,0.000,0,0,0.000,2.450,nan,0,0,0.000,nan,nan,nan,nan
7.0,-0.050,-0.170,-0.328,4.672,0.027,1,4,-1,0.000,0,0,0.000,-0.122,2.995,0.717,5.717,0.007,1,4,-1,0.000,0,0,0.000,-0.051,-2.670,-0.416,4.584,0.027,1,4,-1,0.000,0,0,0.000,2.359,-0.058,-0.265,4.735,0.012,1,4,-1,0.000,0,0,0.000,-3.222,-0.140,0.410,5.410,0.010,1,4,-1,0.000,0,0,0.000,2.413,nan,0,0,0.000,nan,nan,nan,nan
8.0,-0.118,-0.200,-0.342,4.658,0.037,1,4,-1,0.000,0,0,0.000,-0.140,3.016,0.716,5.716,0.014,1,4,-1,0.000,0,0,0.000,-0.059,-2.661,-0.373,4.627,0.013,1,4,-1,0.000,0,0,0.000,2.424,0.017,-0.222,4.778,0.025,1,4,-1,0.000,0,0,0.000,-3.211,-0.205,0.405,5.405,0.028,1,4,-1,0.000,0,0,0.000,2.462,0.577,0,0,0.000,0.000,0.000,0.000,0.000
9.0,-0.091,-0.148,-0.363,4.637,0.004,1,4,-1,0.000,0,0,0.000,-0.138,3.064,0.681,5.681,0.027,1,4,-1,0.000,0,0,0.000,-0.082,-2.663,-0.366,4.634,0.004,1,4,-1,0.000,0,0,0.000,2.446,0.002,-0.255,4.745,0.023,1,4,-1,0.000,0,0,0.000,-3.202,-0.174,0.339,5.339,0.013,1,4,-1,0.000,0,0,0.000,2.515,0.554,0,0,0.000,0.000,0.000,0.000,0.000
10.0,-0.118,-0.152,-0.415,4.585,0.017,1,4,-1,0.000,0,0,0.000,-0.136,3.041,0.704,5.704,0.005,1,4,-1,0.000,0,0,0.000,-0.085,-2.629,-0.415,4.585,0.007,1,4,-1,0.000,0,0,0.000,2.422,0.008,-0.235,4.765,0.011,1,4,-1,0.000,0,0,0.000,-3.215,-0.113,0.357,5.357,0.014,1,4,-1,0.000,0,0,0.000,2.477,0.578,0,0,0.000,0.000,0.000,0.000,0.000
11.0,-0.100,-0.130,-0.394,4.606,0.007,2,14,-1,0.000,0,0,0.000,-0.112,2.990,0.688,5.688,0.022,2,14,-1,0.000,0,0,0.000,-0.106,-2.678,-0.494,4.506,0.018,2,14,-1,0.000,0,0,0.000,2.351,0.040,-0.146,4.854,0.025,2,14,-1,0.000,0,0,0.000,-3.203,-0.079,0.386,5.386,0.027,2,14,-1,0.000,0,0,0.000,2.469,0.650,0,0,0.000,0.000,0.000,0.000,0.000
12.0,-0.105,-0.153,-0.459,4.541,0.013,2,14,0,0.704,0,0,0.028,-0.104,3.007,0.647,5.647,0.017,2,14,0,0.251,0,0,0.065,-0.039,-2.691,-0.541,4.459,0.023,2,14,0,0.550,0,0,0.054,2.376,0.044,-0.129,4.871,0.020,2,14,0,0.230,0,0,0.083,-3.202,-0.150,0.379,5.379,0.008,2,14,0,0.539,0,0,0.019,2.510,0.625,0,0,0.704,0.000,0.000,0.000,0.000
13.0,-0.055,-0.131,-0.487,4.513,0.007,2,14,0,0.274,0,0,0.031,-0.115,3.039,0.736,5.736,0.013,2,14,0,0.244,0,0,0.033,-0.034,-2.705,-0.555,4.445,0.026,2,14,0,0.253,0,0,0.064,2.373,-0.009,-0.210,4.790,0.019,2,14,0,0.245,0,0,0.076,-3.164,-0.176,0.406,5.406,0.022,2,14,0,0.242,0,0,0.044,2.447,0.627,0,0,0.274,0.000,0.000,0.000,0.000
14.0,-0.012,-0.119,-0.504,4.496,0.021,2,14,0,1.117,0,0,0.073,-0.099,3.090,0.626,5.626,0.024,2,14,0,0.257,0,0,0.044,0.003,-2.686,-0.528,4.472,0.023,2,14,0,0.238,0,0,0.089,2.386,-0.005,-0.116,4.884,0.011,2,14,0,0.219,0,0,0.062,-3.170,-0.204,0.421,5.421,0.029,2,14,0,0.234,0,0,0.052,2.432,0.614,0,0,1.117,0.000,0.000,0.000,0.000
15.0,0.059,-0.159,-0.785,4.215,0.029,2,14,0,0.244,0,0,0.138,-0.088,3.075,0.304,5.304,0.033,2,14,0,0.269,0,0,0.049,-0.007,-2.686,-0.870,4.130,0.026,2,14,0,0.231,0,0,0.081,2.450,-0.009,-0.492,4.508,0.091,2,14,0,0.256,0,0,0.012,-3.216,-0.215,0.094,5.094,0.037,2,14,0,0.258,0,0,0.049,2.413,0.551,0,0,0.269,0.000,0.000,0.000,0.000
16.0,-0.077,-0.107,-1.808,3.192,0.110,2,14,0,0.412,0,0,0.044,-0.009,3.095,-0.293,4.707,0.019,2,14,0,0.244,0,1,0.130,-0.036,-2.559,-1.910,3.090,0.111,2,14,0,0.281,0,0,0.112,2.499,0.082,-1.614,3.386,0.091,2,14,0,0.243,0,0,0.092,-3.199,-0.097,-0.491,4.509,0.077,2,14,0,0.285,0,0,0.071,2.455,0.507,0,0,0.412,0.000,0.000,0.000,0.000
17.0,-0.216,-0.153,-2.970,2.030,0.075,2,14,0,0.303,0,0,0.136,-0.038,3.069,-0.828,4.172,0.044,2,14,0,0.276,0,0,0.099,-0.073,-2.550,-3.104,1.896,0.062,2,14,0,0.286,0,0,0.113,2.505,0.076,-2.768,2.232,0.036,2,14,0,0.341,0,0,0.093,-3.199,-0.009,-1.633,3.367,0.016,2,14,0,0.263,0,0,0.160,2.405,0.501,0,0,0.341,0.000,0.000,0.000,0.000
18.0,-0.216,-0.114,-4.244,0.756,0.036,2,14,0,0.235,0,0,0.142,-0.122,3.029,-2.250,2.750,0.075,2,14,0,0.280,0,0,0.036,-0.099,-2.618,-4.239,0.761,0.067,2,14,0,0.176,0,0,0.046,2.426,0.068,-3.939,1.061,0.066,2,14,0,0.175,0,0,0.069,-3.220,-0.098,-2.981,2.019,0.082,2,14,0,0.511,0,0,0.072,2.506,0.578,0,0,0.511,0.000,0.000,0.000,0.000
