t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.167,-0.087,0.145,5.145,0.026,2,14,0,0.292,0,0,0.104,-0.108,3.045,0.233,5.233,0.016,2,14,0,0.240,0,0,0.055,0.222,-3.012,0.045,5.045,0.009,2,14,0,0.234,0,0,0.065,2.724,0.226,0.305,5.305,0.033,2,14,-1,0.000,0,0,0.000,-3.264,0.143,0.384,5.384,0.060,2,14,0,0.310,0,0,0.160,2.913,0.356,0,0,0.310,0.000,0.000,0.000,0.000
2.0,-0.073,-0.027,-0.514,4.486,0.100,2,14,0,0.247,0,0,0.041,-0.106,3.026,-0.156,4.844,0.087,2,14,0,0.237,0,0,0.074,0.253,-3.033,-0.513,4.487,0.072,2,14,0,0.269,0,0,0.082,2.740,0.252,-0.355,4.645,0.104,2,14,0,0.275,0,0,0.038,-3.147,0.147,-0.274,4.726,0.182,2,14,0,0.250,0,0,0.115,2.831,0.362,0,0,0.275,0.000,0.000,0.000,0.000
3.0,0.084,0.046,-1.667,3.333,0.062,2,14,0,0.299,0,0,0.188,-0.150,3.096,-1.230,3.770,0.102,2,14,0,0.266,0,0,0.018,0.283,-2.935,-1.594,3.406,0.071,2,14,0,0.242,0,0,0.040,2.619,0.289,-1.466,3.534,0.065,2,14,0,0.243,0,0,0.108,-3.076,0.255,-1.352,3.648,0.042,2,14,0,0.277,0,0,0.236,2.555,0.478,0,0,0.299,0.000,0.000,0.000,0.000
4.0,0.019,-0.050,-2.847,2.153,0.091,2,14,0,0.312,0,0,0.087,-0.273,3.074,-2.502,2.498,0.047,2,14,0,0.348,0,0,0.143,0.338,-2.889,-2.759,2.241,0.032,2,14,0,0.352,0,0,0.111,2.580,0.244,-2.791,2.209,0.044,2,14,0,0.290,0,0,0.132,-3.113,0.178,-2.618,2.382,0.128,2,14,0,0.335,0,0,0.153,2.578,0.486,0,0,0.352,0.000,0.000,0.000,0.000
5.0,-0.052,-0.160,-4.042,0.958,0.113,2,14,0,0.196,0,0,0.092,-0.275,3.052,-3.744,1.256,0.036,2,14,0,0.183,0,0,0.150,0.310,-2.859,-4.048,0.952,0.059,2,14,0,0.179,0,0,0.114,2.638,0.228,-3.986,1.014,0.062,2,14,0,0.185,0,0,0.072,-3.178,0.141,-3.898,1.102,0.124,2,14,0,0.194,0,0,0.115,2.718,0.428,0,0,0.196,0.000,0.000,0.000,0.000
6.0,-0.088,-0.186,-4.616,0.384,0.052,2,14,0,0.186,0,0,0.120,-0.205,3.052,-4.570,0.430,0.069,2,14,0,0.177,0,0,0.085,0.250,-2.872,-4.622,0.378,0.066,2,14,0,0.178,0,0,0.080,2.661,0.224,-4.601,0.399,0.058,2,14,0,0.271,0,0,0.049,-3.142,0.037,-4.584,0.416,0.137,2,14,0,0.196,0,0,0.012,2.707,0.407,0,0,0.271,0.000,0.000,0.000,0.000
7.0,-0.105,-0.180,-4.780,0.220,0.042,2,14,0,0.195,0,0,0.118,-0.110,3.038,-4.767,0.233,0.069,2,14,0,0.182,0,0,0.061,0.176,-3.022,-4.823,0.177,0.084,2,14,0,0.180,0,0,0.098,2.765,0.215,-4.813,0.187,0.065,2,14,0,0.182,0,0,0.056,-3.196,-0.123,-4.839,0.161,0.108,2,14,0,0.195,0,0,0.157,2.856,0.319,0,0,0.195,0.000,0.000,0.000,0.000
8.0,-0.150,-0.186,-4.863,0.137,0.057,2,14,0,0.192,0,0,0.145,-0.106,3.062,-4.858,0.142,0.048,2,14,0,0.158,0,0,0.042,0.138,-3.047,-4.892,0.108,0.012,2,14,0,0.155,0,0,0.144,2.792,0.235,-4.897,0.103,0.014,2,14,0,0.151,0,0,0.083,-3.220,-0.177,-4.903,0.097,0.010,2,14,0,0.194,0,0,0.218,2.876,0.314,0,0,0.194,0.000,0.000,0.000,0.000
9.0,-0.172,-0.075,-4.924,0.076,0.082,2,14,0,0.188,0,0,0.107,-0.089,3.119,-4.916,0.084,0.027,2,14,0,0.176,0,0,0.049,0.175,-2.986,-4.917,0.083,0.063,2,14,0,0.206,0,0,0.079,2.701,0.239,-5.011,-0.011,0.033,2,14,0,0.188,0,0,0.013,-3.208,-0.172,-4.909,0.091,0.071,2,14,0,0.190,0,0,0.211,2.892,0.383,0,0,0.206,0.000,0.000,0.000,0.000
10.0,-0.160,0.025,-4.933,0.067,0.077,2,14,0,0.191,0,0,0.132,-0.097,3.169,-4.990,0.010,0.006,2,14,0,0.152,0,0,0.082,0.253,-2.924,-4.932,0.068,0.077,2,14,0,0.180,0,0,0.028,2.683,0.188,-4.979,0.021,0.029,2,14,0,0.229,0,0,0.048,-3.134,-0.063,-4.971,0.029,0.113,2,14,0,0.197,0,0,0.095,2.849,0.368,0,0,0.229,0.000,0.000,0.000,0.000
11.0,-0.124,0.088,-4.898,0.102,0.068,2,14,0,0.195,0,0,0.166,-0.040,3.133,-5.054,-0.054,0.030,2,14,0,0.155,0,0,0.099,0.313,-2.853,-4.977,0.023,0.029,2,14,0,0.182,0,0,0.120,2.708,0.150,-5.005,-0.005,0.006,2,14,0,0.193,0,0,0.079,-3.074,-0.019,-4.942,0.058,0.090,2,14,0,0.164,0,0,0.090,2.834,0.346,0,0,0.195,0.000,0.000,0.000,0.000
12.0,-0.085,0.030,-4.967,0.033,0.090,2,14,0,0.164,0,0,0.100,-0.162,3.096,-5.056,-0.056,0.061,2,14,0,0.170,0,0,0.031,0.383,-2.893,-5.013,-0.013,0.028,2,14,0,0.175,0,0,0.149,2.708,0.168,-4.953,0.047,0.033,2,14,0,0.187,0,0,0.061,-3.047,0.035,-4.988,0.012,0.069,2,14,0,0.163,0,0,0.103,2.796,0.397,0,0,0.187,0.000,0.000,0.000,0.000
13.0,-0.048,-0.017,-4.971,0.029,0.093,2,14,0,0.187,0,0,0.055,-0.196,3.134,-5.029,-0.029,0.013,2,14,0,0.182,0,0,0.076,0.375,-3.009,-5.005,-0.005,0.089,2,14,0,0.216,0,0,0.141,2.707,0.216,-4.942,0.058,0.044,2,14,0,0.185,0,0,0.014,-3.121,0.081,-4.979,0.021,0.071,2,14,0,0.264,0,0,0.060,2.765,0.375,0,0,0.264,0.000,0.000,0.000,0.000
14.0,0.006,-0.081,-4.974,0.026,0.077,2,14,0,0.192,0,0,0.073,-0.167,3.136,-4.974,0.026,0.035,2,14,0,0.153,0,0,0.054,0.209,-2.984,-4.965,0.035,0.099,2,14,0,0.176,0,0,0.048,2.752,0.239,-5.000,-0.000,0.042,2,14,0,0.182,0,0,0.043,-3.215,0.099,-5.018,-0.018,0.043,2,14,0,0.188,0,0,0.095,2.765,0.345,0,0,0.192,0.000,0.000,0.000,0.000
15.0,-0.007,-0.153,-5.002,-0.002,0.035,2,14,0,0.190,0,0,0.103,-0.173,3.085,-4.935,0.065,0.035,2,14,0,0.177,0,0,0.043,0.097,-2.923,-4.997,0.003,0.053,2,14,0,0.151,0,0,0.152,2.788,0.327,-4.968,0.032,0.030,2,14,0,0.184,0,0,0.126,-3.226,0.117,-5.010,-0.010,0.039,2,14,0,0.579,0,0,0.116,2.772,0.390,0,0,0.579,0.000,0.000,0.000,0.000
16.0,-0.024,-0.113,-5.022,-0.022,0.024,2,14,0,0.159,0,0,0.062,-0.185,3.072,-5.011,-0.011,0.037,2,14,0,0.154,0,0,0.059,0.075,-2.909,-4.979,0.021,0.037,2,14,0,0.182,0,0,0.176,2.708,0.331,-4.958,0.042,0.057,2,14,0,0.181,0,0,0.102,-3.256,0.094,-4.974,0.026,0.064,2,14,0,0.193,0,0,0.124,2.768,0.441,0,0,0.193,0.000,0.000,0.000,0.000
17.0,-0.009,-0.057,-4.966,0.034,0.049,2,14,0,0.191,0,0,0.058,-0.143,3.101,-5.024,-0.024,0.034,2,14,0,0.174,0,0,0.013,0.192,-2.889,-4.965,0.035,0.095,2,14,0,0.150,0,0,0.083,2.598,0.303,-4.962,0.038,0.059,2,14,0,0.188,0,0,0.134,-3.147,0.043,-4.987,0.013,0.094,2,14,0,0.190,0,0,0.014,2.631,0.504,0,0,0.191,0.000,0.000,0.000,0.000
18.0,-0.091,-0.051,-4.969,0.031,0.037,2,14,0,0.160,0,0,0.030,-0.096,3.136,-5.028,-0.028,0.022,2,14,0,0.148,0,0,0.053,0.255,-2.929,-5.047,-0.047,0.085,2,14,0,0.177,0,0,0.026,2.601,0.219,-5.030,-0.030,0.073,2,14,0,0.187,0,0,0.109,-3.083,-0.029,-5.000,-0.000,0.055,2,14,0,0.162,0,0,0.089,2.706,0.455,0,0,0.187,0.000,0.000,0.000,0.000
19.0,-0.113,-0.103,-4.988,0.012,0.013,2,14,0,0.159,0,0,0.059,-0.086,3.152,-4.954,0.046,0.018,2,14,0,0.151,0,0,0.074,0.337,-2.996,-5.034,-0.034,0.059,2,14,0,0.181,0,0,0.101,2.626,0.131,-4.990,0.010,0.068,2,14,0,0.179,0,0,0.129,-3.105,-0.004,-4.978,0.022,0.012,2,14,0,0.165,0,0,0.056,2.749,0.396,0,0,0.181,0.000,0.000,0.000,0.000
20.0,-0.103,-0.062,-4.970,0.030,0.018,2,14,0,0.160,0,0,0.037,-0.102,3.131,-4.978,0.022,0.039,2,14,0,0.175,0,0,0.046,0.354,-3.011,-5.062,-0.062,0.016,2,14,0,0.150,0,0,0.124,2.681,0.105,-5.028,-0.028,0.068,2,14,0,0.176,0,0,0.128,-3.155,0.004,-4.960,0.040,0.025,2,14,0,0.190,0,0,0.026,2.789,0.354,0,0,0.190,0.000,0.000,0.000,0.000
21.0,-0.080,-0.060,-4.994,0.006,0.026,2,14,0,0.155,0,0,0.016,-0.076,3.157,-4.994,0.006,0.033,2,14,0,0.181,0,0,0.083,0.315,-2.935,-4.975,0.025,0.062,2,14,0,0.177,0,0,0.072,2.740,0.108,-4.998,0.002,0.068,2,14,0,0.163,0,0,0.125,-3.189,0.008,-4.971,0.029,0.015,2,14,0,0.194,0,0,0.046,2.825,0.322,0,0,0.194,0.000,0.000,0.000,0.000
22.0,-0.080,-0.044,-5.050,-0.050,0.021,2,14,0,0.163,0,0,0.028,-0.121,3.129,-5.010,-0.010,0.063,2,14,0,0.156,0,0,0.036,0.254,-2.925,-5.015,-0.015,0.064,2,14,0,0.195,0,0,0.028,2.827,0.210,-4.975,0.025,0.087,2,14,0,0.187,0,0,0.118,-3.148,0.001,-4.965,0.035,0.021,2,14,0,0.168,0,0,0.030,2.900,0.272,0,0,0.195,0.000,0.000,0.000,0.000
23.0,-0.025,-0.053,-5.022,-0.022,0.019,2,14,0,0.186,0,0,0.044,-0.205,3.088,-4.992,0.008,0.054,2,14,0,0.188,0,0,0.074,0.206,-2.964,-5.022,-0.022,0.038,2,14,0,0.182,0,0,0.041,2.840,0.293,-5.015,-0.015,0.062,2,14,0,0.148,0,0,0.145,-3.250,0.035,-5.001,-0.001,0.024,2,14,0,0.227,0,0,0.100,2.885,0.334,0,0,0.227,0.000,0.000,0.000,0.000
24.0,-0.055,-0.027,-4.999,0.001,0.013,2,14,0,0.167,0,0,0.042,-0.254,3.056,-4.982,0.018,0.034,2,14,0,0.207,0,0,0.129,0.177,-3.019,-4.951,0.049,0.006,2,14,0,0.158,0,0,0.096,2.849,0.345,-5.002,-0.002,0.076,2,14,0,0.187,0,0,0.182,-3.151,0.066,-5.063,-0.063,0.056,2,14,0,0.160,0,0,0.035,2.928,0.376,0,0,0.207,0.000,0.000,0.000,0.000
25.0,-0.006,-0.035,-5.056,-0.056,0.024,2,14,0,0.162,0,0,0.069,-0.152,3.078,-5.007,-0.007,0.079,2,14,0,0.177,0,0,0.026,0.124,-2.985,-5.066,-0.066,0.044,2,14,0,0.250,0,0,0.127,2.769,0.325,-5.012,-0.012,0.114,2,14,0,0.220,0,0,0.114,-3.103,0.066,-4.982,0.018,0.037,2,14,0,0.160,0,0,0.058,2.799,0.398,0,0,0.250,0.000,0.000,0.000,0.000
