t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.179,0.230,0.855,5.855,0.029,1,4,-1,0.000,0,0,0.000,-0.074,3.060,0.398,5.398,0.017,1,4,-1,0.000,0,0,0.000,-0.021,-2.830,-0.627,4.373,0.027,1,4,-1,0.000,0,0,0.000,2.779,0.028,0.149,5.149,0.022,1,4,-1,0.000,0,0,0.000,-2.961,0.066,-0.019,4.981,0.017,1,4,-1,0.000,0,0,0.000,2.868,0.292,0,0,0.000,0.000,0.000,0.000,0.000
2.0,-0.129,0.211,0.913,5.913,0.012,1,4,-1,0.000,0,0,0.000,-0.094,3.078,0.359,5.359,0.006,1,4,-1,0.000,0,0,0.000,-0.043,-2.847,-0.605,4.395,0.017,1,4,-1,0.000,0,0,0.000,2.724,-0.014,0.184,5.184,0.019,1,4,-1,0.000,0,0,0.000,-2.916,0.059,-0.060,4.940,0.019,1,4,-1,0.000,0,0,0.000,2.920,0.277,0,0,0.000,0.000,0.000,0.000,0.000
3.0,-0.173,0.199,0.915,5.915,0.023,1,4,-1,0.000,0,0,0.000,-0.112,3.087,0.368,5.368,0.012,1,4,-1,0.000,0,0,0.000,-0.022,-2.842,-0.545,4.455,0.022,1,4,-1,0.000,0,0,0.000,2.704,-0.019,0.149,5.149,0.019,1,4,-1,0.000,0,0,0.000,-2.911,0.057,-0.126,4.874,0.016,1,4,-1,0.000,0,0,0.000,2.933,0.296,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-0.101,0.222,0.953,5.953,0.018,2,14,-1,0.000,0,0,0.000,-0.106,3.093,0.375,5.375,0.008,2,14,-1,0.000,0,0,0.000,-0.032,-2.820,-0.545,4.455,0.017,2,14,-1,0.000,0,0,0.000,2.679,-0.015,0.129,5.129,0.023,2,14,-1,0.000,0,0,0.000,-2.875,0.062,-0.160,4.840,0.015,2,14,-1,0.000,0,0,0.000,2.909,0.321,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-0.075,0.251,0.918,5.918,0.020,2,14,0,0.364,0,0,0.072,-0.121,3.100,0.388,5.388,0.009,2,14,0,0.229,0,0,0.051,-0.049,-2.844,-0.546,4.454,0.003,2,14,0,0.232,0,0,0.015,2.650,-0.005,0.108,5.108,0.026,2,14,0,0.254,0,0,0.099,-2.800,0.097,-0.118,4.882,0.030,2,14,0,0.226,0,0,0.122,2.854,0.350,0,0,0.364,0.000,0.000,0.000,0.000
6.0,-0.031,0.250,0.862,5.862,0.028,2,14,0,0.221,0,0,0.116,-0.201,3.126,0.382,5.382,0.030,2,14,0,0.246,0,0,0.133,-0.095,-2.848,-0.530,4.470,0.005,2,14,0,0.228,0,0,0.062,2.603,0.052,0.090,5.090,0.044,2,14,0,0.299,0,0,0.151,-2.828,0.122,-0.120,4.880,0.024,2,14,0,0.231,0,0,0.110,2.752,0.401,0,0,0.299,0.000,0.000,0.000,0.000
7.0,-0.034,0.239,0.904,5.904,0.023,2,14,0,0.273,0,0,0.640,-0.237,3.109,0.409,5.409,0.034,2,14,0,0.238,0,0,0.957,-0.063,-2.831,-0.562,4.438,0.012,2,14,0,0.291,0,0,0.779,2.600,0.040,0.103,5.103,0.041,2,14,0,0.256,0,0,0.900,-2.848,0.133,-0.193,4.807,0.021,2,14,0,0.348,0,0,0.690,2.760,1.201,0,0,0.348,0.800,0.000,2.500,0.000
8.0,0.111,0.231,0.641,5.641,0.367,2,14,0,0.263,0,1,3.002,0.056,3.133,0.083,5.083,0.429,2,14,0,0.252,0,1,3.165,0.107,-2.841,-0.834,4.166,0.418,2,14,0,0.534,0,0,3.112,2.838,0.005,-0.153,4.847,0.425,2,14,0,0.234,0,1,3.164,-2.678,0.136,-0.378,4.622,0.379,2,14,0,0.278,0,0,3.019,2.850,3.462,0,0,0.534,3.300,0.000,2.500,0.000
9.0,0.312,0.306,0.295,5.295,0.118,2,14,0,0.300,0,1,5.294,0.298,3.143,-0.188,4.812,0.099,2,14,0,0.259,0,1,5.423,0.650,-2.752,-1.784,3.216,0.604,2,14,0,0.384,0,1,5.077,3.166,0.011,-0.437,4.563,0.120,2,14,0,0.238,0,1,5.333,-2.146,0.122,-1.404,3.596,0.610,2,14,0,0.252,0,1,4.989,2.878,5.634,0,0,0.384,5.800,0.000,2.500,0.000
10.0,0.331,0.348,0.667,5.667,0.025,2,14,0,0.247,0,1,7.446,0.276,3.040,0.110,5.110,0.050,2,14,0,0.237,0,1,7.436,0.914,-2.760,-1.520,3.480,0.106,2,14,0,0.247,0,1,7.109,3.195,0.028,-0.079,4.921,0.017,2,14,0,0.278,0,1,7.370,-1.903,0.087,-1.160,3.840,0.097,2,14,0,0.244,0,1,7.190,2.749,8.105,0,0,0.278,8.300,0.000,2.500,0.000
11.0,0.414,0.377,0.802,5.802,0.021,2,14,0,0.247,0,1,7.446,0.408,3.025,0.265,5.265,0.033,2,14,0,0.237,0,1,7.436,0.979,-2.774,-1.208,3.792,0.006,2,14,0,0.247,0,1,7.109,3.241,0.001,0.030,5.030,0.012,2,14,0,0.278,0,1,7.370,-1.866,0.028,-0.822,4.178,0.020,2,14,0,0.244,0,1,7.190,2.702,10.559,0,0,0.278,10.800,0.000,2.500,0.000
12.0,0.416,0.286,0.806,5.806,0.019,2,4,0,0.247,0,1,7.446,0.486,3.056,0.221,5.221,0.002,2,4,0,0.237,0,1,7.436,0.940,-2.808,-1.037,3.963,0.033,2,4,0,0.247,0,1,7.109,3.200,0.016,0.025,5.025,0.028,2,4,0,0.278,0,1,7.370,-1.809,0.018,-0.678,4.322,0.007,2,14,0,0.244,0,1,7.190,2.689,13.100,0,0,0.278,13.300,0.000,2.500,0.000
13.0,0.451,0.232,0.801,5.801,0.023,2,4,0,0.247,0,1,7.446,0.514,3.061,0.238,5.238,0.039,2,4,0,0.237,0,1,7.436,0.913,-2.772,-0.989,4.011,0.036,2,4,0,0.247,0,1,7.109,3.162,0.030,-0.008,4.992,0.025,2,4,0,0.278,0,1,7.370,-1.839,0.029,-0.613,4.387,0.016,2,4,0,0.244,0,1,7.190,2.699,15.638,0,0,0.278,15.800,0.000,2.500,0.000
14.0,0.353,0.279,0.745,5.745,0.054,2,4,0,0.247,0,1,7.446,0.489,3.128,0.207,5.207,0.051,2,4,0,0.237,0,1,7.436,0.873,-2.718,-0.961,4.039,0.045,2,4,0,0.247,0,1,7.109,3.139,-0.027,0.024,5.024,0.019,2,4,0,0.278,0,1,7.370,-1.854,-0.000,-0.635,4.365,0.035,2,4,0,0.244,0,1,7.190,2.618,18.161,0,0,0.278,18.300,0.000,2.500,0.000
15.0,0.366,0.322,0.746,5.746,0.048,2,4,0,0.247,0,1,7.446,0.437,3.057,0.253,5.253,0.054,2,4,0,0.237,0,1,7.436,0.881,-2.797,-1.023,3.977,0.081,2,4,0,0.247,0,1,7.109,3.196,-0.072,0.062,5.062,0.020,2,4,0,0.278,0,1,7.370,-1.776,-0.012,-0.620,4.380,0.054,2,4,0,0.244,0,1,7.190,2.562,20.604,0,0,0.278,20.800,0.000,2.500,0.000
16.0,0.369,0.262,0.698,5.698,0.079,2,4,0,0.247,0,1,7.446,0.439,3.046,0.170,5.170,0.018,2,4,0,0.237,0,1,7.436,1.017,-2.852,-1.059,3.941,0.019,2,4,0,0.247,0,1,7.109,3.148,-0.059,0.010,5.010,0.007,2,4,0,0.278,0,1,7.370,-1.815,0.024,-0.655,4.345,0.046,2,4,0,0.244,0,1,7.190,2.580,23.153,0,0,0.278,23.300,0.000,2.500,0.000
17.0,0.428,0.285,0.591,5.591,0.036,2,4,0,0.247,0,1,7.446,0.496,3.064,0.204,5.204,0.018,2,4,0,0.237,0,1,7.436,0.949,-2.861,-1.045,3.955,0.083,2,4,0,0.247,0,1,7.109,3.198,-0.043,-0.042,4.958,0.025,2,4,0,0.278,0,1,7.370,-1.869,0.009,-0.653,4.347,0.022,2,4,0,0.244,0,1,7.190,2.626,25.434,0,0,0.278,25.632,0.000,2.090,0.000
18.0,0.439,0.264,0.569,5.569,0.028,2,4,0,0.247,0,1,7.446,0.539,3.039,0.050,5.050,0.095,2,4,0,0.237,0,1,7.436,0.860,-2.808,-1.037,3.963,0.027,2,4,0,0.247,0,1,7.109,3.228,-0.027,0.041,5.041,0.037,2,4,0,0.278,0,1,7.370,-1.836,-0.001,-0.664,4.336,0.038,2,4,0,0.244,0,1,7.190,2.601,27.244,0,0,0.278,27.472,0.000,1.590,0.000
19.0,0.463,0.244,0.612,5.612,0.023,2,4,0,0.247,0,1,7.446,0.502,3.087,0.032,5.032,0.037,2,4,0,0.237,0,1,7.436,0.919,-2.823,-1.069,3.931,0.042,2,4,0,0.247,0,1,7.109,3.237,0.067,0.045,5.045,0.074,2,4,0,0.278,0,1,7.370,-1.810,0.012,-0.642,4.358,0.033,2,4,0,0.244,0,1,7.190,2.605,28.575,0,0,0.278,28.812,0.000,1.090,0.000
20.0,0.496,0.217,0.545,5.545,0.028,2,4,0,0.247,0,1,7.446,0.522,3.096,0.027,5.027,0.027,2,4,0,0.237,0,1,7.436,0.899,-2.800,-1.041,3.959,0.009,2,4,0,0.247,0,1,7.109,3.188,0.039,0.086,5.086,0.038,2,4,0,0.278,0,1,7.370,-1.811,0.046,-0.706,4.294,0.027,2,4,0,0.244,0,1,7.190,2.629,29.464,0,0,0.278,29.652,0.000,0.590,0.000
21.0,0.522,0.252,0.492,5.492,0.027,2,4,0,0.247,0,1,7.446,0.534,3.116,-0.040,4.960,0.032,2,4,0,0.237,0,1,7.436,0.873,-2.780,-1.024,3.976,0.017,2,4,0,0.247,0,1,7.109,3.099,0.030,0.113,5.113,0.119,2,4,0,0.278,0,1,7.370,-1.811,0.021,-0.697,4.303,0.016,2,4,0,0.244,0,1,7.190,2.614,29.893,0,0,0.278,29.992,0.000,0.090,0.000
22.0,0.471,0.273,0.571,5.571,0.029,2,4,0,0.247,0,1,7.446,0.581,3.090,-0.086,4.914,0.026,2,4,0,0.237,0,1,7.436,0.952,-2.785,-1.031,3.969,0.059,2,4,0,0.247,0,1,7.109,3.146,0.080,0.101,5.101,0.041,2,4,0,0.278,0,1,7.370,-1.758,0.011,-0.627,4.373,0.006,2,4,0,0.244,0,1,7.190,2.544,29.854,0,0,0.278,30.000,0.000,0.000,0.000
23.0,0.418,0.262,0.652,5.652,0.027,2,4,0,0.247,0,1,7.446,0.519,3.077,-0.026,4.974,0.019,2,4,0,0.237,0,1,7.436,0.919,-2.802,-1.062,3.938,0.036,2,4,0,0.247,0,1,7.109,3.230,0.090,0.046,5.046,0.032,2,4,0,0.278,0,1,7.370,-1.787,0.024,-0.618,4.382,0.036,2,4,0,0.244,0,1,7.190,2.556,29.771,0,0,0.278,30.000,0.000,0.000,0.000
24.0,0.403,0.302,0.775,5.775,0.032,2,4,0,0.247,0,1,7.446,0.508,3.071,-0.031,4.969,0.018,2,4,0,0.237,0,1,7.436,0.908,-2.791,-1.049,3.951,0.013,2,4,0,0.247,0,1,7.109,3.192,0.057,0.076,5.076,0.052,2,4,0,0.278,0,1,7.370,-1.840,0.013,-0.652,4.348,0.005,2,4,0,0.244,0,1,7.190,2.675,29.808,0,0,0.278,30.000,0.000,0.000,0.000
25.0,0.454,0.305,0.724,5.724,0.026,2,4,0,0.247,0,1,7.446,0.533,3.078,-0.030,4.970,0.010,2,4,0,0.237,0,1,7.436,0.918,-2.842,-1.024,3.976,0.031,2,4,0,0.247,0,1,7.109,3.165,0.075,0.089,5.089,0.040,2,4,0,0.278,0,1,7.370,-1.820,0.020,-0.689,4.311,0.010,2,4,0,0.244,0,1,7.190,2.693,29.835,0,0,0.278,30.000,0.000,0.000,0.000
26.0,0.382,0.326,0.792,5.792,0.033,2,4,0,0.247,0,1,7.446,0.481,3.103,0.085,5.085,0.023,2,4,0,0.237,0,1,7.436,0.957,-2.858,-1.010,3.990,0.020,2,4,0,0.247,0,1,7.109,3.201,0.040,0.002,5.002,0.051,2,4,0,0.278,0,1,7.370,-1.835,0.044,-0.663,4.337,0.025,2,4,0,0.244,0,1,7.190,2.668,29.799,0,0,0.278,30.000,0.000,0.000,0.000
27.0,0.341,0.328,0.851,5.851,0.028,2,4,0,0.247,0,1,7.446,0.479,3.092,0.147,5.147,0.017,2,4,0,0.237,0,1,7.436,0.934,-2.900,-1.003,3.997,0.065,2,4,0,0.247,0,1,7.109,3.194,-0.025,0.006,5.006,0.022,2,4,0,0.278,0,1,7.370,-1.822,0.029,-0.682,4.318,0.034,2,4,0,0.244,0,1,7.190,2.667,29.806,0,0,0.278,30.000,0.000,0.000,0.000
28.0,0.367,0.288,0.838,5.838,0.007,2,4,0,0.247,0,1,7.446,0.535,3.101,0.206,5.206,0.023,2,4,0,0.237,0,1,7.436,0.948,-2.824,-1.041,3.959,0.049,2,4,0,0.247,0,1,7.109,3.186,-0.058,-0.008,4.992,0.053,2,4,0,0.278,0,1,7.370,-1.752,0.013,-0.766,4.234,0.023,2,4,0,0.244,0,1,7.190,2.672,29.814,0,0,0.278,30.000,0.000,0.000,0.000
