t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.581,-0.152,0.202,5.202,0.022,1,4,-1,0.000,0,0,0.000,0.079,2.948,-0.800,4.200,0.016,1,4,-1,0.000,0,0,0.000,0.316,-3.261,0.725,5.725,0.012,1,4,-1,0.000,0,0,0.000,2.906,-0.184,-0.444,4.556,0.030,1,4,-1,0.000,0,0,0.000,-2.676,0.129,0.400,5.400,0.021,1,4,-1,0.000,0,0,0.000,2.122,0.601,0,0,0.000,0.000,0.000,0.000,0.000
2.0,-0.545,-0.179,0.238,5.238,0.012,1,4,-1,0.000,0,0,0.000,0.051,2.941,-0.777,4.223,0.019,1,4,-1,0.000,0,0,0.000,0.330,-3.261,0.733,5.733,0.010,1,4,-1,0.000,0,0,0.000,2.968,-0.155,-0.439,4.561,0.040,1,4,-1,0.000,0,0,0.000,-2.666,0.129,0.395,5.395,0.016,1,4,-1,0.000,0,0,0.000,2.149,0.573,0,0,0.000,0.000,0.000,0.000,0.000
3.0,-0.527,-0.182,0.208,5.208,0.012,1,4,-1,0.000,0,0,0.000,0.017,2.941,-0.760,4.240,0.026,1,4,-1,0.000,0,0,0.000,0.310,-3.228,0.683,5.683,0.007,1,4,-1,0.000,0,0,0.000,3.020,-0.134,-0.404,4.596,0.045,1,4,-1,0.000,0,0,0.000,-2.642,0.102,0.309,5.309,0.010,1,4,-1,0.000,0,0,0.000,2.136,0.557,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-0.521,-0.196,0.198,5.198,0.014,2,14,-1,0.000,0,0,0.000,0.030,2.958,-0.718,4.282,0.012,2,14,-1,0.000,0,0,0.000,0.255,-3.229,0.652,5.652,0.014,2,14,-1,0.000,0,0,0.000,3.003,-0.120,-0.426,4.574,0.028,2,14,-1,0.000,0,0,0.000,-2.601,0.162,0.288,5.288,0.034,2,14,-1,0.000,0,0,0.000,2.112,0.556,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-0.529,-0.234,0.166,5.166,0.023,2,14,0,0.378,0,0,1.261,0.056,2.975,-0.810,4.190,0.009,2,14,0,0.224,0,0,0.676,0.251,-3.243,0.705,5.705,0.018,2,14,0,0.231,0,0,0.889,2.906,-0.102,-0.427,4.573,0.014,2,14,0,0.225,0,0,0.691,-2.586,0.139,0.304,5.304,0.025,2,14,0,0.264,0,0,0.949,2.096,0.578,0,0,0.378,0.000,0.000,0.000,0.000
6.0,-0.479,-0.208,0.164,5.164,0.019,2,14,0,0.239,0,0,1.316,0.090,2.973,-0.813,4.187,0.017,2,14,0,0.234,0,0,0.702,0.269,-3.251,0.731,5.731,0.014,2,14,0,0.237,0,0,0.869,2.897,-0.106,-0.498,4.502,0.016,2,14,0,0.231,0,0,0.688,-2.628,0.111,0.360,5.360,0.002,2,14,0,0.451,0,0,0.911,2.181,0.522,0,0,0.451,0.000,0.000,0.000,0.000
7.0,-0.483,-0.232,0.183,5.183,0.031,2,14,0,0.250,0,0,1.298,0.051,2.950,-0.822,4.178,0.004,2,14,0,0.225,0,0,0.657,0.229,-3.241,0.730,5.730,0.021,2,14,0,0.235,0,0,0.908,2.836,-0.106,-0.611,4.389,0.033,2,14,0,0.394,0,0,0.652,-2.715,0.085,0.381,5.381,0.036,2,14,0,0.554,0,0,0.865,2.263,0.536,0,0,0.554,0.000,0.000,0.000,0.000
8.0,-0.604,-0.471,-0.064,4.936,0.573,2,14,0,0.378,0,1,1.078,-0.026,2.811,-1.057,3.943,0.351,2,14,0,0.284,0,0,0.520,0.503,-3.368,0.383,5.383,0.548,2,14,0,0.234,0,1,0.613,2.739,0.014,-0.819,4.181,0.329,2,14,0,0.314,0,0,0.500,-2.667,-0.214,0.002,5.002,0.459,2,14,0,0.505,0,1,0.596,2.080,0.766,0,0,0.505,0.000,0.000,0.000,0.000
9.0,-0.876,-0.607,-0.466,4.534,0.167,2,14,0,0.298,0,0,0.769,-0.416,2.657,-2.152,2.848,0.379,2,14,0,0.253,0,0,0.129,0.766,-3.512,-0.006,4.994,0.133,2,14,0,0.233,0,1,0.308,2.686,0.470,-1.878,3.122,0.501,2,14,0,0.350,0,0,0.218,-2.741,-0.407,-0.428,4.572,0.091,2,14,0,0.266,0,1,0.384,1.876,1.066,0,0,0.350,0.000,0.000,0.000,0.000
10.0,-1.252,-0.748,-1.559,3.441,0.393,2,14,0,0.271,0,0,0.373,-0.710,2.495,-3.349,1.651,0.259,2,14,0,0.319,0,0,0.249,0.845,-3.550,-0.437,4.563,0.039,2,14,0,0.265,0,1,0.221,2.579,0.750,-3.054,1.946,0.241,2,14,0,0.367,0,0,0.333,-2.759,-0.487,-1.343,3.657,0.162,2,14,0,0.233,0,0,0.305,1.545,1.458,0,0,0.367,0.000,0.000,0.000,0.000
11.0,-1.556,-0.898,-2.863,2.137,0.313,2,14,0,0.365,0,0,0.082,-0.776,2.418,-4.648,0.352,0.061,2,14,0,0.173,0,0,0.335,0.881,-3.528,-1.397,3.603,0.037,2,14,0,0.241,0,0,0.206,2.445,0.822,-4.322,0.678,0.119,2,14,0,0.237,0,0,0.389,-2.850,-0.694,-2.616,2.384,0.179,2,14,0,0.421,0,0,0.078,1.333,1.796,1,0,0.421,0.000,0.000,0.000,0.000
12.0,-1.680,-1.021,-4.176,0.824,0.162,2,14,0,0.255,0,0,0.375,-0.790,2.399,-5.267,-0.267,0.143,2,14,0,0.225,0,0,0.589,0.872,-3.546,-2.856,2.144,0.085,2,14,0,0.501,0,0,0.418,2.315,0.720,-5.134,-0.134,0.193,2,14,0,0.282,0,0,0.488,-2.900,-0.842,-3.991,1.009,0.107,2,14,0,0.233,0,0,0.276,1.247,2.192,2,0,0.501,0.260,0.000,1.000,0.000
13.0,-1.639,-1.054,-4.675,0.325,0.204,2,14,0,0.237,0,0,1.333,-0.451,2.383,-5.691,-0.691,0.501,2,14,0,0.202,0,0,1.247,1.119,-3.539,-3.998,1.002,0.349,2,14,0,0.242,0,0,1.163,2.264,0.491,-5.440,-0.440,0.304,2,14,0,0.249,0,0,1.447,-2.726,-0.899,-4.570,0.430,0.309,2,14,0,0.226,0,0,1.110,1.103,3.084,3,0,0.249,1.260,0.000,1.000,0.000
14.0,-1.215,-1.084,-4.857,0.143,0.564,2,14,0,0.283,0,0,1.915,0.285,2.414,-5.892,-0.892,0.900,2,14,0,0.304,0,0,1.513,1.572,-3.614,-4.264,0.736,0.646,2,14,0,0.324,0,0,1.705,2.515,0.266,-5.589,-0.589,0.539,2,14,0,0.331,0,0,2.205,-2.299,-0.832,-4.779,0.221,0.626,2,14,0,0.228,0,0,1.677,1.115,3.641,4,0,0.331,2.260,0.000,1.000,0.000
15.0,-0.450,-1.134,-4.970,0.030,0.945,2,14,0,0.242,0,0,2.148,1.383,2.437,-5.895,-0.895,1.298,2,14,0,0.197,0,0,1.420,2.423,-3.719,-4.338,0.662,0.991,2,14,0,0.264,0,0,1.856,3.272,0.149,-5.683,-0.683,0.886,2,14,0,0.250,0,0,2.462,-1.537,-0.797,-4.884,0.116,0.980,2,14,0,0.508,0,0,1.920,1.141,3.880,5,0,0.508,3.260,0.000,1.000,0.000
16.0,0.695,-1.014,-5.003,-0.003,1.349,2,14,0,0.222,0,0,1.997,2.849,2.514,-6.017,-1.017,1.681,2,14,0,0.168,0,0,0.956,3.501,-3.698,-4.396,0.604,1.329,2,14,0,0.436,0,0,1.770,4.394,0.098,-5.715,-0.715,1.273,2,14,0,0.267,0,0,2.350,-0.323,-0.783,-4.927,0.073,1.382,2,14,0,0.249,0,0,1.710,1.047,3.707,6,0,0.436,4.260,0.000,1.000,0.000
17.0,2.186,-0.908,-5.035,-0.035,1.746,2,14,0,0.242,0,0,1.507,4.502,2.553,-6.054,-1.054,1.792,2,14,0,0.172,0,0,0.304,4.988,-3.691,-4.395,0.605,1.719,2,14,0,0.367,0,0,1.297,5.895,0.163,-5.763,-0.763,1.689,2,14,0,0.241,0,0,1.836,1.152,-0.742,-4.965,0.035,1.769,2,14,0,0.174,0,0,1.242,1.050,3.205,7,0,0.367,5.260,0.000,1.000,0.000
18.0,3.999,-0.883,-4.958,0.042,2.040,2,14,0,0.183,0,0,0.699,6.222,2.542,-5.995,-0.995,1.656,2,14,0,0.251,0,0,0.416,6.854,-3.680,-4.434,0.566,1.939,2,14,0,0.203,0,0,0.433,7.829,0.243,-5.743,-0.743,2.073,2,14,0,0.169,0,0,0.919,2.991,-0.725,-4.991,0.009,1.944,2,14,0,0.199,0,0,0.406,1.020,2.428,8,0,0.251,6.260,0.000,1.000,0.000
19.0,5.976,-0.858,-4.996,0.004,1.948,2,14,0,0.238,0,0,0.293,7.655,2.609,-5.996,-0.996,1.406,2,14,0,0.243,0,0,0.858,8.672,-3.695,-4.441,0.559,1.777,2,14,0,0.208,0,0,0.388,9.906,0.313,-5.711,-0.711,2.020,2,14,0,0.336,0,0,0.217,4.828,-0.762,-4.983,0.017,1.785,2,14,0,0.229,0,0,0.419,1.152,1.573,9,0,0.336,7.260,0.000,1.000,0.000
20.0,7.837,-0.931,-4.957,0.043,1.760,2,14,0,0.266,0,0,1.146,8.843,2.693,-6.074,-1.074,1.133,2,14,0,0.198,0,0,1.059,10.267,-3.658,-4.433,0.567,1.537,2,14,0,0.211,0,0,0.984,11.741,0.457,-5.745,-0.745,1.802,2,14,0,0.237,0,0,1.016,6.496,-0.713,-5.000,0.000,1.567,2,14,0,0.235,0,0,1.107,1.359,2.112,10,0,0.266,8.260,0.000,1.000,0.000
21.0,9.391,-0.962,-5.012,-0.012,1.509,2,14,0,0.325,0,0,1.685,9.783,2.678,-6.107,-1.107,0.836,2,14,0,0.199,0,0,1.001,11.645,-3.623,-4.464,0.536,1.275,2,14,0,0.484,0,0,1.364,13.396,0.645,-5.754,-0.754,1.551,2,14,0,0.244,0,0,1.686,7.972,-0.732,-5.012,-0.012,1.317,2,14,0,0.268,0,0,1.575,1.438,2.465,11,0,0.484,9.260,0.000,1.000,0.000
22.0,10.721,-0.954,-5.004,-0.004,1.230,2,14,0,0.239,0,0,2.029,10.461,2.669,-6.057,-1.057,0.566,2,14,0,0.226,0,0,0.686,12.772,-3.612,-4.510,0.490,0.979,2,14,0,0.242,0,0,1.494,14.751,0.732,-5.741,-0.741,1.260,2,14,0,0.225,0,0,2.053,9.052,-0.716,-4.972,0.028,1.006,2,14,0,0.282,0,0,1.672,1.686,2.586,11,0,0.282,10.260,0.000,1.000,0.000
