t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.058,-0.245,0.341,5.341,0.014,1,4,-1,0.000,0,0,0.000,0.259,2.839,-0.096,4.904,0.012,1,4,-1,0.000,0,0,0.000,-0.088,-2.876,-0.376,4.624,0.022,1,4,-1,0.000,0,0,0.000,3.389,0.013,-0.213,4.787,0.030,1,4,-1,0.000,0,0,0.000,-3.325,0.041,-0.134,4.866,0.008,1,4,-1,0.000,0,0,0.000,2.727,0.389,0,0,0.000,0.000,0.000,0.000,0.000
2.0,-0.071,-0.223,0.331,5.331,0.005,1,4,-1,0.000,0,0,0.000,0.294,2.889,-0.067,4.933,0.018,1,4,-1,0.000,0,0,0.000,-0.020,-2.885,-0.403,4.597,0.035,1,4,-1,0.000,0,0,0.000,3.346,0.016,-0.237,4.763,0.042,1,4,-1,0.000,0,0,0.000,-3.276,0.038,-0.128,4.872,0.007,1,4,-1,0.000,0,0,0.000,2.762,0.347,0,0,0.000,0.000,0.000,0.000,0.000
3.0,-0.071,-0.207,0.326,5.326,0.006,1,4,-1,0.000,0,0,0.000,0.333,2.862,-0.042,4.958,0.022,1,4,-1,0.000,0,0,0.000,-0.051,-2.921,-0.425,4.575,0.014,1,4,-1,0.000,0,0,0.000,3.301,-0.021,-0.260,4.740,0.049,1,4,-1,0.000,0,0,0.000,-3.284,0.046,-0.117,4.883,0.002,1,4,-1,0.000,0,0,0.000,2.816,0.361,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-0.076,-0.216,0.346,5.346,0.009,2,14,-1,0.000,0,0,0.000,0.362,2.891,-0.009,4.991,0.024,2,14,-1,0.000,0,0,0.000,-0.059,-2.938,-0.464,4.536,0.012,2,14,-1,0.000,0,0,0.000,3.333,-0.033,-0.321,4.679,0.028,2,14,-1,0.000,0,0,0.000,-3.288,0.048,-0.101,4.899,0.000,2,14,-1,0.000,0,0,0.000,2.840,0.378,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-0.018,-0.262,0.301,5.301,0.026,2,14,0,0.239,0,0,0.065,0.359,2.880,-0.068,4.932,0.017,2,14,0,0.228,0,0,2.003,-0.051,-2.896,-0.409,4.591,0.009,2,14,0,0.221,0,0,1.982,3.360,-0.023,-0.391,4.609,0.011,2,14,0,0.397,0,0,2.007,-3.332,0.042,-0.076,4.924,0.009,2,14,0,0.228,0,0,1.944,2.729,0.378,0,0,0.397,0.000,0.000,0.000,0.000
6.0,-0.024,-0.215,0.224,5.224,0.011,2,14,0,0.214,0,0,0.054,0.278,2.934,-0.084,4.916,0.021,2,14,0,0.512,0,0,1.949,-0.082,-2.864,-0.416,4.584,0.024,2,14,0,0.252,0,0,2.014,3.400,-0.028,-0.385,4.615,0.010,2,14,0,0.279,0,0,1.968,-3.248,0.047,-0.096,4.904,0.019,2,14,0,0.319,0,0,2.029,2.726,0.401,0,0,0.512,0.000,0.000,0.000,0.000
7.0,-0.113,-0.175,0.232,5.232,0.027,2,14,0,0.234,0,0,0.064,0.239,2.938,0.002,5.002,0.049,2,14,0,0.284,0,0,1.945,-0.039,-2.848,-0.419,4.581,0.022,2,14,0,0.251,0,0,2.030,3.361,-0.046,-0.503,4.497,0.019,2,14,0,0.291,0,0,2.007,-3.260,-0.001,-0.160,4.840,0.034,2,14,0,0.256,0,0,2.017,2.753,0.364,0,0,0.291,0.000,0.000,0.000,0.000
8.0,-0.080,-0.181,-0.048,4.952,0.067,2,14,0,0.242,0,1,0.047,0.291,3.171,-0.291,4.709,0.510,2,14,0,0.257,0,1,1.719,0.004,-3.088,-0.848,4.152,0.504,2,14,0,0.252,0,0,1.795,3.673,-0.021,-0.775,4.225,0.564,2,14,0,0.308,0,0,1.699,-3.418,-0.012,-0.503,4.497,0.408,2,14,0,0.262,0,0,1.864,3.016,0.673,0,0,0.308,0.000,0.000,0.000,0.000
9.0,0.003,-0.144,-0.395,4.605,0.033,2,14,0,0.273,0,1,0.113,0.377,3.503,-0.957,4.043,0.338,2,14,0,0.324,0,0,1.388,-0.026,-3.791,-1.906,3.094,0.815,2,14,0,0.293,0,0,1.094,4.450,0.087,-1.874,3.126,0.903,2,14,0,0.283,0,0,0.925,-4.116,0.123,-1.526,3.474,0.833,2,14,0,0.263,0,0,1.170,3.709,1.453,0,0,0.324,0.000,0.000,0.000,0.000
10.0,-0.008,-0.187,-1.210,3.790,0.074,2,14,0,0.333,0,0,0.078,0.365,4.006,-2.137,2.863,0.610,2,14,0,0.257,0,0,0.892,-0.108,-4.657,-3.094,1.906,0.898,2,14,0,0.279,0,0,0.237,5.355,0.094,-3.009,1.991,0.858,2,14,0,0.311,0,0,0.076,-4.905,0.227,-2.754,2.246,0.915,2,14,0,0.282,0,0,0.425,4.311,2.356,0,0,0.333,0.000,0.000,0.000,0.000
