t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.361,-0.132,0.275,5.275,0.025,1,4,-1,0.000,0,0,0.000,-0.113,2.982,-0.489,4.511,0.024,1,4,-1,0.000,0,0,0.000,-0.127,-2.908,-0.014,4.986,0.012,1,4,-1,0.000,0,0,0.000,3.047,0.290,-1.313,3.687,0.007,1,4,-1,0.000,0,0,0.000,-3.319,-0.114,-0.273,4.727,0.013,1,4,-1,0.000,0,0,0.000,2.801,0.384,0,0,0.000,0.000,0.000,0.000,0.000
2.0,-0.381,-0.129,0.224,5.224,0.017,1,4,-1,0.000,0,0,0.000,-0.110,2.947,-0.503,4.497,0.011,1,4,-1,0.000,0,0,0.000,-0.112,-2.892,-0.028,4.972,0.008,1,4,-1,0.000,0,0,0.000,3.038,0.326,-1.202,3.798,0.010,1,4,-1,0.000,0,0,0.000,-3.224,-0.071,-0.248,4.752,0.037,1,4,-1,0.000,0,0,0.000,2.788,0.402,0,0,0.000,0.000,0.000,0.000,0.000
3.0,-0.398,-0.122,0.198,5.198,0.014,1,4,-1,0.000,0,0,0.000,-0.101,2.944,-0.452,4.548,0.008,1,4,-1,0.000,0,0,0.000,-0.038,-2.880,0.020,5.020,0.022,1,4,-1,0.000,0,0,0.000,3.119,0.313,-1.126,3.874,0.021,1,4,-1,0.000,0,0,0.000,-3.257,-0.075,-0.263,4.737,0.024,1,4,-1,0.000,0,0,0.000,2.787,0.416,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-0.417,-0.104,0.184,5.184,0.013,2,14,-1,0.000,0,0,0.000,-0.079,2.978,-0.475,4.525,0.020,2,14,-1,0.000,0,0,0.000,-0.091,-2.876,0.027,5.027,0.006,2,14,-1,0.000,0,0,0.000,3.130,0.333,-1.165,3.835,0.017,2,14,-1,0.000,0,0,0.000,-3.249,-0.090,-0.295,4.705,0.019,2,14,-1,0.000,0,0,0.000,2.796,0.429,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-0.424,-0.117,0.187,5.187,0.011,2,14,0,0.210,0,0,0.071,-0.103,2.936,-0.508,4.492,0.001,2,14,0,0.233,0,0,0.022,-0.056,-2.865,-0.039,4.961,0.020,2,14,0,0.232,0,0,0.095,3.084,0.306,-1.164,3.836,0.007,2,14,0,0.238,0,0,0.044,-3.196,-0.122,-0.240,4.760,0.030,2,14,0,0.226,0,0,0.079,2.782,0.440,0,0,0.238,0.000,0.000,0.000,0.000
6.0,-0.407,-0.140,0.196,5.196,0.012,2,14,0,0.205,0,0,0.051,-0.097,2.941,-0.648,4.352,0.003,2,14,0,0.258,0,0,0.029,-0.073,-2.875,-0.091,4.909,0.009,2,14,0,0.227,0,0,0.075,3.051,0.294,-1.145,3.855,0.013,2,14,0,0.239,0,0,0.017,-3.217,-0.085,-0.245,4.755,0.018,2,14,0,0.231,0,0,0.042,2.770,0.430,0,0,0.258,0.000,0.000,0.000,0.000
7.0,-0.479,-0.157,0.239,5.239,0.012,2,14,0,0.390,0,0,0.404,-0.129,2.939,-0.457,4.543,0.042,2,14,0,0.227,0,0,0.287,-0.095,-2.878,-0.047,4.953,0.023,2,14,0,0.254,0,0,0.228,3.045,0.307,-1.159,3.841,0.029,2,14,0,0.236,0,0,0.277,-3.253,-0.108,-0.287,4.713,0.008,2,14,0,0.258,0,0,0.277,2.762,0.775,0,0,0.390,0.280,0.000,1.000,0.000
8.0,-0.291,-0.114,-0.135,4.865,0.411,2,14,0,0.418,0,1,1.219,0.098,2.929,-1.097,3.903,0.404,2,14,0,0.259,0,0,1.050,0.071,-2.855,-0.331,4.669,0.376,2,14,0,1.073,0,1,1.066,3.275,0.305,-1.538,3.462,0.411,2,14,0,0.297,0,0,1.054,-3.034,-0.102,-0.623,4.377,0.410,2,14,0,0.261,0,0,1.057,2.771,1.575,0,0,1.073,1.280,0.000,1.000,0.000
9.0,-0.053,-0.042,-0.533,4.467,0.174,2,14,0,0.405,0,0,1.981,0.625,3.030,-2.238,2.762,0.743,2,14,0,0.258,0,0,1.534,0.336,-2.809,-0.923,4.077,0.292,2,14,0,0.521,0,0,1.798,3.859,0.382,-2.525,2.475,0.745,2,14,0,0.269,0,0,1.471,-2.387,-0.016,-1.655,3.345,0.761,2,14,0,0.268,0,0,1.417,2.590,2.333,0,0,0.521,2.280,0.000,1.000,0.000
10.0,0.304,-0.134,-1.651,3.349,0.512,2,14,0,0.290,0,0,2.624,1.567,3.019,-3.517,1.483,1.131,2,14,0,0.335,0,0,1.600,0.819,-2.896,-2.143,2.857,0.635,2,14,0,0.407,0,0,2.318,4.749,0.394,-3.766,1.234,1.097,2,14,0,0.573,0,0,1.593,-1.524,0.063,-2.846,2.154,1.066,2,14,0,0.278,0,0,1.552,2.193,2.979,0,0,0.573,3.280,0.000,1.000,0.000
