t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.314,0.008,0.391,5.391,0.028,1,4,-1,0.000,0,0,0.000,0.306,2.909,-0.289,4.711,0.002,1,4,-1,0.000,0,0,0.000,-0.081,-3.032,-0.196,4.804,0.009,1,4,-1,0.000,0,0,0.000,3.021,-0.102,-0.452,4.548,0.020,1,4,-1,0.000,0,0,0.000,-2.872,-0.146,-0.104,4.896,0.020,1,4,-1,0.000,0,0,0.000,2.838,0.320,0,0,0.000,0.000,0.000,0.000,0.000
2.0,0.304,0.028,0.347,5.347,0.022,1,4,-1,0.000,0,0,0.000,0.304,2.905,-0.346,4.654,0.007,1,4,-1,0.000,0,0,0.000,-0.023,-3.030,-0.174,4.826,0.015,1,4,-1,0.000,0,0,0.000,3.047,-0.129,-0.499,4.501,0.030,1,4,-1,0.000,0,0,0.000,-2.950,-0.165,-0.081,4.919,0.043,1,4,-1,0.000,0,0,0.000,2.875,0.318,0,0,0.000,0.000,0.000,0.000,0.000
3.0,0.327,0.009,0.350,5.350,0.023,1,4,-1,0.000,0,0,0.000,0.265,2.862,-0.354,4.646,0.025,1,4,-1,0.000,0,0,0.000,-0.000,-2.989,-0.145,4.855,0.026,1,4,-1,0.000,0,0,0.000,3.110,-0.132,-0.475,4.525,0.032,1,4,-1,0.000,0,0,0.000,-2.919,-0.146,-0.112,4.888,0.023,1,4,-1,0.000,0,0,0.000,2.907,0.327,0,0,0.000,0.000,0.000,0.000,0.000
4.0,0.357,0.027,0.264,5.264,0.029,2,14,-1,0.000,0,0,0.000,0.259,2.853,-0.410,4.590,0.024,2,14,-1,0.000,0,0,0.000,-0.002,-2.950,-0.083,4.917,0.035,2,14,-1,0.000,0,0,0.000,3.119,-0.121,-0.465,4.535,0.025,2,14,-1,0.000,0,0,0.000,-2.929,-0.119,-0.046,4.954,0.018,2,14,-1,0.000,0,0,0.000,2.860,0.358,0,0,0.000,0.000,0.000,0.000,0.000
5.0,0.357,0.010,0.324,5.324,0.022,2,14,0,0.244,0,0,0.060,0.319,2.856,-0.414,4.586,0.017,2,14,0,0.228,0,0,0.061,-0.011,-2.954,-0.084,4.916,0.023,2,14,0,0.329,0,0,0.084,3.037,-0.097,-0.450,4.550,0.007,2,14,0,0.294,0,0,0.017,-2.924,-0.144,-0.078,4.922,0.023,2,14,0,0.231,0,0,0.021,2.792,0.357,0,0,0.329,0.000,0.000,0.000,0.000
6.0,0.330,-0.005,0.347,5.347,0.011,2,14,0,0.286,0,0,0.045,0.308,2.862,-0.377,4.623,0.011,2,14,0,0.229,0,0,0.057,-0.052,-2.959,0.002,5.002,0.015,2,14,0,0.441,0,0,0.069,3.084,-0.085,-0.446,4.554,0.016,2,14,0,0.242,0,0,0.041,-2.872,-0.136,-0.132,4.868,0.011,2,14,0,0.230,0,0,0.061,2.866,0.337,0,0,0.441,0.000,0.000,0.000,0.000
7.0,0.273,-0.015,0.306,5.306,0.015,2,14,0,0.263,0,0,0.059,0.285,2.877,-0.399,4.601,0.032,2,14,0,0.242,0,0,0.064,-0.051,-2.983,-0.051,4.949,0.027,2,14,0,0.227,0,0,0.034,3.143,-0.062,-0.480,4.520,0.044,2,14,0,0.272,0,0,0.101,-2.924,-0.149,-0.181,4.819,0.011,2,14,0,0.238,0,0,0.003,2.976,0.315,0,0,0.272,-0.000,0.012,-0.000,0.084
8.0,0.344,0.049,-0.022,4.978,0.143,2,14,0,0.244,0,1,0.225,0.359,2.946,-0.845,4.155,0.168,2,14,0,0.224,0,0,0.224,-0.018,-2.990,-0.467,4.533,0.097,2,14,0,0.281,0,0,0.211,3.170,-0.040,-0.895,4.105,0.109,2,14,0,0.227,0,0,0.216,-2.888,-0.109,-0.536,4.464,0.108,2,14,0,0.231,0,0,0.196,2.959,0.470,0,0,0.281,-0.003,0.246,-0.009,0.384
9.0,0.523,0.174,-0.472,4.528,0.094,2,14,0,0.271,0,1,0.670,0.473,3.267,-1.936,3.064,0.481,2,14,0,0.228,0,0,0.471,0.081,-2.683,-1.621,3.379,0.448,2,14,0,0.336,0,0,0.469,3.097,0.268,-1.954,3.046,0.464,2,14,0,0.238,0,0,0.409,-2.816,0.203,-1.627,3.373,0.434,2,14,0,0.302,0,0,0.439,2.972,0.820,0,0,0.336,-0.030,0.779,-0.053,0.682
10.0,0.419,0.369,-1.414,3.586,0.366,2,14,0,0.321,0,0,1.277,0.452,3.976,-3.119,1.881,0.849,2,14,0,0.518,0,0,0.613,0.001,-2.047,-2.834,2.166,0.813,2,14,0,0.291,0,0,0.665,3.057,0.863,-3.217,1.783,0.779,2,14,0,0.336,0,0,0.649,-2.787,0.809,-2.851,2.149,0.770,2,14,0,0.275,0,0,0.694,2.834,1.354,0,0,0.518,-0.130,1.607,-0.158,0.971
