t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.157,0.121,0.130,5.130,0.031,1,4,-1,0.000,0,0,0.000,-0.137,2.877,0.150,5.150,0.012,1,4,-1,0.000,0,0,0.000,0.287,-3.007,0.587,5.587,0.014,1,4,-1,0.000,0,0,0.000,3.008,-0.095,0.217,5.217,0.021,1,4,-1,0.000,0,0,0.000,-3.206,0.306,0.381,5.381,0.009,1,4,-1,0.000,0,0,0.000,2.756,5.685,0,0,0.000,0.000,0.000,0.000,0.000
2.0,-0.105,0.089,0.113,5.113,0.017,1,4,-1,0.000,0,0,0.000,-0.144,2.884,0.197,5.197,0.013,1,4,-1,0.000,0,0,0.000,0.236,-2.994,0.604,5.604,0.023,1,4,-1,0.000,0,0,0.000,3.090,-0.124,0.196,5.196,0.033,1,4,-1,0.000,0,0,0.000,-3.189,0.319,0.372,5.372,0.019,1,4,-1,0.000,0,0,0.000,2.796,5.755,0,0,0.000,0.000,0.000,0.000,0.000
3.0,-0.060,0.052,0.132,5.132,0.023,1,4,-1,0.000,0,0,0.000,-0.145,2.866,0.189,5.189,0.010,1,4,-1,0.000,0,0,0.000,0.233,-2.962,0.570,5.570,0.029,1,4,-1,0.000,0,0,0.000,3.109,-0.120,0.205,5.205,0.031,1,4,-1,0.000,0,0,0.000,-3.232,0.389,0.407,5.407,0.037,1,4,-1,0.000,0,0,0.000,2.815,5.775,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-0.069,0.010,0.209,5.209,0.027,2,14,-1,0.000,0,0,0.000,-0.144,2.846,0.192,5.192,0.014,2,14,-1,0.000,0,0,0.000,0.209,-2.963,0.587,5.587,0.021,2,14,-1,0.000,0,0,0.000,3.101,-0.087,0.207,5.207,0.014,2,14,-1,0.000,0,0,0.000,-3.226,0.344,0.313,5.313,0.015,2,14,-1,0.000,0,0,0.000,2.837,5.777,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-0.029,-0.004,0.174,5.174,0.035,2,14,0,0.261,0,0,2.922,-0.102,2.799,0.211,5.211,0.031,2,14,0,0.225,0,0,0.892,0.233,-2.986,0.598,5.598,0.008,2,14,0,0.263,0,0,5.333,3.069,-0.072,0.232,5.232,0.009,2,14,0,0.326,0,0,5.728,-3.261,0.329,0.323,5.323,0.007,2,14,0,0.293,0,0,4.923,2.805,5.751,0,0,0.326,0.000,0.000,0.000,0.000
6.0,-0.042,0.028,0.231,5.231,0.019,2,14,0,0.259,0,0,2.933,-0.142,2.826,0.150,5.150,0.014,2,14,0,0.494,0,0,0.933,0.299,-2.989,0.556,5.556,0.015,2,14,0,0.309,0,0,5.365,3.022,-0.042,0.208,5.208,0.015,2,14,0,0.289,0,0,5.694,-3.283,0.292,0.189,5.189,0.011,2,14,0,0.287,0,0,4.920,2.801,5.714,0,0,0.494,0.000,0.000,0.000,0.000
7.0,-0.086,0.027,0.245,5.245,0.034,2,14,0,0.235,0,0,2.977,-0.139,2.818,0.149,5.149,0.014,2,14,0,0.288,0,0,0.928,0.285,-3.001,0.451,5.451,0.003,2,14,0,0.311,0,0,5.370,3.053,-0.007,0.185,5.185,0.025,2,14,0,0.312,0,0,5.734,-3.261,0.267,0.131,5.131,0.007,2,14,0,0.262,0,0,4.888,2.793,5.755,0,0,0.312,0.000,0.000,0.000,0.000
8.0,0.202,0.056,-0.254,4.746,0.578,2,14,0,0.261,0,1,2.698,0.221,2.792,-0.203,4.797,0.554,2,14,0,0.235,0,1,0.574,0.114,-2.827,0.230,5.230,0.612,2,14,0,0.283,0,1,5.143,2.923,-0.339,-0.154,4.846,0.671,2,14,0,0.343,0,1,5.518,-2.935,0.120,-0.036,4.964,0.747,2,14,0,0.289,0,1,4.536,2.736,5.536,0,0,0.343,0.000,0.000,0.000,0.000
9.0,0.594,0.139,-0.767,4.233,0.348,2,14,0,0.299,0,0,2.296,0.463,2.797,-0.743,4.257,0.135,2,14,0,0.240,0,0,0.332,-0.156,-2.622,0.335,5.335,0.301,2,14,0,0.273,0,1,4.823,2.811,-0.426,-0.358,4.642,0.226,2,14,0,0.320,0,1,5.340,-2.636,-0.133,-0.369,4.631,0.136,2,14,0,0.291,0,1,4.146,2.661,5.406,0,0,0.320,0.000,0.000,0.000,0.000
10.0,1.096,0.059,-1.997,3.003,0.642,2,14,0,0.272,0,0,1.794,0.634,2.617,-1.906,3.094,0.210,2,14,0,0.290,0,0,0.193,-0.115,-2.640,0.242,5.242,0.092,2,14,0,0.273,0,1,4.823,2.830,-0.426,-0.826,4.174,0.089,2,14,0,0.320,0,1,5.340,-2.647,-0.251,-0.830,4.170,0.085,2,14,0,0.338,0,1,4.088,2.601,5.424,0,0,0.338,0.000,0.000,0.000,0.000
11.0,1.872,0.002,-3.277,1.723,0.933,2,14,0,0.424,0,0,1.032,0.801,2.576,-3.275,1.725,0.117,2,14,0,0.315,0,0,0.159,-0.093,-2.537,0.230,5.230,0.096,2,4,0,0.273,0,1,4.823,2.789,-0.457,-1.053,3.947,0.012,2,4,0,0.320,0,1,5.340,-2.582,-0.349,-1.468,3.532,0.051,2,14,0,0.793,0,1,3.980,2.788,5.377,0,0,0.793,0.000,0.000,0.000,0.000
12.0,2.835,-0.025,-4.352,0.648,0.885,2,14,0,0.278,0,0,0.145,0.910,2.579,-4.309,0.691,0.025,2,14,0,0.224,0,0,0.198,-0.056,-2.535,0.237,5.237,0.107,2,4,0,0.273,0,1,4.823,2.688,-0.485,-1.156,3.844,0.089,2,4,0,0.320,0,1,5.340,-2.438,-0.373,-2.391,2.609,0.232,2,14,0,0.258,0,0,3.848,3.238,5.272,0,0,0.320,0.000,0.000,0.000,0.000
13.0,3.566,-0.046,-4.740,0.260,0.607,2,14,0,0.213,0,0,0.681,0.896,2.589,-4.663,0.337,0.076,2,14,0,0.237,0,0,0.182,-0.040,-2.543,0.290,5.290,0.100,2,4,0,0.273,0,1,4.823,2.645,-0.443,-1.180,3.820,0.078,2,4,0,0.320,0,1,5.340,-2.136,-0.695,-3.741,1.259,0.651,2,14,0,0.234,0,0,3.422,3.713,5.241,0,0,0.320,0.000,0.000,0.000,0.000
14.0,3.970,0.007,-4.862,0.138,0.289,2,14,0,0.262,0,0,1.085,0.818,2.626,-4.842,0.158,0.107,2,14,0,0.158,0,0,0.112,-0.088,-2.516,0.311,5.311,0.070,2,4,0,0.273,0,1,4.823,2.716,-0.458,-1.092,3.908,0.041,2,4,0,0.320,0,1,5.340,-1.530,-1.301,-4.562,0.438,1.066,2,14,0,0.249,0,0,2.586,3.751,5.306,0,0,0.320,0.000,0.000,0.000,0.000
15.0,4.078,0.163,-4.954,0.046,0.114,2,14,0,0.224,0,0,1.188,0.719,2.563,-4.847,0.153,0.107,2,14,0,0.272,0,0,0.183,-0.151,-2.497,0.285,5.285,0.057,2,4,0,0.273,0,1,4.823,2.701,-0.495,-0.866,4.134,0.049,2,4,0,0.320,0,1,5.340,-0.646,-2.199,-4.831,0.169,1.385,2,14,0,0.177,0,0,1.438,3.670,5.282,0,0,0.320,0.000,0.000,0.000,0.000
16.0,3.914,0.266,-4.964,0.036,0.402,2,14,0,0.242,0,0,1.046,0.606,2.562,-4.870,0.130,0.059,2,14,0,0.185,0,0,0.250,-0.131,-2.536,0.266,5.266,0.044,2,4,0,0.273,0,1,4.823,2.664,-0.583,-0.620,4.380,0.078,2,4,0,0.320,0,1,5.340,0.568,-2.910,-4.897,0.103,1.304,2,14,0,0.295,0,0,0.408,3.523,5.226,0,0,0.320,0.000,0.000,0.000,0.000
17.0,3.308,0.253,-4.965,0.035,0.665,2,14,0,0.184,0,0,0.442,0.615,2.600,-4.903,0.097,0.025,2,14,0,0.188,0,0,0.219,-0.051,-2.538,0.248,5.248,0.063,2,4,0,0.273,0,1,4.823,2.703,-0.591,-0.302,4.698,0.057,2,4,0,0.320,0,1,5.340,1.582,-3.332,-4.919,0.081,0.956,2,14,0,0.262,0,0,1.156,3.417,5.262,0,0,0.320,0.000,0.000,0.000,0.000
18.0,2.645,0.199,-4.957,0.043,0.583,2,14,0,0.205,0,0,0.261,0.695,2.632,-4.990,0.010,0.052,2,14,0,0.183,0,0,0.137,-0.121,-2.604,0.265,5.265,0.031,2,4,0,0.273,0,1,4.823,2.683,-0.544,-0.126,4.874,0.036,2,4,0,0.320,0,1,5.340,2.303,-3.432,-4.976,0.024,0.622,2,14,0,0.226,0,0,1.795,3.118,5.253,0,0,0.320,0.000,0.000,0.000,0.000
19.0,2.210,0.061,-4.980,0.020,0.346,2,14,0,0.207,0,0,0.680,0.763,2.670,-5.005,-0.005,0.040,2,14,0,0.188,0,0,0.069,-0.098,-2.602,0.296,5.296,0.034,2,4,0,0.273,0,1,4.823,2.738,-0.567,0.038,5.038,0.286,2,4,0,0.320,0,1,5.340,2.720,-3.188,-4.909,0.091,0.471,2,14,0,0.234,0,0,2.083,2.984,5.302,0,0,0.320,0.000,0.000,0.000,0.000
20.0,2.068,0.012,-4.936,0.064,0.064,2,14,0,0.228,0,0,0.827,0.781,2.637,-4.979,0.021,0.040,2,14,0,0.272,0,0,0.097,-0.121,-2.598,0.331,5.331,0.020,2,4,0,0.273,0,1,4.823,2.845,-0.049,-0.057,4.943,0.333,2,4,0,0.320,0,1,5.340,2.786,-2.788,-4.915,0.085,0.459,2,14,0,0.205,0,0,2.062,2.890,5.544,0,0,0.320,0.000,0.000,0.000,0.000
21.0,2.177,0.040,-5.008,-0.008,0.241,2,14,0,0.200,0,0,0.717,0.763,2.646,-4.987,0.013,0.047,2,14,0,0.157,0,0,0.091,-0.116,-2.561,0.384,5.384,0.085,2,4,0,0.273,0,1,4.823,2.837,-0.063,-0.337,4.663,0.276,2,4,0,0.320,0,1,5.340,2.594,-2.340,-4.932,0.068,0.542,2,14,0,0.254,0,0,1.868,2.418,5.532,0,0,0.320,0.000,0.000,0.000,0.000
22.0,2.558,0.144,-5.030,-0.030,0.425,2,14,0,0.183,0,0,0.334,0.712,2.568,-4.909,0.091,0.061,2,14,0,0.181,0,0,0.181,-0.068,-2.488,0.327,5.327,0.109,2,4,0,0.273,0,1,4.823,2.824,-0.361,-0.639,4.361,0.281,2,4,0,0.320,0,1,5.340,2.037,-2.094,-4.926,0.074,0.793,2,14,0,0.208,0,0,1.377,2.300,5.434,0,0,0.320,0.000,0.000,0.000,0.000
23.0,2.968,0.156,-4.990,0.010,0.388,2,14,0,0.182,0,0,0.084,0.694,2.497,-4.984,0.016,0.025,2,14,0,0.187,0,0,0.255,-0.086,-2.412,0.360,5.360,0.020,2,4,0,0.273,0,1,4.823,2.887,-0.528,-0.773,4.227,0.102,2,4,0,0.320,0,1,5.340,1.115,-2.083,-4.977,0.023,1.000,2,14,0,0.759,0,0,0.597,2.906,5.456,0,0,0.759,0.000,0.000,0.000,0.000
24.0,3.263,0.092,-4.982,0.018,0.206,2,14,0,0.183,0,0,0.374,0.721,2.464,-5.029,-0.029,0.014,2,14,0,0.168,0,0,0.278,-0.199,-2.378,0.403,5.403,0.083,2,4,0,0.273,0,1,4.823,2.882,-0.557,-0.971,4.029,0.093,2,4,0,0.320,0,1,5.340,0.209,-2.245,-4.985,0.015,0.862,2,14,0,0.458,0,0,0.603,3.477,5.444,0,0,0.458,0.000,0.000,0.000,0.000
25.0,3.340,0.096,-4.987,0.013,0.033,2,14,0,0.184,0,0,0.451,0.643,2.474,-4.941,0.059,0.061,2,14,0,0.238,0,0,0.297,-0.170,-2.329,0.368,5.368,0.167,2,4,0,0.273,0,1,4.823,2.831,-0.566,-1.047,3.953,0.053,2,4,0,0.320,0,1,5.340,-0.372,-2.515,-4.987,0.013,0.620,2,14,0,0.215,0,0,1.108,3.596,5.392,0,0,0.320,0.000,0.000,0.000,0.000
26.0,3.204,0.086,-4.989,0.011,0.222,2,14,0,0.182,0,0,0.315,0.639,2.593,-4.949,0.051,0.098,2,14,0,0.182,0,0,0.205,-0.126,-2.389,0.360,5.360,0.179,2,4,0,0.273,0,1,4.823,2.876,-0.537,-1.165,3.835,0.074,2,4,0,0.320,0,1,5.340,-0.827,-2.762,-4.888,0.112,0.340,2,14,0,0.237,0,0,1.579,3.587,5.443,0,0,0.320,0.000,0.000,0.000,0.000
27.0,2.920,0.075,-5.017,-0.017,0.290,2,14,0,0.176,0,0,0.045,0.705,2.684,-4.922,0.078,0.090,2,14,0,0.188,0,0,0.097,-0.062,-2.454,0.226,5.226,0.122,2,4,0,0.273,0,1,4.823,2.831,-0.513,-1.116,3.884,0.087,2,4,0,0.320,0,1,5.340,-1.033,-2.802,-4.935,0.065,0.033,2,14,0,0.256,0,0,1.792,3.424,5.405,0,0,0.320,0.000,0.000,0.000,0.000
28.0,2.628,0.087,-4.977,0.023,0.189,2,14,0,0.185,0,0,0.263,0.831,2.723,-4.967,0.033,0.065,2,14,0,0.219,0,0,0.045,-0.081,-2.471,0.187,5.187,0.071,2,4,0,0.273,0,1,4.823,2.757,-0.467,-1.074,3.926,0.016,2,4,0,0.320,0,1,5.340,-0.914,-2.716,-4.980,0.020,0.330,2,14,0,0.203,0,0,1.666,3.190,5.344,0,0,0.320,0.000,0.000,0.000,0.000
29.0,2.616,0.072,-4.961,0.039,0.019,2,14,0,0.182,0,0,0.277,0.906,2.697,-4.991,0.009,0.055,2,14,0,0.207,0,0,0.124,-0.010,-2.430,0.262,5.262,0.060,2,4,0,0.273,0,1,4.823,2.796,-0.462,-1.072,3.928,0.021,2,4,0,0.320,0,1,5.340,-0.388,-2.541,-4.970,0.030,0.697,2,14,0,0.179,0,0,1.128,3.133,5.383,0,0,0.320,0.000,0.000,0.000,0.000
30.0,2.640,0.024,-4.971,0.029,0.089,2,14,0,0.186,0,0,0.264,0.853,2.608,-4.900,0.100,0.098,2,14,0,0.156,0,0,0.142,0.050,-2.494,0.261,5.261,0.049,2,4,0,0.273,0,1,4.823,2.853,-0.498,-1.108,3.892,0.040,2,4,0,0.320,0,1,5.340,0.460,-2.392,-4.941,0.059,0.842,2,14,0,0.203,0,0,0.316,3.143,5.429,0,0,0.320,0.000,0.000,0.000,0.000
31.0,2.763,-0.004,-4.981,0.019,0.156,2,14,0,0.184,0,0,0.170,0.755,2.583,-4.891,0.109,0.093,2,14,0,0.157,0,0,0.154,-0.095,-2.436,0.221,5.221,0.013,2,4,0,0.273,0,1,4.823,2.786,-0.501,-1.011,3.989,0.034,2,4,0,0.320,0,1,5.340,1.157,-2.386,-4.994,0.006,0.627,2,14,0,0.347,0,0,0.441,2.872,5.364,0,0,0.347,0.000,0.000,0.000,0.000
32.0,2.857,0.020,-4.989,0.011,0.159,2,14,0,0.177,0,0,0.096,0.730,2.563,-4.992,0.008,0.058,2,14,0,0.157,0,0,0.180,-0.047,-2.457,0.263,5.263,0.086,2,4,0,0.273,0,1,4.823,2.784,-0.536,-1.049,3.951,0.033,2,4,0,0.320,0,1,5.340,1.615,-2.518,-4.976,0.024,0.369,2,14,0,0.227,0,0,0.873,2.825,5.353,0,0,0.320,0.000,0.000,0.000,0.000
33.0,2.943,0.164,-4.985,0.015,0.137,2,14,0,0.182,0,0,0.076,0.668,2.561,-4.979,0.021,0.024,2,14,0,0.195,0,0,0.210,-0.052,-2.523,0.276,5.276,0.019,2,4,0,0.273,0,1,4.823,2.816,-0.472,-1.001,3.999,0.054,2,4,0,0.320,0,1,5.340,1.751,-2.629,-4.960,0.040,0.103,2,14,0,0.267,0,0,1.015,3.037,5.400,0,0,0.320,0.000,0.000,0.000,0.000
34.0,3.071,0.221,-4.995,0.005,0.061,2,14,0,0.154,0,0,0.212,0.689,2.533,-4.978,0.022,0.024,2,14,0,0.159,0,0,0.223,-0.017,-2.480,0.207,5.207,0.012,2,4,0,0.273,0,1,4.823,2.767,-0.478,-1.058,3.942,0.021,2,4,0,0.320,0,1,5.340,1.614,-2.643,-4.933,0.067,0.282,2,14,0,0.280,0,0,0.882,3.214,5.351,0,0,0.320,0.000,0.000,0.000,0.000
35.0,3.045,0.215,-4.990,0.010,0.051,2,14,0,0.184,0,0,0.188,0.721,2.511,-4.958,0.042,0.042,2,14,0,0.192,0,0,0.233,-0.075,-2.490,0.215,5.215,0.014,2,4,0,0.273,0,1,4.823,2.682,-0.502,-1.033,3.967,0.051,2,4,0,0.320,0,1,5.340,1.200,-2.625,-4.982,0.018,0.524,2,14,0,0.172,0,0,0.472,3.267,5.262,0,0,0.320,0.000,0.000,0.000,0.000
36.0,2.904,0.167,-5.014,-0.014,0.099,2,14,0,0.159,0,0,0.060,0.763,2.572,-5.017,-0.017,0.059,2,14,0,0.164,0,0,0.164,-0.094,-2.484,0.201,5.201,0.046,2,4,0,0.273,0,1,4.823,2.741,-0.477,-1.031,3.969,0.087,2,4,0,0.320,0,1,5.340,0.656,-2.582,-4.943,0.057,0.501,2,14,0,0.174,0,0,0.092,3.220,5.326,0,0,0.320,0.000,0.000,0.000,0.000
37.0,2.865,0.135,-5.048,-0.048,0.088,2,14,0,0.467,0,0,0.036,0.753,2.639,-4.969,0.031,0.035,2,14,0,0.190,0,0,0.101,0.003,-2.510,0.286,5.286,0.034,2,4,0,0.273,0,1,4.823,2.789,-0.448,-1.030,3.970,0.027,2,4,0,0.320,0,1,5.340,0.311,-2.554,-4.907,0.093,0.276,2,14,0,0.175,0,0,0.427,3.277,5.379,0,0,0.467,0.000,0.000,0.000,0.000
38.0,2.848,0.129,-4.984,0.016,0.066,2,14,0,0.160,0,0,0.046,0.780,2.649,-4.931,0.069,0.001,2,14,0,0.198,0,0,0.085,0.039,-2.560,0.287,5.287,0.075,2,4,0,0.273,0,1,4.823,2.780,-0.481,-0.998,4.002,0.022,2,4,0,0.320,0,1,5.340,0.136,-2.541,-4.874,0.126,0.016,2,14,0,0.209,0,0,0.604,3.260,5.362,0,0,0.320,0.000,0.000,0.000,0.000
39.0,2.802,0.118,-4.992,0.008,0.036,2,14,0,0.159,0,0,0.088,0.787,2.621,-4.937,0.063,0.033,2,14,0,0.188,0,0,0.113,-0.067,-2.509,0.147,5.147,0.056,2,4,0,0.273,0,1,4.823,2.883,-0.465,-1.027,3.973,0.023,2,4,0,0.320,0,1,5.340,0.260,-2.533,-4.930,0.070,0.221,2,14,0,0.252,0,0,0.481,3.213,5.466,0,0,0.320,0.000,0.000,0.000,0.000
40.0,2.854,0.113,-5.013,-0.013,0.044,2,14,0,0.182,0,0,0.037,0.723,2.537,-4.974,0.026,0.050,2,14,0,0.188,0,0,0.206,-0.117,-2.496,0.175,5.175,0.043,2,4,0,0.273,0,1,4.823,2.874,-0.465,-1.036,3.964,0.089,2,4,0,0.320,0,1,5.340,0.576,-2.551,-4.940,0.060,0.323,2,14,0,0.184,0,0,0.167,3.227,5.458,0,0,0.320,0.000,0.000,0.000,0.000
41.0,2.885,0.051,-5.019,-0.019,0.044,2,14,0,0.157,0,0,0.059,0.719,2.514,-4.954,0.046,0.009,2,14,0,0.157,0,0,0.230,-0.086,-2.486,0.234,5.234,0.063,2,4,0,0.273,0,1,4.823,2.768,-0.450,-1.098,3.902,0.009,2,4,0,0.320,0,1,5.340,0.836,-2.537,-5.005,-0.005,0.242,2,14,0,0.181,0,0,0.096,3.281,5.358,0,0,0.320,0.000,0.000,0.000,0.000
42.0,2.927,0.053,-5.005,-0.005,0.029,2,14,0,0.155,0,0,0.067,0.797,2.548,-4.963,0.037,0.035,2,14,0,0.187,0,0,0.187,-0.036,-2.503,0.237,5.237,0.033,2,4,0,0.273,0,1,4.823,2.818,-0.475,-1.077,3.923,0.017,2,4,0,0.320,0,1,5.340,1.037,-2.551,-4.991,0.009,0.114,2,14,0,0.176,0,0,0.296,3.218,5.401,0,0,0.320,0.000,0.000,0.000,0.000
43.0,2.995,0.089,-4.968,0.032,0.029,2,14,0,0.157,0,0,0.107,0.801,2.589,-5.004,-0.004,0.031,2,14,0,0.158,0,0,0.146,-0.076,-2.507,0.223,5.223,0.012,2,4,0,0.273,0,1,4.823,2.800,-0.422,-1.053,3.947,0.019,2,4,0,0.320,0,1,5.340,1.093,-2.591,-4.940,0.060,0.066,2,14,0,0.192,0,0,0.358,3.287,5.396,0,0,0.320,0.000,0.000,0.000,0.000
44.0,2.967,0.118,-5.012,-0.012,0.049,2,14,0,0.219,0,0,0.077,0.761,2.621,-4.958,0.042,0.038,2,14,0,0.156,0,0,0.116,-0.021,-2.478,0.242,5.242,0.025,2,4,0,0.273,0,1,4.823,2.817,-0.465,-1.018,3.982,0.029,2,4,0,0.320,0,1,5.340,0.975,-2.617,-4.991,0.009,0.182,2,14,0,0.177,0,0,0.249,3.337,5.402,0,0,0.320,0.000,0.000,0.000,0.000
