t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,nan,nan,nan,nan,nan,0,0,0,0.247,0,0,0.122,nan,nan,nan,nan,nan,0,0,0,0.225,0,0,0.115,nan,nan,nan,nan,nan,0,0,0,0.254,0,0,0.078,2.928,0.066,-0.082,4.918,0.014,2,14,0,0.242,0,0,0.040,-2.670,0.163,-0.642,4.358,0.021,2,14,0,0.279,0,0,0.088,3.157,3.413,-0.272,4.728,0.029,2,14,0,0.350,0,0,0.086,nan,nan,nan,nan,nan,0,0,0,0.240,0,0,0.022,nan,nan,nan,nan,nan,0,0,0,0.239,0,0,0.043,nan,nan,nan,nan,nan,0,0,0,0.229,0,0,0.154,3.360,nan,0,0,0.350,0.000,0.000,0.000,0.000
2.0,-0.102,0.113,-0.153,4.847,0.027,0,0,0,0.240,0,1,0.087,-0.271,3.057,-0.560,4.440,0.020,2,14,0,0.229,0,0,0.122,0.129,-3.082,-0.413,4.587,0.011,2,14,0,0.231,0,0,0.077,2.956,0.103,-0.015,4.985,0.010,2,14,0,0.889,0,1,0.037,-2.685,0.164,-0.623,4.377,0.017,2,14,0,0.304,0,0,0.075,3.148,3.407,-0.283,4.717,0.019,2,14,0,0.243,0,1,0.076,-2.599,3.150,-0.828,4.172,0.010,2,14,0,0.255,0,0,0.027,3.121,-2.920,-0.185,4.815,0.007,2,14,0,0.235,0,1,0.032,-3.128,-3.286,0.211,5.211,0.040,2,14,0,0.978,0,1,0.210,2.345,0.433,0,0,0.978,0.000,0.000,0.000,0.000
3.0,-0.104,0.089,-0.146,4.854,0.018,2,14,0,0.357,0,1,0.064,-0.275,3.034,-0.559,4.441,0.014,2,14,0,0.229,0,0,0.118,0.111,-3.050,-0.400,4.600,0.008,2,14,0,0.230,0,0,0.066,2.928,0.126,0.008,5.008,0.013,2,14,0,0.234,0,1,0.024,-2.658,0.159,-0.596,4.404,0.020,2,14,0,0.253,0,0,0.097,3.122,3.383,-0.317,4.683,0.017,2,14,0,0.241,0,0,0.043,-2.577,3.136,-0.800,4.200,0.013,2,14,0,0.236,0,0,0.045,3.102,-2.917,-0.207,4.793,0.011,2,14,0,0.238,0,1,0.013,-3.143,-3.300,0.207,5.207,0.025,2,14,0,0.230,0,1,0.195,2.317,0.444,0,0,0.357,0.000,0.000,0.000,0.000
4.0,-0.094,0.093,-0.134,4.866,0.016,2,14,0,0.312,0,1,0.073,-0.264,3.022,-0.643,4.357,0.043,2,14,0,1.464,0,0,0.132,0.138,-3.014,-0.444,4.556,0.094,2,14,0,0.223,0,0,0.029,2.914,0.115,0.003,5.003,0.004,2,14,0,0.263,0,1,0.012,-2.662,0.149,-0.652,4.348,0.060,2,14,0,0.306,0,0,0.090,3.112,3.387,-0.437,4.563,0.090,2,14,0,0.238,0,0,0.035,-2.573,3.120,-0.818,4.182,0.068,2,14,0,0.560,0,0,0.052,3.118,-2.889,-0.268,4.732,0.019,2,14,0,0.238,0,1,0.037,-3.200,-3.281,0.242,5.242,0.008,2,14,0,0.249,0,1,0.139,2.318,0.443,0,0,1.464,0.000,0.000,0.000,0.000
5.0,-0.089,0.077,-0.100,4.900,0.010,2,14,0,0.248,0,1,0.065,-0.350,3.060,-1.240,3.760,0.115,2,14,0,0.228,0,0,0.045,0.226,-2.952,-1.089,3.911,0.127,2,14,0,0.225,0,0,0.084,2.917,0.083,-0.002,4.998,0.011,2,14,0,0.247,0,1,0.021,-2.677,0.101,-1.377,3.623,0.053,2,14,0,0.254,0,0,0.073,3.127,3.356,-1.059,3.941,0.041,2,14,0,0.269,0,0,0.047,-2.604,3.146,-1.471,3.529,0.087,2,14,0,0.261,0,0,0.022,3.167,-2.891,-0.234,4.766,0.024,2,14,0,0.235,0,1,0.078,-3.148,-3.236,0.239,5.239,0.031,2,14,0,0.230,0,1,0.197,2.267,0.422,0,0,0.269,0.000,0.000,0.000,0.000
6.0,-0.083,0.072,-0.133,4.867,0.057,2,14,0,0.315,0,1,0.062,-0.375,3.159,-2.173,2.827,0.083,2,14,0,0.287,0,0,0.111,0.292,-2.934,-1.997,3.003,0.006,2,14,0,0.296,0,0,0.149,2.949,0.161,-0.074,4.926,0.083,2,14,0,0.267,0,1,0.063,-2.758,0.144,-2.261,2.739,0.050,2,14,0,0.405,0,0,0.025,3.166,3.396,-1.921,3.079,0.070,2,14,0,0.261,0,0,0.086,-2.619,3.233,-2.383,2.617,0.051,2,14,0,0.264,0,0,0.094,3.171,-2.840,-0.234,4.766,0.090,2,14,0,0.239,0,1,0.108,-3.182,-3.221,0.189,5.189,0.045,2,14,0,0.209,0,1,0.172,2.255,0.446,0,0,0.405,0.000,0.000,0.000,0.000
7.0,-0.053,0.087,-0.590,4.410,0.058,2,14,0,0.296,0,0,0.099,-0.358,3.169,-3.183,1.817,0.039,2,14,0,0.258,0,0,0.125,0.286,-3.005,-3.026,1.974,0.092,2,14,0,0.317,0,0,0.121,2.934,0.186,-0.594,4.406,0.053,2,14,0,0.270,0,0,0.083,-2.822,0.150,-3.349,1.651,0.024,2,14,0,0.464,0,0,0.080,3.174,3.295,-3.050,1.950,0.082,2,14,0,0.300,0,0,0.119,-2.545,3.213,-3.440,1.560,0.060,2,14,0,0.542,0,0,0.108,3.143,-2.882,-0.466,4.534,0.042,2,14,0,0.263,0,1,0.063,-3.266,-3.292,-0.036,4.964,0.064,2,14,0,0.232,0,1,0.073,2.203,0.502,0,0,0.542,0.000,0.000,0.000,0.000
8.0,-0.141,0.066,-1.753,3.247,0.074,2,14,0,0.297,0,0,0.035,-0.459,3.093,-4.410,0.590,0.089,2,14,0,0.171,0,0,0.078,0.201,-3.037,-4.334,0.666,0.104,2,14,0,0.177,0,0,0.042,2.936,0.249,-1.691,3.309,0.057,2,14,0,0.515,0,0,0.146,-2.803,0.189,-4.533,0.467,0.015,2,14,0,0.172,0,0,0.086,3.076,3.239,-4.265,0.735,0.071,2,14,0,0.188,0,0,0.131,-2.608,3.177,-4.688,0.312,0.074,2,14,0,0.184,0,0,0.042,3.114,-2.867,-1.587,3.413,0.058,2,14,0,0.252,0,0,0.053,-3.280,-3.219,-0.631,4.369,0.062,2,14,0,0.229,0,0,0.090,2.169,0.468,0,0,0.515,0.000,0.000,0.000,0.000
9.0,-0.150,-0.004,-3.040,1.960,0.066,2,14,0,0.365,0,0,0.040,-0.505,3.053,-5.001,-0.001,0.073,2,14,0,0.179,0,0,0.113,0.185,-3.147,-4.826,0.174,0.071,2,14,0,0.173,0,0,0.134,2.954,0.140,-3.054,1.946,0.124,2,14,0,0.288,0,0,0.050,-2.828,0.202,-5.125,-0.125,0.047,2,14,0,0.174,0,0,0.115,2.999,3.226,-4.961,0.039,0.078,2,14,0,0.190,0,0,0.166,-2.662,3.171,-5.369,-0.369,0.064,2,14,0,0.198,0,0,0.051,3.121,-2.952,-2.950,2.050,0.080,2,14,0,0.315,0,0,0.051,-3.281,-3.294,-1.854,3.146,0.063,2,14,0,0.230,0,0,0.058,2.192,0.508,0,0,0.365,0.000,0.000,0.000,0.000
10.0,-0.179,-0.022,-4.270,0.730,0.024,2,14,0,0.186,0,0,0.070,-0.451,3.020,-5.203,-0.203,0.051,2,14,0,0.175,0,0,0.064,0.137,-3.180,-4.931,0.069,0.047,2,14,0,0.179,0,0,0.169,2.916,0.015,-4.300,0.700,0.107,2,14,0,0.186,0,0,0.088,-2.748,0.182,-5.420,-0.420,0.066,2,14,0,0.149,0,0,0.060,3.003,3.296,-5.300,-0.300,0.077,2,14,0,0.192,0,0,0.110,-2.727,3.148,-5.509,-0.509,0.047,2,14,0,0.177,0,0,0.104,3.039,-2.891,-4.303,0.697,0.051,2,14,0,0.186,0,0,0.054,-3.355,-3.315,-3.264,1.736,0.054,2,14,0,0.291,0,0,0.030,2.300,0.474,0,0,0.291,0.000,0.000,0.000,0.000
