t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.370,-1.337,-4.849,0.151,0.007,2,4,-1,0.000,0,0,0.000,-0.059,2.972,-5.032,-0.032,0.102,2,14,-1,0.000,0,0,0.000,0.262,-3.372,-6.378,-1.378,0.042,0,0,0,0.379,0,1,7.985,3.041,-0.117,-5.001,-0.001,0.108,0,0,0,0.449,0,0,7.633,-2.987,0.096,-5.334,-0.334,0.007,2,4,-1,0.000,0,0,0.000,2.942,4.729,-5.059,-0.059,1.761,2,14,-1,0.000,0,0,0.000,-2.069,-0.850,-5.051,-0.051,0.049,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,-3.261,-2.867,-4.927,0.073,0.126,2,14,-1,0.000,0,0,0.000,1.348,nan,1,0,0.449,-2.949,7.091,-0.355,0.353
2.0,0.432,-1.339,-4.899,0.101,0.046,2,4,-1,0.000,0,0,0.000,-0.486,3.226,-4.902,0.098,0.533,2,14,0,0.206,0,0,0.479,0.154,-3.393,-6.301,-1.301,0.026,2,14,0,0.166,0,1,0.357,2.874,0.093,-4.923,0.077,0.387,2,14,0,0.212,0,0,0.335,-2.971,0.070,-5.315,-0.315,0.015,2,4,-1,0.000,0,0,0.000,3.165,2.481,-4.989,0.011,2.399,2,14,0,0.466,0,0,8.383,-2.061,-0.920,-5.008,-0.008,0.052,2,4,-1,0.000,0,0,0.000,2.682,-3.305,-5.258,-0.258,0.150,0,0,0,0.205,0,0,0.204,-3.407,-2.675,-5.022,-0.022,0.317,2,14,0,0.199,0,0,0.301,1.380,4.031,2,0,0.466,0.000,0.000,0.000,0.000
3.0,0.462,-1.373,-4.900,0.100,0.071,2,4,-1,0.000,0,0,0.000,-0.682,3.213,-5.037,-0.037,0.327,2,14,0,0.177,0,0,0.652,0.111,-3.373,-6.393,-1.393,0.023,2,14,0,0.223,0,1,0.350,2.795,0.196,-5.021,-0.021,0.040,2,14,0,0.291,0,1,0.468,-2.995,0.077,-5.313,-0.313,0.025,2,4,-1,0.000,0,0,0.000,3.500,0.766,-4.995,0.005,0.839,2,14,0,0.532,0,1,2.121,-2.076,-0.925,-5.087,-0.087,0.022,2,4,-1,0.000,0,0,0.000,2.625,-3.182,-5.343,-0.343,0.202,2,14,0,0.201,0,0,0.085,-3.533,-2.551,-5.074,-0.074,0.204,2,14,0,0.198,0,0,0.481,0.907,4.033,4,0,0.532,0.000,0.000,0.000,0.000
4.0,0.423,-1.385,-4.927,0.073,0.072,2,4,-1,0.000,0,0,0.000,-0.208,2.762,-5.018,-0.018,0.721,2,14,0,0.200,0,0,0.192,0.181,-3.337,-6.430,-1.430,0.015,2,14,0,0.194,0,1,0.297,2.742,0.147,-5.047,-0.047,0.013,2,14,0,0.205,0,1,0.462,-3.010,0.100,-5.305,-0.305,0.028,2,4,-1,0.000,0,0,0.000,3.568,0.499,-4.919,0.081,0.101,2,14,0,0.303,0,1,2.319,-2.051,-0.885,-5.138,-0.138,0.008,2,4,-1,0.000,0,0,0.000,2.583,-2.941,-5.325,-0.325,0.153,2,14,0,0.181,0,0,0.171,-3.570,-2.631,-5.021,-0.021,0.269,2,14,0,0.178,0,0,0.466,0.907,3.999,6,0,0.303,0.000,0.000,0.000,0.000
5.0,0.276,-1.367,-4.871,0.129,0.014,2,4,-1,0.000,0,0,0.000,0.296,2.517,-5.014,-0.014,0.317,2,14,0,0.220,0,0,0.564,0.263,-3.296,-6.431,-1.431,0.033,2,14,0,0.190,0,1,0.254,2.757,0.082,-5.065,-0.065,0.006,2,14,0,0.205,0,1,0.462,-2.965,0.123,-5.320,-0.320,0.020,2,4,-1,0.000,0,0,0.000,3.567,0.469,-5.004,-0.004,0.013,2,14,0,0.303,0,1,2.319,-2.023,-0.876,-5.118,-0.118,0.062,2,4,-1,0.000,0,0,0.000,2.583,-2.929,-5.404,-0.404,0.125,2,14,0,0.553,0,0,0.187,-3.236,-2.890,-5.058,-0.058,0.516,2,14,0,0.255,0,0,9.436,0.900,3.997,8,0,0.553,0.000,0.000,0.000,0.000
6.0,0.287,-1.398,-4.924,0.076,0.074,2,4,-1,0.000,0,0,0.000,0.335,2.662,-4.985,0.015,0.383,2,14,0,0.999,0,0,0.516,0.292,-3.307,-6.370,-1.370,0.016,2,14,0,0.196,0,1,0.268,2.793,0.104,-5.022,-0.022,0.020,2,4,0,0.205,0,1,0.462,-2.966,0.104,-5.356,-0.356,0.032,2,4,-1,0.000,0,0,0.000,3.535,0.487,-4.945,0.055,0.021,2,4,0,0.303,0,1,2.319,-2.051,-0.923,-5.109,-0.109,0.032,2,4,-1,0.000,0,0,0.000,2.662,-3.100,-5.290,-0.290,0.225,2,14,0,0.234,0,0,0.015,-2.953,-3.122,-5.022,-0.022,0.101,2,14,0,0.193,0,0,0.330,0.839,4.036,10,0,0.999,0.000,0.000,0.000,0.000
7.0,0.355,-1.405,-4.886,0.114,0.048,2,4,-1,0.000,0,0,0.000,-0.071,2.993,-4.957,0.043,0.583,2,14,0,0.187,0,0,0.076,0.267,-3.341,-6.336,-1.336,0.022,2,14,0,0.257,0,1,0.298,2.763,0.102,-5.049,-0.049,0.008,2,4,0,0.205,0,1,0.462,-2.995,0.099,-5.358,-0.358,0.017,2,4,-1,0.000,0,0,0.000,3.561,0.513,-4.953,0.047,0.034,2,4,0,0.303,0,1,2.319,-2.092,-0.945,-5.038,-0.038,0.024,2,4,-1,0.000,0,0,0.000,2.655,-3.246,-5.251,-0.251,0.094,2,14,0,0.312,0,0,0.142,-3.111,-2.917,-4.994,0.006,0.446,2,14,0,0.526,0,0,0.097,0.903,4.048,12,0,0.526,0.000,0.000,0.000,0.000
8.0,0.361,-1.386,-4.859,0.141,0.021,2,4,-1,0.000,0,0,0.000,-0.469,3.094,-4.949,0.051,0.252,2,14,0,0.213,0,0,0.400,0.252,-3.334,-6.455,-1.455,0.049,2,14,0,0.197,0,1,0.290,2.800,0.112,-4.996,0.004,0.013,2,4,0,0.205,0,1,0.462,-3.010,0.068,-5.301,-0.301,0.018,2,4,-1,0.000,0,0,0.000,3.560,0.507,-4.948,0.052,0.018,2,4,0,0.303,0,1,2.319,-2.140,-0.949,-5.105,-0.105,0.050,2,4,-1,0.000,0,0,0.000,2.654,-3.208,-5.308,-0.308,0.110,2,14,0,0.926,0,0,0.106,-3.459,-2.537,-5.013,-0.013,0.382,2,14,0,0.237,0,0,0.439,0.858,4.042,14,0,0.926,0.000,0.000,0.000,0.000
9.0,0.415,-1.358,-4.882,0.118,0.004,2,4,-1,0.000,0,0,0.000,-0.516,2.877,-4.980,0.020,0.385,2,14,0,0.473,0,0,0.418,0.270,-3.379,-6.402,-1.402,0.028,2,14,0,0.196,0,1,0.335,2.702,0.127,-5.009,-0.009,0.028,2,4,0,0.205,0,1,0.462,-3.048,0.069,-5.322,-0.322,0.034,2,4,-1,0.000,0,0,0.000,3.566,0.484,-4.994,0.006,0.049,2,4,0,0.303,0,1,2.319,-2.105,-0.907,-5.096,-0.096,0.042,2,4,-1,0.000,0,0,0.000,2.735,-3.103,-5.290,-0.290,0.147,2,14,0,0.297,0,0,0.086,-3.533,-2.540,-4.957,0.043,0.248,2,14,0,0.195,0,0,0.497,0.935,4.008,16,0,0.473,0.000,0.000,0.000,0.000
10.0,0.412,-1.360,-4.887,0.113,0.064,2,4,-1,0.000,0,0,0.000,-0.091,2.690,-5.016,-0.016,0.515,2,14,0,0.198,0,0,0.231,0.226,-3.404,-6.376,-1.376,0.041,2,14,0,0.179,0,1,0.359,2.736,0.122,-5.065,-0.065,0.068,2,4,0,0.205,0,1,0.462,-2.958,0.138,-5.327,-0.327,0.052,2,4,-1,0.000,0,0,0.000,3.527,0.450,-4.990,0.010,0.033,2,4,0,0.303,0,1,2.319,-2.116,-0.896,-5.117,-0.117,0.028,2,4,-1,0.000,0,0,0.000,2.673,-2.963,-5.341,-0.341,0.127,2,14,0,0.192,0,0,0.142,-3.280,-2.913,-4.989,0.011,0.385,2,14,0,0.149,0,0,0.086,0.860,3.995,18,0,0.303,0.000,0.000,0.000,0.000
