t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,0.124,3.091,-5.287,-0.287,0.034,2,14,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,0,0.176,0,0,0.079,-2.818,0.348,-5.552,-0.552,0.075,2,14,0,0.156,0,0,0.135,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,-2.700,3.215,-4.517,0.483,0.041,2,14,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,2.930,nan,0,0,0.176,nan,nan,nan,nan
2.0,0.296,0.380,-4.940,0.060,0.137,0,0,-1,0.000,0,0,0.000,-0.099,3.062,-5.377,-0.377,0.179,2,14,0,0.177,0,0,0.067,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,0,0.209,0,0,0.052,-2.869,0.337,-5.588,-0.588,0.116,2,14,0,0.156,0,0,0.098,2.974,2.902,-4.828,0.172,0.093,2,14,0,0.180,0,0,0.068,-2.795,3.111,-4.519,0.481,0.174,2,14,0,0.185,0,0,0.085,2.967,-3.058,-5.141,-0.141,0.132,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,0,0.147,0,0,0.022,2.746,nan,0,0,0.209,nan,nan,nan,nan
3.0,0.302,0.232,-4.909,0.091,0.112,2,14,0,0.177,0,0,0.090,-0.242,2.951,-5.401,-0.401,0.092,2,14,0,0.171,0,0,0.202,-0.154,-2.952,-5.068,-0.068,0.094,2,14,0,0.154,0,0,0.054,2.581,0.041,-5.724,-0.724,0.047,2,14,0,0.173,0,0,0.145,-2.970,0.254,-5.610,-0.610,0.145,2,14,0,0.214,0,0,0.059,2.909,2.816,-4.879,0.121,0.116,2,14,0,0.195,0,0,0.085,-2.981,3.050,-4.565,0.435,0.153,2,14,0,0.179,0,0,0.119,2.950,-3.149,-5.162,-0.162,0.092,2,14,0,0.187,0,0,0.116,-2.873,-2.872,-4.815,0.185,0.009,2,14,0,0.195,0,0,0.060,2.428,0.421,0,0,0.214,0.000,0.000,0.000,0.000
4.0,0.441,0.220,-4.938,0.062,0.055,2,14,0,0.193,0,0,0.163,-0.227,2.883,-5.434,-0.434,0.209,2,14,0,0.216,0,0,0.224,-0.065,-3.020,-5.102,-0.102,0.076,2,14,0,0.172,0,0,0.091,2.656,0.115,-5.832,-0.832,0.126,2,14,0,0.173,0,0,0.042,-3.028,0.172,-5.660,-0.660,0.045,2,14,0,0.147,0,0,0.139,2.983,2.745,-4.832,0.168,0.076,2,14,0,0.156,0,0,0.092,-3.068,3.060,-4.566,0.434,0.066,2,14,0,0.465,0,0,0.198,3.040,-3.181,-5.188,-0.188,0.100,2,14,0,0.188,0,0,0.095,-2.813,-2.908,-4.836,0.164,0.044,2,14,0,0.186,0,0,0.052,2.391,0.493,0,0,0.465,0.000,0.000,0.000,0.000
5.0,0.266,0.327,-4.972,0.028,0.161,2,14,0,0.837,0,0,0.046,0.058,2.970,-5.397,-0.397,0.281,2,14,0,0.176,0,0,0.113,-0.068,-3.074,-5.173,-0.173,0.069,2,14,0,0.206,0,0,0.110,2.706,0.206,-5.867,-0.867,0.093,2,14,0,0.157,0,0,0.066,-2.954,0.158,-5.670,-0.670,0.136,2,14,0,0.205,0,0,0.101,3.079,2.721,-4.915,0.085,0.079,2,14,0,0.153,0,0,0.144,-2.904,3.148,-4.596,0.404,0.178,2,14,0,0.178,0,0,0.043,3.084,-3.156,-5.194,-0.194,0.103,2,14,0,0.182,0,0,0.079,-2.836,-2.937,-4.850,0.150,0.054,2,14,0,0.227,0,0,0.024,2.601,0.422,0,0,0.837,0.000,0.000,0.000,0.000
6.0,0.178,0.474,-4.996,0.004,0.042,2,14,0,0.187,0,0,0.204,0.246,3.065,-5.443,-0.443,0.096,2,14,0,0.177,0,0,0.298,-0.113,-3.048,-5.114,-0.114,0.138,2,14,0,0.186,0,0,0.060,2.694,0.223,-5.933,-0.933,0.030,2,14,0,0.456,0,0,0.079,-2.874,0.205,-5.715,-0.715,0.149,2,14,0,0.200,0,0,0.059,3.093,2.828,-4.845,0.155,0.148,2,14,0,0.174,0,0,0.103,-2.746,3.215,-4.555,0.445,0.087,2,14,0,0.185,0,0,0.166,3.062,-2.995,-5.209,-0.209,0.107,2,14,0,0.196,0,0,0.091,-2.934,-2.956,-4.893,0.107,0.048,2,14,0,0.180,0,0,0.078,2.630,0.507,0,0,0.456,0.000,0.000,0.000,0.000
7.0,0.302,0.373,-5.002,-0.002,0.208,2,14,0,0.205,0,0,0.055,0.047,3.150,-5.444,-0.444,0.292,2,14,0,0.208,0,0,0.167,-0.190,-2.997,-5.090,-0.090,0.126,2,14,0,0.184,0,0,0.035,2.665,0.200,-5.898,-0.898,0.090,2,14,0,0.204,0,0,0.059,-2.822,0.337,-5.631,-0.631,0.082,2,14,0,0.165,0,0,0.124,2.956,2.924,-4.932,0.068,0.138,2,14,0,0.215,0,0,0.092,-2.757,3.116,-4.577,0.423,0.117,2,14,0,0.178,0,0,0.122,3.083,-2.990,-5.145,-0.145,0.069,2,14,0,0.195,0,0,0.106,-2.974,-2.957,-4.852,0.148,0.066,2,14,0,0.431,0,0,0.118,2.534,0.480,0,0,0.431,0.000,0.000,0.000,0.000
8.0,0.479,0.207,-5.024,-0.024,0.097,2,14,0,0.182,0,0,0.201,-0.212,3.050,-5.392,-0.392,0.266,2,14,0,0.849,0,0,0.165,-0.262,-2.968,-5.104,-0.104,0.016,2,14,0,0.190,0,0,0.114,2.712,0.131,-5.861,-0.861,0.088,2,14,0,0.173,0,0,0.032,-2.861,0.374,-5.690,-0.690,0.114,2,14,0,0.204,0,0,0.136,2.839,2.951,-4.939,0.061,0.063,2,14,0,0.191,0,0,0.191,-2.885,3.022,-4.641,0.359,0.144,2,14,0,0.174,0,0,0.091,3.046,-3.094,-5.199,-0.199,0.124,2,14,0,0.204,0,0,0.005,-2.806,-2.938,-4.778,0.222,0.135,2,14,0,0.172,0,0,0.053,2.386,0.522,0,0,0.849,0.000,0.000,0.000,0.000
9.0,0.431,0.196,-4.989,0.011,0.148,2,14,0,0.187,0,0,0.172,-0.242,2.951,-5.427,-0.427,0.103,2,14,0,0.179,0,0,0.204,-0.220,-3.005,-5.144,-0.144,0.112,2,14,0,0.176,0,0,0.066,2.667,0.008,-5.844,-0.844,0.028,2,14,0,0.151,0,0,0.137,-3.043,0.302,-5.709,-0.709,0.159,2,14,0,0.186,0,0,0.141,2.929,2.845,-4.891,0.109,0.205,2,14,0,0.178,0,0,0.065,-2.957,3.038,-4.655,0.345,0.103,2,14,0,0.170,0,0,0.109,3.015,-3.162,-5.174,-0.174,0.068,2,14,0,0.194,0,0,0.079,-2.758,-2.846,-4.822,0.178,0.028,2,14,0,0.188,0,0,0.132,2.401,0.473,0,0,0.194,0.000,0.000,0.000,0.000
10.0,0.209,0.379,-5.028,-0.028,0.218,2,14,0,0.182,0,0,0.114,-0.130,2.918,-5.433,-0.433,0.214,2,14,0,0.191,0,0,0.130,-0.120,-2.983,-5.101,-0.101,0.108,2,14,0,0.154,0,0,0.041,2.718,0.086,-5.897,-0.897,0.122,2,14,0,0.174,0,0,0.070,-3.077,0.174,-5.635,-0.635,0.163,2,14,0,0.381,0,0,0.184,3.099,2.706,-4.975,0.025,0.122,2,14,0,0.152,0,0,0.168,-2.972,3.177,-4.616,0.384,0.114,2,14,0,0.177,0,0,0.112,2.993,-3.151,-5.208,-0.208,0.050,2,14,0,0.148,0,0,0.084,-2.821,-2.843,-4.807,0.193,0.107,2,14,0,0.244,0,0,0.096,2.593,0.433,0,0,0.381,0.000,0.000,0.000,0.000
