t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.303,-0.024,0.656,5.656,0.005,1,14,-1,0.000,0,0,0.000,-0.101,3.028,-0.290,4.710,0.018,1,14,-1,0.000,0,0,0.000,0.243,-2.934,-0.413,4.587,0.011,1,14,-1,0.000,0,0,0.000,2.986,0.051,0.111,5.111,0.027,1,14,-1,0.000,0,0,0.000,-3.213,0.073,-0.491,4.509,0.014,1,14,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,-3.223,-2.970,0.309,5.309,0.016,1,14,-1,0.000,0,0,0.000,2.738,nan,0,0,0.000,0.000,0.000,0.000,0.000
2.0,0.228,-0.062,0.702,5.702,0.034,1,14,-1,0.000,0,0,0.000,-0.125,3.030,-0.289,4.711,0.012,1,14,-1,0.000,0,0,0.000,0.197,-2.920,-0.464,4.536,0.010,1,14,-1,0.000,0,0,0.000,2.997,0.085,0.139,5.139,0.018,1,14,-1,0.000,0,0,0.000,-3.213,0.088,-0.514,4.486,0.001,1,14,-1,0.000,0,0,0.000,2.965,2.769,0.302,5.302,0.026,1,14,-1,0.000,0,0,0.000,-2.899,3.016,-0.106,4.894,0.007,1,14,-1,0.000,0,0,0.000,3.152,-2.872,-0.027,4.973,0.020,1,14,-1,0.000,0,0,0.000,-3.272,-3.004,0.312,5.312,0.017,1,14,-1,0.000,0,0,0.000,2.689,0.272,0,0,0.000,0.000,0.000,0.000,0.000
3.0,0.190,-0.035,0.705,5.705,0.036,1,14,-1,0.000,0,0,0.000,-0.122,3.092,-0.274,4.726,0.014,1,14,-1,0.000,0,0,0.000,0.157,-2.962,-0.482,4.518,0.016,1,14,-1,0.000,0,0,0.000,3.045,0.034,0.154,5.154,0.010,1,14,-1,0.000,0,0,0.000,-3.257,0.138,-0.567,4.433,0.022,1,14,-1,0.000,0,0,0.000,2.970,2.725,0.297,5.297,0.030,1,14,-1,0.000,0,0,0.000,-2.889,3.041,-0.085,4.915,0.016,1,14,-1,0.000,0,0,0.000,3.102,-2.872,-0.036,4.964,0.003,1,14,-1,0.000,0,0,0.000,-3.172,-3.016,0.225,5.225,0.025,1,14,-1,0.000,0,0,0.000,2.695,0.291,0,0,0.000,0.000,0.000,0.000,0.000
4.0,0.177,-0.018,0.765,5.765,0.028,1,14,-1,0.000,0,0,0.000,-0.117,3.117,-0.173,4.827,0.014,1,14,-1,0.000,0,0,0.000,0.242,-2.931,-0.537,4.463,0.018,1,14,-1,0.000,0,0,0.000,3.020,0.023,0.191,5.191,0.013,1,14,-1,0.000,0,0,0.000,-3.264,0.142,-0.638,4.362,0.013,1,14,-1,0.000,0,0,0.000,2.988,2.753,0.319,5.319,0.007,1,14,-1,0.000,0,0,0.000,-2.938,3.048,-0.043,4.957,0.024,1,14,-1,0.000,0,0,0.000,3.076,-2.910,-0.103,4.897,0.015,1,14,-1,0.000,0,0,0.000,-3.165,-3.072,0.275,5.275,0.038,1,14,-1,0.000,0,0,0.000,2.734,0.300,0,0,0.000,0.000,0.000,0.000,0.000
5.0,0.157,-0.020,0.825,5.825,0.025,1,14,-1,0.000,0,0,0.000,-0.095,3.111,-0.216,4.784,0.012,1,14,-1,0.000,0,0,0.000,0.209,-2.933,-0.547,4.453,0.004,1,14,-1,0.000,0,0,0.000,3.032,0.008,0.217,5.217,0.012,1,14,-1,0.000,0,0,0.000,-3.250,0.108,-0.597,4.403,0.006,1,14,-1,0.000,0,0,0.000,2.988,2.770,0.271,5.271,0.006,1,14,-1,0.000,0,0,0.000,-2.896,3.017,-0.074,4.926,0.004,1,14,-1,0.000,0,0,0.000,3.005,-2.882,-0.105,4.895,0.027,1,14,-1,0.000,0,0,0.000,-3.191,-3.094,0.279,5.279,0.035,1,14,-1,0.000,0,0,0.000,2.763,0.272,0,0,0.000,0.000,0.000,0.000,0.000
6.0,0.212,-0.009,0.857,5.857,0.010,1,14,-1,0.000,0,0,0.000,-0.140,3.106,-0.202,4.798,0.017,1,14,-1,0.000,0,0,0.000,0.191,-2.928,-0.631,4.369,0.005,1,14,-1,0.000,0,0,0.000,3.077,0.026,0.251,5.251,0.019,1,14,-1,0.000,0,0,0.000,-3.282,0.041,-0.613,4.387,0.035,1,14,-1,0.000,0,0,0.000,3.060,2.783,0.271,5.271,0.031,1,14,-1,0.000,0,0,0.000,-2.892,2.994,-0.069,4.931,0.009,1,14,-1,0.000,0,0,0.000,3.010,-2.862,-0.080,4.920,0.024,1,14,-1,0.000,0,0,0.000,-3.213,-3.054,0.343,5.343,0.018,1,14,-1,0.000,0,0,0.000,2.757,0.285,0,0,0.000,0.000,0.000,0.000,0.000
7.0,0.207,0.007,0.873,5.873,0.008,1,14,-1,0.000,0,0,0.000,-0.176,3.090,-0.195,4.805,0.019,1,14,-1,0.000,0,0,0.000,0.250,-2.956,-0.638,4.362,0.017,1,14,-1,0.000,0,0,0.000,3.088,0.017,0.239,5.239,0.020,1,14,-1,0.000,0,0,0.000,-3.211,0.063,-0.623,4.377,0.023,1,14,-1,0.000,0,0,0.000,3.061,2.822,0.280,5.280,0.034,1,14,-1,0.000,0,0,0.000,-2.892,2.994,-0.079,4.921,0.005,1,14,-1,0.000,0,0,0.000,3.044,-2.902,-0.106,4.894,0.012,1,14,-1,0.000,0,0,0.000,-3.246,-3.042,0.315,5.315,0.011,1,14,-1,0.000,0,0,0.000,2.720,0.254,0,0,0.000,0.000,0.000,0.000,0.000
8.0,0.281,-0.005,0.878,5.878,0.027,1,14,-1,0.000,0,0,0.000,-0.174,3.110,-0.194,4.806,0.016,1,14,-1,0.000,0,0,0.000,0.252,-2.917,-0.602,4.398,0.007,1,14,-1,0.000,0,0,0.000,3.124,0.010,0.303,5.303,0.023,1,14,-1,0.000,0,0,0.000,-3.214,0.111,-0.645,4.355,0.009,1,14,-1,0.000,0,0,0.000,3.099,2.817,0.320,5.320,0.038,1,14,-1,0.000,0,0,0.000,-2.840,2.989,-0.027,4.973,0.017,1,14,-1,0.000,0,0,0.000,3.084,-2.899,-0.120,4.880,0.004,1,14,-1,0.000,0,0,0.000,-3.299,-3.033,0.338,5.338,0.022,1,14,-1,0.000,0,0,0.000,2.674,0.301,0,0,0.000,0.000,0.000,0.000,0.000
9.0,0.283,-0.021,0.821,5.821,0.023,1,14,-1,0.000,0,0,0.000,-0.171,3.141,-0.133,4.867,0.022,1,14,-1,0.000,0,0,0.000,0.247,-2.904,-0.643,4.357,0.013,1,14,-1,0.000,0,0,0.000,3.111,0.032,0.324,5.324,0.015,1,14,-1,0.000,0,0,0.000,-3.167,0.123,-0.561,4.439,0.028,1,14,-1,0.000,0,0,0.000,3.131,2.829,0.279,5.279,0.035,1,14,-1,0.000,0,0,0.000,-2.872,2.956,-0.002,4.998,0.014,1,14,-1,0.000,0,0,0.000,3.103,-2.864,-0.143,4.857,0.014,1,14,-1,0.000,0,0,0.000,-3.254,-3.019,0.365,5.365,0.004,1,14,-1,0.000,0,0,0.000,2.710,0.283,0,0,0.000,0.000,0.000,0.000,0.000
10.0,0.285,-0.047,0.761,5.761,0.025,1,14,-1,0.000,0,0,0.000,-0.145,3.150,-0.100,4.900,0.012,1,14,-1,0.000,0,0,0.000,0.302,-2.907,-0.558,4.442,0.016,1,14,-1,0.000,0,0,0.000,3.085,-0.019,0.223,5.223,0.017,1,14,-1,0.000,0,0,0.000,-3.177,0.083,-0.616,4.384,0.021,1,14,-1,0.000,0,0,0.000,3.162,2.815,0.268,5.268,0.029,1,14,-1,0.000,0,0,0.000,-2.852,2.943,-0.023,4.977,0.011,1,14,-1,0.000,0,0,0.000,3.064,-2.897,-0.213,4.787,0.006,1,14,-1,0.000,0,0,0.000,-3.266,-2.999,0.301,5.301,0.015,1,14,-1,0.000,0,0,0.000,2.716,0.315,0,0,0.000,0.000,0.000,0.000,0.000
