t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-5.802,9.093,-5.004,-0.004,0.559,2,14,0,0.232,0,0,0.084,-6.508,12.317,-4.446,0.554,0.485,2,14,0,0.177,0,0,0.235,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,-8.909,9.227,-4.432,0.568,0.598,2,14,0,0.183,0,0,0.017,-2.964,12.385,-4.522,0.478,0.554,2,14,0,0.158,0,0,0.147,nan,nan,nan,nan,nan,0,0,0,0.176,0,0,0.026,-3.104,6.184,-3.365,1.635,0.622,2,14,-1,0.000,0,0,0.000,-8.467,6.167,-4.418,0.582,0.489,2,14,0,0.225,0,0,0.119,3.091,nan,0,0,0.232,nan,nan,nan,nan
2.0,-6.399,9.337,-4.989,0.011,0.584,2,14,0,0.197,0,0,0.068,-6.814,12.543,-4.295,0.705,0.314,2,14,0,0.176,0,0,0.089,-6.645,6.483,-3.191,1.809,0.344,0,0,-1,0.000,0,0,0.000,-3.358,9.353,-4.517,0.483,0.389,2,14,-1,0.000,0,0,0.000,-9.433,9.485,-4.405,0.595,0.569,2,14,0,0.313,0,0,0.082,-3.569,12.641,-4.578,0.422,0.671,2,14,0,0.183,0,0,0.016,-9.463,12.404,-3.383,1.617,0.514,2,14,0,0.186,0,0,0.025,-3.618,6.386,-3.327,1.673,0.489,2,14,-1,0.000,0,0,0.000,-8.935,6.368,-4.372,0.628,0.586,2,14,0,0.150,0,0,0.119,2.580,nan,0,0,0.313,nan,nan,nan,nan
3.0,-6.908,9.490,-4.958,0.042,0.456,2,14,0,0.183,0,0,0.093,-7.113,12.731,-4.382,0.618,0.342,2,14,0,0.186,0,0,0.122,-6.990,6.601,-3.088,1.912,0.494,2,14,0,0.178,0,0,0.183,-3.853,9.502,-4.491,0.509,0.636,2,14,0,0.267,0,0,0.164,-9.958,9.572,-4.512,0.488,0.458,2,14,0,0.185,0,0,0.099,-4.186,12.885,-4.580,0.420,0.538,2,14,0,0.181,0,0,0.182,-9.936,12.599,-3.367,1.633,0.499,2,14,0,0.535,0,0,0.052,-3.979,6.578,-3.356,1.644,0.403,2,14,0,0.177,0,0,0.083,-9.564,6.512,-4.341,0.659,0.636,2,14,0,0.219,0,0,0.048,2.864,0.493,0,0,0.535,-7.055,9.556,-0.478,0.147
4.0,-7.308,9.646,-4.972,0.028,0.398,2,14,0,0.192,0,0,0.062,-7.551,12.848,-4.361,0.639,0.510,2,14,0,0.179,0,0,0.155,-7.533,6.756,-3.100,1.900,0.700,2,14,0,0.207,0,0,0.127,-4.531,9.736,-4.544,0.456,0.696,2,14,0,0.184,0,0,0.056,-10.383,9.682,-4.514,0.486,0.416,2,14,0,0.179,0,0,0.046,-4.614,12.961,-4.582,0.418,0.346,2,14,0,0.181,0,0,0.110,-10.494,12.681,-3.371,1.629,0.469,2,14,0,0.248,0,0,0.097,-4.418,6.578,-3.436,1.564,0.468,2,14,0,0.180,0,0,0.079,-10.081,6.572,-4.331,0.669,0.542,2,14,0,0.192,0,0,0.087,2.811,0.471,0,0,0.248,-7.536,9.692,-0.485,0.123
5.0,-7.691,9.655,-5.010,-0.010,0.452,2,14,0,0.197,0,0,0.109,-8.120,12.886,-4.408,0.592,0.640,2,14,0,0.181,0,0,0.065,-8.271,6.966,-3.135,1.865,0.683,2,14,0,0.148,0,0,0.149,-5.142,9.876,-4.472,0.528,0.523,2,14,0,0.190,0,0,0.182,-10.800,9.845,-4.444,0.556,0.432,2,14,0,0.152,0,0,0.043,-4.892,12.951,-4.552,0.448,0.349,2,14,0,0.186,0,0,0.136,-10.958,12.740,-3.302,1.698,0.380,2,14,0,0.180,0,0,0.095,-4.929,6.688,-3.423,1.577,0.530,2,14,0,0.216,0,0,0.066,-10.577,6.694,-4.326,0.674,0.470,2,14,0,0.188,0,0,0.094,2.610,0.460,0,0,0.216,-8.023,9.803,-0.490,0.099
6.0,-8.232,9.696,-5.006,-0.006,0.585,2,14,0,0.189,0,0,0.102,-8.677,12.898,-4.393,0.607,0.608,2,14,0,0.187,0,0,0.090,-8.851,7.090,-3.148,1.852,0.412,2,14,0,0.212,0,0,0.247,-5.597,9.948,-4.474,0.526,0.349,2,14,0,0.173,0,0,0.143,-11.217,9.925,-4.356,0.644,0.492,2,14,0,0.184,0,0,0.106,-5.289,13.040,-4.563,0.437,0.574,2,14,0,0.251,0,0,0.222,-11.269,12.833,-3.320,1.680,0.430,2,14,0,0.151,0,0,0.120,-5.389,6.855,-3.404,1.596,0.564,2,14,0,0.179,0,0,0.069,-10.938,6.892,-4.297,0.703,0.438,2,14,0,0.185,0,0,0.087,2.391,0.578,0,0,0.251,-8.516,9.889,-0.494,0.074
7.0,-8.815,9.888,-5.067,-0.067,0.601,2,14,0,0.182,0,0,0.055,-9.254,12.993,-4.356,0.644,0.551,2,14,0,0.207,0,0,0.101,-9.140,7.090,-3.199,1.801,0.264,2,14,0,0.251,0,0,0.039,-5.907,9.917,-4.459,0.541,0.319,2,14,0,0.174,0,0,0.068,-11.749,10.003,-4.460,0.540,0.590,2,14,0,0.183,0,0,0.083,-5.916,13.201,-4.535,0.465,0.736,2,14,0,0.186,0,0,0.087,-11.759,12.963,-3.341,1.659,0.561,2,14,0,0.155,0,0,0.116,-6.040,6.978,-3.369,1.631,0.557,2,14,0,0.275,0,0,0.123,-11.372,6.940,-4.349,0.651,0.499,2,14,0,0.192,0,0,0.126,2.515,0.640,0,0,0.275,-9.012,9.951,-0.498,0.049
8.0,-9.355,9.984,-5.024,-0.024,0.498,2,14,0,0.512,0,0,0.128,-9.752,13.127,-4.328,0.672,0.456,2,14,0,0.183,0,0,0.092,-9.434,7.055,-3.128,1.872,0.397,2,14,0,0.174,0,0,0.187,-6.366,9.992,-4.457,0.543,0.468,2,14,0,0.277,0,0,0.097,-12.367,10.015,-4.466,0.534,0.592,2,14,0,0.202,0,0,0.049,-6.725,13.348,-4.499,0.501,0.653,2,14,0,0.185,0,0,0.269,-12.335,13.074,-3.384,1.616,0.634,2,14,0,0.214,0,0,0.100,-6.472,7.023,-3.436,1.564,0.471,2,14,0,0.193,0,0,0.099,-11.984,6.927,-4.338,0.662,0.586,2,14,0,0.153,0,0,0.014,2.751,0.530,0,0,0.512,-9.510,9.988,-0.499,0.024
9.0,-9.822,9.935,-4.989,0.011,0.451,2,14,0,0.241,0,0,0.062,-10.199,13.179,-4.322,0.678,0.388,2,14,0,0.180,0,0,0.086,-9.934,7.055,-3.180,1.820,0.658,2,14,0,0.208,0,0,0.197,-6.900,9.999,-4.416,0.584,0.582,2,14,0,0.184,0,0,0.068,-12.960,9.985,-4.448,0.552,0.492,2,14,0,0.168,0,0,0.142,-7.231,13.350,-4.575,0.425,0.346,2,14,0,0.182,0,0,0.268,-12.975,12.998,-3.404,1.596,0.598,2,14,0,0.158,0,0,0.098,-6.958,6.851,-3.362,1.638,0.471,2,14,0,0.236,0,0,0.085,-12.554,6.882,-4.388,0.612,0.516,2,14,0,0.185,0,0,0.087,2.890,0.471,0,0,0.241,-10.010,10.000,-0.500,-0.001
10.0,-10.231,9.814,-4.998,0.002,0.435,2,14,0,0.174,0,0,0.080,-10.669,13.130,-4.348,0.652,0.438,2,14,0,0.216,0,0,0.046,-10.604,7.072,-3.178,1.822,0.764,2,14,0,0.178,0,0,0.027,-7.481,9.985,-4.470,0.530,0.572,2,14,0,0.240,0,0,0.019,-13.345,9.974,-4.418,0.582,0.359,2,14,0,0.178,0,0,0.040,-7.415,13.179,-4.515,0.485,0.284,2,14,0,0.187,0,0,0.084,-13.427,12.906,-3.375,1.625,0.466,2,14,0,0.229,0,0,0.093,-7.435,6.805,-3.342,1.658,0.482,2,14,0,0.183,0,0,0.122,-13.064,6.912,-4.369,0.631,0.457,2,14,0,0.177,0,0,0.083,2.738,0.452,0,0,0.240,-10.510,9.987,-0.499,-0.025
