t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.120,0.172,0.047,5.047,0.007,2,14,0,0.234,0,0,0.051,0.122,3.045,0.392,5.392,0.016,2,14,0,0.554,0,0,0.029,-0.178,-3.214,-0.634,4.366,0.014,2,14,0,0.234,0,0,0.038,2.880,-0.052,-0.155,4.845,0.001,2,14,0,0.227,0,0,0.047,-3.013,0.060,-0.095,4.905,0.011,2,14,0,0.232,0,0,0.097,nan,nan,nan,nan,nan,0,0,0,0.383,0,0,0.159,nan,nan,nan,nan,nan,0,0,0,0.208,0,0,0.057,nan,nan,nan,nan,nan,0,0,0,0.541,0,0,0.079,nan,nan,nan,nan,nan,0,0,0,0.206,0,0,0.011,2.899,nan,0,0,0.554,0.000,0.000,0.000,0.000
2.0,-0.066,0.163,0.020,5.020,0.014,2,14,0,0.236,0,1,0.065,0.141,3.063,0.435,5.435,0.020,2,14,0,0.238,0,1,0.049,-0.171,-3.200,-0.652,4.348,0.008,2,14,0,0.236,0,1,0.038,2.885,-0.001,-0.203,4.797,0.021,2,14,0,0.234,0,1,0.094,-3.021,0.071,0.981,5.981,0.001,2,14,0,0.232,0,1,0.087,2.979,3.149,0.593,5.593,0.022,2,14,0,0.316,0,1,0.128,-2.956,3.288,-0.421,4.579,0.020,2,14,0,0.202,0,1,0.050,3.465,-3.014,1.005,6.005,0.008,2,14,0,0.213,0,1,0.070,-3.244,-2.562,-0.410,4.590,0.009,2,14,0,0.198,0,1,0.032,2.844,0.501,0,0,0.316,0.000,0.000,0.000,0.000
3.0,-0.076,0.167,0.006,5.006,0.008,2,14,0,0.228,0,1,0.061,0.156,3.049,0.407,5.407,0.015,2,14,0,0.238,0,1,0.063,-0.184,-3.192,-0.666,4.334,0.003,2,14,0,0.243,0,1,0.023,2.873,-0.004,-0.207,4.793,0.023,2,14,0,0.234,0,1,0.095,-3.011,0.081,0.656,5.656,0.003,2,14,0,0.231,0,1,0.096,3.048,3.168,0.594,5.594,0.005,2,14,0,0.366,0,1,0.057,-2.968,3.294,-0.452,4.548,0.022,2,14,0,0.280,0,1,0.061,3.470,-3.009,1.098,6.098,0.009,2,14,0,0.235,0,1,0.075,-3.267,-2.563,-0.457,4.543,0.012,2,14,0,0.252,0,1,0.052,2.880,0.512,0,0,0.366,0.000,0.000,0.000,0.000
4.0,-0.097,0.173,0.025,5.025,0.002,2,14,0,0.236,0,1,0.055,0.124,3.029,0.382,5.382,0.003,2,14,0,0.236,0,1,0.038,-0.225,-3.197,-0.671,4.329,0.015,2,14,0,0.443,0,1,0.020,2.857,-0.011,-0.134,4.866,0.020,2,14,0,0.235,0,1,0.095,-2.994,0.080,0.428,5.428,0.001,2,14,0,0.235,0,1,0.114,3.088,3.174,0.574,5.574,0.011,2,14,0,0.274,0,1,0.017,-2.984,3.286,-0.504,4.496,0.020,2,14,0,0.259,0,1,0.078,3.485,-3.000,1.140,6.140,0.015,2,14,0,0.298,0,1,0.085,-3.258,-2.570,-0.462,4.538,0.010,2,14,0,0.254,0,1,0.043,2.808,0.501,0,0,0.443,0.000,0.000,0.000,0.000
5.0,-0.114,0.153,0.021,5.021,0.013,2,14,0,0.243,0,1,0.032,0.120,3.037,0.403,5.403,0.005,2,14,0,0.240,0,1,0.030,-0.245,-3.177,-0.686,4.314,0.019,2,14,0,0.231,0,1,0.041,2.842,-0.024,-0.142,4.858,0.016,2,14,0,0.231,0,1,0.093,-2.989,0.089,0.403,5.403,0.003,2,14,0,0.233,0,1,0.120,3.097,3.170,0.619,5.619,0.014,2,14,0,0.253,0,1,0.014,-2.983,3.280,-0.533,4.467,0.013,2,14,0,0.227,0,1,0.078,3.473,-2.999,1.142,6.142,0.032,2,14,0,0.242,0,1,0.084,-3.264,-2.565,-0.458,4.542,0.007,2,14,0,0.251,0,1,0.049,2.804,0.509,0,0,0.253,0.000,0.000,0.000,0.000
6.0,-0.130,0.151,-0.058,4.942,0.017,2,14,0,0.242,0,1,0.033,0.143,3.083,0.419,5.419,0.074,2,14,0,0.240,0,1,0.058,-0.254,-3.174,-0.678,4.322,0.035,2,14,0,0.238,0,1,0.051,2.820,-0.026,-0.122,4.878,0.067,2,14,0,0.233,0,1,0.108,-2.967,0.089,0.389,5.389,0.006,2,14,0,0.293,0,1,0.142,3.091,3.183,0.627,5.627,0.091,2,14,0,1.837,0,1,0.011,-2.988,3.298,-0.533,4.467,0.025,2,14,0,0.230,0,1,0.081,3.500,-2.971,1.096,6.096,0.119,2,14,0,0.236,0,1,0.116,-3.240,-2.556,-0.468,4.532,0.033,2,14,0,0.254,0,1,0.032,2.794,0.504,0,0,1.837,0.000,0.000,0.000,0.000
7.0,-0.174,0.190,-0.076,4.924,0.081,2,14,0,0.240,0,1,0.088,0.192,3.112,0.386,5.386,0.054,2,14,0,0.238,0,1,0.116,-0.229,-3.146,-0.665,4.335,0.095,2,14,0,0.234,0,1,0.048,2.864,0.005,-0.153,4.847,0.090,2,14,0,0.231,0,1,0.106,-3.001,0.079,0.295,5.295,0.007,2,14,0,0.239,0,1,0.108,3.148,3.213,0.557,5.557,0.075,2,14,0,1.423,0,1,0.054,-2.979,3.333,-0.570,4.430,0.128,2,14,0,0.702,0,1,0.080,3.519,-2.998,0.933,5.933,0.020,2,14,0,0.236,0,1,0.098,-3.225,-2.479,-0.482,4.518,0.089,2,14,0,0.395,0,1,0.098,2.683,0.568,0,0,1.423,0.000,0.000,0.000,0.000
8.0,-0.126,0.264,-0.310,4.690,0.023,2,14,0,0.257,0,1,0.143,0.154,3.134,-0.018,4.982,0.053,2,14,0,0.272,0,1,0.103,-0.151,-3.134,-1.037,3.963,0.027,2,14,0,0.289,0,1,0.078,2.967,-0.001,-0.559,4.441,0.025,2,14,0,0.260,0,1,0.111,-3.000,0.121,0.191,5.191,0.084,2,14,0,0.206,0,1,0.117,3.163,3.204,0.162,5.162,0.045,2,14,0,0.252,0,1,0.064,-2.899,3.302,-0.855,4.145,0.016,2,14,0,0.230,0,1,0.009,3.538,-3.013,0.562,5.562,0.020,2,14,0,0.633,0,1,0.098,-3.208,-2.509,-0.949,4.051,0.030,2,14,0,0.255,0,1,0.070,2.874,0.538,0,0,0.633,0.000,0.000,0.000,0.000
9.0,-0.118,0.249,-1.079,3.921,0.007,2,14,0,0.279,0,0,0.128,0.102,3.094,-1.117,3.883,0.079,2,14,0,0.292,0,0,0.046,-0.149,-3.157,-1.974,3.026,0.052,2,14,0,0.316,0,0,0.065,2.958,0.020,-1.403,3.597,0.081,2,14,0,0.466,0,0,0.126,-2.983,0.147,-0.091,4.909,0.045,2,14,0,0.242,0,1,0.143,3.119,3.150,-0.586,4.414,0.062,2,14,0,0.329,0,0,0.037,-2.840,3.305,-1.493,3.507,0.017,2,14,0,0.231,0,0,0.067,3.573,-3.036,-0.194,4.806,0.069,2,14,0,0.319,0,0,0.113,-3.188,-2.523,-1.669,3.331,0.045,2,14,0,0.230,0,0,0.061,2.854,0.574,0,0,0.466,0.000,0.000,0.000,0.000
10.0,-0.023,0.175,-2.457,2.543,0.104,2,14,0,0.234,0,0,0.108,0.066,3.020,-2.460,2.540,0.077,2,14,0,0.324,0,0,0.041,-0.194,-3.198,-3.331,1.669,0.066,2,14,0,0.376,0,0,0.015,2.938,-0.068,-2.758,2.242,0.122,2,14,0,0.307,0,0,0.043,-3.037,0.193,-0.680,4.320,0.031,2,14,0,0.230,0,0,0.135,3.003,3.060,-1.997,3.003,0.068,2,14,0,0.315,0,0,0.157,-2.887,3.242,-2.856,2.144,0.097,2,14,0,0.288,0,0,0.059,3.474,-3.088,-1.544,3.456,0.111,2,14,0,0.261,0,0,0.006,-3.204,-2.634,-3.047,1.953,0.097,2,14,0,0.228,0,0,0.056,2.846,0.482,0,0,0.376,0.000,0.000,0.000,0.000
