t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.243,0.309,-5.001,-0.001,0.039,2,14,0,0.151,0,0,0.143,0.582,-0.228,-5.385,-0.385,0.027,2,14,0,0.165,0,0,0.042,1.057,3.590,1,0,0.165,0.000,0.000,0.000,0.000
2.0,-0.236,0.242,-4.988,0.012,0.064,2,14,0,0.180,0,0,0.127,0.534,-0.216,-5.360,-0.360,0.026,2,14,0,0.171,0,0,0.029,0.971,3.541,2,0,0.180,0.000,0.000,0.000,0.000
3.0,-0.167,0.204,-4.926,0.074,0.079,2,14,0,0.148,0,0,0.075,0.536,-0.211,-5.417,-0.417,0.025,2,14,0,0.168,0,0,0.032,0.952,3.542,3,0,0.168,0.000,0.000,0.000,0.000
4.0,-0.141,0.153,-5.011,-0.011,0.064,2,14,0,0.189,0,0,0.106,0.466,-0.237,-5.377,-0.377,0.026,2,14,0,0.181,0,0,0.077,0.808,3.474,4,0,0.189,0.000,0.000,0.000,0.000
5.0,-0.096,0.159,-4.989,0.011,0.069,2,14,0,0.178,0,0,0.098,0.427,-0.280,-5.357,-0.357,0.027,2,14,0,0.164,0,0,0.123,0.775,3.438,5,0,0.178,0.000,0.000,0.000,0.000
6.0,-0.012,0.248,-5.037,-0.037,0.071,2,14,0,0.169,0,0,0.096,0.444,-0.335,-5.426,-0.426,0.060,2,14,0,0.162,0,0,0.137,0.836,3.460,6,0,0.169,0.000,0.000,0.000,0.000
7.0,0.074,0.268,-5.049,-0.049,0.046,2,14,0,0.172,0,0,0.187,0.596,-0.262,-5.459,-0.459,0.098,2,14,0,0.164,0,0,0.053,0.850,3.605,7,0,0.172,0.000,0.000,0.000,0.000
8.0,-0.019,0.305,-5.004,-0.004,0.091,2,14,0,0.176,0,0,0.107,0.718,-0.229,-5.464,-0.464,0.048,2,14,0,0.137,0,0,0.173,1.020,3.725,8,0,0.176,0.000,0.000,0.000,0.000
9.0,-0.105,0.311,-4.975,0.025,0.077,2,14,0,0.170,0,0,0.056,0.681,-0.243,-5.365,-0.365,0.069,2,14,0,0.166,0,0,0.137,1.037,3.689,9,0,0.170,0.000,0.000,0.000,0.000
10.0,-0.234,0.309,-5.021,-0.021,0.057,2,14,0,0.163,0,0,0.134,0.571,-0.237,-5.370,-0.370,0.110,2,14,0,0.161,0,0,0.028,1.033,3.579,10,0,0.163,0.000,0.000,0.000,0.000
11.0,-0.236,0.293,-4.999,0.001,0.039,2,14,0,0.148,0,0,0.132,0.436,-0.218,-5.356,-0.356,0.085,2,14,0,0.165,0,0,0.111,0.917,3.442,11,0,0.165,0.000,0.000,0.000,0.000
12.0,-0.263,0.264,-4.994,0.006,0.061,2,14,0,0.148,0,0,0.151,0.396,-0.212,-5.347,-0.347,0.005,2,14,0,0.203,0,0,0.152,0.887,3.403,12,0,0.203,0.000,0.000,0.000,0.000
13.0,-0.139,0.247,-5.002,-0.002,0.097,2,14,0,0.141,0,0,0.031,0.504,-0.195,-5.405,-0.405,0.064,2,14,0,0.533,0,0,0.064,0.878,3.510,13,0,0.533,0.000,0.000,0.000,0.000
14.0,-0.082,0.212,-4.927,0.073,0.069,2,14,0,0.166,0,0,0.051,0.529,-0.174,-5.403,-0.403,0.049,2,14,0,0.134,0,0,0.070,0.865,3.533,14,0,0.166,0.000,0.000,0.000,0.000
15.0,0.002,0.183,-5.024,-0.024,0.032,2,14,0,0.143,0,0,0.134,0.585,-0.190,-5.398,-0.398,0.046,2,14,0,0.138,0,0,0.067,0.787,3.590,15,0,0.143,0.000,0.000,0.000,0.000
16.0,-0.003,0.204,-4.973,0.027,0.039,2,14,0,0.148,0,0,0.120,0.634,-0.258,-5.392,-0.392,0.046,2,14,0,0.140,0,0,0.091,0.892,3.643,16,0,0.148,0.000,0.000,0.000,0.000
17.0,-0.041,0.206,-5.015,-0.015,0.067,2,14,0,0.144,0,0,0.086,0.625,-0.287,-5.406,-0.406,0.040,2,14,0,0.160,0,0,0.093,0.917,3.637,17,0,0.160,0.000,0.000,0.000,0.000
18.0,-0.006,0.289,-5.028,-0.028,0.069,2,14,0,0.171,0,0,0.110,0.543,-0.300,-5.412,-0.412,0.046,2,14,0,0.136,0,0,0.057,0.892,3.556,18,0,0.171,0.000,0.000,0.000,0.000
19.0,-0.101,0.319,-4.978,0.022,0.081,2,14,0,0.236,0,0,0.064,0.472,-0.289,-5.357,-0.357,0.040,2,14,0,0.141,0,0,0.085,0.918,3.484,19,0,0.236,0.000,0.000,0.000,0.000
20.0,-0.239,0.353,-4.959,0.041,0.056,2,14,0,0.152,0,0,0.163,0.499,-0.278,-5.409,-0.409,0.037,2,14,0,0.173,0,0,0.059,1.070,3.510,20,0,0.173,0.000,0.000,0.000,0.000
21.0,-0.242,0.309,-4.949,0.051,0.051,2,14,0,0.156,0,0,0.143,0.619,-0.300,-5.392,-0.392,0.042,2,14,0,0.165,0,0,0.094,1.144,3.632,21,0,0.165,0.000,0.000,0.000,0.000
22.0,-0.197,0.229,-4.985,0.015,0.073,2,14,0,0.176,0,0,0.087,0.611,-0.286,-5.387,-0.387,0.033,2,14,0,0.173,0,0,0.079,1.039,3.623,22,0,0.176,0.000,0.000,0.000,0.000
23.0,-0.136,0.186,-4.951,0.049,0.089,2,14,0,0.184,0,0,0.073,0.601,-0.305,-5.365,-0.365,0.045,2,14,0,0.148,0,0,0.085,0.977,3.614,23,0,0.184,0.000,0.000,0.000,0.000
24.0,-0.059,0.122,-4.954,0.046,0.057,2,14,0,0.148,0,0,0.143,0.536,-0.237,-5.373,-0.373,0.066,2,14,0,0.163,0,0,0.008,0.811,3.544,24,0,0.163,0.000,0.000,0.000,0.000
25.0,-0.041,0.149,-5.011,-0.011,0.052,2,14,0,0.144,0,0,0.128,0.501,-0.138,-5.388,-0.388,0.036,2,14,0,0.137,0,0,0.113,0.720,3.503,25,0,0.144,0.000,0.000,0.000,0.000
26.0,0.001,0.207,-5.058,-0.058,0.076,2,14,0,0.169,0,0,0.121,0.500,-0.167,-5.385,-0.385,0.021,2,14,0,0.135,0,0,0.088,0.704,3.504,26,0,0.169,0.000,0.000,0.000,0.000
27.0,-0.014,0.308,-5.034,-0.034,0.091,2,14,0,0.172,0,0,0.111,0.522,-0.161,-5.364,-0.364,0.043,2,14,0,0.138,0,0,0.085,0.786,3.526,27,0,0.172,0.000,0.000,0.000,0.000
28.0,-0.070,0.361,-5.037,-0.037,0.074,2,14,0,0.169,0,0,0.112,0.573,-0.173,-5.368,-0.368,0.052,2,14,0,0.134,0,0,0.076,0.899,3.577,28,0,0.169,0.000,0.000,0.000,0.000
