t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.022,-0.046,-5.005,-0.005,0.048,2,14,0,0.141,0,0,0.066,-2.962,0.079,-5.340,-0.340,0.031,2,14,0,0.177,0,0,0.081,3.006,0.088,0,0,0.177,0.000,0.000,0.000,0.000
2.0,0.083,-0.049,-5.034,-0.034,0.024,2,14,0,0.177,0,0,0.087,-2.969,0.007,-5.366,-0.366,0.044,2,14,0,0.153,0,0,0.065,3.070,0.096,0,0,0.177,0.000,0.000,0.000,0.000
3.0,0.110,-0.004,-5.006,-0.006,0.032,2,14,0,0.142,0,0,0.084,-2.910,-0.030,-5.357,-0.357,0.049,2,14,0,0.172,0,0,0.052,3.041,0.110,0,0,0.172,0.000,0.000,0.000,0.000
4.0,0.127,0.020,-5.002,-0.002,0.041,2,14,0,0.171,0,0,0.098,-2.749,-0.030,-5.324,-0.324,0.038,2,14,0,0.173,0,0,0.164,2.894,0.252,0,0,0.173,0.000,0.000,0.000,0.000
5.0,-0.003,0.066,-4.953,0.047,0.064,2,14,0,0.179,0,0,0.057,-2.786,0.002,-5.295,-0.295,0.051,2,14,0,0.351,0,0,0.121,2.805,0.214,0,0,0.351,0.000,0.000,0.000,0.000
6.0,-0.048,0.101,-4.975,0.025,0.022,2,14,0,0.165,0,0,0.112,-2.814,0.003,-5.271,-0.271,0.063,2,14,0,0.174,0,0,0.093,2.784,0.186,0,0,0.174,0.000,0.000,0.000,0.000
7.0,-0.125,0.127,-5.007,-0.007,0.031,2,14,0,0.138,0,0,0.188,-2.855,-0.014,-5.363,-0.363,0.079,2,14,0,0.172,0,0,0.063,2.756,0.178,0,0,0.172,0.000,0.000,0.000,0.000
8.0,-0.118,0.058,-5.006,-0.006,0.093,2,14,0,0.169,0,0,0.152,-2.949,0.084,-5.364,-0.364,0.087,2,14,0,0.171,0,0,0.075,2.853,0.132,0,0,0.171,0.000,0.000,0.000,0.000
9.0,-0.015,-0.019,-5.024,-0.024,0.110,2,14,0,0.169,0,0,0.058,-3.046,0.084,-5.340,-0.340,0.038,2,14,0,0.172,0,0,0.153,3.049,0.096,0,0,0.172,0.000,0.000,0.000,0.000
10.0,0.160,-0.116,-4.992,0.008,0.084,2,14,0,0.166,0,0,0.189,-3.099,0.010,-5.353,-0.353,0.049,2,14,0,0.185,0,0,0.193,3.281,0.198,0,0,0.185,0.000,0.000,0.000,0.000
11.0,0.211,-0.148,-4.999,0.001,0.035,2,14,0,0.170,0,0,0.247,-2.971,-0.030,-5.347,-0.347,0.107,2,14,0,0.174,0,0,0.084,3.203,0.258,0,0,0.174,0.000,0.000,0.000,0.000
12.0,0.101,-0.132,-4.965,0.035,0.107,2,14,0,0.171,0,0,0.168,-2.911,-0.040,-5.360,-0.360,0.090,2,14,0,0.146,0,0,0.061,3.039,0.166,0,0,0.171,0.000,0.000,0.000,0.000
13.0,0.092,-0.008,-5.032,-0.032,0.138,2,14,0,0.165,0,0,0.068,-2.780,-0.018,-5.289,-0.289,0.072,2,14,0,0.144,0,0,0.132,2.883,0.221,0,0,0.165,0.000,0.000,0.000,0.000
14.0,-0.031,0.113,-4.989,0.011,0.105,2,14,0,0.185,0,0,0.111,-2.780,0.016,-5.345,-0.345,0.040,2,14,0,0.146,0,0,0.126,2.774,0.220,0,0,0.185,0.000,0.000,0.000,0.000
15.0,-0.028,0.174,-4.987,0.013,0.018,2,14,0,0.684,0,0,0.165,-2.872,0.067,-5.323,-0.323,0.074,2,14,0,0.171,0,0,0.057,2.866,0.176,0,0,0.684,0.000,0.000,0.000,0.000
16.0,0.017,0.136,-4.997,0.003,0.053,2,14,0,0.138,0,0,0.117,-3.010,0.057,-5.357,-0.357,0.057,2,14,0,0.170,0,0,0.109,3.050,0.137,0,0,0.170,0.000,0.000,0.000,0.000
17.0,0.010,0.085,-4.985,0.015,0.072,2,14,0,0.225,0,0,0.069,-2.992,0.010,-5.293,-0.293,0.031,2,14,0,0.169,0,0,0.088,3.018,0.086,0,0,0.225,0.000,0.000,0.000,0.000
18.0,0.011,0.064,-4.973,0.027,0.069,2,14,0,0.136,0,0,0.048,-2.905,-0.037,-5.298,-0.298,0.047,2,14,0,0.171,0,0,0.059,2.936,0.102,0,0,0.171,0.000,0.000,0.000,0.000
19.0,-0.043,-0.009,-4.978,0.022,0.063,2,14,0,0.135,0,0,0.078,-2.882,0.003,-5.341,-0.341,0.031,2,14,0,0.141,0,0,0.029,2.862,0.118,0,0,0.141,0.000,0.000,0.000,0.000
20.0,-0.010,-0.089,-4.995,0.005,0.044,2,14,0,0.153,0,0,0.115,-2.887,0.024,-5.353,-0.353,0.022,2,14,0,0.149,0,0,0.019,2.902,0.116,0,0,0.153,0.000,0.000,0.000,0.000
21.0,-0.026,-0.085,-4.962,0.038,0.039,2,14,0,0.145,0,0,0.118,-2.883,0.037,-5.341,-0.341,0.015,2,14,0,0.180,0,0,0.027,2.884,0.123,0,0,0.180,0.000,0.000,0.000,0.000
22.0,0.031,-0.061,-5.040,-0.040,0.070,2,14,0,0.145,0,0,0.080,-2.891,0.037,-5.333,-0.333,0.011,2,14,0,0.145,0,0,0.022,2.938,0.116,0,0,0.145,0.000,0.000,0.000,0.000
23.0,0.057,-0.023,-5.018,-0.018,0.071,2,14,0,0.165,0,0,0.051,-2.853,0.014,-5.282,-0.282,0.020,2,14,0,0.240,0,0,0.053,2.922,0.148,0,0,0.240,0.000,0.000,0.000,0.000
24.0,0.146,0.080,-5.029,-0.029,0.065,2,14,0,0.145,0,0,0.131,-2.836,-0.002,-5.271,-0.271,0.040,2,14,0,0.191,0,0,0.075,2.993,0.167,0,0,0.191,0.000,0.000,0.000,0.000
25.0,0.195,0.113,-5.032,-0.032,0.050,2,14,0,0.141,0,0,0.191,-2.880,0.028,-5.299,-0.299,0.047,2,14,0,0.179,0,0,0.027,3.088,0.226,0,0,0.179,0.000,0.000,0.000,0.000
26.0,0.106,0.110,-5.000,0.000,0.097,2,14,0,0.166,0,0,0.120,-2.959,0.044,-5.296,-0.296,0.039,2,14,0,0.146,0,0,0.058,3.080,0.153,0,0,0.166,0.000,0.000,0.000,0.000
27.0,0.009,0.067,-4.958,0.042,0.106,2,14,0,0.166,0,0,0.052,-2.978,0.044,-5.249,-0.249,0.007,2,14,0,0.146,0,0,0.076,3.001,0.067,0,0,0.166,0.000,0.000,0.000,0.000
28.0,-0.115,0.063,-4.988,0.012,0.068,2,14,0,0.165,0,0,0.150,-2.976,0.069,-5.376,-0.376,0.030,2,14,0,0.146,0,0,0.085,2.888,0.131,0,0,0.165,0.000,0.000,0.000,0.000
29.0,-0.141,0.015,-4.973,0.027,0.062,2,14,0,0.168,0,0,0.171,-2.943,0.057,-5.315,-0.315,0.044,2,14,0,0.201,0,0,0.053,2.823,0.142,0,0,0.201,0.000,0.000,0.000,0.000
30.0,-0.032,-0.035,-5.017,-0.017,0.103,2,14,0,0.168,0,0,0.081,-2.907,0.017,-5.328,-0.328,0.048,2,14,0,0.178,0,0,0.004,2.892,0.095,0,0,0.178,0.000,0.000,0.000,0.000
31.0,0.004,-0.068,-5.061,-0.061,0.071,2,14,0,0.169,0,0,0.091,-2.932,-0.010,-5.316,-0.316,0.028,2,14,0,0.157,0,0,0.041,2.947,0.069,0,0,0.169,0.000,0.000,0.000,0.000
32.0,0.009,-0.055,-5.070,-0.070,0.059,2,14,0,0.184,0,0,0.077,-2.899,-0.019,-5.277,-0.277,0.029,2,14,0,0.146,0,0,0.041,2.915,0.103,0,0,0.184,0.000,0.000,0.000,0.000
33.0,0.087,-0.059,-4.983,0.017,0.067,2,14,0,0.165,0,0,0.097,-2.868,-0.058,-5.367,-0.367,0.022,2,14,0,0.141,0,0,0.087,2.980,0.144,0,0,0.165,0.000,0.000,0.000,0.000
34.0,0.202,0.036,-4.921,0.079,0.066,2,14,0,0.176,0,0,0.173,-2.802,-0.075,-5.403,-0.403,0.038,2,14,0,0.174,0,0,0.141,3.044,0.212,0,0,0.176,0.000,0.000,0.000,0.000
35.0,0.129,0.059,-4.941,0.059,0.091,2,14,0,0.166,0,0,0.108,-2.804,0.064,-5.346,-0.346,0.091,2,14,0,0.177,0,0,0.110,2.961,0.206,0,0,0.177,0.000,0.000,0.000,0.000
36.0,0.079,0.138,-4.994,0.006,0.083,2,14,0,0.144,0,0,0.129,-2.867,0.154,-5.303,-0.303,0.079,2,14,0,0.179,0,0,0.139,2.963,0.203,0,0,0.179,0.000,0.000,0.000,0.000
37.0,0.018,0.117,-5.050,-0.050,0.081,2,14,0,0.169,0,0,0.098,-2.964,0.070,-5.308,-0.308,0.078,2,14,0,0.174,0,0,0.076,2.994,0.118,0,0,0.174,0.000,0.000,0.000,0.000
38.0,-0.052,0.047,-5.014,-0.014,0.070,2,14,0,0.167,0,0,0.085,-3.046,-0.022,-5.356,-0.356,0.047,2,14,0,0.182,0,0,0.146,3.014,0.070,0,0,0.182,0.000,0.000,0.000,0.000
39.0,-0.074,0.008,-4.978,0.022,0.043,2,14,0,0.178,0,0,0.104,-3.004,-0.040,-5.374,-0.374,0.049,2,14,0,0.149,0,0,0.116,2.956,0.075,0,0,0.178,0.000,0.000,0.000,0.000
40.0,-0.026,-0.027,-4.999,0.001,0.053,2,14,0,0.166,0,0,0.072,-2.911,-0.035,-5.308,-0.308,0.066,2,14,0,0.144,0,0,0.056,2.902,0.095,0,0,0.166,0.000,0.000,0.000,0.000
41.0,0.020,-0.028,-5.018,-0.018,0.051,2,14,0,0.148,0,0,0.047,-2.895,-0.006,-5.315,-0.315,0.052,2,14,0,0.324,0,0,0.028,2.931,0.105,0,0,0.324,0.000,0.000,0.000,0.000
42.0,0.102,-0.062,-5.009,-0.009,0.047,2,14,0,0.144,0,0,0.109,-2.902,-0.012,-5.276,-0.276,0.036,2,14,0,0.174,0,0,0.033,3.017,0.119,0,0,0.174,0.000,0.000,0.000,0.000
43.0,0.095,-0.027,-5.013,-0.013,0.043,2,14,0,0.259,0,0,0.080,-2.845,0.006,-5.366,-0.366,0.035,2,14,0,0.149,0,0,0.063,2.961,0.155,0,0,0.259,0.000,0.000,0.000,0.000
44.0,0.113,-0.009,-4.983,0.017,0.042,2,14,0,0.175,0,0,0.088,-2.790,0.006,-5.378,-0.378,0.027,2,14,0,0.211,0,0,0.117,2.930,0.210,0,0,0.211,0.000,0.000,0.000,0.000
45.0,0.012,0.074,-4.989,0.011,0.072,2,14,0,0.185,0,0,0.057,-2.822,0.027,-5.324,-0.324,0.057,2,14,0,0.243,0,0,0.083,2.855,0.180,0,0,0.243,0.000,0.000,0.000,0.000
46.0,-0.079,0.118,-4.957,0.043,0.012,2,14,0,0.194,0,0,0.146,-2.891,0.069,-5.292,-0.292,0.059,2,14,0,0.180,0,0,0.050,2.832,0.142,0,0,0.194,0.000,0.000,0.000,0.000
47.0,-0.054,0.047,-4.965,0.035,0.052,2,14,0,0.142,0,0,0.087,-2.908,0.128,-5.354,-0.354,0.040,2,14,0,0.147,0,0,0.106,2.882,0.157,0,0,0.147,0.000,0.000,0.000,0.000
48.0,0.014,0.039,-5.042,-0.042,0.064,2,14,0,0.143,0,0,0.025,-2.960,0.067,-5.312,-0.312,0.050,2,14,0,0.149,0,0,0.071,2.986,0.077,0,0,0.149,0.000,0.000,0.000,0.000
49.0,0.034,0.014,-5.017,-0.017,0.048,2,14,0,0.229,0,0,0.007,-2.973,0.050,-5.324,-0.324,0.040,2,14,0,0.210,0,0,0.072,3.023,0.057,0,0,0.229,0.000,0.000,0.000,0.000
50.0,0.065,-0.012,-5.024,-0.024,0.023,2,14,0,0.140,0,0,0.048,-2.966,-0.054,-5.292,-0.292,0.053,2,14,0,0.142,0,0,0.096,3.043,0.066,0,0,0.142,0.000,0.000,0.000,0.000
51.0,0.083,-0.007,-4.969,0.031,0.008,2,14,0,0.141,0,0,0.061,-2.919,-0.142,-5.380,-0.380,0.045,2,14,0,0.173,0,0,0.163,3.033,0.164,0,0,0.173,0.000,0.000,0.000,0.000
52.0,0.050,0.008,-5.024,-0.024,0.029,2,14,0,0.141,0,0,0.024,-2.907,-0.149,-5.328,-0.328,0.067,2,14,0,0.144,0,0,0.171,2.977,0.176,0,0,0.144,0.000,0.000,0.000,0.000
53.0,0.015,-0.032,-4.964,0.036,0.023,2,14,0,0.147,0,0,0.053,-2.914,-0.039,-5.262,-0.262,0.106,2,14,0,0.179,0,0,0.062,2.944,0.094,0,0,0.179,0.000,0.000,0.000,0.000
54.0,-0.015,-0.033,-5.001,-0.001,0.021,2,14,0,0.149,0,0,0.068,-2.891,0.068,-5.281,-0.281,0.090,2,14,0,0.154,0,0,0.049,2.891,0.129,0,0,0.154,0.000,0.000,0.000,0.000
55.0,0.041,-0.009,-5.044,-0.044,0.042,2,14,0,0.166,0,0,0.031,-2.887,0.143,-5.302,-0.302,0.047,2,14,0,0.145,0,0,0.122,2.943,0.182,0,0,0.166,0.000,0.000,0.000,0.000
56.0,0.053,0.019,-5.067,-0.067,0.032,2,14,0,0.145,0,0,0.024,-2.919,0.087,-5.355,-0.355,0.030,2,14,0,0.176,0,0,0.067,2.987,0.119,0,0,0.176,0.000,0.000,0.000,0.000
57.0,0.080,0.026,-5.001,-0.001,0.018,2,14,0,0.138,0,0,0.051,-2.961,0.083,-5.353,-0.353,0.033,2,14,0,0.144,0,0,0.083,3.062,0.091,0,0,0.144,0.000,0.000,0.000,0.000
58.0,0.041,0.029,-4.938,0.062,0.035,2,14,0,0.172,0,0,0.015,-2.948,0.029,-5.314,-0.314,0.052,2,14,0,0.179,0,0,0.044,3.013,0.059,0,0,0.179,0.000,0.000,0.000,0.000
59.0,-0.031,0.041,-4.987,0.013,0.021,2,14,0,0.138,0,0,0.064,-2.900,0.020,-5.371,-0.371,0.035,2,14,0,0.197,0,0,0.006,2.895,0.102,0,0,0.197,0.000,0.000,0.000,0.000
60.0,-0.049,0.019,-4.968,0.032,0.012,2,14,0,0.170,0,0,0.078,-2.864,-0.005,-5.336,-0.336,0.019,2,14,0,0.184,0,0,0.049,2.839,0.136,0,0,0.184,0.000,0.000,0.000,0.000
61.0,-0.088,0.083,-4.988,0.012,0.036,2,14,0,0.167,0,0,0.133,-2.813,0.004,-5.318,-0.318,0.014,2,14,0,0.150,0,0,0.094,2.746,0.187,0,0,0.167,0.000,0.000,0.000,0.000
62.0,0.016,0.109,-5.026,-0.026,0.077,2,14,0,0.201,0,0,0.091,-2.860,0.028,-5.336,-0.336,0.039,2,14,0,0.187,0,0,0.044,2.894,0.143,0,0,0.201,0.000,0.000,0.000,0.000
63.0,0.113,0.051,-5.026,-0.026,0.078,2,14,0,0.169,0,0,0.089,-2.851,0.043,-5.269,-0.269,0.042,2,14,0,0.148,0,0,0.059,2.974,0.156,0,0,0.169,0.000,0.000,0.000,0.000
64.0,0.157,-0.006,-5.028,-0.028,0.040,2,14,0,0.148,0,0,0.131,-2.884,0.039,-5.310,-0.310,0.043,2,14,0,0.158,0,0,0.028,3.054,0.158,0,0,0.158,0.000,0.000,0.000,0.000
65.0,0.166,-0.058,-4.980,0.020,0.047,2,14,0,0.177,0,0,0.157,-2.904,-0.021,-5.291,-0.291,0.036,2,14,0,0.151,0,0,0.042,3.086,0.176,0,0,0.177,0.000,0.000,0.000,0.000
66.0,0.175,-0.055,-4.963,0.037,0.087,2,14,0,0.226,0,0,0.164,-2.940,-0.002,-5.306,-0.306,0.026,2,14,0,0.172,0,0,0.041,3.134,0.184,0,0,0.226,0.000,0.000,0.000,0.000
67.0,0.018,-0.026,-4.983,0.017,0.122,2,14,0,0.166,0,0,0.047,-2.975,-0.052,-5.338,-0.338,0.008,2,14,0,0.145,0,0,0.101,3.015,0.058,0,0,0.166,0.000,0.000,0.000,0.000
68.0,-0.138,0.073,-5.013,-0.013,0.084,2,14,0,0.178,0,0,0.175,-2.981,0.025,-5.326,-0.326,0.036,2,14,0,0.176,0,0,0.075,2.860,0.156,0,0,0.178,0.000,0.000,0.000,0.000
69.0,-0.196,0.101,-4.972,0.028,0.023,2,14,0,0.166,0,0,0.239,-2.982,0.057,-5.317,-0.317,0.042,2,14,0,0.174,0,0,0.084,2.808,0.220,0,0,0.174,0.000,0.000,0.000,0.000
70.0,-0.142,0.046,-4.990,0.010,0.106,2,14,0,0.144,0,0,0.174,-2.969,0.041,-5.320,-0.320,0.044,2,14,0,0.144,0,0,0.066,2.846,0.150,0,0,0.144,0.000,0.000,0.000,0.000
71.0,0.031,0.040,-5.020,-0.020,0.138,2,14,0,0.298,0,0,0.021,-2.901,0.035,-5.371,-0.371,0.052,2,14,0,0.142,0,0,0.014,2.953,0.105,0,0,0.298,0.000,0.000,0.000,0.000
72.0,0.159,0.023,-5.117,-0.117,0.084,2,14,0,0.168,0,0,0.130,-2.828,0.071,-5.250,-0.250,0.031,2,14,0,0.160,0,0,0.092,2.990,0.186,0,0,0.168,0.000,0.000,0.000,0.000
73.0,0.153,-0.025,-5.001,-0.001,0.023,2,14,0,0.190,0,0,0.132,-2.836,0.081,-5.263,-0.263,0.030,2,14,0,0.143,0,0,0.092,3.003,0.183,0,0,0.190,0.000,0.000,0.000,0.000
74.0,0.138,-0.059,-4.996,0.004,0.043,2,14,0,0.139,0,0,0.134,-2.839,0.030,-5.405,-0.405,0.058,2,14,0,0.171,0,0,0.067,3.006,0.164,0,0,0.171,0.000,0.000,0.000,0.000
75.0,0.065,-0.034,-4.927,0.073,0.075,2,14,0,0.166,0,0,0.065,-2.839,-0.082,-5.370,-0.370,0.058,2,14,0,0.144,0,0,0.123,2.938,0.181,0,0,0.166,0.000,0.000,0.000,0.000
76.0,0.056,-0.018,-4.956,0.044,0.063,2,14,0,0.165,0,0,0.046,-2.871,-0.033,-5.333,-0.333,0.065,2,14,0,0.174,0,0,0.065,2.951,0.133,0,0,0.174,0.000,0.000,0.000,0.000
77.0,-0.040,0.082,-4.976,0.024,0.060,2,14,0,0.168,0,0,0.093,-2.998,0.013,-5.266,-0.266,0.064,2,14,0,0.148,0,0,0.092,2.973,0.091,0,0,0.168,0.000,0.000,0.000,0.000
78.0,-0.039,0.092,-4.961,0.039,0.004,2,14,0,0.147,0,0,0.099,-3.035,0.077,-5.263,-0.263,0.031,2,14,0,0.147,0,0,0.141,3.011,0.100,0,0,0.147,0.000,0.000,0.000,0.000
79.0,-0.039,0.067,-5.028,-0.028,0.034,2,14,0,0.215,0,0,0.083,-3.016,0.047,-5.277,-0.277,0.063,2,14,0,0.147,0,0,0.114,2.987,0.078,0,0,0.215,0.000,0.000,0.000,0.000
80.0,0.034,0.022,-4.998,0.002,0.058,2,14,0,0.170,0,0,0.006,-2.968,0.073,-5.311,-0.311,0.082,2,14,0,0.149,0,0,0.082,3.018,0.080,0,0,0.170,0.000,0.000,0.000,0.000
81.0,0.103,-0.022,-4.951,0.049,0.030,2,14,0,0.146,0,0,0.085,-2.863,0.090,-5.293,-0.293,0.072,2,14,0,0.177,0,0,0.080,2.988,0.164,0,0,0.177,0.000,0.000,0.000,0.000
82.0,0.073,0.012,-5.014,-0.014,0.023,2,14,0,0.140,0,0,0.045,-2.781,0.040,-5.362,-0.362,0.049,2,14,0,0.152,0,0,0.126,2.876,0.222,0,0,0.152,0.000,0.000,0.000,0.000
83.0,0.017,0.043,-4.989,0.011,0.020,2,14,0,0.140,0,0,0.026,-2.841,0.012,-5.333,-0.333,0.048,2,14,0,0.175,0,0,0.065,2.879,0.159,0,0,0.175,0.000,0.000,0.000,0.000
84.0,-0.012,0.001,-4.963,0.037,0.017,2,14,0,0.142,0,0,0.045,-2.886,-0.079,-5.338,-0.338,0.057,2,14,0,0.177,0,0,0.101,2.900,0.139,0,0,0.177,0.000,0.000,0.000,0.000
85.0,-0.047,-0.020,-5.036,-0.036,0.005,2,14,0,0.167,0,0,0.086,-2.999,-0.082,-5.270,-0.270,0.046,2,14,0,0.171,0,0,0.140,2.962,0.082,0,0,0.171,0.000,0.000,0.000,0.000
86.0,-0.033,-0.000,-5.026,-0.026,0.038,2,14,0,0.169,0,0,0.065,-3.030,-0.048,-5.361,-0.361,0.058,2,14,0,0.145,0,0,0.143,3.016,0.057,0,0,0.169,0.000,0.000,0.000,0.000
87.0,0.034,0.023,-5.006,-0.006,0.051,2,14,0,0.144,0,0,0.006,-2.895,0.042,-5.368,-0.368,0.087,2,14,0,0.145,0,0,0.022,2.952,0.113,0,0,0.145,0.000,0.000,0.000,0.000
88.0,0.098,0.022,-4.997,0.003,0.032,2,14,0,0.214,0,0,0.069,-2.813,0.060,-5.387,-0.387,0.047,2,14,0,0.144,0,0,0.100,2.937,0.197,0,0,0.214,0.000,0.000,0.000,0.000
89.0,0.118,0.028,-5.008,-0.008,0.018,2,14,0,0.166,0,0,0.089,-2.841,0.040,-5.317,-0.317,0.023,2,14,0,0.149,0,0,0.067,2.975,0.164,0,0,0.166,0.000,0.000,0.000,0.000
90.0,0.007,0.034,-5.017,-0.017,0.046,2,14,0,0.166,0,0,0.027,-2.914,0.029,-5.329,-0.329,0.042,2,14,0,0.145,0,0,0.011,2.938,0.091,0,0,0.166,0.000,0.000,0.000,0.000
91.0,-0.012,0.025,-5.014,-0.014,0.011,2,14,0,0.168,0,0,0.041,-2.910,0.029,-5.274,-0.274,0.022,2,14,0,0.148,0,0,0.009,2.910,0.094,0,0,0.168,0.000,0.000,0.000,0.000
