t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.280,0.296,-0.630,4.370,0.095,2,14,0,0.231,0,0,0.217,-2.832,0.057,-0.123,4.877,0.158,2,14,0,0.204,0,0,0.194,3.162,0.299,0,0,0.231,0.240,0.000,0.500,0.000
2.0,0.561,0.300,-1.316,3.684,0.388,2,14,0,0.253,0,0,0.445,-2.539,0.073,-0.960,4.040,0.396,2,14,0,0.200,0,0,0.406,3.129,0.349,0,0,0.253,0.740,0.000,0.500,0.000
3.0,1.030,0.341,-2.486,2.514,0.586,2,14,0,0.228,0,0,0.478,-2.010,0.071,-2.075,2.925,0.621,2,14,0,0.223,0,0,0.380,3.079,0.400,0,0,0.228,1.240,0.000,0.500,0.000
4.0,1.711,0.273,-3.729,1.271,0.755,2,14,0,0.145,0,0,0.294,-1.307,0.000,-3.282,1.718,0.744,2,14,0,0.279,0,0,0.185,3.063,0.274,0,0,0.279,1.740,0.000,0.500,0.000
5.0,2.523,0.110,-4.494,0.506,0.789,2,14,0,0.150,0,0,0.146,-0.551,-0.013,-4.356,0.644,0.719,2,14,0,0.150,0,0,0.102,3.080,0.304,0,0,0.150,2.240,0.000,0.500,0.000
6.0,3.272,0.004,-4.765,0.235,0.691,2,14,0,0.142,0,0,0.369,0.095,-0.009,-4.781,0.219,0.613,2,14,0,0.146,0,0,0.233,3.177,0.532,0,0,0.146,2.740,0.000,0.500,0.000
7.0,3.889,0.134,-4.872,0.128,0.519,2,14,0,0.144,0,0,0.410,0.770,0.006,-4.845,0.155,0.498,2,14,0,0.120,0,0,0.406,3.121,0.663,0,0,0.144,3.240,0.000,0.500,0.000
8.0,4.272,0.226,-4.945,0.055,0.380,2,14,0,0.145,0,0,0.276,1.192,0.068,-4.963,0.037,0.338,2,14,0,0.148,0,0,0.329,3.084,0.578,0,0,0.148,3.740,0.000,0.500,0.000
9.0,4.683,0.366,-4.941,0.059,0.337,2,14,0,0.144,0,0,0.213,1.458,0.072,-4.911,0.089,0.277,2,14,0,0.144,0,0,0.096,3.238,0.574,0,0,0.144,4.240,0.000,0.500,0.000
10.0,4.994,0.409,-4.893,0.107,0.321,2,14,0,0.143,0,0,0.151,1.750,0.106,-4.931,0.069,0.324,2,14,0,0.147,0,0,0.127,3.259,0.482,0,0,0.147,4.740,0.000,0.500,0.000
11.0,5.280,0.371,-4.967,0.033,0.391,2,14,0,0.149,0,0,0.245,2.136,0.101,-4.976,0.024,0.452,2,14,0,0.151,0,0,0.239,3.156,0.373,0,0,0.151,5.240,0.000,0.500,0.000
12.0,5.725,0.237,-4.958,0.042,0.532,2,14,0,0.148,0,0,0.277,2.680,0.029,-5.003,-0.003,0.551,2,14,0,0.150,0,0,0.190,3.053,0.237,0,0,0.150,5.740,0.000,0.500,0.000
13.0,6.326,0.153,-4.990,0.010,0.627,2,14,0,0.152,0,0,0.206,3.253,-0.006,-5.002,-0.002,0.596,2,14,0,0.153,0,0,0.127,3.077,0.176,0,0,0.153,6.240,0.000,0.500,0.000
14.0,6.968,0.134,-4.999,0.001,0.643,2,14,0,0.218,0,0,0.127,3.803,-0.060,-5.075,-0.075,0.594,2,14,0,0.126,0,0,0.127,3.172,0.265,0,0,0.218,6.740,0.000,0.500,0.000
15.0,7.549,0.121,-5.059,-0.059,0.601,2,14,0,0.119,0,0,0.145,4.377,-0.065,-4.969,0.031,0.588,2,14,0,0.148,0,0,0.115,3.179,0.332,0,0,0.148,7.240,0.000,0.500,0.000
16.0,8.228,0.165,-5.001,-0.001,0.551,2,14,0,0.120,0,0,0.244,4.945,-0.021,-4.964,0.036,0.568,2,14,0,0.149,0,0,0.105,3.288,0.515,0,0,0.149,7.740,0.000,0.500,0.000
17.0,8.698,0.268,-4.979,0.021,0.440,2,14,0,0.152,0,0,0.199,5.464,0.053,-4.982,0.018,0.515,2,14,0,0.123,0,0,0.098,3.241,0.530,0,0,0.152,8.240,0.000,0.500,0.000
18.0,9.117,0.326,-5.075,-0.075,0.385,2,14,0,0.182,0,0,0.136,5.989,0.126,-4.966,0.034,0.488,2,14,0,0.170,0,0,0.142,3.137,0.498,0,0,0.182,8.740,0.000,0.500,0.000
19.0,9.497,0.482,-5.047,-0.047,0.380,2,14,0,0.149,0,0,0.223,6.470,0.167,-4.987,0.013,0.428,2,14,0,0.151,0,0,0.156,3.044,0.546,0,0,0.151,9.240,0.000,0.500,0.000
20.0,9.953,0.418,-4.999,0.001,0.451,2,14,0,0.161,0,0,0.168,6.846,0.136,-5.078,-0.078,0.421,2,14,0,0.159,0,0,0.090,3.121,0.469,0,0,0.161,9.740,0.000,0.500,0.000
21.0,10.383,0.322,-4.981,0.019,0.489,2,14,0,0.145,0,0,0.135,7.254,0.039,-5.055,-0.055,0.455,2,14,0,0.149,0,0,0.112,3.142,0.352,0,0,0.149,10.240,0.000,0.500,0.000
22.0,10.792,0.215,-4.967,0.033,0.525,2,14,0,0.153,0,0,0.211,7.735,0.006,-4.937,0.063,0.523,2,14,0,0.129,0,0,0.140,3.064,0.221,0,0,0.153,10.740,0.000,0.500,0.000
23.0,11.342,0.142,-4.955,0.045,0.597,2,14,0,0.119,0,0,0.198,8.329,-0.018,-5.082,-0.082,0.567,2,14,0,0.123,0,0,0.079,3.020,0.175,0,0,0.123,11.240,0.000,0.500,0.000
24.0,11.930,0.176,-4.963,0.037,0.615,2,14,0,0.146,0,0,0.110,8.902,0.016,-4.997,0.003,0.551,2,14,0,0.121,0,0,0.048,3.033,0.259,0,0,0.146,11.740,0.000,0.500,0.000
25.0,12.539,0.192,-4.993,0.007,0.611,2,14,0,0.155,0,0,0.076,9.418,0.030,-5.022,-0.022,0.520,2,14,0,0.157,0,0,0.054,3.125,0.355,0,0,0.157,12.240,0.000,0.500,0.000
26.0,13.153,0.207,-5.027,-0.027,0.558,2,14,0,0.143,0,0,0.160,9.917,0.088,-4.989,0.011,0.493,2,14,0,0.147,0,0,0.062,3.238,0.462,0,0,0.147,12.740,0.000,0.500,0.000
27.0,13.600,0.256,-5.013,-0.013,0.466,2,14,0,0.143,0,0,0.101,10.340,0.174,-4.984,0.016,0.464,2,14,0,0.149,0,0,0.125,3.261,0.442,0,0,0.149,13.240,0.000,0.500,0.000
28.0,14.083,0.311,-4.999,0.001,0.452,2,14,0,0.159,0,0,0.097,10.820,0.161,-5.004,-0.004,0.498,2,14,0,0.158,0,0,0.123,3.266,0.463,0,0,0.159,13.740,0.000,0.500,0.000
29.0,14.611,0.335,-4.999,0.001,0.447,2,14,0,0.117,0,0,0.134,11.321,0.057,-4.994,0.006,0.522,2,14,0,0.148,0,0,0.048,3.301,0.500,0,0,0.148,14.240,0.000,0.500,0.000
30.0,14.989,0.351,-4.970,0.030,0.421,2,14,0,0.145,0,0,0.095,11.802,-0.042,-4.963,0.037,0.523,2,14,0,0.149,0,0,0.110,3.211,0.431,0,0,0.149,14.740,0.000,0.500,0.000
31.0,15.392,0.336,-4.948,0.052,0.442,2,14,0,0.150,0,0,0.132,12.301,-0.079,-4.994,0.006,0.540,2,14,0,0.152,0,0,0.146,3.119,0.369,0,0,0.152,15.240,0.000,0.500,0.000
32.0,15.873,0.291,-4.980,0.020,0.516,2,14,0,0.147,0,0,0.133,12.872,0.005,-4.954,0.046,0.557,2,14,0,0.150,0,0,0.045,3.015,0.319,0,0,0.150,15.740,0.000,0.500,0.000
33.0,16.371,0.219,-4.988,0.012,0.559,2,14,0,0.119,0,0,0.140,13.416,0.028,-5.029,-0.029,0.527,2,14,0,0.149,0,0,0.050,2.961,0.255,0,0,0.149,16.240,0.000,0.500,0.000
34.0,16.942,0.156,-4.924,0.076,0.588,2,14,0,0.116,0,0,0.121,13.937,0.062,-5.042,-0.042,0.497,2,14,0,0.149,0,0,0.071,3.009,0.256,0,0,0.149,16.740,0.000,0.500,0.000
35.0,17.523,0.121,-5.001,-0.001,0.577,2,14,0,0.148,0,0,0.139,14.428,0.105,-4.994,0.006,0.471,2,14,0,0.150,0,0,0.083,3.095,0.308,0,0,0.150,17.240,0.000,0.500,0.000
36.0,18.064,0.127,-4.955,0.045,0.547,2,14,0,0.148,0,0,0.146,14.877,0.125,-4.997,0.003,0.454,2,14,0,0.124,0,0,0.078,3.187,0.348,0,0,0.148,17.740,0.000,0.500,0.000
37.0,18.623,0.253,-4.956,0.044,0.512,2,14,0,0.148,0,0,0.121,15.347,0.081,-5.021,-0.021,0.482,2,14,0,0.152,0,0,0.040,3.281,0.459,0,0,0.152,18.240,0.000,0.500,0.000
38.0,19.069,0.421,-5.007,-0.007,0.451,2,14,0,0.121,0,0,0.176,15.830,0.061,-4.997,0.003,0.493,2,14,0,0.149,0,0,0.039,3.259,0.535,0,0,0.149,18.740,0.000,0.500,0.000
39.0,19.496,0.414,-5.070,-0.070,0.443,2,14,0,0.148,0,0,0.155,16.342,0.018,-4.918,0.082,0.505,2,14,0,0.151,0,0,0.039,3.182,0.486,0,0,0.151,19.240,0.000,0.500,0.000
40.0,19.946,0.383,-5.006,-0.006,0.470,2,14,0,0.144,0,0,0.138,16.848,-0.003,-5.028,-0.028,0.504,2,14,0,0.145,0,0,0.054,3.121,0.435,0,0,0.145,19.740,0.000,0.500,0.000
41.0,20.387,0.292,-5.005,-0.005,0.386,2,14,0,0.148,0,0,0.134,17.269,-0.025,-5.048,-0.048,0.392,2,14,0,0.180,0,0,0.162,3.134,0.485,0,0,0.180,20.000,0.000,0.010,0.000
42.0,20.602,0.160,-5.041,-0.041,0.145,2,14,0,0.148,0,0,0.361,17.521,0.013,-4.998,0.002,0.154,2,14,0,0.150,0,0,0.400,3.085,0.623,0,0,0.150,20.000,0.000,0.000,0.000
43.0,20.611,0.133,-5.053,-0.053,0.082,2,14,0,0.147,0,0,0.381,17.562,0.084,-4.971,0.029,0.104,2,14,0,0.149,0,0,0.446,3.050,0.625,0,0,0.149,20.000,0.000,0.000,0.000
44.0,20.492,0.191,-5.017,-0.017,0.215,2,14,0,0.151,0,0,0.251,17.346,0.134,-4.936,0.064,0.264,2,14,0,0.151,0,0,0.246,3.147,0.527,0,0,0.151,20.000,0.000,0.000,0.000
45.0,20.365,0.248,-4.980,0.020,0.245,2,14,0,0.145,0,0,0.116,17.113,0.176,-5.004,-0.004,0.261,2,14,0,0.150,0,0,0.124,3.252,0.441,0,0,0.150,20.000,0.000,0.000,0.000
46.0,19.898,0.391,-4.988,0.012,0.146,2,14,0,0.151,0,0,0.376,16.820,0.184,-5.044,-0.044,0.139,2,14,0,0.149,0,0,0.326,3.086,0.404,0,0,0.151,20.000,0.000,0.000,0.000
