t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,30.664,0.332,-4.963,0.037,1.623,2,14,0,0.225,0,0,10.315,27.377,0.475,-4.405,0.595,1.631,2,14,0,0.254,0,0,10.258,3.337,10.669,0,0,0.254,20.000,0.000,0.000,0.000
2.0,32.053,0.252,-5.037,-0.037,1.240,2,14,0,0.227,0,0,11.694,28.734,0.341,-4.331,0.669,1.253,2,14,0,0.233,0,0,11.616,3.395,12.056,0,0,0.233,20.000,0.000,0.000,0.000
3.0,33.074,0.203,-5.028,-0.028,0.853,2,14,0,0.268,0,0,12.725,29.850,0.182,-4.359,0.641,0.885,2,14,0,0.249,0,0,12.734,3.294,13.076,0,0,0.268,20.000,0.000,0.000,0.000
4.0,33.751,0.213,-5.026,-0.026,0.440,2,14,0,0.229,0,0,13.402,30.522,0.144,-4.356,0.644,0.455,2,14,0,0.236,0,0,13.412,3.298,13.753,0,0,0.236,20.000,0.000,0.000,0.000
5.0,33.962,0.237,-5.048,-0.048,0.010,2,14,0,0.229,0,0,13.612,30.709,0.163,-4.360,0.640,0.019,2,14,0,0.231,0,0,13.601,3.325,13.964,0,0,0.231,20.000,0.000,0.000,0.000
6.0,33.790,0.237,-4.987,0.013,0.436,2,14,0,0.410,0,0,13.444,30.530,0.213,-4.341,0.659,0.434,2,14,0,0.407,0,0,13.425,3.324,13.792,0,0,0.410,20.000,0.000,0.000,0.000
7.0,33.123,0.235,-4.975,0.025,0.909,2,14,0,0.195,0,0,12.781,29.854,0.255,-4.343,0.657,0.902,2,14,0,0.199,0,0,12.752,3.330,13.125,0,0,0.199,20.000,0.000,0.000,0.000
8.0,31.999,0.233,-4.990,0.010,1.388,2,14,0,0.228,0,0,11.650,28.774,0.348,-4.335,0.665,1.370,2,14,0,0.254,0,0,11.676,3.293,12.002,0,0,0.254,20.000,0.000,0.000,0.000
9.0,30.342,0.213,-4.990,0.010,1.898,2,14,0,0.330,0,0,9.993,27.201,0.350,-4.345,0.655,1.861,2,14,0,0.321,0,0,10.109,3.210,10.345,0,0,0.330,20.000,0.000,0.000,0.000
10.0,28.268,0.217,-5.014,-0.014,2.384,2,14,0,0.234,0,0,7.919,25.038,0.321,-4.356,0.644,2.377,2,14,0,0.233,0,0,7.948,3.299,8.271,0,0,0.234,20.000,0.000,0.000,0.000
11.0,25.626,0.251,-4.985,0.015,2.904,2,14,0,0.268,0,0,5.277,22.415,0.278,-4.274,0.726,2.896,2,14,0,0.251,0,0,5.330,3.289,5.632,0,0,0.268,20.000,0.000,0.000,0.000
12.0,22.700,0.239,-4.967,0.033,3.107,2,14,0,0.259,0,0,2.350,19.361,0.174,-4.329,0.671,3.115,2,14,0,0.225,0,0,2.280,3.399,2.710,0,0,0.259,20.000,0.000,0.000,0.000
13.0,19.578,0.191,-5.029,-0.029,3.044,2,14,0,0.248,0,0,0.772,16.302,0.182,-4.327,0.673,3.029,2,14,0,0.246,0,0,0.785,3.350,0.721,0,0,0.248,20.000,0.000,0.000,0.000
14.0,16.638,0.193,-5.035,-0.035,2.889,2,14,0,0.252,0,0,3.688,13.437,0.149,-4.266,0.734,2.859,2,14,0,0.202,0,0,3.650,3.292,3.566,0,0,0.252,20.000,0.000,0.000,0.000
15.0,13.868,0.164,-5.013,-0.013,2.695,2,14,0,0.320,0,0,6.460,10.767,0.136,-4.321,0.679,2.644,2,14,0,0.305,0,0,6.323,3.178,6.235,0,0,0.320,20.000,0.000,0.000,0.000
16.0,11.347,0.105,-4.972,0.028,2.450,2,14,0,0.251,0,0,8.984,8.256,0.160,-4.349,0.651,2.415,2,14,0,0.231,0,0,8.833,3.154,8.746,0,0,0.251,20.000,0.000,0.000,0.000
17.0,9.031,0.015,-5.024,-0.024,2.192,2,14,0,0.527,0,0,11.321,5.976,0.134,-4.409,0.591,2.142,2,14,0,0.262,0,0,11.116,3.118,11.025,0,0,0.527,20.000,0.000,0.000,0.000
18.0,7.095,0.021,-4.978,0.022,1.872,2,14,0,0.201,0,0,13.256,4.028,0.093,-4.435,0.565,1.829,2,14,0,0.233,0,0,13.067,3.115,12.972,0,0,0.233,20.000,0.000,0.000,0.000
19.0,5.343,0.072,-4.986,0.014,1.553,2,14,0,0.196,0,0,15.008,2.375,0.107,-4.402,0.598,1.495,2,14,0,0.199,0,0,14.709,3.025,14.657,0,0,0.199,20.000,0.000,0.000,0.000
20.0,4.010,0.178,-5.009,-0.009,1.186,2,14,0,0.251,0,0,16.339,1.004,0.177,-4.373,0.627,1.146,2,14,0,0.203,0,0,16.084,3.073,15.997,0,0,0.251,20.000,0.000,0.000,0.000
21.0,3.069,0.237,-5.011,-0.011,0.792,2,14,0,0.220,0,0,17.280,0.004,0.259,-4.367,0.633,0.769,2,14,0,0.226,0,0,17.098,3.132,16.998,0,0,0.226,20.000,0.000,0.000,0.000
22.0,2.442,0.243,-4.972,0.028,0.393,2,14,0,0.220,0,0,17.908,-0.539,0.317,-4.407,0.593,0.350,2,14,0,0.201,0,0,17.642,3.034,17.560,0,0,0.220,20.000,0.000,0.000,0.000
23.0,2.285,0.232,-4.940,0.060,0.056,2,14,0,0.396,0,0,18.065,-0.667,0.357,-4.347,0.653,0.091,2,14,0,0.200,0,0,17.777,3.014,17.717,0,0,0.396,20.000,0.000,0.000,0.000
24.0,2.469,0.258,-4.953,0.047,0.480,2,14,0,0.199,0,0,17.881,-0.344,0.339,-4.364,0.636,0.542,2,14,0,0.200,0,0,17.457,2.875,17.533,0,0,0.200,20.000,0.000,0.000,0.000
25.0,3.179,0.292,-5.001,-0.001,0.943,2,14,0,0.198,0,0,17.178,0.320,0.311,-4.348,0.652,0.986,2,14,0,0.203,0,0,16.795,2.932,16.824,0,0,0.203,20.000,0.000,0.000,0.000
26.0,4.334,0.273,-5.033,-0.033,1.414,2,14,0,0.228,0,0,16.016,1.499,0.257,-4.332,0.668,1.463,2,14,0,0.199,0,0,15.621,2.921,15.668,0,0,0.228,20.000,0.000,0.000,0.000
27.0,6.060,0.261,-5.023,-0.023,1.932,2,14,0,0.266,0,0,14.290,3.258,0.171,-4.290,0.710,1.982,2,14,0,0.225,0,0,13.867,2.898,13.942,0,0,0.266,20.000,0.000,0.000,0.000
28.0,8.285,0.182,-4.968,0.032,2.459,2,14,0,0.221,0,0,12.065,5.448,0.141,-4.347,0.653,2.489,2,14,0,0.224,0,0,11.700,2.904,11.717,0,0,0.224,20.000,0.000,0.000,0.000
29.0,10.965,0.085,-4.995,0.005,2.953,2,14,0,0.341,0,0,9.409,8.146,0.180,-4.346,0.654,2.980,2,14,0,0.222,0,0,8.987,2.894,9.036,0,0,0.341,20.000,0.000,0.000,0.000
30.0,13.932,0.066,-4.972,0.028,3.111,2,14,0,0.222,0,0,6.444,11.153,0.248,-4.387,0.613,3.114,2,14,0,0.229,0,0,5.980,2.845,6.068,0,0,0.229,20.000,0.000,0.000,0.000
31.0,16.982,0.181,-4.987,0.013,3.123,2,14,0,0.316,0,0,3.368,14.250,0.324,-4.300,0.700,3.129,2,14,0,0.294,0,0,2.885,2.821,3.023,0,0,0.316,20.000,0.000,0.000,0.000
32.0,20.086,0.293,-5.052,-0.052,3.044,2,14,0,0.260,0,0,0.294,17.313,0.365,-4.353,0.647,3.013,2,14,0,0.258,0,0,0.212,2.861,0.481,0,0,0.260,20.000,0.000,0.000,0.000
33.0,22.970,0.437,-4.950,0.050,2.846,2,14,0,0.197,0,0,2.607,20.157,0.377,-4.347,0.653,2.818,2,14,0,0.201,0,0,3.029,2.878,3.179,0,0,0.201,20.000,0.000,0.000,0.000
34.0,25.729,0.513,-4.948,0.052,2.631,2,14,0,0.223,0,0,5.366,22.808,0.383,-4.362,0.638,2.583,2,14,0,0.232,0,0,5.681,2.982,5.821,0,0,0.232,20.000,0.000,0.000,0.000
35.0,28.187,0.469,-5.018,-0.018,2.372,2,14,0,0.199,0,0,7.841,25.299,0.336,-4.311,0.689,2.328,2,14,0,0.281,0,0,8.173,2.976,8.306,0,0,0.281,20.000,0.000,0.000,0.000
36.0,30.336,0.368,-5.007,-0.007,2.061,2,14,0,0.227,0,0,9.988,27.419,0.295,-4.312,0.688,2.013,2,14,0,0.284,0,0,10.295,3.000,10.423,0,0,0.284,20.000,0.000,0.000,0.000
