t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,5.131,-0.574,-4.971,0.029,0.632,2,14,0,0.183,0,0,0.437,2.780,0.340,-5.946,-0.946,0.567,2,14,0,0.178,0,0,0.292,2.705,1.302,0,0,0.183,6.300,0.000,0.500,0.000
2.0,5.860,-0.731,-5.017,-0.017,0.733,2,14,0,0.176,0,0,0.411,3.412,0.277,-5.998,-0.998,0.655,2,14,0,0.174,0,0,0.172,2.823,1.191,0,0,0.176,6.800,0.000,0.500,0.000
3.0,6.584,-0.717,-5.061,-0.061,0.708,2,14,0,0.210,0,0,0.377,4.052,0.246,-6.044,-1.044,0.650,2,14,0,0.174,0,0,0.093,2.881,1.013,0,0,0.210,7.300,0.000,0.500,0.000
4.0,7.208,-0.581,-4.999,0.001,0.627,2,14,0,0.172,0,0,0.309,4.698,0.244,-6.127,-1.127,0.613,2,14,0,0.148,0,0,0.155,2.872,0.830,0,0,0.172,7.800,0.000,0.500,0.000
5.0,7.712,-0.383,-4.966,0.034,0.528,2,14,0,0.174,0,0,0.210,5.292,0.264,-6.170,-1.170,0.523,2,14,0,0.175,0,0,0.232,2.780,0.702,0,0,0.175,8.300,0.000,0.500,0.000
6.0,8.140,-0.210,-5.003,-0.003,0.436,2,14,0,0.177,0,0,0.192,5.748,0.372,-6.141,-1.141,0.426,2,14,0,0.175,0,0,0.180,2.712,0.693,0,0,0.177,8.800,0.000,0.500,0.000
7.0,8.551,-0.085,-4.986,0.014,0.409,2,14,0,0.171,0,0,0.264,6.115,0.441,-6.212,-1.212,0.394,2,14,0,0.179,0,0,0.113,2.777,0.754,0,0,0.179,9.300,0.000,0.500,0.000
8.0,8.984,-0.083,-5.021,-0.021,0.437,2,14,0,0.181,0,0,0.267,6.497,0.456,-6.344,-1.344,0.418,2,14,0,0.150,0,0,0.140,2.868,0.821,0,0,0.181,9.800,0.000,0.500,0.000
9.0,9.408,-0.189,-4.968,0.032,0.483,2,14,0,0.184,0,0,0.191,6.929,0.364,-6.405,-1.405,0.485,2,14,0,0.180,0,0,0.145,2.918,0.912,0,0,0.184,10.300,0.000,0.500,0.000
10.0,9.817,-0.356,-4.993,0.007,0.534,2,14,0,0.194,0,0,0.189,7.410,0.294,-6.457,-1.457,0.552,2,14,0,0.162,0,0,0.168,2.891,1.046,0,0,0.194,10.800,0.000,0.500,0.000
11.0,10.393,-0.471,-5.035,-0.035,0.589,2,14,0,0.321,0,0,0.171,7.996,0.243,-6.519,-1.519,0.594,2,14,0,0.178,0,0,0.122,2.908,1.022,0,0,0.321,11.300,0.000,0.500,0.000
12.0,10.992,-0.523,-5.026,-0.026,0.596,2,14,0,0.176,0,0,0.176,8.561,0.262,-6.483,-1.483,0.579,2,14,0,0.189,0,0,0.076,2.940,0.963,0,0,0.189,11.800,0.000,0.500,0.000
13.0,11.551,-0.540,-5.049,-0.049,0.564,2,14,0,0.172,0,0,0.198,9.087,0.315,-6.517,-1.517,0.565,2,14,0,0.152,0,0,0.026,2.993,0.924,0,0,0.172,12.300,0.000,0.500,0.000
14.0,12.099,-0.443,-5.065,-0.065,0.535,2,14,0,0.175,0,0,0.134,9.680,0.382,-6.488,-1.488,0.537,2,14,0,0.174,0,0,0.116,2.926,0.829,0,0,0.175,12.800,0.000,0.500,0.000
15.0,12.591,-0.322,-4.989,0.011,0.488,2,14,0,0.182,0,0,0.086,10.191,0.442,-6.543,-1.543,0.488,2,14,0,0.176,0,0,0.158,2.960,0.779,0,0,0.182,13.300,0.000,0.500,0.000
16.0,13.040,-0.246,-5.003,-0.003,0.456,2,14,0,0.145,0,0,0.107,10.728,0.442,-6.566,-1.566,0.448,2,14,0,0.151,0,0,0.189,2.874,0.798,0,0,0.151,13.800,0.000,0.500,0.000
17.0,13.456,-0.190,-4.998,0.002,0.453,2,14,0,0.242,0,0,0.165,11.163,0.341,-6.614,-1.614,0.408,2,14,0,0.186,0,0,0.091,2.856,0.865,0,0,0.242,14.300,0.000,0.500,0.000
18.0,13.930,-0.225,-4.996,0.004,0.496,2,14,0,0.173,0,0,0.148,11.430,0.288,-6.547,-1.547,0.388,2,14,0,0.177,0,0,0.148,2.987,0.898,0,0,0.177,14.800,0.000,0.500,0.000
19.0,14.415,-0.329,-4.996,0.004,0.520,2,14,0,1.145,0,0,0.096,11.863,0.265,-6.551,-1.551,0.496,2,14,0,0.193,0,0,0.221,3.047,0.944,0,0,1.145,15.300,0.000,0.500,0.000
20.0,14.957,-0.437,-4.963,0.037,0.552,2,14,0,0.145,0,0,0.103,12.426,0.218,-6.601,-1.601,0.578,2,14,0,0.176,0,0,0.189,3.085,0.950,0,0,0.176,15.800,0.000,0.500,0.000
21.0,15.464,-0.489,-4.932,0.068,0.541,2,14,0,0.182,0,0,0.148,13.064,0.298,-6.531,-1.531,0.612,2,14,0,0.176,0,0,0.041,2.990,0.968,0,0,0.182,16.300,0.000,0.500,0.000
22.0,15.974,-0.445,-4.958,0.042,0.552,2,14,0,0.271,0,0,0.105,13.610,0.346,-6.509,-1.509,0.569,2,14,0,0.190,0,0,0.038,2.937,0.938,0,0,0.271,16.800,0.000,0.500,0.000
23.0,16.610,-0.427,-5.030,-0.030,0.556,2,14,0,0.188,0,0,0.131,14.228,0.382,-6.539,-1.539,0.534,2,14,0,0.149,0,0,0.162,2.933,0.811,0,0,0.188,17.300,0.000,0.500,0.000
24.0,17.153,-0.314,-5.002,-0.002,0.492,2,14,0,0.177,0,0,0.148,14.701,0.357,-6.531,-1.531,0.439,2,14,0,0.174,0,0,0.132,2.967,0.719,0,0,0.177,17.800,0.000,0.500,0.000
25.0,17.572,-0.229,-5.049,-0.049,0.438,2,14,0,0.176,0,0,0.133,15.116,0.341,-6.577,-1.577,0.419,2,14,0,0.177,0,0,0.045,2.948,0.763,0,0,0.177,18.300,0.000,0.500,0.000
26.0,17.993,-0.233,-5.004,-0.004,0.432,2,14,0,0.155,0,0,0.116,15.477,0.373,-6.615,-1.615,0.425,2,14,0,0.173,0,0,0.100,3.048,0.840,0,0,0.173,18.800,0.000,0.500,0.000
27.0,18.359,-0.321,-4.950,0.050,0.460,2,14,0,0.181,0,0,0.149,15.971,0.348,-6.563,-1.563,0.503,2,14,0,0.149,0,0,0.102,2.958,0.994,0,0,0.181,19.300,0.000,0.500,0.000
28.0,18.897,-0.359,-4.960,0.040,0.543,2,14,0,0.330,0,0,0.113,16.436,0.307,-6.525,-1.525,0.527,2,14,0,0.176,0,0,0.136,2.991,0.970,0,0,0.330,19.798,0.000,0.450,0.000
