t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-5.414,-3.899,-5.167,-0.167,0.038,2,4,-1,0.000,0,0,0.000,-5.067,0.025,-5.434,-0.434,0.025,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,-9.149,-2.626,-4.940,0.060,0.036,2,4,-1,0.000,0,0,0.000,3.949,nan,0,0,0.000,-5.305,-8.830,0.441,0.235
2.0,-5.427,-3.888,-5.134,-0.134,0.069,2,4,-1,0.000,0,0,0.000,-5.043,0.063,-5.454,-0.454,0.038,2,4,-1,0.000,0,0,0.000,-3.739,-5.763,-5.457,-0.457,0.049,2,4,-1,0.000,0,0,0.000,-2.242,-1.618,-5.614,-0.614,0.041,0,0,-1,0.000,0,0,0.000,-9.171,-2.601,-5.028,-0.028,0.018,2,4,-1,0.000,0,0,0.000,2.544,6.975,0,0,0.000,-4.870,-8.584,0.429,0.257
3.0,-5.347,-3.929,-5.119,-0.119,0.051,2,4,-1,0.000,0,0,0.000,-5.029,0.071,-5.481,-0.481,0.027,2,4,-1,0.000,0,0,0.000,-3.723,-5.743,-5.482,-0.482,0.043,2,4,-1,0.000,0,0,0.000,-2.185,-1.521,-5.579,-0.579,0.021,2,4,-1,0.000,0,0,0.000,-9.184,-2.672,-4.948,0.052,0.038,2,4,-1,0.000,0,0,0.000,2.462,6.737,0,0,0.000,0.000,0.000,0.000,0.000
4.0,-5.353,-3.959,-5.028,-0.028,0.013,2,4,-1,0.000,0,0,0.000,-5.052,-0.023,-5.462,-0.462,0.016,2,4,-1,0.000,0,0,0.000,-3.798,-5.729,-5.488,-0.488,0.054,2,4,-1,0.000,0,0,0.000,-2.290,-1.477,-5.625,-0.625,0.068,2,4,-1,0.000,0,0,0.000,-9.126,-2.684,-5.018,-0.018,0.037,2,4,-1,0.000,0,0,0.000,2.400,6.688,0,0,0.000,0.000,0.000,0.000,0.000
5.0,-5.299,-3.946,-5.078,-0.078,0.051,2,4,-1,0.000,0,0,0.000,-5.060,0.046,-5.428,-0.428,0.057,2,4,-1,0.000,0,0,0.000,-3.791,-5.836,-5.457,-0.457,0.019,2,4,-1,0.000,0,0,0.000,-2.270,-1.597,-5.616,-0.616,0.074,2,4,-1,0.000,0,0,0.000,-9.078,-2.625,-4.995,0.005,0.044,2,4,-1,0.000,0,0,0.000,2.447,6.620,0,0,0.000,0.000,0.000,0.000,0.000
6.0,-5.339,-3.949,-5.097,-0.097,0.053,2,4,-1,0.000,0,0,0.000,-5.082,0.080,-5.443,-0.443,0.023,2,4,-1,0.000,0,0,0.000,-3.772,-5.830,-5.466,-0.466,0.061,2,4,-1,0.000,0,0,0.000,-2.135,-1.599,-5.631,-0.631,0.013,2,4,-1,0.000,0,0,0.000,-9.122,-2.639,-5.021,-0.021,0.034,2,4,-1,0.000,0,0,0.000,2.476,6.666,0,0,0.000,0.000,0.000,0.000,0.000
7.0,-5.318,-3.937,-5.094,-0.094,0.046,2,4,-1,0.000,0,0,0.000,-5.046,0.094,-5.434,-0.434,0.031,2,4,-1,0.000,0,0,0.000,-3.845,-5.786,-5.509,-0.509,0.031,2,4,-1,0.000,0,0,0.000,-2.226,-1.591,-5.704,-0.704,0.073,2,4,-1,0.000,0,0,0.000,-9.179,-2.635,-5.025,-0.025,0.020,2,4,-1,0.000,0,0,0.000,2.400,6.717,0,0,0.000,0.000,0.000,0.000,0.000
8.0,-5.318,-3.879,-5.093,-0.093,0.015,2,4,-1,0.000,0,0,0.000,-5.068,0.079,-5.381,-0.381,0.033,2,4,-1,0.000,0,0,0.000,-3.813,-5.727,-5.463,-0.463,0.035,2,4,-1,0.000,0,0,0.000,-2.295,-1.571,-5.638,-0.638,0.025,2,4,-1,0.000,0,0,0.000,-9.106,-2.606,-4.981,0.019,0.018,2,4,-1,0.000,0,0,0.000,2.412,6.639,0,0,0.000,0.000,0.000,0.000,0.000
9.0,-5.365,-3.883,-5.106,-0.106,0.053,2,4,-1,0.000,0,0,0.000,-5.009,0.074,-5.410,-0.410,0.022,2,4,-1,0.000,0,0,0.000,-3.762,-5.746,-5.468,-0.468,0.048,2,4,-1,0.000,0,0,0.000,-2.181,-1.585,-5.568,-0.568,0.023,2,4,-1,0.000,0,0,0.000,-9.161,-2.606,-4.973,0.027,0.017,2,4,-1,0.000,0,0,0.000,2.485,6.690,0,0,0.000,0.000,0.000,0.000,0.000
10.0,-5.466,-3.906,-5.126,-0.126,0.059,2,4,-1,0.000,0,0,0.000,-4.998,0.104,-5.444,-0.444,0.020,2,4,-1,0.000,0,0,0.000,-3.762,-5.770,-5.386,-0.386,0.012,2,4,-1,0.000,0,0,0.000,-2.198,-1.610,-5.627,-0.627,0.045,2,4,-1,0.000,0,0,0.000,-9.204,-2.571,-4.879,0.121,0.051,2,4,-1,0.000,0,0,0.000,2.539,6.719,0,0,0.000,0.000,0.000,0.000,0.000
