t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,19.141,-0.660,-4.984,0.016,0.071,2,14,0,0.188,0,0,0.082,19.341,2.426,-5.389,-0.389,0.120,2,14,-1,0.000,0,0,0.000,20.579,-3.508,-5.221,-0.221,0.096,0,0,-1,0.000,0,0,0.000,22.481,0.532,-4.459,0.541,0.017,2,14,0,0.178,0,0,0.098,16.542,-0.961,-5.728,-0.728,0.087,0,0,0,0.181,0,0,0.072,2.720,1.083,0,0,0.188,20.000,0.000,0.000,0.000
2.0,19.178,-0.764,-4.993,0.007,0.063,2,14,0,0.190,0,0,0.076,19.475,2.432,-5.357,-0.357,0.105,2,14,0,0.169,0,0,0.033,20.623,-3.592,-5.189,-0.189,0.090,2,14,0,0.184,0,0,0.169,22.462,0.557,-4.439,0.561,0.029,2,14,0,0.175,0,0,0.126,16.495,-0.992,-5.689,-0.689,0.065,2,14,0,0.173,0,0,0.038,2.781,1.122,0,0,0.190,20.000,0.000,0.000,0.000
3.0,19.227,-0.764,-4.993,0.007,0.029,2,14,0,0.202,0,0,0.068,19.549,2.405,-5.323,-0.323,0.056,2,14,0,0.152,0,0,0.109,20.748,-3.603,-5.178,-0.178,0.094,2,14,0,0.184,0,0,0.138,22.502,0.534,-4.440,0.560,0.059,2,14,0,0.153,0,0,0.081,16.430,-0.960,-5.678,-0.678,0.036,2,14,0,0.147,0,0,0.105,2.887,1.117,0,0,0.202,20.000,0.000,0.000,0.000
4.0,19.202,-0.736,-4.959,0.041,0.026,2,14,0,0.205,0,0,0.041,19.481,2.360,-5.368,-0.368,0.013,2,14,0,0.158,0,0,0.079,20.871,-3.548,-5.147,-0.147,0.086,2,14,0,0.171,0,0,0.159,22.612,0.499,-4.408,0.592,0.068,2,14,0,0.171,0,0,0.043,16.432,-0.993,-5.679,-0.679,0.044,2,14,0,0.150,0,0,0.090,2.874,1.144,0,0,0.205,20.000,0.000,0.000,0.000
5.0,19.303,-0.698,-4.988,0.012,0.027,2,14,0,0.161,0,0,0.089,19.485,2.381,-5.297,-0.297,0.033,2,14,0,0.166,0,0,0.064,20.896,-3.442,-5.217,-0.217,0.075,2,14,0,0.145,0,0,0.163,22.637,0.426,-4.385,0.615,0.032,2,14,0,0.195,0,0,0.092,16.449,-1.019,-5.687,-0.687,0.056,2,14,0,0.143,0,0,0.068,2.956,1.159,0,0,0.195,20.000,0.000,0.000,0.000
6.0,19.231,-0.683,-4.941,0.059,0.038,2,14,0,0.209,0,0,0.021,19.478,2.404,-5.364,-0.364,0.041,2,14,0,0.153,0,0,0.043,20.860,-3.393,-5.252,-0.252,0.069,2,14,0,0.177,0,0,0.142,22.701,0.410,-4.374,0.626,0.017,2,14,0,0.145,0,0,0.155,16.550,-1.068,-5.607,-0.607,0.067,2,14,0,0.173,0,0,0.054,2.789,1.159,0,0,0.209,20.000,0.000,0.000,0.000
7.0,19.203,-0.705,-5.052,-0.052,0.018,2,14,0,0.532,0,0,0.014,19.404,2.454,-5.355,-0.355,0.048,2,14,0,0.196,0,0,0.045,20.824,-3.351,-5.234,-0.234,0.091,2,14,0,0.407,0,0,0.145,22.621,0.407,-4.432,0.568,0.076,2,14,0,0.176,0,0,0.099,16.620,-1.120,-5.707,-0.707,0.024,2,14,0,0.178,0,0,0.140,2.697,1.182,0,0,0.532,20.000,0.000,0.000,0.000
8.0,19.189,-0.727,-5.040,-0.040,0.008,2,14,0,0.165,0,0,0.040,19.369,2.453,-5.334,-0.334,0.007,2,14,0,0.167,0,0,0.077,20.694,-3.358,-5.197,-0.197,0.108,2,14,0,0.188,0,0,0.115,22.555,0.436,-4.400,0.600,0.082,2,14,0,0.239,0,0,0.058,16.655,-1.139,-5.755,-0.755,0.040,2,14,0,0.318,0,0,0.180,2.665,1.190,0,0,0.318,20.000,0.000,0.000,0.000
9.0,19.166,-0.735,-5.007,-0.007,0.017,2,14,0,0.181,0,0,0.062,19.417,2.498,-5.363,-0.363,0.030,2,14,0,0.197,0,0,0.075,20.535,-3.408,-5.212,-0.212,0.085,2,14,0,0.180,0,0,0.206,22.505,0.533,-4.371,0.629,0.069,2,14,0,0.181,0,0,0.077,16.576,-1.068,-5.670,-0.670,0.101,2,14,0,0.183,0,0,0.076,2.694,1.149,0,0,0.197,20.000,0.000,0.000,0.000
10.0,19.150,-0.735,-4.972,0.028,0.040,2,14,0,0.216,0,0,0.076,19.458,2.426,-5.309,-0.309,0.044,2,14,0,0.164,0,0,0.017,20.582,-3.477,-5.188,-0.188,0.089,2,14,0,0.175,0,0,0.156,22.471,0.559,-4.331,0.669,0.018,2,14,0,0.155,0,0,0.119,16.539,-0.997,-5.644,-0.644,0.103,2,14,0,0.195,0,0,0.037,2.709,1.123,0,0,0.216,20.000,0.000,0.000,0.000
