t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.028,-0.137,0.257,5.257,0.091,2,14,0,0.213,0,0,0.160,-2.904,0.021,-1.255,3.745,0.105,2,14,0,0.266,0,0,0.278,3.254,0.301,0,0,0.266,0.240,0.000,0.500,0.000
2.0,0.157,-0.104,-0.331,4.669,0.277,2,14,0,0.227,0,1,0.477,-2.573,0.017,-1.794,3.206,0.460,2,14,0,0.207,0,0,0.455,3.100,0.592,0,0,0.227,0.740,0.000,0.500,0.000
3.0,0.292,-0.111,-1.018,3.982,0.230,2,14,0,0.237,0,0,0.843,-1.959,-0.001,-2.852,2.148,0.656,2,14,0,0.282,0,0,0.343,2.905,0.955,0,0,0.282,1.240,0.000,0.500,0.000
4.0,0.802,-0.163,-2.290,2.710,0.623,2,14,0,0.328,0,0,0.834,-1.282,-0.089,-4.030,0.970,0.729,2,14,0,0.164,0,0,0.165,2.716,0.952,0,0,0.328,1.740,0.000,0.500,0.000
5.0,1.600,-0.221,-3.643,1.357,0.911,2,14,0,0.190,0,0,0.534,-0.574,-0.124,-4.628,0.372,0.690,2,14,0,0.147,0,0,0.097,2.389,0.677,0,0,0.190,2.240,0.000,0.500,0.000
6.0,2.493,-0.210,-4.482,0.518,0.948,2,14,0,0.160,0,0,0.148,0.013,-0.082,-4.765,0.235,0.586,2,14,0,0.171,0,0,0.141,2.500,0.324,0,0,0.171,2.740,0.000,0.500,0.000
7.0,3.377,-0.212,-4.739,0.261,0.852,2,14,0,0.169,0,0,0.253,0.531,-0.031,-4.925,0.075,0.508,2,14,0,0.155,0,0,0.155,2.858,0.293,0,0,0.169,3.240,0.000,0.500,0.000
8.0,4.109,-0.195,-4.897,0.103,0.619,2,14,0,0.151,0,0,0.476,1.101,-0.003,-4.995,0.005,0.465,2,14,0,0.149,0,0,0.230,3.017,0.418,0,0,0.151,3.740,0.000,0.500,0.000
9.0,4.593,-0.211,-4.868,0.132,0.382,2,14,0,0.150,0,0,0.465,1.513,-0.038,-4.925,0.075,0.395,2,14,0,0.144,0,0,0.138,3.085,0.411,0,0,0.150,4.240,0.000,0.500,0.000
10.0,4.888,-0.114,-4.935,0.065,0.262,2,14,0,0.167,0,0,0.258,1.915,-0.041,-4.964,0.036,0.401,2,14,0,0.137,0,0,0.037,2.974,0.187,0,0,0.167,4.740,0.000,0.500,0.000
11.0,5.117,-0.084,-4.958,0.042,0.250,2,14,0,0.146,0,0,0.074,2.387,-0.112,-4.986,0.014,0.425,2,14,0,0.117,0,0,0.072,2.730,0.185,0,0,0.146,5.240,0.000,0.500,0.000
12.0,5.473,-0.069,-4.989,0.011,0.369,2,14,0,0.164,0,0,0.180,2.802,-0.121,-5.007,-0.007,0.447,2,14,0,0.155,0,0,0.107,2.672,0.275,0,0,0.164,5.740,0.000,0.500,0.000
